English	Persian
Horn (anatomy)	شاخ
Horn (instrument)	کر (ساز)
Horn of Africa	شاخ آفریقا
Horoscope	زایچه
Horse	اسب
Hosni Mubarak	حسنی مبارک
Hospital	بیمارستان
Hotel	هتل
Hour	ساعت (زمان)
House (TV series)	دکتر هاوس
Houston	هیوستون
Hovercraft	هواناو
Howard Carter (archaeologist)	هاوارد کارتر
Hudson River	رودخانه هادسون
Hugh Capet	هوگو کاپه
Human	انسان
Humanism	اومانیسم
Humanities	رده:علوم انسانی
Humidity	رطوبت
Hummingbird	مرغ مگس‌خوار
Humphrey Bogart	هامفری بوگارت
Hungary	مجارستان
Hungary	رده:مجارستان
Hunting	شکار
Hyderabad	حیدرآباد (هند)
Hydra (constellation)	مار باریک (صورت فلکی)
Hydrocarbon	هیدروکربن
Hydroelectricity	هیدروالکتریسیته
Hydrogen	هیدروژن
Hydrogen bond	پیوند هیدروژنی
Hydrology	آب‌شناسی
Hydrology	رده:آب‌شناسی
Hydrus	آبمار (صورت فلکی)
Hyena	کفتار
Hymen	پرده بکارت
Hymn	سرود ملی
Hyperbola	هذلولی
Hypertext Transfer Protocol	پروتکل انتقال ابرمتن
Hypnosis	هیپنوتیزم
Hypothalamus	هیپوتالاموس
Hypothesis	فرضیه
I	I
I. M. Pei	آی ام پی
IPod	آی‌پاد
Ian Fleming	یان فلمینگ
Iberian Peninsula	شبه‌جزیره ایبری
Ice age	عصر یخبندان (دورهٔ زمین‌شناسی)
Ice cream	بستنی
Ice hockey	هاکی روی یخ
Iceberg	یخکوه
Iceland	ایسلند
Iceland	رده:ایسلند
Ichthyology	آبزی‌شناسی
Idaho	آیداهو
Ideal gas	گاز ایده‌آل
Idealism	آرمان‌گرایی
Ideology	ایدئولوژی
Ido	ایدو
Igor Stravinsky	ایگور استراوینسکی
Iliad	ایلیاد
Illinois	ایلینوی
Illyria	ایلیریا
Image scanner	اسکنر
Imam	امام
Immanuel Kant	امانوئل کانت
Immunology	ایمونولوژی
Imperialism	امپریالیسم
Impressionism	دریافتگری
Inch	اینچ
India	هند
India	رده:هند
Indian Ocean	اقیانوس هند
Indiana	ایندیانا
Indianapolis	ایندیاناپولیس
Indira Gandhi	ایندیرا گاندی
Indium	ایندیوم
Indochina	هندوچین
Indonesia	اندونزی
Indonesia	رده:اندونزی
Indus (constellation)	هندی (صورت فلکی)
Industry	صنعت
Inequality	نامساوی
Inflation	تورم
Influenza	آنفلوآنزا
Information	اطلاعات
Information technology	فناوری اطلاعات
Information theory	نظریه اطلاعات
Infrared	فروسرخ
Infrastructure	زیرساخت
Ingmar Bergman	اینگمار برگمن
Ingrid Bergman	اینگرید برگمن
Innsbruck	اینسبروک
Inorganic chemistry	شیمی معدنی
Insect	حشرات
Institution	نهاد
Insulin	انسولین
Insurance	بیمه
Integer	اعداد صحیح
Integral	انتگرال
Integrated circuit	تراشه
Intellectual property	مالکیت فکری
Intelligence quotient	ضریب هوشی
Intercontinental ballistic missile	موشک بالیستیک قاره‌پیما
Interest	بهره (پول)
Interlingua	اینترلینگوا
International Atomic Energy Agency	آژانس بین‌المللی انرژی اتمی
International Civil Aviation Organization	ایکائو
International Court of Justice	دیوان بین‌المللی دادگستری
International Labour Organization	سازمان بین‌المللی کار
International System of Units	سیستم استاندارد بین‌المللی واحدها
International organization	سازمان بین‌المللی
Internet	اینترنت
Internet Explorer	اینترنت اکسپلورر
Intersection (set theory)	اشتراک (مجموعه)
Intestine	روده
Intranet	اینترانت
Invention	اختراع
Invertebrate	بی‌مهرگان
Io (mythology)	یو
Iodine	ید
Ion	یون
Ionia	ایونیا
Ionic bond	پیوند یونی
Iowa	آیووا
Iowa	رده:آیووا
Iran	ایران
Iran	رده:ایران
Iran-Iraq War	جنگ ایران و عراق
Iraq	عراق
Iraq	رده:عراق
Ireland	جزیره ایرلند
Iridium	ایریدیوم
Iris (mythology)	ایریس
Irish people	رده:اهالی ایرلند
Iron	آهن
Iron Age	عصر آهن
Iron Maiden	آیرون میدن
Irrational number	عدد گنگ
Isaac	اسحاق
Isaac Asimov	آیزاک آسیموف
Isaac Bashevis Singer	ایزاک بشویس سینگر
Isaac Newton	آیزاک نیوتن
Ishmael	اسماعیل
Isis	ایسیس
Islam	اسلام
Islam	رده:اسلام
Islamabad	اسلام‌آباد
Islamic calendar	تقویم هجری قمری
Island	جزیره (جغرافیا)
Isle of Man	جزیره من
Isotope	ایزوتوپ
Israel	اسرائیل
Israel	رده:اسرائیل
Istanbul	استانبول
Italo Calvino	ایتالو کالوینو
Italy	ایتالیا
Italy	رده:ایتالیا
Ivan Pavlov	ایوان پتروویچ پاولف
Ivory	عاج
Ivy League	آیوی لیگ
Iwo Jima	ایو جیما
J	J
J. D. Salinger	جروم دیوید سالینجر
Jack Lemmon	جک لمون
Jack London	جک لندن
Jackson	جکسون
Jackson Pollock	جکسون پولاک
Jacksonville	جکسون‌ویل
Jacob	یعقوب
Jacques Derrida	ژاک دریدا
Jade	یشم
Jaguar	جگوار
Jainism	آئین جین
Jakarta	جاکارتا
Jalalabad	جلال‌آباد
Jamaica	جامائیکا
Jamaica	رده:جامائیکا
James A. Garfield	جیمز آبرام گارفیلد
James Bond	جیمز باند
James Buchanan	جیمز بیوکنن
James Clerk Maxwell	جیمز کلرک ماکسول
James Cook	جیمز کوک
James Franck	جیمز فرانک
James Joyce	جیمز جویس
James K. Polk	جیمز ناکس پولک
James Madison	جیمز مدیسون
James Monroe	جیمز مونرو
James Prescott Joule	جیمز ژول
James Watt	جیمز وات
Jammu and Kashmir	جامو و کشمیر
Jane Austen	جین آستن
Jane Seymour	جین سیمور
Janissary	ینی‌چری
January	ژانویه
January 1	۱ ژانویه
January 19	۱۹ ژانویه
January 20	۲۰ ژانویه
January 6	۶ ژانویه
Japan	ژاپن
Japan	رده:ژاپن
Jason	یاسون
Java	جاوه
Java (programming language)	جاوا (زبان برنامه‌نویسی)
Jazz	جاز
Jean Auguste Dominique Ingres	ژان اگوست دومینیک انگر
Jean Cocteau	ژان کوکتو
Jean Piaget	ژان پیاژه
Jean Sibelius	ژان سیبلیوس
Jean-Jacques Rousseau	ژان ژاک روسو
Jean-Paul Sartre	ژان پل سارتر
Jeddah	جده
Jefferson City	جفرسون‌سیتی
Jefferson Davis	جفرسون دیویس
Jehovah	یهوه
Jeremy Bentham	جرمی بنتهام
Jericho	اریحا
Jerusalem	اورشلیم
Jerusalem	رده:اورشلیم
Jesus	عیسی
Jet engine	موتور جت
Jew's harp	زنبورک
Jihad	جهاد
Jimi Hendrix	جیمی هندریکس
Jimmy Carter	جیمی کارتر
Joan of Arc	ژان دارک
Johann Sebastian Bach	یوهان سباستین باخ
Johann Wolfgang von Goethe	یوهان ولفگانگ گوته
Johannes Brahms	یوهانس برامس
Johannes Gutenberg	یوهانس گوتنبرگ
Johannes Kepler	یوهان کپلر
Johannesburg	ژوهانسبورگ
John Adams	جان آدامز
John Bardeen	جان باردین
John Calvin	ژان کالون
John Dalton	جان دالتون
John Lennon	جان لنون
John Locke	جان لاک
John Maynard Keynes	جان مینارد کینز
John Quincy Adams	جان کوئینسی آدامز
John Steinbeck	جان اشتاین‌بک
John Stuart Mill	استوارت‌میل
John Tyler	جان تایلر
John Wayne	جان وین
John the Baptist	یحیی
John von Neumann	جان فون نویمان
Jordan	اردن
Jordan	رده:اردن
Jorge Luis Borges	خورخه لوئیس بورخس
Joseph Conrad	جوزف کنراد
Joseph Goebbels	یوزف گوبلز
Joseph Haydn	ژوزف هایدن
Joseph Louis Gay-Lussac	ژوزف لویی گیلوساک
Joseph Priestley	جوزف پریستلی
Joseph Stalin	ژوزف استالین
Joule	ژول
Journalism	ژورنالیسم
Journalist	خبرنگار
Joystick	اهرمک
Judaism	یهودیت
Judas Iscariot	یهودا اسخریوطی
Judea	یهودیه
Judo	جودو
Jujutsu	جوجیتسو
Jules Verne	ژول ورن
Julian the Apostate	یولیانوس
Julius Caesar	ژولیوس سزار
July	ژوئیه
July 1	۱ ژوئیه
July 4	۴ ژوئیه
June	ژوئن
June 14	۱۴ ژوئن
June 21	۲۱ ژوئن
June 23	۲۳ ژوئن
June 24	۲۴ ژوئن
June 29	۲۹ ژوئن
June 3	۳ ژوئن
Juneau	جونو، آلاسکا
Jupiter	مشتری (سیاره)
Justinian I	یوستی‌نیانوس یکم
K	K
K2	کی ۲
KGB	کاگ‌ب
Kaaba	کعبه
Kabbalah	کابالا
Kabul	کابل
Kamchatka Peninsula	شبه‌جزیره کامچاتکا
Kampala	کامپالا
Kandahar	قندهار
Kangaroo	کانگورو
Kansas	کانزاس
Kansas City	کانزاس‌سیتی
Kara Sea	دریای کارا
Karachi	کراچی
Karate	کاراته
Karl Jaspers	کارل یاسپرس
Karl Marx	کارل مارکس
Karl Popper	کارل پوپر
Karma	کارما
Karnataka	کارناتاکا
Katharine Hepburn	کاترین هپبورن
Kathmandu	کاتماندو
Katowice	کاتوویتس
Kazakhstan	قزاقستان
Kazakhstan	رده:قزاقستان
Kazan	قازان
Kelvin	کلوین
Kentucky	کنتاکی
Kenya	کنیا
Kenya	رده:کنیا
Kernel (computer science)	هسته سیستم عامل
Ketone	کتون
Keyboard (computing)	صفحه‌کلید
Keyboard instrument	ساز کلیدی
Khan	خان
Khartoum	خارطوم
Khufu	خوفو
Kidney	کلیه
Kiev	کیف (شهر)
Kigali	کیگالی
Kilogram	کیلوگرم
Kinetic energy	انرژی جنبشی
King Lear	شاه لیر
Kingston	کینگستون
Kinshasa	کینشاسا
Kiribati	کیریباتی
Kirkuk	کرکوک
Kiss	بوسه
Kite	بادبادک
Kiwi	کیوی (پرنده)
Knesset	کنیست
Knife	کارد
Knight	شوالیه
Knowledge	دانش
Koala	کوآلا
Kolkata	کلکته
Konrad Adenauer	کنراد آدناور
Korean War	جنگ کره
Kosovo	کوزوو
Krakatoa	کراکاتوآ
Ku Klux Klan	کوکلوس‌کلان
Kuala Lumpur	کوالالامپور
Kublai Khan	قوبلای‌خان
Kuiper belt	کمربند کایپر
Kura River	کورا
Kurdistan	سرزمین کردستان
Kurdistan Workers Party	حزب کارگران کردستان
Kurt Vonnegut	کورت ونه‌گات
Kuwait	کویت
Kuwait City	کویت (شهر)
Kyoto	کیوتو
Kyrgyzstan	قرقیزستان
Kyrgyzstan	رده:قرقیزستان
L	L
LaTeX	لاتک
Labour Party (UK)	حزب کارگر (انگلیس)
Lacerta	چلپاسه
Lady Jane Grey	جین گری
Lagos	لاگوس
Lahore	لاهور
Lake	دریاچه
Lake Baikal	دریاچه بایکال
Lake Chad	دریاچه چاد
Lake Erie	دریاچه ایری
Lake Eyre	دریاچه ایر
Lake Geneva	دریاچه ژنو
Lake Huron	دریاچه هیوران
Lake Michigan	دریاچه میشیگان
Lake Ontario	دریاچه انتاریو
Lake Superior	دریاچه سوپریور
Lake Tanganyika	دریاچه تانگانیکا
Lamiaceae	نعناعیان
Landfill	محل دفن مواد زاید جامد
Language	زبان
Lansing	لنسینگ
Lanthanide	لانتانید
Laos	لائوس
Laos	رده:لائوس
Larch	سیاه‌کاج
Larva	لارو
Larynx	حنجره
Las Vegas	لاس‌وگاس
Laser	لیزر
Lathe	دستگاه تراش
Latin	زبان لاتین
Latin America	آمریکای لاتین
Latin alphabet	الفبای لاتین
Latitude	عرض جغرافیایی
Latvia	لاتویا
Latvia	رده:لاتویا
Lausanne	لوزان
Lava	گدازه
Law	حقوق (قانونی)
Law	رده:حقوق
Lawrencium	لارنسیم
Lead	سرب
Leaf	برگ
League of Nations	جامعه ملل
Leaning Tower of Pisa	برج کج پیزا
Leap year	سال کبیسه
Learning	یادگیری
Lebanon	لبنان
Lebanon	رده:لبنان
Leeds	لیدز (شهر)
Left-handed	چپ دستی
Leiden	لیدن
Leipzig	لایپزیگ
Lemon	لیمو ترش
Lemon balm	بادرنجبویه
Lens (optics)	عدسی
Lentil	عدس
Leo (constellation)	شیر (صورت فلکی)
Leon Trotsky	لئون تروتسکی
Leonardo da Vinci	لئوناردو داوینچی
Leonhard Euler	لئونارد اویلر
Leonid Brezhnev	لئونید برژنف
Leopard	پلنگ
Lepidoptera	پولک‌بالان
Leprosy	جذام
Lepton	لپتون
Lesotho	لسوتو
Lesotho	رده:لسوتو
Lever	اهرم
Leviathan	لویاتان
Lewis Carroll	لوئیس کارول
Lhasa	لهاسا
Liberalism	لیبرالیسم
Liberation Tigers of Tamil Eelam	ببرهای تامیل
Liberia	لیبریا
Liberia	رده:لیبریا
Library	کتابخانه
Library science	علم کتابداری و اطلاعات
Libretto	اپرانامه
Libreville	لیبرویل
Libya	لیبی
Libya	رده:لیبی
Lichen	گلسنگ
Liechtenstein	لیختنشتاین
Liechtenstein	رده:لیختنشتاین
Lieutenant	ستوان
Life	زندگی
Light	نور
Light-year	سال نوری
Lighter	فندک
Lighthouse	فانوس
Lightning	آذرخش
Liguria	لیگوریا
Liliaceae	سوسنیان
Lilith	لیلیث
Lille	لیل (شهر)
Lilongwe	لیلونگوه
Lima	لیما
Limit (mathematics)	حد
Lincoln	لینکلن (نبراسکا)
Line (mathematics)	خط (هندسه)
Linear algebra	جبر خطی
Linear algebra	رده:جبر خطی
Linguistics	زبان‌شناسی
Linux	لینوکس
Linz	لینتز
Lion	شیر (گربه‌سان)
Lipid	لیپید
Liquid	مایع
Lisbon	لیسبون
Lisp (programming language)	لیسپ
Literacy	باسوادی
Literature	ادبیات
Literature	رده:ادبیات
Literature	درگاه:ادبیات
Lithium	لیتیم
Lithography	لیتوگرافی
Lithuania	لیتوانی
Lithuania	رده:لیتوانیا
Litre	لیتر
Liverpool	لیورپول
Ljubljana	لیوبلیانا
Llama	لاما
Loanword	وام‌واژه
Local area network	شبکه محلی
Locomotive	لوکوموتیو
Logarithm	لگاریتم
Logic	منطق
Logic	رده:منطق
Logic gate	دروازه منطقی
Logo	نامواره
Lolita	لولیتا
Lombardy	لمباردی
London	لندن
London	رده:لندن
Long Island	لانگ آیلند
Lope de Vega	لوپه دوگا
Los Angeles	لس‌آنجلس
Loudspeaker	بلندگو
Louis Aragon	لویی آراگون
Louis Armstrong	لویی آرمسترانگ
Louis Braille	لوئيس بريل
Louis Pasteur	لویی پاستور
Louis the Pious	لویی پارسا
Louis the Stammerer	لویی کندزبان
Louisiana	لوئیزیانا
Louisville	لویی ویل
Louvre	موزه لوور
Love	عشق
Lower Saxony	نیدرزاکسن
Luanda	لوآندا
Luciano Pavarotti	لوچیانو پاواروتی
Ludwig Boltzmann	لودویگ بولتزمان
Ludwig Mies van der Rohe	لودویگ میس ون در روهه
Ludwig Wittgenstein	لودویگ ویتگنشتاین
Ludwig van Beethoven	لودویگ وان بتهوون
Luigi Galvani	لویجی گالوانی
Luigi Pirandello	لویجی پیراندلو
Luminescence	لومینسانس
Lupus (constellation)	گرگ (صورت فلکی)
Lusaka	لوساکا
Lute	لوت (ساز)
Luxembourg	لوکزامبورگ
Luxembourg	رده:لوکزامبورگ
Luxembourg (city)	لوکزامبورگ (شهر)
Luxor	اقصر
Lydia	لیدیه
Lynx (web browser)	لینکس
Lyon	لیون
Lysergic acid diethylamide	ال‌اس‌دی
Lysosome	لیزوزوم
M	M
M-theory	نظریه-م
MS-DOS	ام‌اس-داس
Macau	ماکائو
Macbeth	مکبث
Mach number	عدد ماخ
Machine code	زبان ماشین
Machine gun	مسلسل
Machine translation	ترجمه ماشینی
Machu Picchu	ماچو پیچو
Macintosh	مکینتاش
Macroeconomics	اقتصاد کلان
Madagascar	ماداگاسکار
Madagascar	رده:ماداگاسکار
Madison	مدیسون، ویسکانسین
Madonna (entertainer)	مدونا (خواننده)
Madrid	مادرید
Madrid (autonomous community)	مادرید (بخش خودمختار)
Mafia	مافیا
Magazine	مجله
Magic (paranormal)	جادو
Magic square	مربع جادویی
Maginot Line	خط دفاعی ماژینو
Magma	تفتال (زمین‌شناسی)
Magnesium	منیزیم
Magnet	آهنربا
Magnetic resonance imaging	ام‌آر‌آی
Magnifying glass	ذره‌بین
Magnoliopsida	رده:دولپه‌ای‌ها
Maharashtra	مهاراشترا
Mahatma Gandhi	ماهاتما گاندی
Mahayana	مهراه
Maine	ایالت مین
Maitreya	میتریا
Maize	ذرت
Malabo	مالابو
Malaria	مالاریا
Malawi	رده:مالاوی
Malay Peninsula	شبه جزیره مالایا
Malaysia	مالزی
Malaysia	رده:مالزی
Malcolm X	ملکم ایکس
Maldives	مالدیو
Maldives	رده:مالدیو
Mali	مالی
Mali	رده:مالی
Malta	مالت (کشور)
Malta	رده:مالت
Maltese language	زبان مالتی
Malvaceae	پنیرکیان
Mammal	پستانداران
Management	مدیریت
Managua	ماناگوآ
Manama	منامه
Manatee	گاو دریایی
Manchester	منچستر
Manchuria	منچوری
Mandala	ماندالا
Mandarin (linguistics)	ماندارین
Mandarin orange	نارنگی
Mandelbrot set	مجموعه مندلبرو
Manganese	منگنز
Manhattan	منهتن
Manhattan Project	پروژه منهتن
Manichaeism	آیین مانی
Manila	مانیل
Manitoba	مانیتوبا
Mannheim	مانهایم
Manuscript	دستنویس
Mao Zedong	مائو تسه‌تونگ
Maoism	مائوئیسم
Map	نقشه (زمین)
Maputo	ماپوتو
Marble	سنگ مرمر
Marc Chagall	مارک شاگال
Marcel Marceau	مارسل مارسو
Marcel Proust	مارسل پروست
March	مارس
March 17	۱۷ مارس
March 19	۱۹ مارس
March 2	۲ مارس
March 25	۲۵ مارس
Marco Polo	مارکو پولو
Marcus Aurelius	مارکوس اورلیوس
Marduk	مردوک
Margaret Mitchell	مارگارت میچل
Margaret Thatcher	مارگارت تاچر
Maria Callas	ماریا کالاس
Marie Antoinette	ماری آنتوانت
Marie Curie	ماری كوری
Marilyn Monroe	مرلین مونرو
Mario Vargas Llosa	ماریو بارگاس یوسا
Mark Antony	مارک آنتوان
Mark Twain	مارک تواین
Market	بازار
Marketing	بازاریابی
Markup language	زبان نشانه‌گذاری
Marlene Dietrich	مارلنه دیتریش
Marquis de Sade	مارکی دوساد
Marrakech	مراکش (شهر)
Marriage	ازدواج
Marseille	مارسی
Marshall Islands	جزایر مارشال
Marshall Plan	طرح مارشال
Marsupial	کیسه‌داران
Martin Buber	مارتین بوبر
Martin Heidegger	مارتین هایدگر
Martin Luther	مارتین لوتر
Martin Luther King	مارتین لوتر کینگ جونیور
Martin Scorsese	مارتین اسکورسیزی
Martin Van Buren	مارتین ون بورن
Marx Brothers	برادران مارکس
Marxism	مارکسیسم
Mary (mother of Jesus)	مريم
Mary Magdalene	مریم مجدلیه
Mary Shelley	مری شلی
Mary Wollstonecraft	مری ولستون‌کرافت
Maryland	مریلند
Maseru	ماسرو
Mashhad	مشهد
Mass number	عدد جرمی
Massachusetts	ماساچوست
Massachusetts Institute of Technology	انستیتوی تکنولوژی ماساچوست
Masturbation	استمناء
Mata Hari	ماتا هاری
Match	کبریت
Materialism	ماده‌گرایی
Mathematical logic	منطق ریاضی
Mathematical logic	رده:منطق ریاضی
Mathematical proof	برهان (ریاضی)
Mathematics	ریاضیات
Mathematics	رده:ریاضیات
Matrix (mathematics)	ماتریس (ریاضی)
Matter	ماده (فیزیک)
Maurice Ravel	موریس راول
Mauritania	موریتانی
Mauritania	رده:موریتانی
Mauritius	موریس (جزیره)
Mauritius	رده:موریس
Max Born	ماکس بورن
Max Bruch	ماکس بروخ
Max Planck	ماکس پلانک
Max Weber	ماکس وبر
Maxwell's equations	معادلات ماکسول
May	مه (ماه)
May 1	۱ مه
May 24	۲۴ مه
Mbabane	مبابانه
McCarthyism	مک‌کارتیسم
Measles	سرخک
Measure (mathematics)	نظریه اندازه
Mecca	مکه
Mechanical engineering	مهندسی مکانیک
Mechanics	رده:مکانیک
Medea	مدیا
Median	میانه (آمار)
Medication	دارو
Medici	خاندان مدیچی
Medicine	پزشکی
Medina	مدینه
Meditation	مراقبه
Mediterranean Sea	مدیترانه
Medusa	مدوزا
Megabyte	مگابایت
Meitnerium	میتنریوم
Mel Gibson	مل گیبسون
Melanesia	ملانزی
Melody	لحن (موسیقی)
Melting	ذوب
Melting point	دمای ذوب
Memphis	ممفیس
Memphis	ممفیس (مصر باستان)
Menachem Begin	مناخیم بگین
Mendelevium	مندلیفیوم
Meningitis	مننژیت
Mensa (constellation)	کوهمیز
Menstrual cycle	عادت ماهانه
Mercury (element)	جیوه
Mercury (planet)	تیر (سیاره)
Meridian (geography)	نصف‌النهار
Meritocracy	شایسته‌سالاری
Mermaid	پری دریایی
Merovingian	مروونژی‌ها
Meryl Streep	مریل استریپ
Meson	مزون
Mesopotamia	میان‌رودان
Messiah	ماشیح
Metabolism	دگرگشت
Metadata	داده‌نما
Metal	فلز
Metallic bond	پیوند فلزی
Metallurgy	متالورژی
Metaphysics	متافیزیک
Metastasis	متاستاز
Meteorite	شهاب‌سنگ
Meteoroid	شهاب‌وار
Meteorology	هواشناسی
Methamphetamine	مت‌آمفتامین
Methanol	متانول
Methodism	متدیست
Metre	متر
Metric space	فضای متری
Mexico	مکزیک
Mexico	رده:مکزیک
Mexico City	مکزیکو سیتی
Miami	میامی
Michael (archangel)	میکائیل
Michael Faraday	مایکل فارادی
Michelangelo	میکل‌آنژ
Michigan	میشیگان
Mickey Mouse	میکی‌ماوس
Microeconomics	اقتصاد خرد
Micronesia	میکرونزی
Microorganism	ریزاندامگان
Microprocessor	ریزپردازنده
Microscope	میکروسکوپ
Microscopium	میکروسکوپ (صورت فلکی)
Microwave	ریزموج
Microwave oven	تندپز
Middle Ages	قرون وسطی
Middle East	خاورمیانه
Middle East	رده:خاورمیانه
Migraine	میگرن
Miguel de Cervantes	میگوئل سروانتس
Mikhail Bakunin	میخائیل باکونین
Mikhail Gorbachev	میخائیل گورباچف
Milan	میلان
Miles Davis	مایلز دیویس
Military	رده:نظامی
Milk	شیر (لبنیات)
Milky Way	کهکشان راه شیری
Millard Fillmore	میلارد فیلمور
Millennium	هزاره
Million	میلیون
Milton Friedman	میلتون فریدمن
Milwaukee	میلواکی
Mineral	کانی (معدن)
Mineralogy	کانی‌شناسی
Minimalism	مینیمالیسم
Minneapolis	مینیاپولیس
Minnesota	مینسوتا
Minoan civilization	مینوسی‌ها
Minor scale	گام مینور
Minotaur	مینوتور
Minsk	مینسک
Miracle	معجزه
Mirror	آینه
Mishnah	میشنا
Mississippi River	رودخانه میسیسیپی
Missouri	میسوری
Mitochondrion	میتوکندری
Mnemosyne	نیمازینی
Mobile phone	تلفن همراه
Modem	مودم
Modernism	نوگرایی
Modulation	مدولاسیون
Mogadishu	موگادیشو
Mold	کپک
Moldova	مولداوی
Moldova	رده:مولداوی
Mole (unit)	مول (کمیت)
Molecule	مولکول
Mollusca	نرم‌تنان
Molybdenum	مولیبدن
Momentum	تکانه
Monaco	موناکو
Monaco	رده:موناکو
Monarch	شاه
Monarchy	شاه
Monastery	صومعه
Monday	دوشنبه
Money	پول
Mongolia	مغولستان
Mongolia	رده:مغولستان
Mongoose	خدنگ
Monism	یگانه‌انگاری
Monocotyledon	تک‌لپه‌ای‌ها
Monomer	تکپار
Monosaccharide	تک‌قندی
Monotheism	یکتاپرستی
Monotreme	تک‌سوراخیان
Monroe Doctrine	دکترین مونرو
Monrovia	مونروویا
Mont Blanc	مون بلان
Montana	مونتانا (ایالت)
Monte Carlo	مونت‌کارلو
Montenegro	مونته‌نگرو
Montenegro	رده:مونته‌نگرو
Montevideo	مونته‌ویدئو
Montgomery	مانتگمری
Month	ماه (زمان)
Montpelier	مونپلیه (ورمانت)
Montreal	مونترآل
Moon	ماه
Morocco	مراکش
Morocco	رده:مراکش
Morpheme	تکواژ
Morphology (linguistics)	صرف
Morse code	کد مورس
Mortar (weapon)	خمپاره انداز
Mosaic	معرق‌کاری
Moscow	مسکو
Moses	موسی
Moshe Dayan	موشه دایان
Mosque	مسجد
Mosquito	پشه
Mossad	موساد
Mosul	موصل
Mother Teresa	مادر ترزا
Mother's Day	روز مادر
Motto	شعار
Mount Ararat	کوه آرارات
Mount Athos	کوه آثوس
Mount Etna	اتنا
Mount Everest	کوه اورست
Mount Fuji	فوجی یاما
Mount Kilimanjaro	کلیمانجارو
Mount McKinley	مک کینلی
Mount Rushmore	یادبود ملی کوه راشمور
Mountain	کوه
Mountain range	رشته‌کوه
Mouse	موش
Mouse (computing)	موشی
Mozambique	موزامبیک
Mozambique	رده:موزامبیک
Muezzin	مؤذن
Muhammad	محمد
Muhammad Ali	محمدعلی کلی
Mulberry	توت
Mule	استر (حیوان)
Multiple sclerosis	اسکلروز چندگانه
Multiplication	ضرب (ریاضی)
Mumbai	بمبئی
Mummy	مومیایی
Munich	مونیخ
Muon	میون
Murmansk	مورمانسک
Murphy's law	قوانین مورفی
Musca	مگس جنوبی
Muscat	مسقط
Muscle	دستگاه ماهیچه‌ای
Museum	موزه
Music	موسیقی
Musical Instrument Digital Interface	رابط دیجیتالی سازهای موسیقی
Musical instrument	ساز
Musical scale	گام
Mutation	جهش
Myocardial infarction	سکته قلبی
Mythology	اسطوره‌شناسی
N	N
N'Djamena	انجامنا
NASDAQ	نزدک
NATO	ناتو
Nagasaki	ناگازاکی
Nagoya	ناگویا
Nail (anatomy)	ناخن
Nail (fastener)	میخ
Nairobi	نایروبی
Namibia	نامیبیا
Namibia	رده:نامیبیا
Nancy	نانسی
Nanjing	نانجینگ
Nanotechnology	فناوری نانو
Napalm	بمب‌ ناپالم
Naples	ناپل
Narcissus (mythology)	نارسیس
Nashville	نشویل
National Security Agency	آژانس امنیت ملی ایالات متحده آمریکا
National anthem	فهرست سرودهای ملی کشورها
National park	پارک ملی
Nationalism	ملی‌گرایی
Natural gas	گاز طبیعی
Natural language processing	پردازش زبان‌های طبیعی
Natural number	اعداد طبیعی
Natural science	علوم طبیعی
Nature	طبیعت
Naturism	برهنه‌گرایی
Navigation	ناوبری
Nazi Germany	آلمان نازی
Nazi Party	حزب ملی کارگران سوسیالیست آلمان
Neanderthal	نئاندرتال
Nebraska	نبراسکا
Nebuchadrezzar II	بخت‌النصر
Nebula	سحابی
Negev	صحرای نگب
Neil Armstrong	نیل آرمسترانگ
Nelson Mandela	نلسون ماندلا
Neodymium	نئودیمیم
Neon	نئون
Nepal	نپال
Nepal	رده:نپال
Neptune	نپتون
Neptunium	نپتونیوم
Nero	نرون
Nervous system	دستگاه عصبی
Nervous system	رده:دستگاه عصبی
Nestorianism	نسطوری
Netherlands	هلند
Netherlands	رده:هلند
Netherlands Antilles	آنتیل هلند
Network topology	همبندی (رایانه)
Neurology	عصب‌شناسی
Neurology	رده:عصب‌شناسی
Neuron	نورون
Neutrino	نوترینو
Neutron	نوترون
Nevada	نوادا
New Caledonia	کالدونیای جدید
New Delhi	دهلی نو
New England	ایالت‌های نیو انگلند آمریکا
New Hampshire	نیو همشایر
New Jersey	نیوجرسی
New Mexico	نیومکزیکو
New Orleans	نیواورلئان
New South Wales	نیو ساوت ولز
New Testament	عهد جدید
New York	نیویورک (ایالت)
New York	رده:نیویورک
New York City	نیویورک
New York Stock Exchange	بازار بورس نیویورک
New Zealand	نیوزیلند
Newark	نیوآرک
Niagara Falls	آبشار نیاگارا
Niamey	نیامی
Nicaragua	نیکاراگوآ
Nicaragua	رده:نیکاراگوآ
Nice	نیس
Nickel	نیکل
Nicolaus Copernicus	نیکلاس کوپرنیک
Nicosia	نیکوزیا
Nicotine	نیکوتین
Niels Bohr	نیلز بور
Niels Henrik Abel	نیلس هنریک آبل
Niger	نیجر
Niger	رده:نیجر
Niger River	رودخانه نیجر
Nigeria	نیجریه
Nigeria	رده:نیجریه
Nihilism	پوچ‌گرایی
Nikita Khrushchev	نیکیتا سرگیویچ خروشچف
Nikola Tesla	نیکولا تسلا
Nile	نیل
Nineveh	نینوا
Niobium	نیوبیوم
Nirvana	نیروانا
Nitrogen	نیتروژن
Noah	نوح
Noam Chomsky	نوآم چامسکی
