Dutch	English
Jacques Offenbach	Jacques Offenbach
Jade (mineraal)	Jade
Jaguar	Jaguar
Jaïnisme	Jainism
Jakarta	Jakarta
Jalalabad	Jalalabad
Jamaica	Jamaica
Categorie:Jamaica	Jamaica
Jakobus de Meerdere	James
James Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James Knox Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu en Kasjmir (staat)	Jammu and Kashmir
Johannes Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Jane Seymour (koningin van Engeland)	Jane Seymour
Janis Joplin	Janis Joplin
Janitsaren	Janissary
Januari	January
1 januari	January 1
19 januari	January 19
20 januari	January 20
6 januari	January 6
Janus (maan)	Janus (moon)
Janus (mythologie)	Janus (mythology)
Japan	Japan
Categorie:Japan	Japan
Jason (mythologie)	Jason
Geelzucht	Jaundice
Java (eiland)	Java
Java	Java (disambiguation)
Java (programmeertaal)	Java (programming language)
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Categorie:Jazz	Jazz
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de la Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Djedda	Jeddah
Jefferson City (Missouri)	Jefferson City
Jefferson Davis	Jefferson Davis
JHWH	Jehovah
Jehova's getuigen	Jehovah's Witnesses
Kwallen	Jellyfish
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jericho	Jericho
Hiëronymus van Stridon	Jerome
Jersey (eiland)	Jersey
Jeruzalem	Jerusalem
Categorie:Jeruzalem	Jerusalem
Christus (Jezus)	Jesus
Turbofan	Jet engine
Joden	Jew
Mondharp	Jew's harp
Jihad	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Jeanne d'Arc	Joan of Arc
Johan Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannesburg	Johannesburg
John Adams (president VS)	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
Johannes Calvijn	John Calvin
Johannes Chrysostomus	John Chrysostom
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wyclif	John Wycliffe
Johannes de Doper	John the Baptist
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Gewricht	Joint
Jonathan Swift	Jonathan Swift
Jordanië	Jordan
Categorie:Jordanië	Jordan
Jordaan (rivier)	Jordan River
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Louis Gay-Lussac	Joseph Louis Gay-Lussac
Joseph McCarthy	Joseph McCarthy
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Joseph Schumpeter	Joseph Schumpeter
Joseph Smith	Joseph Smith
Jozef Stalin	Joseph Stalin
Flavius Josephus	Josephus
Joule	Joule
Categorie:Journalistiek	Journalism
Journalistiek	Journalism
Journalist	Journalist
Jovianus	Jovian
Joystick	Joystick
Jodendom	Judaism
Categorie:Jodendom	Judaism
Judas Iskariot	Judas Iscariot
Judea	Judea
Judo	Judo
Judy Garland	Judy Garland
Jiujitsu	Jujutsu
Jules Verne	Jules Verne
Juliaanse kalender	Julian calendar
Julianus Apostata	Julian the Apostate
Julius Caesar	Julius Caesar
Juli	July
1 juli	July 1
4 juli	July 4
Juni	June
14 juni	June 14
21 juni	June 21
23 juni	June 23
24 juni	June 24
29 juni	June 29
3 juni	June 3
Juneau (Alaska)	Juneau
Juniperus	Juniper
Juno (mythologie)	Juno (mythology)
Jupiter (planeet)	Jupiter
Categorie:Jupiter	Jupiter
Jupiter	Jupiter (disambiguation)
Jupiter (mythologie)	Jupiter (mythology)
Jura (periode)	Jurassic
Justinianus I	Justinian I
Jutland	Jutland
K (letter)	K
K2	K2
KGB	KGB
Ka'aba	Kaaba
Kabbala	Kabbalah
Kabul (stad)	Kabul
Kalahari	Kalahari Desert
Kamtsjatka (schiereiland)	Kamchatka Peninsula
Kamikaze	Kamikaze
Kampala	Kampala
Kandahar (stad)	Kandahar
Kangoeroes	Kangaroo
Kansas (staat)	Kansas
Categorie:Kansas	Kansas
Kansas City (Missouri)	Kansas City
Kappa (letter)	Kappa
Karazee	Kara Sea
Karachi	Karachi
Karakoram	Karakoram
Karaoke	Karaoke
Karate	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Kathmandu
Katowice	Katowice
Kaunas	Kaunas
Kajak	Kayak
Kazachstan	Kazakhstan
Categorie:Kazachstan	Kazakhstan
Kazan	Kazan
Kazimir Malevitsj	Kazimir Malevich
Kelvin (eenheid)	Kelvin
Kent (graafschap)	Kent
Kentucky	Kentucky
Categorie:Kentucky	Kentucky
Kenia	Kenya
Categorie:Kenia	Kenya
Kernel	Kernel (computer science)
Kerosine	Kerosene
Tomatenketchup	Ketchup
Keton	Ketone
Toetsenbord (computer)	Keyboard (computing)
Toetsinstrument	Keyboard instrument
Chabarovsk	Khabarovsk
Kan (titel)	Khan
Charkov	Kharkiv
Khartoem	Khartoum
Rode Khmer	Khmer Rouge
Chufu	Khufu
Kibboets	Kibbutz
Nier (biologie)	Kidney
Kiev	Kiev
Kigali (stad)	Kigali
Kilobyte	Kilobyte
Kilogram	Kilogram
Kilometer	Kilometre
Kilometer per uur	Kilometres per hour
Kimono	Kimono
Kleuterschool	Kindergarten
Kinematica	Kinematics
Kinetische energie	Kinetic energy
Koning (schaken)	King (chess)
Koning Arthur	King Arthur
King Lear	King Lear
Rijk (biologie)	Kingdom (biology)
Kingston (Jamaica)	Kingston
Kingstown (Saint Vincent)	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Categorie:Kiribati	Kiribati
Kirkoek	Kirkuk
Zoen	Kiss
Vliegeren	Kite
Kiwi's	Kiwi
Knie	Knee
Knesset	Knesset
Mes (voorwerp)	Knife
Ridder	Knight
Paard (schaken)	Knight (chess)
Knossos	Knossos
Knoop (zeevaart)	Knot (speed)
Kennis	Knowledge
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobe	Kobe
Kola (schiereiland)	Kola Peninsula
Calcutta	Kolkata
Komodovaraan	Komodo dragon
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Korea
Categorie:Korea	Korea
Koreaanse Oorlog	Korean War
Kosovo	Kosovo
Categorie:Kosovo	Kosovo
Krakatau (vulkaan)	Krakatoa
Kremlin	Kremlin
Krishna	Krishna
Krypton (element)	Krypton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur (stad)	Kuala Lumpur
Koeblai Khan	Kublai Khan
Kuipergordel	Kuiper belt
Kumquat	Kumquat
Kungfu	Kung fu (term)
Kunlungebergte	Kunlun Mountains
Kwomintang	Kuomintang
Koera	Kura River
Koerdistan	Kurdistan
Categorie:Koerdistan	Kurdistan
Koerdische Arbeiderspartij	Kurdistan Workers Party
Koersk (stad)	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Koeweit	Kuwait
Categorie:Koeweit	Kuwait
Koeweit (stad)	Kuwait City
KwaZoeloe-Natal	KwaZulu-Natal
Kioto (stad)	Kyoto
Kirgizië	Kyrgyzstan
Categorie:Kirgizië	Kyrgyzstan
L (letter)	L
L'Aquila (stad)	L'Aquila
LAMP	LAMP (software bundle)
La Paz (stad in Bolivia)	La Paz
La Plata (Buenos Aires)	La Plata
La Spezia (stad)	La Spezia
LaTeX	LaTeX
Laboratorium	Laboratory
Labour Party	Labour Party (UK)
Labrador retriever	Labrador Retriever
Hagedis (sterrenbeeld)	Lacerta
Melkzuur	Lactic acid
Lactose	Lactose
Jane Grey	Lady Jane Grey
Haasachtigen	Lagomorpha
Lagos (Nigeria)	Lagos
Lahore	Lahore
Laissez-faire	Laissez-faire
Meer (water)	Lake
Baikalmeer	Lake Baikal
Balatonmeer	Lake Balaton
Tsjaadmeer	Lake Chad
Bodenmeer	Lake Constance
Eriemeer	Lake Erie
Eyremeer	Lake Eyre
Meer van Genève	Lake Geneva
Huronmeer	Lake Huron
Ilmenmeer	Lake Ilmen
Ladogameer	Lake Ladoga
Malawimeer	Lake Malawi
Michiganmeer	Lake Michigan
Onegameer	Lake Onega
Ontariomeer	Lake Ontario
Bovenmeer	Lake Superior
Tanganyikameer	Lake Tanganyika
Victoriameer	Lake Victoria
Lakshmi	Lakshmi
Lambda	Lambda
Lipbloemenfamilie	Lamiaceae
Lammergier	Lammergeier
Prikken	Lamprey
Lancashire (graafschap)	Lancashire
Schedellozen	Lancelet
Vuilnishoop	Landfill
Taal	Language
Languedoc-Roussillon	Languedoc-Roussillon
Lansing (Michigan)	Lansing
Lanthanide	Lanthanide
Lanthanium	Lanthanum
Laos	Laos
Categorie:Laos	Laos
Laptevzee	Laptev Sea
Laptop	Laptop
Lariks	Larch
Larve	Larva
Strottenhoofd	Larynx
Las Vegas (stad)	Las Vegas
Lascaux	Lascaux
Laser (licht)	Laser
Draaibank	Lathe
Latijn	Latin
Latijns-Amerika	Latin America
Latijns alfabet	Latin alphabet
Breedtegraad	Latitude
Letland	Latvia
Categorie:Letland	Latvia
Lachen (humor)	Laughter
Laurazië	Laurasia
Lausanne (stad)	Lausanne
Lava	Lava
Recht	Law
Categorie:Recht	Law
Categorie:Politie	Law enforcement
Lawrencium	Lawrencium
Advocaat (beroep)	Lawyer
Lazio	Lazio
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Lood (element)	Lead
Blad	Leaf
Volkenbond	League of Nations
Toren van Pisa	Leaning Tower of Pisa
Schrikkeljaar	Leap year
Leren	Learning
Libanon	Lebanon
Categorie:Libanon	Lebanon
Leda (mythologie)	Leda (mythology)
Lee Harvey Oswald	Lee Harvey Oswald
Leeds	Leeds
Linkshandigheid	Left-handed
Legende	Legend
Wetgevende macht	Legislature
LEGO	Lego
Leicester (Engeland)	Leicester
Leiden	Leiden
Leipzig	Leipzig
Citroen (vrucht)	Lemon
Citroenmelisse	Lemon balm
Lena (rivier)	Lena River
Lengte (meetkunde)	Length
Lens (optiek)	Lens (optics)
Vastentijd	Lent
Linze	Lentil
Leeuw (sterrenbeeld)	Leo (constellation)
Leo I van Byzantium	Leo I (emperor)
Leon Trotski	Leon Trotsky
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brezjnev	Leonid Brezhnev
Luipaard	Leopard
Vlinders	Lepidoptera
Lepra	Leprosy
Lepton	Lepton
Haas (sterrenbeeld)	Lepus (constellation)
Lesbienne	Lesbian
Lesotho	Lesotho
Categorie:Lesotho	Lesotho
Kleine Antillen	Lesser Antilles
Leto	Leto
Letter	Letter (alphabet)
Leukemie	Leukemia
Levant	Levant
Hefboom	Lever
Leviatan	Leviathan
Leviticus	Leviticus
Lewis Carroll	Lewis Carroll
Lexicologie	Lexicology
Lhasa	Lhasa
Lhotse	Lhotse
Liberalisme	Liberalism
Categorie:Liberalisme	Liberalism
Tamiltijgers	Liberation Tigers of Tamil Eelam
Liberia	Liberia
Categorie:Liberia	Liberia
Weegschaal (sterrenbeeld)	Libra (constellation)
Bibliotheek (algemeen)	Library
Bibliotheekwetenschap	Library science
Libretto	Libretto
Libreville	Libreville
Libië	Libya
Categorie:Libië	Libya
Korstmos	Lichen
Leugen	Lie
Liechtenstein	Liechtenstein
Categorie:Liechtenstein	Liechtenstein
Luitenant	Lieutenant
Leven	Life
Licht	Light
Led	Light-emitting diode
Lichtjaar	Light-year
Aansteker	Lighter
Vuurtoren	Lighthouse
Bliksem	Lightning
Ligurië	Liguria
Ligurische Zee	Ligurian Sea
Leliefamilie	Liliaceae
Lilith	Lilith
Rijsel	Lille
Lilongwe (stad)	Lilongwe
Lima (stad)	Lima
Limerick (stad)	Limerick
Kalksteen	Limestone
Limiet	Limit (mathematics)
Limnologie	Limnology
Limousin	Limousin (region)
Lincoln (Nebraska)	Lincoln
Lincoln	Lincoln
Lincolnshire	Lincolnshire
Lijn (meetkunde)	Line (mathematics)
Lineaire algebra	Linear algebra
Categorie:Lineaire algebra	Linear algebra
Lineaire vergelijking	Linear equation
Lingua franca	Lingua franca
Taalkunde	Linguistics
Categorie:Taalkunde	Linguistics
Linus Pauling	Linus Pauling
Linux	Linux
Categorie:Linux	Linux
Linz	Linz
Leeuw (dier)	Lion
Lipide	Lipid
Likeur	Liqueur
Vloeistof	Liquid
Liquid Crystal Display	Liquid crystal display
Zoethout	Liquorice
Lissabon	Lisbon
Lise Meitner	Lise Meitner
Lisp (programmeertaal)	Lisp (programming language)
Alfabetiseringsgraad	Literacy
Literatuur	Literature
Categorie:Literatuur	Literature
Portaal:Literatuur	Literature
Lithium	Lithium
Lithografie	Lithography
Lithosfeer	Lithosphere
Litouwen	Lithuania
Categorie:Litouwen	Lithuania
Liter	Litre
Steenuil	Little Owl
Liverpool	Liverpool
Lijfland	Livonia
Titus Livius	Livy
Hagedissen	Lizard
Ljubljana	Ljubljana
Lama (dier)	Llama
Leenwoord	Loanword
Local Area Network	Local area network
Loch Ness (meer)	Loch Ness
Monster van Loch Ness	Loch Ness Monster
Locomotief (spoorwegmaterieel)	Locomotive
Logaritme	Logarithm
Logica	Logic
Categorie:Logica	Logic
Logische poort	Logic gate
Logistiek	Logistics
Beeldmerk	Logo
Loire (departement)	Loire
Loire (rivier)	Loire River
Loki	Loki
Lolita (roman)	Lolita
Lombardije	Lombardy
Londen	London
Categorie:Londen	London
Long Beach (Californië)	Long Beach
Long Island (New York)	Long Island
Verspringen	Long jump
Ransuil	Long-eared Owl
Onzevader	Lord's Prayer
Lotharingen	Lorraine (region)
Los Angeles	Los Angeles
Lot (departement)	Lot (department)
Luidspreker	Loudspeaker
Louis Aragon	Louis Aragon
Louis Armstrong	Louis Armstrong
Louis Braille	Louis Braille
Louis Pasteur	Louis Pasteur
Lodewijk de Vrome	Louis the Pious
Lodewijk de Stamelaar	Louis the Stammerer
Louisiana (staat)	Louisiana
Categorie:Louisiana	Louisiana
Louisville (Kentucky)	Louisville
Louvre	Louvre
Liefde	Love
Nederduits	Low German
Nedersaksen	Lower Saxony
Luanda (stad)	Luanda
Lublin	Lublin
Luzern (stad)	Lucerne
Luciano Pavarotti	Luciano Pavarotti
Lucifer (Satan)	Lucifer
Titus Lucretius Carus	Lucretius
Lucrezia Borgia	Lucrezia Borgia
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luftwaffe	Luftwaffe
Luigi Galvani	Luigi Galvani
Luigi Pirandello	Luigi Pirandello
Lumen (natuurkunde)	Lumen (unit)
Luminescentie	Luminescence
Maansverduistering	Lunar eclipse
Lund (stad in Skåne)	Lund
Long (orgaan)	Lung
Longkanker	Lung cancer
Longvissen	Lungfish
Wolf (sterrenbeeld)	Lupus (constellation)
Lusaka (stad)	Lusaka
Hispania Lusitania	Lusitania
Luit	Lute
Lutetium	Lutetium
Lutheranisme	Lutheranism
Lux (natuurkunde)	Lux
Luxemburg (land)	Luxembourg
Categorie:Groothertogdom Luxemburg	Luxembourg
Luxemburg (stad)	Luxembourg (city)
Luxor	Luxor
Luzon (eilandengroep)	Luzon
Lychee	Lychee
Lydië	Lydia
Lymfevatenstelsel	Lymphatic system
Lynx (sterrenbeeld)	Lynx (constellation)
Lynx (webbrowser)	Lynx (web browser)
Lyon	Lyon
Lier (sterrenbeeld)	Lyra
Lyserginezuurdiëthylamide	Lysergic acid diethylamide
Lysine	Lysine
Lysosoom	Lysosome
M (letter)	M
M-theorie	M-theory
MESSENGER	MESSENGER
Multipurpose Internet Mail Extensions	MIME
MS-DOS	MS-DOS
Macau	Macau
Macbeth (tragedie)	Macbeth
Macedonië (oudheid)	Macedon
Macedonië	Macedonia
Macedonië (Griekenland)	Macedonia (Greece)
Machgetal	Mach number
Machine	Machine
Machinetaal	Machine code
Machinegeweer	Machine gun
Computervertaling	Machine translation
Machu Picchu	Machu Picchu
Macintosh	Macintosh
Macro-economie	Macroeconomics
Categorie:Macro-economie	Macroeconomics
Madagaskar	Madagascar
Categorie:Madagaskar	Madagascar
Madeira (eiland)	Madeira
Madison (Wisconsin)	Madison
Madonna (zangeres)	Madonna (entertainer)
Madrid (stad)	Madrid
Madrid (regio)	Madrid (autonomous community)
Maffia	Mafia
Tijdschrift	Magazine
Magenta (kleur)	Magenta
Maghreb	Maghreb
Magie	Magic (paranormal)
Magisch vierkant	Magic square
Maginotlinie	Maginot Line
Magma (gesteente)	Magma
Magna Carta	Magna Carta
Magnesium	Magnesium
Permanente magneet	Magnet
Magnetisch veld	Magnetic field
MRI-scanner	Magnetic resonance imaging
Magnetisme	Magnetism
Categorie:Magnetisme	Magnetism
Magnetiet	Magnetite
Vergrootglas	Magnifying glass
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Mahayana-boeddhisme	Mahayana
Post (brief)	Mail
Maimonides	Maimonides
Main	Main
Sjabloon:Zieook	Main
Maine	Maine
Categorie:Maine	Maine
Mainframe	Mainframe computer
Maitreya	Maitreya
Maïs	Maize
Majoor	Major
Majeur	Major scale
Majorca	Majorca
Makalu	Makalu
Malabo	Malabo
Malachiet	Malachite
Malacostraca	Malacostraca
Malaria	Malaria
Categorie:Malawi	Malawi
Malakka (schiereiland)	Malay Peninsula
Indische tapir	Malayan Tapir
Maleisië	Malaysia
Categorie:Maleisië	Malaysia
Malcolm X	Malcolm X
Maldiven	Maldives
Categorie:Maldiven	Maldives
Mali	Mali
Categorie:Mali	Mali
Wilde eend	Mallard
Malta (land)	Malta
Categorie:Malta	Malta
Maltees	Maltese language
Maltose	Maltose
Kaasjeskruidfamilie	Malvaceae
Zoogdieren	Mammal
Mammoeten	Mammoth
Management	Management
Managua (stad)	Managua
Manamah	Manama
Lamantijnen	Manatee
Manchester	Manchester
Mantsjoerije	Manchuria
Mandala	Mandala
Mandarijn (taal)	Mandarin (linguistics)
Mandarijn (vrucht)	Mandarin orange
Mandelbrotverzameling	Mandelbrot set
Mangaan	Manganese
Mangifera	Mango
Mangrove	Mangrove
Manhattan (New York)	Manhattan
Manhattanproject (operatie)	Manhattan Project
Manicheïsme	Manichaeism
Manilla	Manila
Manipur	Manipur
Manitoba	Manitoba
Maniërisme	Mannerism
Mannheim	Mannheim
Aardmantel	Mantle (geology)
Mantra	Mantra
Mantua (stad)	Mantua
Manuel de Falla	Manuel de Falla
Handschrift (document)	Manuscript
Mao Zedong	Mao Zedong
Maoïsme	Maoism
Kaart (cartografie)	Map
Esdoorn	Maple
Maputo (stad)	Maputo
Marathon (sport)	Marathon
Marmer	Marble
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
Maart	March
17 maart	March 17
19 maart	March 19
2 maart	March 2
25 maart	March 25
Marche (Italië)	Marche
Marco Polo	Marco Polo
Marcus Aurelius	Marcus Aurelius
Marcus Junius Brutus	Marcus Junius Brutus
Marcus Vipsanius Agrippa	Marcus Vipsanius Agrippa
Marduk (god)	Marduk
Margaret Mead	Margaret Mead
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Marianen	Mariana Islands
Marie-Antoinette van Oostenrijk	Marie Antoinette
Marie Curie	Marie Curie
Mariehamn	Mariehamn
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Marcus Antonius	Mark Antony
Mark Twain	Mark Twain
Markt (economie)	Market
Marketing	Marketing
Categorie:Marketing en verkoop	Marketing
Opmaaktaal	Markup language
Marlene Dietrich	Marlene Dietrich
Markies de Sade	Marquis de Sade
Marrakesh	Marrakech
Huwelijk	Marriage
Categorie:Mars	Mars
Mars	Mars (disambiguation)
Mars (mythologie)	Mars (mythology)
Marseille	Marseille
Marshalleilanden	Marshall Islands
Categorie:Marshalleilanden	Marshall Islands
Marshallplan	Marshall Plan
Buideldieren	Marsupial
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Maarten Luther	Martin Luther
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navrátilová	Martina Navratilova
Martinique	Martinique
Martelaar	Martyr
The Marx Brothers	Marx Brothers
Marxisme	Marxism
Categorie:Marxisme	Marxism
Maria (moeder van Jezus)	Mary (mother of Jesus)
Maria Magdalena	Mary Magdalene
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Categorie:Maryland	Maryland
Maseru (stad)	Maseru
Mashhad	Mashhad
Massa (natuurkunde)	Mass
Mis	Mass (liturgy)
Massagetal	Mass number
Massachusetts	Massachusetts
Categorie:Massachusetts	Massachusetts
Massachusetts Institute of Technology	Massachusetts Institute of Technology
Masturbatie	Masturbation
Mata Hari	Mata Hari
Lucifer (vuur)	Match
Materialisme (filosofie)	Materialism
Wiskundige logica	Mathematical logic
Wiskundig bewijs	Mathematical proof
Wiskunde	Mathematics
Categorie:Wiskunde	Mathematics
Portaal:Wiskunde	Mathematics
Matrix (wiskunde)	Matrix (mathematics)
Materie	Matter
Matterhorn	Matterhorn
Mauna Kea	Mauna Kea
Mauna Loa	Mauna Loa
Witte Donderdag	Maundy Thursday
Maurice Ravel	Maurice Ravel
Mauritanië	Mauritania
Categorie:Mauritanië	Mauritania
Mauritius (land)	Mauritius
Categorie:Mauritius	Mauritius
Max Born	Max Born
Max Bruch	Max Bruch
Max Ernst	Max Ernst
Max Planck	Max Planck
Max Weber (socioloog)	Max Weber
Maximianus	Maximian
Wetten van Maxwell	Maxwell's equations
Mei	May
1 mei	May 1
24 mei	May 24
Mayenne (departement)	Mayenne
Haften	Mayfly
Mayonaise	Mayonnaise
Burgemeester	Mayor
Mbabane	Mbabane
McCarthyisme	McCarthyism
Mede (drank)	Mead
Mazelen	Measles
Maat (wiskunde)	Measure (mathematics)
Categorie:Meettechniek	Measurement
Meten	Measurement
Vlees	Meat
Mekka	Mecca
Werktuigbouwkunde	Mechanical engineering
Categorie:Werktuigbouwkunde	Mechanical engineering
Categorie:Mechanica	Mechanics
Mechanica	Mechanics
Medea (mythologie)	Medea
Mediaan (statistiek)	Median
Geneesmiddel	Medication
Medici	Medici
Geneeskunde	Medicine
Categorie:Geneeskunde	Medicine
Medina (Arabië)	Medina
Meditatie	Meditation
Categorie:Middellandse Zee	Mediterranean
Middellandse Zee	Mediterranean Sea
Medusa (mythologie)	Medusa
Stokstaartje	Meerkat
Megabyte	Megabyte
Meiose	Meiosis
Meester Eckhart	Meister Eckhart
Meitnerium	Meitnerium
Mekong	Mekong
Mel Gibson	Mel Gibson
Melanesië	Melanesia
Melodie	Melody
Melpomene	Melpomene
Smelten (faseovergang)	Melting
Smeltpunt	Melting point
Meme	Meme
Geheugen (mens)	Memory
Memphis (Tennessee)	Memphis
Memphis (Egypte)	Memphis
Menachem Begin	Menachem Begin
Mendelevium	Mendelevium
Menelaos	Menelaus
Hersenvliesontsteking	Meningitis
Tafelberg (sterrenbeeld)	Mensa (constellation)
Menstruatiecyclus	Menstrual cycle
Menstruatie	Menstruation
Psychische aandoening	Mental disorder
Munt (plant)	Mentha
Mercantilisme	Mercantilism
Huursoldaat	Mercenary
Mercurius	Mercury
Kwik	Mercury (element)
Mercurius (god)	Mercury (mythology)
Mercurius (planeet)	Mercury (planet)
Meridiaan (geografie)	Meridian (geography)
Meritocratie	Meritocracy
Zeemeermin	Mermaid
Merovingen	Merovingian
Meryl Streep	Meryl Streep
Mescaline	Mescaline
Mesolithicum	Mesolithic
Meson	Meson
Mesopotamië	Mesopotamia
Categorie:Mesopotamië	Mesopotamia
Mesosfeer (atmosfeer)	Mesosphere
Mesozoïcum	Mesozoic
Messenger RNA	Messenger RNA
Messias	Messiah
Messina (stad)	Messina
Stofwisseling	Metabolism
Metadata	Metadata
Metaal	Metal
Metaalbinding	Metallic bond
Metalloïde	Metalloid
Metallurgie	Metallurgy
Metamorf gesteente	Metamorphic rock
Metafoor	Metaphor
Metafysica	Metaphysics
Categorie:Metafysica	Metaphysics
Uitzaaiing	Metastasis
Meteorenzwerm	Meteor shower
Meteoriet	Meteorite
Meteoroïde	Meteoroid
Categorie:Meteorologie	Meteorology
Meteorologie	Meteorology
Methadon	Methadone
Methamfetamine	Methamphetamine
Methanol	Methanol
Methionine	Methionine
Methodisten	Methodism
Ecstasy	Methylenedioxymethamphetamine
Metis (maan)	Metis (moon)
Metonymie	Metonymy
Meter	Metre
Metrische ruimte	Metric space
Meuse	Meuse
Maas	Meuse River
Mexico (land)	Mexico
Categorie:Mexico	Mexico
Mexico-stad	Mexico City
Miami	Miami
Mica	Mica
Michaël (aartsengel)	Michael (archangel)
Michael Faraday	Michael Faraday
Michel Ney	Michel Ney
Michelangelo Buonarroti	Michelangelo
Michigan	Michigan
Categorie:Michigan	Michigan
Mick Jagger	Mick Jagger
Mickey Mouse	Mickey Mouse
Microbiologie	Microbiology
Categorie:Microbiologie	Microbiology
Micro-economie	Microeconomics
Categorie:Micro-economie	Microeconomics
Micronesië	Micronesia
Micro-organisme	Microorganism
Microfoon	Microphone
Microscoop	Microscope
Microscoop (sterrenbeeld)	Microscopium
Microgolf	Microwave
Magnetron (oven)	Microwave oven
Middeleeuwen	Middle Ages
Categorie:Middeleeuwen	Middle Ages
Midden-Oosten	Middle East
Categorie:Midden-Oosten	Middle East
Middernachtzon	Midnight sun
Migraine	Migraine
Miguel de Cervantes	Miguel de Cervantes
Mike Tyson	Mike Tyson
Michail Bakoenin	Mikhail Bakunin
Michail Glinka	Mikhail Glinka
Michail Gorbatsjov	Mikhail Gorbachev
Milaan (stad)	Milan
Mijl	Mile
Miles Davis	Miles Davis
Categorie:Militaria	Military
Militaire rang	Military rank
Melk (drank)	Milk
Melkweg (sterrenstelsel)	Milky Way
Millard Fillmore	Millard Fillmore
Millennium	Millennium
Millimeter	Millimetre
Miljoen	Million
Miljoenpoten	Millipede
Milton Friedman	Milton Friedman
Milwaukee	Milwaukee
Minaret	Minaret
Mindanao	Mindanao
Mineraal	Mineral
Mineraalwater	Mineral water
Mineralogie	Mineralogy
Categorie:Mineralogie	Mineralogy
Minerva (mythologie)	Minerva
Mingdynastie	Ming Dynasty
Minimal Art	Minimalism
Mijnbouw	Mining
Minister	Minister (government)
