English	Hungarian
Fauvism	Fauvizmus
Feather	Toll
February	Február
February 12	Február 12
February 14	Február 14
February 2	Február 2
February 22	Február 22
February 29	Február 29
Feces	Ürülék
Federal Bureau of Investigation	Federal Bureau of Investigation
Federal Reserve System	Federal Reserve System
Federated States of Micronesia	Mikronéziai Szövetségi Államok
Federated States of Micronesia	Kategória:Mikronéziai Szövetségi Államok
Federation	Föderáció
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora Core
Feldspar	Földpátok
Felidae	Macskafélék
Felix Mendelssohn	Felix Mendelssohn-Bartholdy
Feminism	Feminizmus
Fencing	Vívás
Feng shui	Fengsuj
Fennel	Édeskömény
Fenugreek	Görögszéna
Ferdinand II	II. Ferdinánd
Ferdinand Magellan	Ferdinand Magellan
Fermentation (biochemistry)	Erjedés
Fermion	Fermion
Fermium	Fermium
Fern	Harasztok
Ferrara	Ferrara
Ferry	Komp
Feudalism	Feudalizmus
Fever	Láz
Fiat	Fiat
Fibonacci number	Fibonacci-számok
Fictional character	Kitalált szereplő
Fidel Castro	Fidel Castro
Field (mathematics)	Test (algebra)
Field hockey	Gyeplabda
Figure skating	Műkorcsolya és jégtánc
Fiji	Fidzsi-szigetek
File Transfer Protocol	File Transfer Protocol
File system	Fájlrendszer
Film	Kategória:Filmművészet
Film	Film
Film	Portál:Filmművészet
Film director	Filmrendező
Fin Whale	Közönséges barázdásbálna
Finance	Kategória:Pénzügy
Finance	Pénzügy
Finger	Ujj
Finland	Finnország
Finland	Kategória:Finnország
Fire	Tűz
Firearm	Tűzfegyver
Firewall (networking)	Tűzfal (számítástechnika)
Firmware	Firmware
First Council of Constantinople	I. konstantinápolyi zsinat
First Council of Nicaea	Első nikaiai zsinat
First Epistle to the Corinthians	Pál első levele a korinthusiakhoz
First language	Anyanyelv
Fish	Hal
Fish	Kategória:Halak
Fjord	Fjord
Flag	Zászló
Flamenco	Flamenco
Flamingo	Flamingófélék
Flanders	Flandria
Flash memory	Flash memória
Flea	Bolhák
Flip-flop (electronics)	Flip-flop (elektronika)
Flood	Árvíz
Floppy disk	Hajlékonylemez
Florence	Firenze
Florence Nightingale	Florence Nightingale
Florida	Florida
Florida	Kategória:Florida
Flour	Liszt
Flower	Virág
Flowering plant	Zárvatermők
Fluid	Közeg
Fluorite	Fluorit
Fog	Köd
Folk music	Népzene
Foot (unit of length)	Láb (mértékegység)
Football (soccer)	Labdarúgás
Football (soccer)	Kategória:Labdarúgás
Football (soccer) clubs	Kategória:Labdarúgócsapatok
Football (soccer) managers	Kategória:Labdarúgóedzők
Football (soccer) players	Kategória:Labdarúgók
Football (soccer) venues	Kategória:Labdarúgó-stadionok
Force	Erő
Forest	Erdő
Form of government	Államforma
Formaldehyde	Formaldehid
Formic acid	Hangyasav
Fornax	Kemence csillagkép
Fortification	Erődrendszer
Fortran	FORTRAN programozási nyelv
Fossil fuel	Fosszilis tüzelőanyag
Foucault pendulum	Foucault-inga
Fourier series	Fourier-sor
Fox	Rókák
Fractal	Fraktál
France	Franciaország
France	Kategória:Franciaország
Francis Bacon	Francis Bacon
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis II	I. Ferenc
Francis Poulenc	Francis Poulenc
Francis of Assisi	Assisi Szent Ferenc
Franciscan	Ferences rend
Francisco Franco	Francisco Franco
Francisco Goya	Francisco José de Goya y Lucientes
Francisco Pizarro	Francisco Pizarro
Francium	Francium
Franco-Prussian War	Porosz–francia háború
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfurt	Frankfurt am Main
Frankfurt	Kategória:Frankfurt am Main
Frankfurt (Oder)	Frankfurt (Oder)
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Liszt Ferenc
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederick I	I. Frigyes német-római császár
Frederick II	II. Frigyes német-római császár
Frederick Soddy	Frederick Soddy
Free will	Szabad akarat
Freedom of speech	Szólásszabadság
Freemasonry	Szabadkőművesség
Freeware	Freeware
French Polynesia	Francia Polinézia
French Revolution	Francia forradalom
French franc	Francia frank
French people	Kategória:Franciák
Frequency	Frekvencia
Fresco	Freskó
Fresno	Fresno
Friction	Súrlódás
Friday	Péntek
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friesland	Frízföld
Frigate	Fregatt
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Frog	Békák
Fructose	Fruktóz
Fruit	Gyümölcs
Fucking	Fucking
Fugue	Fúga
Funafuti	Funafuti
Function (mathematics)	Függvény (matematika)
Fundamental	Kategória:Kategóriák
Fundamental interaction	Alapvető kölcsönhatások
Fundamentalism	Fundamentalizmus
Fungi	Kategória:Gombák
Fungus	Gombák
Funicular	Siklóvasút
Furniture	Kategória:Bútorok
Future	Jövő
Futurism (art)	Futurizmus
Fuzzy logic	Elmosódott halmazok logikája
Fyodor Dostoevsky	Fjodor Mihajlovics Dosztojevszkij
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Gabon	Kategória:Gabon
Gaborone	Gaborone
Gabriel	Gábor arkangyal
Gadolinium	Gadolínium
Gaetano Donizetti	Gaetano Donizetti
Gaia (mythology)	Gaia
Galatia	Galatia
Galaxy	Galaxis
Galen	Galénosz
Galena	Galenit
Galicia (Central Europe)	Galícia
Galicia (Spain)	Galicia
Galileo (spacecraft)	Galileo
Galileo Galilei	Galileo Galilei
Gallbladder	Epehólyag
Galley	Gálya
Galliformes	Tyúkalakúak
Galliformes	Kategória:Tyúkalakúak
Gallium	Gallium
Gallon	Gallon
Gamal Abdel Nasser	Gamal Abdel Nasszer
Game	Játék (pszichológia)
Game theory	Játékelmélet
Gamma	Gamma
Gamma ray	Gamma-sugárzás
Ganges	Gangesz
Gansu	Gansu
Ganymede	Ganümédész
Ganymede (moon)	Ganümédész (hold)
Garden of Eden	Édenkert
Garfield	Garfield
Garlic	Fokhagyma
Garonne	Garonne
Gas	Gáz
Gas constant	Egyetemes gázállandó
Gas giant	Óriásbolygó
Gasoline	Benzin
Gastropoda	Csigák
Gaul	Gallia
Gaza Strip	Gázai övezet
Gear	Fogaskerék
Geb	Geb
Gemini (constellation)	Ikrek csillagkép
Gemstone	Drágakő
Gene	Gén
Genealogy	Genealógia (történelem)
Genealogy	Kategória:Genealógia
General relativity	Általános relativitáselmélet
Genesis	Mózes első könyve
Genetics	Genetika
Genetics	Kategória:Genetika
Geneva	Genf
Genie	Dzsinn
Genitive case	Birtokos eset
Genoa	Genova
Genocide	Népirtás
Genocide	Kategória:Népirtások
Genome	Genom
Genotype	Genotípus
Genus	Nemzetség (rendszertan)
Geochemistry	Geokémia
Geodesy	Geodézia
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Földrajztudomány
Geography	Kategória:Földrajz
Geography	Portál:Földrajz
Geology	Kategória:Geológia
Geology	Geológia
Geometric progression	Mértani sorozat
Geometry	Geometria
Geometry	Kategória:Geometria
Geomorphology	Geomorfológia
Geophysics	Geofizika
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Orwell	George Orwell
George Sand	George Sand
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georges Simenon	Georges Simenon
Georgia (U.S. state)	Georgia
Georgia (country)	Grúzia
Georgia (country)	Kategória:Grúzia
Gerald Ford	Gerald Ford
German Shepherd Dog	Német juhászkutya
German language	Német nyelv
German language	Kategória:Német nyelv
German mark	Német márka
Germanium	Germánium
Germany	Németország
Germany	Kategória:Németország
Geronimo	Geronimo
Gestapo	Gestapo
Geyser	Gejzír
Ghana	Ghána
Ghana	Kategória:Ghána
Ghent	Gent
Ghetto	Gettó
Ghost	Kísértet
Giacomo Puccini	Giacomo Puccini
Giant Panda	Óriáspanda
Gibbon	Gibbonfélék
Gibraltar	Gibraltár
Gibraltar	Kategória:Gibraltár
Gigabyte	Gigabyte
Gilgamesh	Gilgames
Ginger	Gyömbér
Ginkgo	Ginkgo biloba
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Giraffe	Zsiráf
Giraffidae	Zsiráffélék
Girolamo Savonarola	Girolamo Savonarola
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Glacier	Gleccser
Glasgow	Glasgow
Glasnost	Glasznoszty
Glass	Üveg
Glasses	Szemüveg
Glider	Vitorlázó repülőgép
Global Positioning System	GPS
Global warming	Globális felmelegedés
Globalization	Globalizáció
Globe artichoke	Articsóka
Gloucestershire	Gloucestershire
Glucose	Glükóz
Gluon	Gluon
Glutamic acid	Glutaminsav
Glycerol	Glicerin
Glycine	Glicin
Glycogen	Glikogén
Glycolysis	Glikolízis
Gnathostomata	Állkapcsosok
Gneiss	Gneisz
Gnosticism	Gnoszticizmus
Go (board game)	Go
Goa	Goa
Goalkeeper	Labdarúgókapus
Goat	Házikecske
Gobi Desert	Góbi-sivatag
God	Isten
Golan Heights	Golán-fennsík
Gold	Arany
Golda Meir	Golda Meir
Golden Eagle	Szirti sas
Golden Gate Bridge	Golden Gate híd
Golden Horde	Arany Horda
Golden Retriever	Golden retriever
Golf	Golf
Golf	Kategória:Golf
Gomel	Homel
Good Friday	Nagypéntek
Google	Google, Inc.
Google	Kategória:Google
Googol	Googol
Gorgon	Gorgók
Gorilla	Gorilla
Goshawk	Héja
Gospel	Evangélium
Gospel of Luke	Lukács evangéliuma
Gothenburg	Göteborg
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Government	Kormány (állami szerv)
Grace Kelly	Grace Kelly
Graffiti	Graffiti
Graham Greene	Graham Greene
Gram	Gramm
Grammar	Nyelvtan
Grammatical gender	Nem (nyelvészet)
Granada	Granada
Grand Canyon	Grand Canyon
Grand Slam (tennis)	Grand Slam (tenisz)
Granite	Gránit
Grapefruit	Grépfrút
Graphical user interface	Grafikus felhasználói felület
Graphite	Grafit
Gravitation	Gravitáció
Gravitational constant	Gravitációs állandó
Graviton	Graviton
Gray Wolf	Farkas
Graz	Graz
Great Barrier Reef	Nagy-korallzátony
Great Britain	Brit-sziget
Great Crested Grebe	Búbos vöcsök
Great Depression	Nagy gazdasági világválság
Great Lakes	Nagy-tavak
Great Rift Valley	Nagy Hasadékvölgy
Great Wall of China	Kínai nagy fal
Great white shark	Nagy fehér cápa
Greater Antilles	Nagy-Antillák
Greater London	Nagy-London
Grebe	Vöcsökfélék
Greece	Görögország
Greece	Kategória:Görögország
Greek alphabet	Görög ábécé
Greek fire	Görögtűz
Greek mythology	Görög mitológia
Greek mythology	Kategória:Görög mitológia
Green	Zöld
Greenhouse effect	Üvegházhatás
Greenhouse gas	Üvegházhatású gázok
Greenland	Grönland
Greenland	Kategória:Grönland
Greenland Sea	Grönlandi-tenger
Greenpeace	Greenpeace
Greenwich Mean Time	Greenwichi középidő
Gregor Mendel	Gregor Mendel
Gregorian calendar	Gergely-naptár
Grenoble	Grenoble
Greylag Goose	Nyári lúd
Griffin	Griff
Griffon Vulture	Fakókeselyű
Gross domestic product	Bruttó hazai termék
Group	Csoport (egyértelműsítő lap)
Group (mathematics)	Csoport
Group theory	Csoportelmélet
Grover Cleveland	Grover Cleveland
Gruiformes	Darualakúak
Grus (constellation)	Daru csillagkép
Guadalajara	Guadalajara
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Guanine	Guanin
Guatemala	Kategória:Guatemala
Guatemala City	Guatemalaváros
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guild	Céh
Guillaume Apollinaire	Guillaume Apollinaire
Guillotine	Nyaktiló
Guinea	Guinea
Guinea	Kategória:Guinea
Guinea pig	Tengerimalac
Guinea-Bissau	Bissau-Guinea
Guinea-Bissau	Kategória:Bissau-Guinea
Guitar	Gitár
Gujarat	Gudzsarát
Gulag	Gulag
Gulf Stream	Golf-áramlat
Gulf War	Öbölháború
Gulf of Aqaba	Akabai-öböl
Gulf of Bothnia	Botteni-öböl
Gulf of Finland	Finn-öböl
Gulf of Mexico	Mexikói-öböl
Gull	Sirályfélék
Gunpowder	Lőpor
Gustav Klimt	Gustav Klimt
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy de Maupassant	Guy de Maupassant
Guyana	Kategória:Guyana
Gymnosperm	Nyitvatermők
Gynaecology	Nőgyógyászat
Gypsum	Gipsz
Gyroscope	Giroszkóp
H	H
H. G. Wells	H. G. Wells
HIV	HIV
HTML	HTML
Hacker	Hacker
Hadean	Hadaikum
Hades	Hadész
Hadith	Hadísz
Hadrian	Hadrianus
Hadrian's Wall	Hadrianus fala
Hadron	Hadron
Haemophilia	Hemofília
Hafnium	Hafnium
Hagia Sophia	Hagia Szophia
Haifa	Haifa
Haiku	Haiku
Hail Mary	Üdvözlégy
Haiti	Haiti
Haiti	Kategória:Haiti
Half-life	Felezési idő
Halle	Halle an der Saale
Halloween	Halloween
Hallucination	Hallucináció
Halogen	Halogének
Hamburg	Hamburg
Hamburger	Hamburger
Hamlet	Hamlet, dán királyfi
Hammer and sickle	Sarló és kalapács
Hammurabi	Hammurapi
Han Dynasty	Han-dinasztia
Hanging	Akasztás
Hanging Gardens of Babylon	Szemirámisz függőkertje
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Hanoi	Hanoi
Hanover	Hannover
Hans Bethe	Hans Albrecht Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Hanza-szövetség
Hanukkah	Hanuka
Harare	Harare
Harem	Hárem
Harmonica	Szájharmonika
Harmony	Harmónia (zene)
Harold Pinter	Harold Pinter
Harp	Hárfa
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harry Houdini	Harry Houdini
Hartford	Hartford (Connecticut)
Hassium	Hasszium
Hatred	Gyűlölet
Haute-Normandie	Felső-Normandia
Havana	Havanna
Hawaii	Hawaii
Hawaii	Kategória:Hawaii
Head of state	Államfő
Health	Egészség
Heart	Szív
Heat engine	Hőerőgép
Heavy metal	Kategória:Heavy metal
Heavy metal music	Heavy metal
Heavy water	Nehézvíz
Hebe (mythology)	Hébé (mitológia)
Hebei	Hebei
Hebrew alphabet	Héber írás
Hebrew calendar	Zsidó naptár
Hebrides	Hebridák
Hecate	Hekaté
Hectare	Hektár
Hector	Hektor (mitológiai alak)
Hector Berlioz	Hector Berlioz
Hedonism	Hedonizmus
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Helen	Helené
Helen Keller	Helen Keller
Helicopter	Helikopter
Helios	Héliosz
Helium	Hélium
Hell	Pokol
Helsinki	Helsinki
Hematite	Hematit
Hemoglobin	Hemoglobin
Hemorrhoid	Aranyér
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Henry Moore	Henry Moore
Henry Purcell	Henry Purcell
Hepatitis	Hepatitis
Hephaestus	Héphaisztosz
Hera	Héra
Heracles	Héraklész
Heraclitus	Epheszoszi Hérakleitosz
Heraldry	Heraldika
Heraldry	Kategória:Heraldika
Herbert Hoover	Herbert Hoover
Hercules	Héraklész
Hercules (constellation)	Herkules csillagkép
Heresy	Eretnek
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermeneutics	Filozófiai hermeneutika
Hermes	Hermész
Hero	Hős
Hero of Alexandria	Hérón
Herod the Great	Heródes
Herodotus	Hérodotosz
Heroin	Heroin
Heron	Gémfélék
Herring Gull	Ezüstsirály
Hertz	Hertz
Hesiod	Hésziodosz
Hesperides	Heszperiszek
Hesse	Hessen
Hesse	Kategória:Hessen
Hestia	Hesztia
Heterosexuality	Heteroszexualitás
Hexadecimal	Tizenhatos számrendszer
Hexagon	Hatszög
Hideki Yukawa	Jukava Hideki
Hieronymus Bosch	Hieronymus Bosch
Hilbert space	Hilbert-tér
Himalayas	Himalája
Hinduism	Hinduizmus
Hinduism	Kategória:Hinduizmus
Hipparchus	Hipparkhosz (csillagász)
Hippie	Hippi
Hippocrates	Hippokratész
Hippopotamus	Nílusi víziló
Hirohito	Hirohito
Hiroshima	Hirosima
Histidine	Hisztidin
Histone	Hiszton
Historiography	Történettudomány
History	Történelem
History	Kategória:Történelem
History	Portál:Történelem
Ho Chi Minh	Ho Si Minh
Ho Chi Minh City	Ho Si Minh-város
Hobart	Hobart
Hobbit	Hobbitok
Hobby	Hobbi
Hokusai	Hokuszai
Hollywood	Hollywood
Holmium	Holmium
Holocene	Holocén
Holography	Holográfia
Holy Grail	Szent Grál
Holy Roman Empire	Német-római Birodalom
Holy Spirit	Szentlélek
Homeopathy	Homeopátia
Homeostasis	Homeosztázis
Homer	Homérosz
Hominidae	Hominidák
Homo (genus)	Ember
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonym	Homonímia
Homophobia	Homofóbia
Homosexuality	Homoszexualitás
Honduras	Honduras
Honduras	Kategória:Honduras
Honey	Méz
Honey Buzzard	Darázsölyv
Hong Kong	Hongkong
Hong Kong	Kategória:Hongkong
Honiara	Honiara
Honolulu	Honolulu
Hooke's law	Hooke-törvény
Hoopoe	Búbos banka
Horace	Quintus Horatius Flaccus
Horatio Nelson	Horatio Nelson
Horizon	Horizont
Hormone	Hormon
Horn (anatomy)	Szarv
Horn (instrument)	Kürt (hangszer)
Horoscope	Horoszkóp
Horse	Ló
Horse racing	Lóverseny
Horsepower	Lóerő
Horus	Hórusz
Hosni Mubarak	Hoszni Mubarak
Hotel	Szálloda
Hour	Óra (időegység)
Hourglass	Homokóra
House	Ház
House (TV series)	Doktor House
House Mouse	Házi egér
House Sparrow	Házi veréb
Houston	Houston
Howard Carter (archaeologist)	Howard Carter
Hubble's law	Hubble-törvény
Hugo Grotius	Hugo Grotius
Huguenot	Hugenották
Human	Ember
Humanism	Humanizmus
Humerus	Felkarcsont
Hummingbird	Kolibrifélék
Humor	Kategória:Humor
Humour	Humor
Humpback Whale	Hosszúszárnyú bálna
Humphrey Bogart	Humphrey Bogart
Hunan	Hunan
Hundred Years' War	Százéves háború
Hungary	Magyarország
Hungary	Kategória:Magyarország
Hydra (constellation)	Hydra csillagkép
Hydrogen	Hidrogén
Hydrogen cyanide	Hidrogén-cianid
Hydrology	Hidrológia
Hydrology	Kategória:Hidrológia
Hydrus	Déli Vízikígyó csillagkép
Hyena	Hiénafélék
Hymenoptera	Kategória:Hártyásszárnyúak
Hymenoptera	Hártyásszárnyúak
Hymn	Himnusz
Hyperbola	Hiperbola
Hyperion (moon)	Hyperion (hold)
Hyperion (mythology)	Hüperión
Hypertension	Magas vérnyomás
Hypertext	Hiperszöveg
Hypertext Transfer Protocol	HTTP
Hypnos	Hüpnosz
Hypnosis	Hipnózis
Hypothalamus	Hipotalamusz
I	I
IPod	IPod
Ian Fleming	Ian Fleming
Iapetus (moon)	Iapetus (hold)
Iberian Peninsula	Ibériai-félsziget
Ibuprofen	Ibuprofén
Ice cream	Fagylalt
Ice hockey	Jégkorong
Ice hockey	Kategória:Jégkorong
Iceland	Izland
Iceland	Kategória:Izland
Ichthyology	Ichthiológia
Iconoclasm	Képrombolás
Idaho	Idaho
Idaho	Kategória:Idaho
Idealism	Idealizmus
Identity element	Neutrális elem
Identity matrix	Egységmátrix
Ideology	Ideológia
Ido	Ido nyelv
Ignatius of Loyola	Loyolai Szent Ignác
Igneous rock	Magmás kőzetek
Igor Stravinsky	Igor Stravinsky
Iliad	Iliász
Illinois	Illinois
Illinois	Kategória:Illinois
Illyria	Illyria
Image scanner	Szkenner
Imam	Imám
Immanuel Kant	Immanuel Kant
Immunology	Immunológia
Immunology	Kategória:Immunológia
Imperialism	Imperializmus
Impressionism	Impresszionizmus
Incest	Vérfertőzés
Inch	Hüvelyk (mértékegység)
Inclined plane	Lejtő
Independence	Függetlenség
India	India
India	Kategória:India
Indian Ocean	Indiai-óceán
Indiana	Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Indium
Indochina	Indokína
Indonesia	Indonézia
Indra	Indra (keresztnév)
Inductor	Tekercs (elektronika)
Indus (constellation)	Hindu csillagkép
Indus River	Indus
Industrial Revolution	Ipari forradalom
Industry	Ipar
Inequality	Egyenlőtlenség
Infantry	Gyalogság
Infinity	Végtelen
Inflammation	Gyulladás
Inflation	Infláció
Influenza	Influenza
Information	Információ
Information technology	Informatika
Information theory	Információelmélet
Infrared	Infravörös sugárzás
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Inner Mongolia	Belső-Mongólia
Innovation	Innováció
Innsbruck	Innsbruck
Inorganic chemistry	Szervetlen kémia
Inorganic chemistry	Kategória:Szervetlen kémia
Inquisition	Inkvizíció
Insect	Rovarok
Insectivora	Rovarevők
Insulin	Inzulin
Insurance	Biztosítás
Integer	Egész számok
Integral	Riemann-integrálás
Integrated circuit	Integrált áramkör
Intellectual property	Szellemi alkotás
Intelligence quotient	IQ
Interest	Kamat
Interference	Interferencia
Interjection	Indulatszó
Interlingua	Interlingva nyelv
International Atomic Energy Agency	Nemzetközi Atomenergiai Ügynökség
International Civil Aviation Organization	ICAO
International Labour Organization	Nemzetközi Munkaügyi Szervezet
International Monetary Fund	Nemzetközi Valutaalap
International System of Units	SI mértékegységrendszer
International law	Kategória:Nemzetközi jog
Internet	Internet
Internet	Kategória:Internet
Internet Explorer	Microsoft Internet Explorer
Interpreter (computing)	Értelmező
Intersection (set theory)	Metszet (halmazelmélet)
Interval (music)	Hangköz
Intranet	Intranet
Invention	Találmány
Io (moon)	Io
Io (mythology)	Ió
Iodine	Jód
Ion	Ion
Ionian Sea	Jón-tenger
Iota	Ióta
Iowa	Iowa
Iran	Irán
Iran	Kategória:Irán
Iraq	Irak
Iraq	Kategória:Irak
Ireland	Ír-sziget
Irenaeus	Szent Ireneus
Iridium	Irídium
Iris (mythology)	Írisz (mitológia)
Irish Sea	Ír-tenger
Irish people	Kategória:Írek
Iron	Vas
Iron Age	Vaskor
Iron Curtain	Vasfüggöny
Iron Maiden	Iron Maiden
Irony	Irónia
Irrational number	Irracionális szám
Irtysh River	Irtis
Isaac Asimov	Isaac Asimov
Isaac Newton	Isaac Newton
Islam	Iszlám
Islam	Kategória:Iszlám
Islamabad	Iszlámábád
Islamic calendar	Muszlim naptár
Island	Sziget
Isle of Man	Man
Isomer	Izomer
Isoroku Yamamoto	Jamamoto Iszoroku
Isotope	Izotóp
Israel	Izrael
Israel	Kategória:Izrael
Istanbul	Isztambul
Istanbul	Kategória:Isztambul
Italian Peninsula	Appennin-félsziget
Italy	Olaszország
Italy	Kategória:Olaszország
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Petrovics Pavlov
Ivory	Elefántcsont
J	J
J. D. Salinger	Jerome David Salinger
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack London	Jack London
Jack the Ripper	Hasfelmetsző Jack
Jackdaw	Csóka (madár)
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville
Jacob	Jákób
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jade	Jáde
Jaguar	Jaguár
Jainism	Dzsainizmus
Jakarta	Jakarta
Jamaica	Jamaika
Jamaica	Kategória:Jamaica
James	Idősebb Szent Jakab
James A. Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Joyce	James Joyce
James K. Polk	James Knox Polk
James Madison	James Madison
James Monroe	James Monroe
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu and Kashmir	Dzsammu és Kasmír
Jan Hus	Husz János
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Janis Joplin	Janis Joplin
Janissary	Janicsár
January	Január
January 1	Január 1
January 19	Január 19
January 20	Január 20
January 6	Január 6
Janus (mythology)	Janus
Japan	Japán
Japan	Kategória:Japán
Jason	Iaszón
Java	Jáva (sziget)
Java (disambiguation)	Java
Java (programming language)	Java (programozási nyelv)
Jawaharlal Nehru	Dzsaváharlál Néhrú
Jazz	Dzsessz
Jazz	Kategória:Dzsessz
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Dzsidda
Jefferson Davis	Jefferson Davis
Jehovah	Jahve
Jehovah's Witnesses	Jehova Tanúi
Jena	Jéna
Jeremy Bentham	Jeremy Bentham
Jerome	Szent Jeromos
Jersey	Jersey
Jerusalem	Jeruzsálem
Jesus	Jézus
Jew	Zsidók
Jew's harp	Doromb
Jihad	Dzsihád
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	James Earl Carter
Joan of Arc	Jeanne d’Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
John Calvin	Jean Calvin
John Chrysostom	Aranyszájú Szent János
John Dalton	John Dalton
John Dewey	John Dewey
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Wayne	John Wayne
John Wycliffe	John Wycliffe
John the Baptist	Keresztelő Szent János
John von Neumann	Neumann János
Johnny Cash	Johnny Cash
Jonathan Swift	Jonathan Swift
Jordan	Jordánia
Jordan	Kategória:Jordánia
Jordan River	Jordán folyó
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph McCarthy	Joseph Raymond McCarthy
Joseph Pulitzer	Pulitzer József
Joseph Smith	Joseph Smith
Joseph Stalin	Joszif Visszarionovics Sztálin
Josephus	Josephus Flavius
Joule	Joule
Journalism	Kategória:Újságírás
Judaism	Judaizmus
Judaism	Kategória:Judaizmus
Judas Iscariot	Júdás
Judo	Dzsúdó
Jules Verne	Jules Verne
Julian calendar	Julián naptár
Julian the Apostate	Julianus Apostata
Julius Caesar	Caius Iulius Caesar
July	Július
July 1	Július 1
July 4	Július 4
June	Június
June 14	Június 14
June 21	Június 21
June 23	Június 23
June 24	Június 24
June 29	Június 29
June 3	Június 3
Juneau	Juneau
Juno (mythology)	Juno
Jupiter	Jupiter
Jupiter	Kategória:Jupiter
Jurassic	Jura (időszak)
Justinian I	I. Justinianus bizánci császár
Jutland	Jylland
K	K
K2	K2
KGB	KGB
