English	Georgian
Konrad Adenauer	კონრად ადენაუერი
Korea	კატეგორია:კორეა
Korean War	კორეის ომი
Kosovo	კოსოვო
Kosovo	კატეგორია:კოსოვო
Kremlin	კრემლი
Krishna	კრიშნა
Kuala Lumpur	კუალა-ლუმპური
Kuiper belt	კოიპერის სარტყელი
Kumquat	კინკანი
Kura River	მტკვარი
Kurdistan	ქურთისტანი
Kuwait	ქუვეითი
Kuwait	კატეგორია:ქუვეითი
Kuwait City	ელ-ქუვეითი
Kyoto	კიოტო
Kyrgyzstan	ყირგიზეთი
Kyrgyzstan	კატეგორია:ყირგიზეთი
L	L
La Paz	ლა-პასი
Lady Jane Grey	ლედი ჯეინ გრეი
Lahore	ლაჰორი
Lake	ტბა
Lake Balaton	ბალატონი
Lakshmi	ლაკშმი
Lambda	ლამბდა (ასო)
Lammergeier	ბატკანძერი
Language	ენა (მეტყველება)
Languedoc-Roussillon	ლანგედოკი-რუსილონი
Laos	ლაოსი
Larch	ლარიქსი
Las Vegas	ლას-ვეგასი
Latin	ლათინური ენა
Latin alphabet	ლათინური დამწერლობა
Latvia	ლატვია
Latvia	კატეგორია:ლატვია
Lausanne	ლოზანა
Law	კატეგორია:სამართალი
Lazio	ლაციო
Le Corbusier	ლე კორბუზიე
Lead	ტყვია
League of Nations	ერთა ლიგა
Leap year	ნაკიანი წელი
Lebanon	ლიბანი
Lebanon	კატეგორია:ლიბანი
Leiden	ლეიდენი
Leipzig	ლაიფციგი
Lemon balm	ბარამბო
Leo (constellation)	ლომი (თანავარსკვლავედი)
Leon Trotsky	ლევ ტროცკი
Leonard Bernstein	ლეონარდ ბერნსტაინი
Leonardo da Vinci	ლეონარდო და ვინჩი
Leonhard Euler	ლეონარდ ეილერი
Leonid Brezhnev	ლეონიდ ბრეჟნევი
Leopard	ჯიქი
Lepidoptera	ქერცლფრთიანები
Lesbian	ლესბოსელი
Lesotho	ლესოთო
Letter (alphabet)	ასო (ნიშანი)
Liberalism	ლიბერალიზმი
Liberalism	კატეგორია:ლიბერალიზმი
Liberation Tigers of Tamil Eelam	თამილის ვეფხვები
Liberia	ლიბერია
Libra (constellation)	სასწორი (თანავარსკვლავედი)
Library	ბიბლიოთეკა
Libya	ლიბია
Libya	კატეგორია:ლიბია
Lichen	ლიქენები
Liechtenstein	ლიხტენშტაინი
Liechtenstein	კატეგორია:ლიხტენშტაინი
Lieutenant	ლეიტენანტი
Life	სიცოცხლე
Life	კატეგორია:სიცოცხლე
Light	სინათლე
Light-emitting diode	მანათობელი დიოდები
Light-year	სინათლის წელიწადი
Liguria	ლიგურია
Lima	ლიმა
Limousin (region)	ლიმუზენი
Linear algebra	წრფივი ალგებრა
Linguistics	ენათმეცნიერება
Linguistics	კატეგორია:ენათმეცნიერება
Linux	ლინუქსი
Linux	კატეგორია:ლინუქსი
Linz	ლინცი
Lion	ლომი
Lisbon	ლისაბონი
Literature	ლიტერატურა
Literature	კატეგორია:ლიტერატურა
Literature	პორტალი:ლიტერატურა
Lithium	ლითიუმი
Lithuania	ლიტვა
Lithuania	კატეგორია:ლიტვა
Liverpool	ლივერპული
Livy	ტიტუს ლივიუსი
Ljubljana	ლიუბლიანა
Llama	ლამა
Local area network	ლოკალური ქსელი
Logic	ლოგიკა
Logic	კატეგორია:ლოგიკა
Loki	ლოკე
Lombardy	ლომბარდია
London	ლონდონი
London	კატეგორია:ლონდონი
Long Beach	ლონგ-ბიჩი
Long Island	ლონგ-აილენდი
Long-eared Owl	ოლოლი
Lorraine (region)	ლოთარინგია
Los Angeles	ლოს-ანჯელესი
Louis Aragon	ლუი არაგონი
Louis Armstrong	ლუი არმსტრონგი
Louis Braille	ლუი ბრაილი
Louis Pasteur	ლუი პასტერი
Louisiana	ლუიზიანა
Louisiana	კატეგორია:ლუიზიანა
Louisville	ლუიზვილი
Louvre	ლუვრის მუზეუმი (პარიზი)
Lower Saxony	ქვემო საქსონია
Lublin	ლუბლინი
Luciano Pavarotti	ლუჩანო პავაროტი
Ludwig Mies van der Rohe	ლუდვიგ მის ვან დერ როე
Ludwig van Beethoven	ლუდვიგ ვან ბეთჰოვენი
Luftwaffe	ლუფტვაფე
Lung	ფილტვები
Luxembourg	ლუქსემბურგი (ქვეყანა)
Luxembourg	კატეგორია:ლუქსემბურგი
Luxembourg (city)	ლუქსემბურგი (ქალაქი)
Luxor	ლუქსორი
Lyon	ლიონი
Lysergic acid diethylamide	ლსდ
M	M
MESSENGER	MESSENGER
Macau	მაკაო
Machu Picchu	მაჩუ პიკჩუ
Macintosh	მაკინტოში (კომპიუტერი)
Macroeconomics	მაკროეკონომიკა
Macroeconomics	კატეგორია:მაკროეკონომიკა
Madagascar	მადაგასკარი
Madagascar	კატეგორია:მადაგასკარი
Madonna (entertainer)	მადონა (მომღერალი)
Madrid	მადრიდი
Madrid (autonomous community)	მადრიდი (რეგიონი)
Mafia	მაფია
Magna Carta	მაგნა კარტა
Magnesium	მაგნიუმი
Magnoliopsida	კატეგორია:ორლებნიანნი
Maharashtra	მაჰარაშტრა
Mahatma Gandhi	მაჰათმა განდი
Maine	მეინი
Maize	სიმინდი
Malaria	მალარია
Malaysia	მალაიზია
Malaysia	კატეგორია:მალაიზია
Maldives	მალდივის კუნძულები
Mali	მალი
Mali	კატეგორია:მალი
Malta	მალტა
Malta	კატეგორია:მალტა
Malvaceae	ბალბისებრნი
Mammal	ძუძუმწოვრები
Manama	მანამა
Manchester	მანჩესტერი (დიდი ბრიტანეთი)
Manchuria	მანჯურია
Manhattan	მანჰეტენი
Manhattan Project	მანჰეტენის პროექტი
Manichaeism	მანიქეველობა
Manila	მანილა
Manipur	მანიპური
Manitoba	მანიტობა
Mannerism	მანიერიზმი
Mannheim	მანჰაიმი
Mantra	მანტრა
Mao Zedong	მაო ძედუნი
Map	გეოგრაფიული რუკა
Marathon	მარათონი
Marble	მარმარილო
Marc Chagall	მარკ შაგალი
Marcel Duchamp	მარსელ დიუშანი
Marcel Marceau	მარსელ მარსო
Marcel Proust	მარსელ პრუსტი
March	მარტი
March 17	17 მარტი
March 19	19 მარტი
March 2	2 მარტი
March 25	25 მარტი
Marche	მარკე
Marco Polo	მარკო პოლო
Marcus Aurelius	მარკუს ავრელიუსი
Marcus Junius Brutus	მარკუს ბრუტუსი
Margaret Mitchell	მარგარეტ მიტჩელი
Margaret Thatcher	მარგარეტ ტეტჩერი
Maria Callas	მარია კალასი
Marilyn Monroe	მერილინ მონრო
Mark Antony	მარკუს ანტონიუსი
Mark Twain	მარკ ტვენი
Marketing	მარკეტინგი
Marlene Dietrich	მარლენ დიტრიხი
Marquis de Sade	მარკიზ დე სადი
Marriage	ქორწინება
Mars (disambiguation)	მარსი
Mars (mythology)	მარსი (ღმერთი)
Marseille	მარსელი
Marshall Plan	მარშალის გეგმა
Martin Heidegger	მარტინ ჰაიდეგერი
Martin Luther	მარტინ ლუთერი
Martin Luther King	მარტინ ლუთერ კინგი
Martin Van Buren	მარტინ ვან ბურენი
Marxism	მარქსიზმი
Marxism	კატეგორია:მარქსიზმი
Mary (mother of Jesus)	მარიამ ღვთისმშობელი
Maryland	მერილენდი
Mass	მასა
Mass (liturgy)	მესა
Massachusetts	მასაჩუსეტსი
Massachusetts Institute of Technology	მასაჩუსეტსის ტექნოლოგიის ინსტიტუტი
Masturbation	მასტურბაცია
Mata Hari	მატა ჰარი
Match	ასანთი
Materialism	მატერიალიზმი
Mathematical logic	მათემატიკური ლოგიკა
Mathematical logic	კატეგორია:მათემატიკური ლოგიკა
Mathematical proof	მათემატიკური დამტკიცება
Mathematics	მათემატიკა
Mathematics	კატეგორია:მათემატიკა
Mathematics	პორტალი:მათემატიკა
Maundy Thursday	დიდი ხუთშაბათი
Mauritania	მავრიტანია
Mauritius	მავრიკი
Max Born	მაქს ბორნი
Max Ernst	მაქს ერნსტი
Max Planck	მაქს პლანკი
May	მაისი
May 1	1 მაისი
May 24	24 მაისი
Mayfly	ერთდღიურები
Mecca	მექა
Mechanics	კატეგორია:მექანიკა
Medea	მედეა (მითოლოგია)
Medici	მედიჩი (დინასტია)
Medicine	მედიცინა
Medicine	კატეგორია:მედიცინა
Medina	მედინა
Mediterranean	კატეგორია:ხმელთაშუა ზღვა
Mediterranean Sea	ხმელთაშუა ზღვა
Meiosis	მეიოზი
Memphis	მემფისი (ტენესი)
Mentha	პიტნა
Mercury	მერკური
Mercury (mythology)	მერკური (ღმერთი)
Mercury (planet)	მერკური (პლანეტა)
Merovingian	მეროვინგები
Meryl Streep	მერილ სტრიპი
Mesolithic	მეზოლითი
Meson	მეზონი
Mesopotamia	შუამდინარეთი
Mesopotamia	კატეგორია:ძველი შუამდინარეთი
Messina	მესინა
Metallurgy	კატეგორია:მეტალურგია
Metaphor	მეტაფორა
Metaphysics	კატეგორია:მეტაფიზიკა
Meteorology	კატეგორია:მეტეოროლოგია
Methodism	მეთოდისტები
Metre	მეტრი
Metric space	მეტრიკული სივრცე
Mexico	მექსიკა
Mexico	კატეგორია:მექსიკა
Mexico City	მეხიკო
Miami	მაიამი
Michael Faraday	მაიკლ ფარადეი
Michel Ney	მიშელ ნეი
Michelangelo	მიქელანჯელო
Michigan	მიჩიგანი (შტატი)
Mickey Mouse	მიკი მაუსი
Microbiology	კატეგორია:მიკრობიოლოგია
Microeconomics	მიკროეკონომიკა
Microprocessor	მიკროპროცესორი
Microscope	მიკროსკოპი
Middle Ages	შუა საუკუნეები
Middle East	კატეგორია:ახლო აღმოსავლეთი
Miguel de Cervantes	მიგელ დე სერვანტესი
Mike Tyson	მაიკ ტაისონი
Mikhail Bakunin	მიხეილ ბაკუნინი
Mikhail Gorbachev	მიხეილ გორბაჩოვი
Milan	მილანი
Mile	მილი (ერთეული)
Miles Davis	მაილს დევისი
Military	კატეგორია:სამხედრო ძალები
Milk	რძე
Millard Fillmore	მილარდ ფილმორი
Milwaukee	მილუოკი
Minaret	მინარეთი
Mineral water	მინერალური წყლები
Minimalism	მინიმალიზმი
Minneapolis	მინეაპოლისი
Minnesota	მინესოტა
Minotaur	მინოტავრი
Minsk	მინსკი
Minute	წუთი
Miracle	მირაკლი
Mississippi River	მისისიპი (მდინარე)
Missouri	მისური (შტატი)
Modernism	მოდერნიზმი
Mogadishu	მოგადიშო
Moldova	მოლდოვა
Moldova	კატეგორია:მოლდოვა
Molecular biology	კატეგორია:მოლეკულური ბიოლოგია
Molecule	მოლეკულა
Molise	მოლიზე
Momentum	იმპულსი
Monaco	მონაკო
Monaco	კატეგორია:მონაკო
Monarch	მეფე
Monarchy	მონარქია
Monarchy	კატეგორია:მონარქია
Monday	ორშაბათი
Money	ფული
Mongolia	მონღოლეთი
Mongolia	კატეგორია:მონღოლეთი
Mongoose	მანგუსტი
Monism	მონიზმი
Monotheism	მონოთეიზმი
Mont Blanc	მონბლანი
Montana	მონტანა
Montenegro	მონტენეგრო
Montenegro	კატეგორია:მონტენეგრო
Montevideo	მონტევიდეო
Month	თვე
Montreal	მონრეალი
Moon	მთვარე
Moose	ლოსი
Moravia	მორავია
Morocco	მაროკო
Morocco	კატეგორია:მაროკო
Morphology	მორფოლოგია
Morphology (linguistics)	მორფოლოგია (ენათმეცნიერება)
Moscow	მოსკოვი
Moscow	კატეგორია:მოსკოვი
Moses	მოსე
Mosque	მეჩეთი
Mosquito	კოღოები
Mossad	მოსადი
Motet	მოტეტი
Mother Teresa	დედა ტერეზა
Motto	დევიზი
Mount Athos	აიონ-ოროსი
Mount Etna	ეტნა
Mount Everest	ჯომოლუნგმა
Mount Fuji	ფუჯის მთა
Mount Kilimanjaro	კილიმანჯარო
Mount Olympus	ოლიმპო
Mount Rushmore	მთა რაშმორი
Mount Vesuvius	ვეზუვი
Mountain	მთა
Mountain pass	უღელტეხილი
Mountain range	ქედი
Mouse (computing)	თაგუნა (კომპიუტერი)
Mozambique	მოზამბიკი
Muhammad	მაჰმადი
Muhammad Ali	მუჰამედ ალი
Mulberry	თუთა
Mumbai	მუმბაი
Mummy	მუმია
Munich	მიუნხენი
Murmansk	მურმანსკი
Muscat	მასკატი
Muscle	კუნთი
Museum	მუზეუმი
Music	მუსიკა
Music	კატეგორია:მუსიკა
Musician	მუსიკოსი
Musicology	მუსიკათმცოდნეობა
Mustelidae	კვერნისებრნი
Mycology	მიკოლოგია
Mycology	კატეგორია:მიკოლოგია
Myriapoda	მრავალფეხიანები
Mysticism	მისტიციზმი
Myth	მითი
Mythology	მითოლოგია
Mythology	კატეგორია:მითოლოგია
N	N
NASDAQ	ნასდაქი
NATO	ნატო (ორგანიზაცია)
Nagasaki	ნაგასაკი (ქალაქი)
Nairobi	ნაირობი
Namibia	ნამიბია
Nancy	ნანსი
Nantes	ნანტი
Naples	ნეაპოლი
Nashville	ნეშვილი
Nation	ერი
National anthem	სახელმწიფო ჰიმნი
Nationalism	ნაციონალიზმი
Nationalism	კატეგორია:ნაციონალიზმი
Natural gas	ბუნებრივი აირი
Natural number	ნატურალური რიცხვი
Nature	ბუნება
Nature	კატეგორია:ბუნება
Nauru	ნაურუ
Nautical mile	საზღვაო მილი
Navigation	კატეგორია:ნავიგაცია
Navy	სამხედრო-საზღვაო ძალები
Nazi Germany	მესამე რაიხი
Nazi Party	ნაციონალ-სოციალისტური გერმანული მუშათა პარტია
Nebraska	ნებრასკა
Nebuchadrezzar II	ნაბუქოდონოსორ II
Nebula	ნისლეულები
Nefertiti	ნეფერტიტი
Neil Armstrong	ნილ არმსტრონგი
Nelson Mandela	ნელსონ მანდელა
Nepal	ნეპალი
Neptune	ნეპტუნი (პლანეტა)
Nero	ნერონი
Nerva	ნერვა
Nervous system	კატეგორია:ნერვული სისტემა
Nest	ბუდე (ნაგებობა)
Netherlands	ნიდერლანდი
Netherlands	კატეგორია:ნიდერლანდი
Network topology	ტოპოლოგია (კომპიუტერული ქსელები)
Neuron	ნეირონი
Nevada	ნევადა
New Brunswick	ნიუ-ბრანსუიკი
New Delhi	ნიუ-დელი
New England	ახალი ინგლისი
New Hampshire	ნიუ-ჰემპშირი
New Hampshire	კატეგორია:ნიუ-ჰემპშირი
New Jersey	ნიუ-ჯერსი
New Jersey	კატეგორია:ნიუ-ჯერსი
New Mexico	ნიუ-მექსიკო
New Orleans	ახალი ორლეანი
New South Wales	ახალი სამხრეთი უელსი
New Year	ახალი წელი
New York	ნიუ-იორკი (შტატი)
New York	კატეგორია:ნიუ-იორკი (შტატი)
New York City	ნიუ-იორკი
New York City	კატეგორია:ნიუ-იორკი
New York Stock Exchange	ნიუ-იორკის სააქციო ბირჟა
New Zealand	ახალი ზელანდია
New Zealand	კატეგორია:ახალი ზელანდია
Newark	ნიუარკი
Newfoundland (island)	ნიუფაუნდლენდი
Newfoundland and Labrador	ნიუფაუნდლენდი და ლაბრადორი
Newton	ნიუტონი
Niacin	ნიკოტინმჟავა
Nicaragua	ნიკარაგუა
Nice	ნიცა
Nickel	ნიკელი
Nicosia	ნიქოზია
Niels Bohr	ნილს ბორი
Niels Henrik Abel	ნილს აბელი
Niger	ნიგერი
Nigeria	ნიგერია
Nihilism	ნიჰილიზმი
Nike (mythology)	ნიკე
Nikita Khrushchev	ნიკიტა ხრუშჩოვი
Nikola Tesla	ნიკოლა ტესლა
Nile	ნილოსი
Nineveh	ნინევია
Nitrogen	აზოტი
Noah	ნოე
Noam Chomsky	ნოამ ხომსკი
Nobel Prize	ნობელის პრემია
Nobel Prize	კატეგორია:ნობელის პრემია
Nobility	კატეგორია:არისტოკრატია
Norma (constellation)	გონიო (თანავარსკვლავედი)
Norse mythology	სკანდინავიური მითოლოგია
Norse mythology	კატეგორია:სკანდინავიური მითოლოგია
North Africa	ჩრდილოეთი აფრიკა
North America	ჩრდილოეთი ამერიკა
North America	კატეგორია:ჩრდილოეთი ამერიკა
North Carolina	ჩრდილოეთი კაროლინა
North Korea	ჩრდილოეთი კორეა
North Korea	კატეგორია:ჩრდილოეთი კორეა
North Sea	ჩრდილოეთის ზღვა
Northern Europe	ჩრდილოეთი ევროპა
Northern Ireland	ჩრდილოეთი ირლანდია
Northern Territory	ჩრდილოეთი ტერიტორია (ავსტრალია)
Northwest Territories	ჩრდილო-დასავლეთი ტერიტორიები
Norway	ნორვეგია
Norway	კატეგორია:ნორვეგია
Nostradamus	ნოსტრადამუსი
Noun	არსებითი სახელი
Nova Scotia	ახალი შოტლანდია
Novel	რომანი (პროზა)
November	ნოემბერი
November 1	1 ნოემბერი
November 11	11 ნოემბერი
November 2	2 ნოემბერი
November 5	5 ნოემბერი
Novosibirsk	ნოვოსიბირსკი
Nu (letter)	ნიუ (ასო)
Nucleotide	ნუკლეოტიდი
Number	რიცხვი
Numbers	კატეგორია:რიცხვები
Numismatics	ნუმიზმატიკა
Numismatics	კატეგორია:ნუმიზმატიკა
Nunavut	ნუნავუტი
Nuremberg	ნიურნბერგი
Nut (fruit)	კაკალი (ნაყოფი)
O	O
OPEC	ნავთობის ექსპორტიორ ქვეყანათა ორგანიზაცია
Oak	მუხა
Oakland	ოკლენდი (კალიფორნია)
Oasis	ოაზისი
Obelisk	ობელისკი
Ocean	ოკეანე
Oceania	ოკეანეთი
Oceania	კატეგორია:ოკეანია
October	ოქტომბერი
October 12	12 ოქტომბერი
October 24	24 ოქტომბერი
October Revolution	ოქტომბრის რევოლუცია
Ode	ოდა
Odessa	ოდესა
Odin	ოდინი
Oedipus	ოიდიპოსი
Ohio	ოჰაიო (შტატი)
Oil painting	ზეთით ფერწერა
Oklahoma	ოკლაჰომა
Oklahoma City	ოკლაჰომა-სიტი
Oktoberfest	ოქტობერფესტი
Old Church Slavonic	ძველი საეკლესიო სლავური ენა
Oligarchy	ოლიგარქია
Olive oil	ზეითუნის ზეთი
Oliver Cromwell	ოლივერ კრომველი
Olympic Games	ოლიმპიური თამაშები
Olympics	კატეგორია:ოლიმპიური თამაშები
Omaha	ომაჰა
Oman	ომანი
Omega	ომეგა (ასო)
Omicron	ომიკრონი (ასო)
Oncology	კატეგორია:ონკოლოგია
Ontario	ონტარიო (პროვინცია)
Opel	ოპელი
Opera	ოპერა
Opera (Internet suite)	Opera (ბრაუზერი)
Operating system	ოპერაციული სისტემა
Ophiuchus	გველისმჭერი
Optical fiber	ოპტიკური ბოჭკო
Optical illusion	ოპტიკური ილუზია
Optics	კატეგორია:ოპტიკა
Orchidaceae	ჯადვარისებრნი
Oregon	ორეგონი
Organic chemistry	ორგანული ქიმია
Organic chemistry	კატეგორია:ორგანული ქიმია
Orgasm	ორგაზმი
Orissa	ორისა
Ornithology	ორნითოლოგია
Ornithology	კატეგორია:ორნითოლოგია
Osaka	ოსაკა
Osama bin Laden	ოსამა ბინ ლადენი
Oscar Wilde	ოსკარ უაილდი
Osiris	ოსირისი
Oslo	ოსლო
Osman I	ოსმან I (თურქეთი)
Osteoporosis	ოსტეოპოროზი
Otho	ოტონი
Ottawa	ოტავა
Otto Hahn	ოტო ჰანი
Otto I	ოტო I (სრი)
Otto von Bismarck	ოტო ფონ ბისმარკი
Ottoman Empire	ოსმალეთის იმპერია
Ottoman Empire	კატეგორია:ოსმალეთის იმპერია
Ovid	ოვიდიუსი
Oxygen	ჟანგბადი
P	P
Pablo Picasso	პაბლო პიკასო
Pacific Ocean	წყნარი ოკეანე
Pacific Ocean	კატეგორია:წყნარი ოკეანე
Pacifism	პაციფიზმი
Padua	პადუა
Painting	კატეგორია:მხატვრობა
Pakistan	პაკისტანი
Pakistan	კატეგორია:პაკისტანი
Palace of Versailles	ვერსალის სასახლე
Palau	პალაუ
Paleontology	პალეონტოლოგია
Palermo	პალერმო
Palestine	კატეგორია:პალესტინა
Palestine Liberation Organization	პალესტინის გათავისუფლების ორგანიზაცია
Palm Sunday	ბზობა
Pan (mythology)	პანი
Panama	პანამა
Panama	კატეგორია:პანამა
Panama Canal	პანამის არხი
Pangaea	პანგეა
Pantheism	პანთეიზმი
Panthera	პანტერები
Papua New Guinea	პაპუა-ახალი გვინეა
Paradox	პარადოქსი
Paraguay	პარაგვაი
Paraguay	კატეგორია:პარაგვაი
Parallelogram	პარალელოგრამი
Paraphilia	პარაფილია
Paris	პარიზი
Paris	კატეგორია:პარიზი
Parrot	თუთიყუშისნაირნი
Parthenon	პართენონი
Particle physics	ელემენტარული ნაწილაკების ფიზიკა
Parvati	პარვატი
Passerine	ბეღურასნაირნი
Patent	პატენტი
Patriotism	პატრიოტიზმი
Paul Gauguin	პოლ გოგენი
Paul Johann Ludwig von Heyse	პაულ ფონ ჰაიზე
Paul Klee	პაულ კლეე
Paul McCartney	პოლ მაკარტნი
Paul Verlaine	პოლ ვერლენი
Paul von Hindenburg	პაულ ფონ ჰინდენბურგი
Pays de la Loire	ლუარის რეგიონი
Peace	მშვიდობა
Peace of Westphalia	ვესტფალიის ზავი
Peanut	არაქისი
Pearl	მარგალიტი
Pedagogy	პედაგოგიკა
Pedagogy	კატეგორია:პედაგოგიკა
Pedophilia	პედოფილია
Penguin	პინგვინისნაირნი
Penicillin	პენიცილინი
Pennsylvania	პენსილვანია
Pennsylvania	კატეგორია:პენსილვანია
People	კატეგორია:პიროვნებები
People's Republic of China	ჩინეთი
Pepsi	პეპსი
Perception	აღქმა
Percussion instrument	დასარტყმელი საკრავები
Periodic table	ქიმიურ ელემენტთა პერიოდული სისტემა
Pernambuco	პერნამბუკუ
Persepolis	პერსეპოლისი
Perseus (constellation)	პერსევსი (თანავარსკვლავედი)
Perth	პერტი
Peru	პერუ
Peru	კატეგორია:პერუ
Peter Paul Rubens	პეტერ პაულ რუბენსი
Petrarch	ფრანჩესკო პეტრარკა
Pharaoh	ფარაონი
Phi (letter)	ფი (ასო)
Philadelphia	ფილადელფია
Philately	ფილატელია
Philately	კატეგორია:ფილატელია
Philip II of Spain	ფელიპე II (ესპანეთი)
Philippines	ფილიპინები
Philology	ფილოლოგია
Philology	კატეგორია:ფილოლოგია
Philosophy	ფილოსოფია
Philosophy	კატეგორია:ფილოსოფია
Phnom Penh	პნომპენი
Phobia	ფობია
Phobos (moon)	ფობოსი (თანამგზავრი)
Phoenix	ფინიქსი
Phoenix (spacecraft)	ფენიქსი (კოსმოსური ხომალდი)
Photography	ფოტოგრაფია
Photography	კატეგორია:ფოტოგრაფია
Physics	ფიზიკა
Physics	კატეგორია:ფიზიკა
Physics	პორტალი:ფიზიკა
Physiology	ფიზიოლოგია
Physiology	კატეგორია:ფიზიოლოგია
Pi	პი (რიცხვი)
Pi (letter)	პი (ასო)
Piano	ფორტეპიანო
Picardie	პიკარდია
Piciformes	კოდალასნაირნი
Piedmont	პიემონტი
Piet Mondrian	პიტ მონდრიანი
Pine	ფიჭვი
Pisces (constellation)	თევზები (თანავარსკვლავედი)
Plane (mathematics)	სიბრტყე
Planet	პლანეტა
Plant	მცენარეები
Platinum	პლატინა
Plato	პლატონი
Platypus	იხვნისკარტა
Playboy	პლეიბოი (ჟურნალი)
Pliny the Elder	პლინიუს უფროსი
Pliny the Younger	პლინიუს უმცროსი
Plovdiv	პლოვდივი
Plutarch	პლუტარქე
Pluto	პლუტონი (პლანეტა)
Poaceae	მარცვლოვანნი
Poetry	პოეზია
Poetry	კატეგორია:პოეზია
Poitou-Charentes	პუატუ-შარანტი
Poland	პოლონეთი
Poland	კატეგორია:პოლონეთი
Polar bear	თეთრი დათვი
Police	პოლიცია
Political party	პოლიტიკური პარტია
Political science	პოლიტოლოგია
Political science	კატეგორია:პოლიტოლოგია
Politics	პოლიტიკა
Polo	ცხენბურთი
Polonium	პოლონიუმი
Polygamy	პოლიგამია
Polygon	პენტაკონტაგონი
Polytheism	პოლითეიზმი
Pomegranate	ბროწეული
Pomelo	თურინჯი
Pompey	გნეუს პომპეუს მაგნუსი
Pop art	პოპ-არტი
Pope	რომის პაპი
Poplar	ვერხვი
Population	მოსახლეობა
Port-au-Prince	პორტ-ო-პრენსი
Portland	პორტლენდი
Porto	პორტუ
Portrait	პორტრეტი
Portugal	პორტუგალია
Portugal	კატეგორია:პორტუგალია
Poseidon	პოსეიდონი
Postmodernism	პოსტმოდერნიზმი
Potato	კარტოფილი
Potsdam	პოტსდამი
Pound sterling	ფუნტი სტერლინგი
Power (physics)	სიმძლავრე
Praetor	პრეტორი
Prague	პრაღა
Prague	კატეგორია:პრაღა
President	პრეზიდენტი
President of the United States	აშშ-ის პრეზიდენტი
Pretoria	პრეტორია
Priest	მღვდელი
Primates	კატეგორია:პრიმატები
Prime minister	პრემიერ-მინისტრი
Prime number	მარტივი რიცხვი
Prince Edward Island	პრინს-ედუარდის კუნძული
Princeton University	პრინსტონის უნივერსიტეტი
Principle of relativity	ფარდობითობის თეორია
Prism (geometry)	პრიზმა
Prix Goncourt	გონკურის პრემია
Probability theory	ალბათობის თეორია
Procyonidae	ენოტისებრნი
Programming language	დაპროგრამების ენა
Progressive rock	პროგრესული როკი
Prometheus	პრომეთე
Propaganda	პროპაგანდა
Prose	პროზა
Protein	ცილები
Protestantism	პროტესტანტიზმი
Prussia	პრუსია
Pseudoscience	კატეგორია:ფსევდო-მეცნიერებები
Psi (letter)	ფსი (ასო)
Psychiatry	კატეგორია:ფსიქიატრია
Psychoanalysis	ფსიქოანალიზი
Psychology	ფსიქოლოგია
Psychology	კატეგორია:ფსიქოლოგია
Puberty	პუბერტატი
Puerto Rico	პუერტო-რიკო
Punjab (India)	პენჯაბი (ინდოეთი)
Pyongyang	ფხენიანი
Pyrrhic victory	პიროსის გამარჯვება
Pythagoras	პითაგორა
Python (programming language)	პითონი (პროგრამირების ენა)
Q	Q
Qatar	კატარი
Qatar	კატეგორია:კატარი
Quadratic equation	კვადრატული განტოლება
Quadrilateral	ოთხკუთხედი
Quaestor	კვესტორი
Quantum mechanics	კვანტური მექანიკა
Quaternary	მეოთხეული სისტემა
Quebec	კვებეკი
Quebec City	კვებეკი (ქალაქი)
Queens	კუინზი
Queensland	კვინსლენდი
Quince	კომში
Quito	კიტო
R	R
RNA	რიბონუკლეინის მჟავა
Ra	რა (ღვთაება)
Rabindranath Tagore	რაბინდრანათ თაგორი
Raccoon Dog	ენოტისმსგავსი ძაღლი
Racism	რასიზმი
Racism	კატეგორია:რასიზმი
Radian	რადიანი
Radio	კატეგორია:რადიო
Rama	რამა
Ramesses II	რამზეს II
Random access memory	ოპერატიული მეხსიერება
Ranunculaceae	ბაიასებრნი
Raphael	რაფაელი
Rapid transit	კატეგორია:მეტროპოლიტენი
Rational number	რაციონალური რიცხვი
Real number	ნამდვილი რიცხვი
Rectangle	მართკუთხედი
Red Deer	კეთილშობილი ირემი
Red Panda	მცირე პანდა
Red Sea	წითელი ზღვა
Red algae	ძოწეული წყალმცენარეები
Red blood cell	ერითროციტები
Referendum	რეფერენდუმი
Reggae	რეგი
Region	რეგიონი
Religion	რელიგია
Religion	კატეგორია:რელიგია
Rembrandt	რემბრანდტი
Renaissance	რენესანსი
Renaissance	კატეგორია:რენესანსი
Reptile	ქვეწარმავლები
Republic	რესპუბლიკა
Republic of China	ტაივანი
Republic of Ireland	ირლანდიის რესპუბლიკა
Republic of Ireland	კატეგორია:ირლანდია
Republic of the Congo	კონგოს რესპუბლიკა
Republican Party (United States)	რესპუბლიკური პარტია (აშშ)
Resistor	რეზისტორი
Revolution	რევოლუცია
Rhea (mythology)	რეა
Rhetoric	რიტორიკა
Rhetoric	კატეგორია:რიტორიკა
Rhinoceros	მარტორქისებრნი
Rho (letter)	რო (ასო)
Rhode Island	როდ-აილენდი
Rhombus	რომბი
Rhyme	რითმა
Rhythm	რიტმი
Rhythm and blues	რიტმ-ენდ-ბლუზი
Rice	ბრინჯი
Richard Feynman	რიჩარდ ფეინმანი
Richard Nixon	რიჩარდ ნიქსონი
Richard Wagner	რიხარდ ვაგნერი
Richard Wright (musician)	რიჩარდ რაიტი
Riga	რიგა
Ringo Starr	რინგო სტარი
