Vietnamese	English
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (đơn vị)	Henry (unit)
Henry Cavendish	Henry Cavendish
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Hephaistos	Hephaestus
Hera (thần thoại)	Hera
Heraclitus	Heraclitus
Thể loại:Huy hiệu	Heraldry
Herbert Hoover	Herbert Hoover
Herbert Spencer	Herbert Spencer
Vũ Tiên (chòm sao)	Hercules (constellation)
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Ái nam ái nữ	Hermaphrodite
Hermes (thần thoại)	Hermes
Anh hùng dân tộc	Hero
Herod Đại đế	Herod the Great
Herodotus	Herodotus
Bạch phiến	Heroin
Hertz	Hertz
Hessen	Hesse
Thể loại:Hessen	Hesse
Hestia	Hestia
Hệ thập lục phân	Hexadecimal
Hezbollah	Hezbollah
Ngủ đông	Hibernation
Yukawa Hideki	Hideki Yukawa
Không gian Hilbert	Hilbert space
Himalaya	Himalayas
Ấn Độ giáo	Hinduism
Thể loại:Ấn Độ giáo	Hinduism
Hippocrates	Hippocrates
Lời thề Hippocrates	Hippocratic Oath
Hà mã	Hippopotamus
Hirohito	Hirohito
Hiroshima (thành phố)	Hiroshima
Mô học	Histology
Thể loại:Mô học	Histology
Lịch sử	History
Thể loại:Lịch sử	History
Hồ Chí Minh	Ho Chi Minh
Thành phố Hồ Chí Minh	Ho Chi Minh City
Hobart	Hobart
Hokusai	Hokusai
Hollywood	Hollywood
Holmi	Holmium
Thế Holocen	Holocene
Chén Thánh	Holy Grail
Đế quốc La Mã Thần thánh	Holy Roman Empire
Chúa Thánh Linh	Holy Spirit
Cân bằng nội môi	Homeostasis
Homer	Homer
Họ Người	Hominidae
Homo habilis	Homo habilis
Đồng tính luyến ái	Homosexuality
Honduras	Honduras
Mật ong	Honey
Hồng Kông	Hong Kong
Thể loại:Hồng Kông	Hong Kong
Honiara	Honiara
Honolulu, Hawaii	Honolulu
Horatio Nelson	Horatio Nelson
Kèn thợ săn	Horn (instrument)
Sừng Châu Phi	Horn of Africa
Mã lực	Horsepower
Hosni Mubarak	Hosni Mubarak
Bệnh viện	Hospital
Khách sạn	Hotel
Giờ	Hour
Đồng hồ cát	Hourglass
Nhà	House
Houston, Texas	Houston
Vịnh Hudson	Hudson Bay
Hugues Capet	Hugh Capet
Huguenot	Huguenot
Loài người	Human
Chủ nghĩa nhân đạo	Humanism
Chim ruồi	Hummingbird
Humphrey Bogart	Humphrey Bogart
Hồ Nam	Hunan
Chiến tranh Trăm năm	Hundred Years' War
Hungary	Hungary
Thể loại:Hungary	Hungary
Hyderabad, Andhra Pradesh	Hyderabad
Trường Xà	Hydra (constellation)
Hyđrocacbon	Hydrocarbon
Axít clohiđric	Hydrochloric acid
Thủy điện	Hydroelectricity
Hiđrô	Hydrogen
Liên kết hiđrô	Hydrogen bond
Nước ôxy già	Hydrogen peroxide
Thủy văn học	Hydrology
Thể loại:Thủy văn học	Hydrology
Thủy quyển	Hydrosphere
Hiđrôxít	Hydroxide
Thủy Xà	Hydrus
Linh cẩu	Hyena
Màng trinh	Hymen
Thể loại:Bộ Cánh màng	Hymenoptera
Bộ Cánh màng	Hymenoptera
Hyperbol	Hyperbola
Hyperion (thần thoại)	Hyperion (mythology)
Siêu văn bản	Hypertext
Hypertext Transfer Protocol	Hypertext Transfer Protocol
Thôi miên	Hypnosis
I	I
Ieoh Ming Pei	I. M. Pei
IPod	IPod
Ian Fleming	Ian Fleming
Bán đảo Iberia	Iberian Peninsula
Thời kỳ băng hà	Ice age
Iceland	Iceland
Thể loại:Iceland	Iceland
Idaho	Idaho
Chủ nghĩa duy tâm	Idealism
Phần tử đơn vị	Identity element
Lều tuyết	Igloo
Đá lửa (địa chất)	Igneous rock
Igor Stravinsky	Igor Stravinsky
Thác Iguazu	Iguazu Falls
Iliad	Iliad
Illinois	Illinois
Immanuel Kant	Immanuel Kant
Miễn dịch học	Immunology
Thể loại:Miễn dịch học	Immunology
Trường phái ấn tượng	Impressionism
Loạn luân	Incest
Incheon	Incheon
Độc lập	Independence
Ấn Độ	India
Thể loại:Ấn Độ	India
Ấn Độ Dương	Indian Ocean
Indiana	Indiana
Indianapolis, Indiana	Indianapolis
Indira Gandhi	Indira Gandhi
Indi	Indium
Đông Dương	Indochina
Indonesia	Indonesia
Thể loại:Indonesia	Indonesia
Lập luận quy nạp	Inductive reasoning
Cuộn cảm	Inductor
Ấn Đệ An	Indus (constellation)
Sông Ấn	Indus River
Cách mạng công nghiệp	Industrial Revolution
Công nghiệp	Industry
Thể loại:Công nghiệp	Industry
Bất đẳng thức	Inequality
Quán tính	Inertia
Bộ binh (quân đội)	Infantry
Vô tận	Infinity
Viêm	Inflammation
Lạm phát	Inflation
Bệnh cúm	Influenza
Thông tin	Information
Công nghệ thông tin	Information technology
Hồng ngoại	Infrared
Công trình hạ tầng xã hội	Infrastructure
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Nội Mông	Inner Mongolia
Hóa vô cơ	Inorganic chemistry
Côn trùng	Insect
Thuốc trừ sâu	Insecticide
Bộ Ăn sâu bọ	Insectivora
Insulin	Insulin
Bảo hiểm	Insurance
Số nguyên	Integer
Tích phân	Integral
Vi mạch	Integrated circuit
Sở hữu trí tuệ	Intellectual property
IQ	Intelligence quotient
Tên lửa liên lục địa	Intercontinental ballistic missile
Giao thoa	Interference
Cơ quan Năng lượng Nguyên tử Quốc tế	International Atomic Energy Agency
Tổ chức Hàng không Dân dụng Quốc tế	International Civil Aviation Organization
Tòa án Quốc tế vì Công lý	International Court of Justice
Đường đổi ngày quốc tế	International Date Line
Tổ chức Lao động Quốc tế	International Labour Organization
Quỹ tiền tệ quốc tế	International Monetary Fund
SI	International System of Units
Thể loại:Luật quốc tế	International law
Internet	Internet
Thể loại:Internet	Internet
Microsoft Internet Explorer	Internet Explorer
Trại tập trung	Internment
Trình thông dịch	Interpreter (computing)
Phép giao	Intersection (set theory)
Sáng chế	Invention
Io (vệ tinh)	Io (moon)
Iốt	Iodine
Ion	Ion
Biển Ionia	Ionian Sea
Liên kết ion	Ionic bond
Iowa	Iowa
Iran	Iran
Thể loại:Iran	Iran
Chiến tranh Iran-Iraq	Iran-Iraq War
Iraq	Iraq
Thể loại:Iraq	Iraq
Đảo Ireland	Ireland
Iridi	Iridium
Thể loại:Người Ireland	Irish people
Sắt	Iron
Thời đại đồ sắt	Iron Age
Số vô tỉ	Irrational number
Irtysh	Irtysh River
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Hồi giáo	Islam
Thể loại:Hồi giáo	Islam
Islamabad	Islamabad
Đảo	Island
Đảo Man	Isle of Man
Đồng phân	Isomer
Yamamoto Isoroku	Isoroku Yamamoto
Đồng vị	Isotope
Israel	Israel
Thể loại:Israel	Israel
Istanbul	Istanbul
Thể loại:Istanbul	Istanbul
Italo Calvino	Italo Calvino
Ý	Italy
Thể loại:Ý	Italy
Ivan Petrovich Pavlov	Ivan Pavlov
Ivan Sergeyevich Turgenev	Ivan Turgenev
Iwo Jima	Iwo Jima
J	J
Jack London	Jack London
Jacksonville, Florida	Jacksonville
Jacques Cartier	Jacques Cartier
Jacques Offenbach	Jacques Offenbach
Báo đốm Mỹ	Jaguar
Jakarta	Jakarta
Jamaica	Jamaica
James A. Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu và Kashmir	Jammu and Kashmir
Jane Austen	Jane Austen
Tháng một	January
1 tháng 1	January 1
19 tháng 1	January 19
20 tháng 1	January 20
6 tháng 1	January 6
Nhật Bản	Japan
Thể loại:Nhật Bản	Japan
Hoàng đản	Jaundice
Java	Java
Java (định hướng)	Java (disambiguation)
Java (ngôn ngữ lập trình)	Java (programming language)
Jawaharlal Nehru	Jawaharlal Nehru
Nhạc Jazz	Jazz
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jeddah	Jeddah
Jefferson Davis	Jefferson Davis
Nhân Chứng Giê-hô-va	Jehovah's Witnesses
Jena	Jena
Jersey	Jersey
Jerusalem	Jerusalem
Giê-su	Jesus
Người Do Thái	Jew
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Jeanne d'Arc	Joan of Arc
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Calvin	John Calvin
John Dalton	John Dalton
John Galsworthy	John Galsworthy
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John von Neumann	John von Neumann
Jordan	Jordan
Jorge Luis Borges	Jorge Luis Borges
Paul Joseph Göbbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Joseph Louis Gay-Lussac
Iosif Vissarionovich Stalin	Joseph Stalin
Joule	Joule
Do Thái giáo	Judaism
Judas Iscariot	Judas Iscariot
Judo	Judo
Jules Verne	Jules Verne
Lịch Julius	Julian calendar
Julius Caesar	Julius Caesar
Tháng bảy	July
1 tháng 7	July 1
4 tháng 7	July 4
Tháng sáu	June
14 tháng 6	June 14
21 tháng 6	June 21
23 tháng 6	June 23
24 tháng 6	June 24
29 tháng 6	June 29
3 tháng 6	June 3
Sao Mộc	Jupiter
Kỷ Jura	Jurassic
Justinian I	Justinian I
Jutland	Jutland
K	K
KGB	KGB
Kabul	Kabul
Kalahari	Kalahari Desert
Bán đảo Kamchatka	Kamchatka Peninsula
Thần phong	Kamikaze
Kampala	Kampala
Kandahar	Kandahar
Kangaroo	Kangaroo
Kansas	Kansas
Kappa	Kappa
Karachi	Karachi
Karaoke	Karaoke
Karate	Karate
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Nghiệp	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Kathmandu
Katowice	Katowice
Kaunas	Kaunas
Kayak	Kayak
Kazakhstan	Kazakhstan
Thể loại:Kazakhstan	Kazakhstan
Kelvin	Kelvin
Kentucky	Kentucky
Kenya	Kenya
Thể loại:Kenya	Kenya
Dầu hỏa	Kerosene
Ketchup	Ketchup
Bàn phím máy tính	Keyboard (computing)
Hãn	Khan
Kharkiv	Kharkiv
Khartoum	Khartoum
Khmer Đỏ	Khmer Rouge
Khufu	Khufu
Kiev	Kiev
Kigali	Kigali
Kilôgam	Kilogram
Kilômét	Kilometre
Kimono	Kimono
Động năng	Kinetic energy
Giới (sinh học)	Kingdom (biology)
Kingston, Jamaica	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Hôn	Kiss
Dao	Knife
Hiệp sĩ	Knight
Tri thức	Knowledge
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobe	Kobe
Kolkata	Kolkata
Komodo	Komodo dragon
Triều Tiên	Korea
Thể loại:Triều Tiên	Korea
Chiến tranh Triều Tiên	Korean War
Kosovo	Kosovo
Kremli	Kremlin
Krypton	Krypton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Hốt Tất Liệt	Kublai Khan
Vành đai Kuiper	Kuiper belt
Kung fu	Kung fu (term)
Côn Lôn (núi)	Kunlun Mountains
Trung Hoa Quốc dân Đảng	Kuomintang
Kurdistan	Kurdistan
Kursk	Kursk
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait
Thành phố Kuwait	Kuwait City
Kyōto	Kyoto
Kyrgyzstan	Kyrgyzstan
Thể loại:Kyrgyzstan	Kyrgyzstan
L	L
LAMP	LAMP (software bundle)
La Paz	La Paz
Đảng Lao Động Anh	Labour Party (UK)
Hiết Hổ	Lacerta
Lagos	Lagos
Lahore	Lahore
Hồ	Lake
Hồ Baikal	Lake Baikal
Hồ Tchad	Lake Chad
Hồ Erie	Lake Erie
Hồ Eyre	Lake Eyre
Hồ Huron	Lake Huron
Hồ Michigan	Lake Michigan
Hồ Ontario	Lake Ontario
Hồ Superior	Lake Superior
Hồ Victoria	Lake Victoria
Ngôn ngữ	Language
Languedoc-Roussillon	Languedoc-Roussillon
Nhóm Lantan	Lanthanide
Lantan	Lanthanum
Lào	Laos
Thể loại:Lào	Laos
Biển Laptev	Laptev Sea
Máy tính xách tay	Laptop
Ấu trùng	Larva
Las Vegas, Nevada	Las Vegas
Laser	Laser
Latinh	Latin
Mỹ Latinh	Latin America
Latvia	Latvia
Thể loại:Latvia	Latvia
Laurasia	Laurasia
Lausanne	Lausanne
Luật pháp	Law
Thể loại:Luật pháp	Law
Thể loại:Cảnh sát	Law enforcement
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Chì	Lead
Lá	Leaf
Hội Quốc Liên	League of Nations
Tháp nghiêng Pisa	Leaning Tower of Pisa
Năm nhuận	Leap year
Học	Learning
Liban	Lebanon
Thể loại:Liban	Lebanon
Leeds	Leeds
Thuận tay trái	Left-handed
Truyền thuyết	Legend
Lập pháp	Legislature
Lego	Lego
Leicester	Leicester
Leipzig	Leipzig
Sông Lena	Lena River
Chiều dài	Length
Thấu kính	Lens (optics)
Sư Tử (chòm sao)	Leo (constellation)
Lev Davidovich Trotsky	Leon Trotsky
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Ilyich Brezhnev	Leonid Brezhnev
Báo hoa mai	Leopard
Bệnh phong cùi	Leprosy
Lepton	Lepton
Thiên Thố	Lepus (constellation)
Lesotho	Lesotho
Ung thư bạch cầu	Leukemia
Lhasa	Lhasa
Chủ nghĩa tự do	Liberalism
Thể loại:Chủ nghĩa tự do	Liberalism
Những con Hổ giải phóng Tamil	Liberation Tigers of Tamil Eelam
Liberia	Liberia
Thiên Xứng (chòm sao)	Libra (constellation)
Thư viện	Library
Khoa học thư viện	Library science
Libreville	Libreville
Libya	Libya
Thể loại:Libya	Libya
Địa y	Lichen
Liechtenstein	Liechtenstein
Sự sống	Life
Thể loại:Sự sống	Life
Ánh sáng	Light
Luxeon	Light-emitting diode
Năm ánh sáng	Light-year
Bật lửa	Lighter
Họ Loa kèn	Liliaceae
Lilith	Lilith
Lille	Lille
Lilongwe	Lilongwe
Lima	Lima
Đá vôi	Limestone
Limousin	Limousin (region)
Đường thẳng	Line (mathematics)
Đại số tuyến tính	Linear algebra
Thể loại:Đại số tuyến tính	Linear algebra
Phương trình tuyến tính	Linear equation
Ngôn ngữ học	Linguistics
Thể loại:Ngôn ngữ học	Linguistics
Linux	Linux
Thể loại:Linux	Linux
Sư tử	Lion
Lipit	Lipid
Màn hình tinh thể lỏng	Liquid crystal display
Lisboa	Lisbon
Văn chương	Literature
Thể loại:Văn học	Literature
Chủ đề:Văn học	Literature
Liti	Lithium
In thạch bản	Lithography
Thạch quyển	Lithosphere
Litva	Lithuania
Thể loại:Litva	Lithuania
Lít	Litre
Liverpool	Liverpool
Titus Livius	Livy
Ljubljana	Ljubljana
LAN	Local area network
Loch Ness	Loch Ness
Quái vật hồ Loch Ness	Loch Ness Monster
Đầu máy xe lửa	Locomotive
Logic	Logic
Thể loại:Lôgic	Logic
Logo	Logo
Loire	Loire
Loki (thần thoại)	Loki
Lolita	Lolita
Luân Đôn	London
Thể loại:London	London
Long Beach, California	Long Beach
Kinh Lạy Cha	Lord's Prayer
Lorraine	Lorraine (region)
Los Angeles, California	Los Angeles
Loa	Loudspeaker
Louis Aragon	Louis Aragon
Louis Pasteur	Louis Pasteur
Louisiana	Louisiana
Bảo tàng Louvre	Louvre
Tình yêu	Love
Niedersachsen	Lower Saxony
Luanda	Luanda
Luciano Pavarotti	Luciano Pavarotti
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luigi Pirandello	Luigi Pirandello
Nguyệt thực	Lunar eclipse
Phổi	Lung
Ung thư phổi	Lung cancer
Cá phổi	Lungfish
Thiên Lang	Lupus (constellation)
Lusaka	Lusaka
Giáo hội Luther	Lutheranism
Lux	Lux
Luxembourg	Luxembourg
Luxembourg (thành phố)	Luxembourg (city)
Luxor	Luxor
Luzon	Luzon
Vải (cây)	Lychee
Lyon	Lyon
Thiên Cầm (chòm sao)	Lyra
Lysosome	Lysosome
M	M
Thuyết M	M-theory
MESSENGER	MESSENGER
MIME	MIME
MS-DOS	MS-DOS
Ma Cao	Macau
Vương quốc Macedonia	Macedon
Macedonia (định hướng)	Macedonia
Số Mach	Mach number
Ngôn ngữ máy	Machine code
Súng máy	Machine gun
Machu Picchu	Machu Picchu
Kinh tế học vĩ mô	Macroeconomics
Thể loại:Kinh tế học vĩ mô	Macroeconomics
Madagascar	Madagascar
Madeira	Madeira
Madison, Wisconsin	Madison
Madonna (ca sĩ)	Madonna (entertainer)
Madrid	Madrid
Mafia	Mafia
Maghreb	Maghreb
Macma	Magma
Magiê	Magnesium
Nam châm	Magnet
Từ trường	Magnetic field
Chụp cộng hưởng từ	Magnetic resonance imaging
Từ học	Magnetism
Thể loại:Từ học	Magnetism
Kính lúp	Magnifying glass
Thể loại:Thực vật hai lá mầm	Magnoliopsida
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Đại thừa	Mahayana
Tiêu bản:Chính	Main
Maine	Maine
Máy tính lớn	Mainframe computer
Di-lặc	Maitreya
Ngô	Maize
Thiếu tá	Major
Âm giai Trưởng tự nhiên	Major scale
Malabo	Malabo
Malachit	Malachite
Sốt rét	Malaria
Bán đảo Mã Lai	Malay Peninsula
Lợn vòi	Malayan Tapir
Malaysia	Malaysia
Thể loại:Malaysia	Malaysia
Malcolm X	Malcolm X
Maldives	Maldives
Mali	Mali
Vịt cổ xanh	Mallard
Malta	Malta
Họ Cẩm quỳ	Malvaceae
Lớp Thú	Mammal
Voi ma mút	Mammoth
Managua	Managua
Manama	Manama
Lợn biển	Manatee
Manchester	Manchester
Mãn Châu	Manchuria
Mạn-đà-la	Mandala
Quan thoại	Mandarin (linguistics)
Mangan	Manganese
Xoài	Mango
Dự án Manhattan	Manhattan Project
Minh giáo	Manichaeism
Manila	Manila
Manipur	Manipur
Manitoba	Manitoba
Mannheim	Mannheim
Chân ngôn	Mantra
Bản thảo	Manuscript
Mao Trạch Đông	Mao Zedong
Bản đồ	Map
Chi Phong	Maple
Maputo	Maputo
Marcel Proust	Marcel Proust
Tháng ba	March
17 tháng 3	March 17
19 tháng 3	March 19
2 tháng 3	March 2
25 tháng 3	March 25
Marco Polo	Marco Polo
Marcus Junius Brutus	Marcus Junius Brutus
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Marie Antoinette	Marie Antoinette
Marie Curie	Marie Curie
Marilyn Monroe	Marilyn Monroe
Mark Twain	Mark Twain
Chợ	Market
Tiếp thị	Marketing
Thể loại:Tiếp thị	Marketing
Ngôn ngữ đánh dấu	Markup language
Marlene Dietrich	Marlene Dietrich
Marrakech	Marrakech
Hôn nhân	Marriage
Thể loại:Sao Hỏa	Mars
Marseille	Marseille
Quần đảo Marshall	Marshall Islands
Kế hoạch Marshall	Marshall Plan
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martinique	Martinique
Anh em nhà Marx	Marx Brothers
Chủ nghĩa Marx	Marxism
Maria (mẹ Giê-su)	Mary (mother of Jesus)
Mary Magdalene	Mary Magdalene
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Thể loại:Maryland	Maryland
Maseru	Maseru
Mashhad	Mashhad
Khối lượng	Mass
Số khối	Mass number
Massachusetts	Massachusetts
Thể loại:Massachusetts	Massachusetts
MIT	Massachusetts Institute of Technology
Thủ dâm	Masturbation
Chủ nghĩa duy vật	Materialism
Thể loại:Lôgic toán	Mathematical logic
Toán học	Mathematics
Thể loại:Toán học	Mathematics
Ma trận (toán học)	Matrix (mathematics)
Vật chất	Matter
Thứ năm Tuần Thánh	Maundy Thursday
Mauritanie	Mauritania
Mauritius	Mauritius
Thể loại:Mauritius	Mauritius
Max Born	Max Born
Max Planck	Max Planck
Max Weber	Max Weber
Phương trình Maxwell	Maxwell's equations
Tháng năm	May
1 tháng 5	May 1
24 tháng 5	May 24
Mayenne	Mayenne
Mayonnaise	Mayonnaise
Sởi	Measles
Độ đo	Measure (mathematics)
Thể loại:Khoa đo lường	Measurement
Đo lường	Measurement
Mecca	Mecca
Kĩ thuật cơ khí	Mechanical engineering
Thể loại:Kĩ thuật cơ khí	Mechanical engineering
Thể loại:Cơ học	Mechanics
Số trung vị	Median
Y học	Medicine
Thể loại:Y học	Medicine
Thể loại:Địa Trung Hải	Mediterranean
Địa Trung Hải	Mediterranean Sea
Medusa	Medusa
Megabyte	Megabyte
Mê Kông	Mekong
Melanesia	Melanesia
Memphis (Ai Cập)	Memphis
Viêm màng não	Meningitis
Chu kỳ kinh nguyệt	Menstrual cycle
Chủ nghĩa trọng thương	Mercantilism
Thủy Tinh	Mercury
Thủy ngân	Mercury (element)
Sao Thủy	Mercury (planet)
Kinh tuyến	Meridian (geography)
Meryl Streep	Meryl Streep
Meson	Meson
Lưỡng Hà	Mesopotamia
Đại Trung sinh	Mesozoic
RNA thông tin	Messenger RNA
Trao đổi chất	Metabolism
Metadata	Metadata
Kim loại	Metal
Liên kết kim loại	Metallic bond
Á kim	Metalloid
Luyện kim	Metallurgy
Thể loại:Luyện kim	Metallurgy
Đá biến chất	Metamorphic rock
Siêu hình học	Metaphysics
Thể loại:Siêu hình học	Metaphysics
Mưa sao băng	Meteor shower
Vẫn thạch	Meteorite
Thể loại:Khí tượng học	Meteorology
Khí tượng học	Meteorology
Phong trào Giám Lý	Methodism
Thuốc lắc	Methylenedioxymethamphetamine
Hoán dụ	Metonymy
Mét	Metre
Không gian mêtric	Metric space
Meuse	Meuse
Sông Maas	Meuse River
Mexico	Mexico
Thể loại:Mexico	Mexico
Thành phố Mexico	Mexico City
Miami, Florida	Miami
Michael Faraday	Michael Faraday
Michel Ney	Michel Ney
Michelangelo	Michelangelo
Michigan	Michigan
Chuột Mickey	Mickey Mouse
Vi sinh vật học	Microbiology
Thể loại:Vi sinh học	Microbiology
Kinh tế học vi mô	Microeconomics
Thể loại:Kinh tế học vi mô	Microeconomics
Vi sinh vật	Microorganism
Vi xử lý	Microprocessor
Kính hiển vi	Microscope
Hiển Vi Kính (chòm sao)	Microscopium
Vi ba	Microwave
Lò vi sóng	Microwave oven
Thời kỳ Trung Cổ	Middle Ages
Thể loại:Thời Trung cổ	Middle Ages
Trung Đông	Middle East
Thể loại:Trung Đông	Middle East
Miguel de Cervantes	Miguel de Cervantes
Mikhail Sergeyevich Gorbachyov	Mikhail Gorbachev
Milano	Milan
Dặm Anh	Mile
Miles Davis	Miles Davis
Thể loại:Quân sự	Military
Quân hàm	Military rank
Sữa	Milk
Ngân Hà	Milky Way
Millard Fillmore	Millard Fillmore
Milimét	Millimetre
Triệu	Million
Milton Friedman	Milton Friedman
Milwaukee, Wisconsin	Milwaukee
Mindanao	Mindanao
Khoáng vật	Mineral
Thể loại:Khoáng vật học	Mineralogy
Nhà Minh	Ming Dynasty
Phong cách tối giản	Minimalism
Khai mỏ	Mining
Bộ trưởng	Minister (government)
Minneapolis, Minnesota	Minneapolis
Minnesota	Minnesota
Thể loại:Minnesota	Minnesota
Âm giai Thứ tự nhiên	Minor scale
Minotaur	Minotaur
Minsk	Minsk
Phút	Minute
Thế Miocen	Miocene
Sông Mississippi	Mississippi River
Missouri	Missouri
Thể loại:Missouri	Missouri
Sông Missouri	Missouri River
Ti thể	Mitochondrion
Điện thoại di động	Mobile phone
Modem	Modem
Điều chế tín hiệu	Modulation
Mogadishu	Mogadishu
Moldova	Moldova
Mol	Mole (unit)
Sinh học phân tử	Molecular biology
Thể loại:Sinh học phân tử	Molecular biology
Phân tử	Molecule
Động vật thân mềm	Mollusca
Mô lip đen	Molybdenum
Động lượng	Momentum
Monaco	Monaco
Thể loại:Monaco	Monaco
Thứ Hai	Monday
Tiền	Money
Mông Cổ	Mongolia
Thể loại:Mông Cổ	Mongolia
Thuyết nhất nguyên	Monism
Thực vật một lá mầm	Monocotyledon
Độc quyền (kinh tế)	Monopoly
Glutamat natri	Monosodium glutamate
Độc thần giáo	Monotheism
Monrovia	Monrovia
Mons	Mons
Gió mùa	Monsoon
Mont Blanc	Mont Blanc
Montana	Montana
Montenegro	Montenegro
Montevideo	Montevideo
Montréal	Montreal
Montserrat	Montserrat
Mặt Trăng	Moon
Moravia	Moravia
Maroc	Morocco
Thể loại:Maroc	Morocco
Morphine	Morphine
Hình thái học	Morphology
Tín hiệu Morse	Morse code
Súng cối	Mortar (weapon)
Moskva	Moscow
Thể loại:Moskva	Moscow
Moselle	Moselle
Moses	Moses
Muỗi	Mosquito
Mossad	Mossad
Bản Motet	Motet
Mẹ Teresa	Mother Teresa
Chuyển động	Motion (physics)
Mô tô	Motorcycle
Núi Athos	Mount Athos
Everest	Mount Everest
Núi Phú Sĩ	Mount Fuji
Núi Kilimanjaro	Mount Kilimanjaro
Núi McKinley	Mount McKinley
Núi Rushmore	Mount Rushmore
Núi St. Helens	Mount St. Helens
Núi	Mountain
Đèo	Mountain pass
Chuột	Mouse
Mozambique	Mozambique
Muhammad	Muhammad
Muhammad Ali	Muhammad Ali
La (động vật)	Mule
Mumbai	Mumbai
Xác ướp	Mummy
München	Munich
Murmansk	Murmansk
Thương Dăng	Musca
Muscat, Oman	Muscat
Mô cơ	Muscle
Muse (thần thoại)	Muse
Bảo tàng	Museum
Âm nhạc	Music
Thể loại:Âm nhạc	Music
MIDI	Musical Instrument Digital Interface
Súng hỏa mai	Musket
Họ Chồn	Mustelidae
Đột biến sinh học	Mutation
Thể loại:Myanma	Myanmar
Nhồi máu cơ tim	Myocardial infarction
Cận thị	Myopia
Thể loại:Thần thoại	Mythology
N	N
N'Djamena	N'Djamena
NATO	NATO
Thể loại:NATO	NATO
Nadine Gordimer	Nadine Gordimer
Thiên để	Nadir
Nagasaki (thành phố)	Nagasaki
Nagoya	Nagoya
Nairobi	Nairobi
Sa mạc Namib	Namib Desert
Namibia	Namibia
Thể loại:Namibia	Namibia
Nancy	Nancy
Nam Kinh	Nanjing
Công nghệ nano	Nanotechnology
Nantes	Nantes
Bom napan	Napalm
Napoli	Naples
Các cuộc chiến tranh của Napoléon	Napoleonic Wars
Nashville, Tennessee	Nashville
Nathaniel Hawthorne	Nathaniel Hawthorne
Cơ quan An ninh Quốc gia Hoa Kỳ	National Security Agency
Quốc ca	National anthem
Vườn quốc gia	National park
Chủ nghĩa dân tộc	Nationalism
Thể loại:Chủ nghĩa dân tộc	Nationalism
Khí thiên nhiên	Natural gas
Số tự nhiên	Natural number
