English	Tamil
Potato	உருளைக் கிழங்கு
Potential energy	நிலை ஆற்றல்
Poverty	வறுமை
Prague	பிராக்
Praseodymium	பிரசியோடைமியம்
Prehistory	தொல் பழங்காலம்
Pressure	அழுத்தம்
Priam	பிரையம்
Price	விலை
Primate	முதனி
Prime number	பகா எண்
Prince Edward Island	இளவரசர் எட்வர்ட் தீவு
Prism (geometry)	நாள்மீன் பட்டகம்
Prism (optics)	பட்டகம்
Probability	நிகழ்தகவு
Probability theory	நிகழ்தகவுக் கோட்பாடு
Programmer	நிரலாளர்
Programming language	ஆணைமூலம்
Project	செயற்றிட்டம்
Promethium	புரோமித்தியம்
Protein	புரதம்
Proton	நேர்மின்னி
Providence	பிராவிடென்ஸ்
Psychology	உளவியல்
Ptolemy	தொலெமி
Puberty	பூப்பு
Puerto Rico	புவேர்ட்டோ ரிக்கோ
Punctuation	நிறுத்தக்குறிகள்
Punjab (India)	பஞ்சாப் (இந்தியா)
Pyongyang	பியொங்யாங்
Python (programming language)	பைத்தோன்
Qatar	கட்டார்
Quadrilateral	நாற்கரம்
Quantum mechanics	குவாண்டம் பொறிமுறை
Quark	குவார்க்
Quasar	துடிப்பண்டம்
Quebec	கியூபெக்
Quebec City	கியூபெக் நகரம்
Queensland	குயின்ஸ்லாந்து
RNA	ரைபோ கரு அமிலம்
Rabindranath Tagore	இரவீந்திரநாத் தாகூர்
Radioactive decay	கதிரியக்கம்
Radiocarbon dating	கதிரியக்கக்கரிமக் காலக்கணிப்பு
Radium	ரேடியம்
Radius	ஆரம்
Rain	மழை
Rainbow	வானவில்
Raleigh	ராலீ
Rama	இராமர்
Ramadan	ரமலான் நோன்பு
Ramayana	இராமாயணம்
Ramesses II	ராமேசஸஸ் II
Random access memory	நினைவகம்
Rape	வன்கலவி
Rawalpindi	ராவல்பிண்டி
Rectangle	செவ்வகம்
Rectifier	சீராக்கி
Red	சிவப்பு
Red Panda	சிவப்பு பாண்டா
Red Sea	செங்கடல்
Red blood cell	இரத்தச் சிவப்பணு
Refraction	ஒளி முறிவு
Reggae	ரெகே
Regina	ரெஜைனா
Rembrandt	ரெம்பிரான்ட்
Renaissance	மறுமலர்ச்சி
Reptile	ஊர்வன
Republic of China	சீனக் குடியரசு
Republic of Ireland	அயர்லாந்து குடியரசு
Republic of the Congo	கொங்கோ குடியரசு
Republican Party (United States)	குடியரசுக் கட்சி (ஐக்கிய அமெரிக்கா)
Resistor	மின்தடையம்
Restaurant	உணவகம்
Rhode Island	றோட் தீவு
Rhodium	ரோடியம்
Rib	விலா எலும்பு
Rice	நெல்
Richmond	ரிச்மன்ட்
Ring (mathematics)	வளையம் (கணிதம்)
Rio Grande	ரியோ கிராண்டே
Rio de Janeiro	ரியோ டி ஜனேரோ
River	ஆறு
Riyadh	ரியாத்
Robert De Niro	ரொபேர்ட் டி நீரோ
Robert Hooke	ராபர்ட் ஹூக்
Robert Koch	ராபர்ட் கோக்
Robot	இயந்திரவியல்
Rock (geology)	பாறை
Rodent	கொறிணி
Roman Catholic Church	கத்தோலிக்கம்
Roman Empire	ரோமப் பேரரசு
Romania	ருமேனியா
Romania	பகுப்பு:ருமேனியா
Rome	ரோம்
Ronald Reagan	ரோனால்டு ரேகன்
Rosa Parks	றோசா பாக்ஸ்
Rosetta Stone	ரொசெட்டா கல்
Rubidium	ருபீடியம்
Ruby (programming language)	ரூபி
Rudyard Kipling	ரூட்யார்ட் கிப்ளிங்
Russia	ரஷ்யா
Russia	பகுப்பு:ரஷ்யா
Ruthenium	ருத்தேனியம்
Rwanda	ருவாண்டா
Sacramento	சேக்ரமெண்டோ
Saddam Hussein	சதாம் உசேன்
Sahara	சஹாரா
Saint	புனிதர்
Saint Kitts and Nevis	செயிண்ட் கிட்சும் நெவிசும்
Saint Nicholas	புனித நிக்கலஸ்
Saint Paul	செயின்ட் பால் (மினசோட்டா)
Saint Peter	புனித பேதுரு
Saint Petersburg	சென் பீட்டர்ஸ்பேர்க்
Saint Vincent and the Grenadines	செயிண்ட். வின்செண்ட் கிரெனேடின்ஸ்
Salem	சேலம் (ஒரிகன்)
Saliva	உமிழ்நீர்
Salt Lake City	சால்ட் லேக் நகரம்
Samarium	சமாரியம்
Samoa	சமோவா
Samurai	சாமுராய்
San Antonio	சான் அன்டோனியோ
San Diego	சான் டியேகோ
San Francisco	சான் பிரான்சிஸ்கோ
San Jose	சான் ஹொசே, கலிபோர்னியா
San Juan	சான் வான் (புவேர்ட்டோ ரிக்கோ)
San Marino	சான் மரீனோ
Sandstone	மணற்கல்
Sanskrit	சமஸ்கிருதம்
Santa Fe	சான்டா ஃபே
Sapporo	சப்போரோ
Saskatchewan	சஸ்காச்சுவான்
Satan	சாத்தான்
Saturn	சனி (கோள்)
Saturn (disambiguation)	சனி
Saudi Arabia	சவுதி அரேபியா
School	பள்ளிக்கூடம்
Science	அறிவியல்
Scientific method	அறிவியல் அறிவு மார்க்கம்
Scorpion	தேள்
Scotland	ஸ்காட்லாந்து
Sea	கடல்
Sea level	சராசரி கடல் மட்டம்
Search engine	தேடுபொறி
Sears Tower	சியேர்ஸ் கோபுரம்
Seattle	சியாட்டில்
Second	நொடி (கால அளவு)
Sedimentary rock	படிவுப் பாறை
Selenium	செலீனியம்
Semantics	சொற்பொருளியல்
Semiconductor	குறைமின்கடத்தி
Semiotics	குறியியல்
Senegal	செனகல்
Seoul	சியோல்
September	செப்டம்பர்
September 11	செப்டம்பர் 11
September 11	செப்டம்பர் 11, 2001 தாக்குதல்கள்
September 17	செப்டம்பர் 17
September 29	செப்டம்பர் 29
Sequence	தொடர்வரிசை
Serbia	செர்பியா
Serine	செர்ரீன்
Set	கணம் (கணிதம்)
Sexual intercourse	பாலுறவு
Sexually transmitted disease	பால்வினை நோய்கள்
Seychelles	சேஷெல்ஸ்
Shanghai	சாங்காய்
Shark	சுறா
Shinto	சின்த்தோ
Ship	கப்பல்
Shiva	சிவன்
Sicily	சிசிலி
Sierra Leone	சியேரா லியோனி
Sikhism	சீக்கியம்
Sikkim	சிக்கிம்
Silicon	சிலிக்கான்
Silicon Valley	சிலிக்கான் பள்ளத்தாக்கு
Silk Road	பட்டுப் பாதை
Silver	வெள்ளி (உலோகம்)
Singapore	சிங்கப்பூர்
Singapore	பகுப்பு:சிங்கப்பூர்
Skyscraper	வானளாவி
Slavery	அடிமை முறை
Slovakia	சிலோவேக்கியா
Slovenia	சுலோவீனியா
Snake	பாம்பு
Snow	பனித்தூவி
Soap	சவர்க்காரம்
Socialism	சமவுடமை
Sociology	சமூகவியல்
Socrates	சாக்கிரட்டீஸ்
Sodium	சோடியம்
Softball	மெதுபந்தாட்டம்
Solar System	சூரியக் குடும்பம்
Solar energy	சூரிய ஆற்றல்
Solomon Islands	சொலமன் தீவுகள்
Somalia	சோமாலியா
Sound	ஒலி
South	தெற்கு
South America	தென் அமெரிக்கா
South America	பகுப்பு:தென் அமெரிக்கா
South Australia	தெற்கு ஆஸ்திரேலியா
South Carolina	தென் கரோலினா
South China Sea	தென்சீனக்கடல்
South Dakota	தென் டகோட்டா
South Korea	தென்கொரியா
South Korea	பகுப்பு:தென்கொரியா
Soviet Union	சோவியத் ஒன்றியம்
Space station	விண்வெளி நிலையங்கள்
Spain	ஸ்பெயின்
Spain	பகுப்பு:ஸ்பெயின்
Species	இனம் (உயிரியல்)
Spectroscopy	நிறமாலையியல்
Sport	விளையாட்டு
Springfield	ஸ்பிரிங்ஃபீல்ட் (இலினொய்)
Square (geometry)	சதுரம்
Squash (sport)	ஸ்குவாஷ்
Sri Lanka	இலங்கை
Sri Lanka	பகுப்பு:இலங்கை
St. Louis	செயின்ட் லூயிஸ் (மிசூரி)
Stanford University	ஸ்டான்ஃபர்ட் பல்கலைக்கழகம்
Star	விண்மீன்
State	மாநிலம்
Statistics	புள்ளியியல்
Statue of Liberty	சுதந்திரச் சிலை
Steam	நீராவி
Steam engine	நீராவிப் பொறி
Steel	உருக்கு (உலோகம்)
Steffi Graf	ஸ்ரெஃபி கிராஃப்
Stem cell	குருத்துத் திசுள்
Stephen Hawking	ஸ்டீபன் ஹோக்கிங்
Steven Spielberg	ஸ்டீவன் ஸ்பில்பேர்க்
Stockholm	ஸ்டாக்ஹோம்
Stonehenge	ஸ்டோன் ஹெஞ்ச்
Strait	நீரிணை
Strait of Gibraltar	ஜிப்ரால்ட்டர் நீரிணை
Strait of Hormuz	ஹோர்முஸ் நீரிணை
Strait of Magellan	மகெல்லன் நீரிணை
Stress (medicine)	மனவுளைச்சல்
Strontium	ஸ்ட்ரோன்ஷியம்
Stuttgart	ஸ்டுட்கார்ட்
Subtraction	கழித்தல் (கணிதம்)
Sudan	சூடான்
Sudan	பகுப்பு:சூடான்
Sudoku	சுடோக்கு
Suez Canal	சுயஸ் கால்வாய்
Sugar	சீனி
Suharto	சுகார்ட்டோ
Sulfur	கந்தகம்
Sumatra	சுமாத்திரா
Sumer	சுமேரியா
Sumo	சுமோ மற்போர்
Sun	சூரியன்
Sun Yat-sen	சுன் இ சியன்
Sunday	ஞாயிறு (கிழமை)
Sunni Islam	சுணி இசுலாம்
Suriname	சுரிநாம்
Surrealism	அடிமன வெளிப்பாட்டியம்
Sushi	சுஷி
Swaziland	சுவாசிலாந்து
Sweden	சுவீடன்
Swedish krona	சுவீடிய குரோனா
Switzerland	சுவிட்சர்லாந்து
Sydney	சிட்னி
Syntax	சொற்றொடரியல்
Syphilis	சிபிலிசு
Syria	சிரியா
System	ஒழுங்கமைப்பு
Table (furniture)	மேசை
Table tennis	மேசைப்பந்தாட்டம்
Taekwondo	டைக்குவாண்டோ
Tahiti	டெஹீட்டி
Taiwan	தாய்வான்
Taj Mahal	தாஜ் மஹால்
Tajikistan	தஜிகிஸ்தான்
Talc	டால்க்
Taliban	தலிபான்
Tallahassee	டலஹாசி
Tamil Nadu	தமிழ்நாடு
Tampa	டாம்ப்பா
Tanzania	தான்சானியா
Tasmania	தாஸ்மானியா
Taxus baccata	தாளிசபத்திரி
Tea	தேநீர்
Technetium	டெக்னீசியம்
Tehran	தெஹ்ரான்
Telecommunication	தொலைத்தொடர்பு
Telephone	தொலைபேசி
Telescope	தொலைநோக்கி
Television	தொலைக்காட்சி
Tellurium	டெலூரியம்
Temperature	வெப்பநிலை
Ten Commandments	பத்துக் கட்டளைகள்
Tennessee	டென்னிசி
Tennis	டென்னிஸ்
Tenzing Norgay	டென்சிங் நோர்கே
Terbium	டெர்பியம்
Tetrahedron	நான்முக முக்கோணகம்
Texas	டெக்சாஸ்
Textile	துணி
Thailand	தாய்லாந்து
Thales	தாலஸ்
The Gambia	காம்பியா
The Hague	டென் ஹாக்
The Star-Spangled Banner	த ஸ்டார்-ஸ்பாங்கிள்ட் பானர்
Theodolite	தியோடலைட்டு
Theory of relativity	சார்புக் கோட்பாடு
Thermodynamics	வெப்ப இயக்கவியல்
Think tank	மதியுரையகம்
Thomas Edison	தொமஸ் அல்வா எடிசன்
Thomas Jefferson	தாமஸ் ஜெஃவ்வர்சன்
Thought	சிந்தனை
Thursday	வியாழன் (கிழமை)
Thyroid	கேடயச் சுரப்பி
Tiber	டைபர்
Tibet	திபெத்
Tiger	புலி
Time	நேரம்
Time zone	நேர வலயம்
Timor	திமோர்
Tin	வெள்ளீயம்
Tissue (biology)	திசு
Titanium	டைட்டேனியம்
Tocopherol	உயிர்ச்சத்து E
Togo	டோகோ
Tokyo	டோக்கியோ
Toluene	தொலுயீன்
Tom Hanks	டொம் ஹாங்க்ஸ்
Tomato	தக்காளி
Ton	டன்
Tonga	தொங்கா
Tongue	நாக்கு
Toni Morrison	டொனி மொறிசன்
Tony Blair	டோனி பிளேர்
Tooth	பல்
Toothbrush	பற்தூரிகை
Topeka	டொபீகா
Topology	இடவியல்
Tornado	குழல் காற்று
Toronto	ரொறன்ரோ
Torpedo	நீர்மூழ்கிக் குண்டு
Torque	முறுக்கு விசை
Tourism	சுற்றுலா
Toy	பொம்மை
Train	தொடர்வண்டி
Transformer	மின்மாற்றி
Transistor	திரிதடையம்
Transliteration	எழுத்துப்பெயர்ப்பு
Transportation	பகுப்பு:போக்குவரத்து
Trapezoid	சரிவகம்
Tree	மரம்
Trenton	இட்ரென்டன்
Triangle	முக்கோணம்
Trigonometry	முக்கோணவியல்
Trigonometry	பகுப்பு:திரிகோண விதி
Trinidad	டிரினிடாட்
Trinidad and Tobago	திரினிடாட் டொபாகோ
Tripoli	திரிப்பொலி
Trojan War	றோய்யன் போர்
Tropics	வெப்பமண்டலம்
Truck	சுமையுந்து
Trygve Lie	ட்றிகுவே லீ
Tsunami	ஆழிப்பேரலை
Tuberculosis	காச நோய்
Tuesday	செவ்வாய் (கிழமை)
Tungsten	டங்க்ஸ்டன்
Tunisia	துனீசியா
Turkey	துருக்கி
Turkmenistan	துருக்மெனிஸ்தான்
Turmeric	மஞ்சள் (மூலிகை)
Turtle	ஆமை
Tuvalu	துவாலு
Typewriter	தட்டச்சுக் கருவி
UNESCO	ஐக்கிய நாடுகள் கல்வி, அறிவியல், பண்பாட்டு நிறுவனம்
Uganda	உகாண்டா
Uganda	பகுப்பு:உகாண்டா
Ukraine	உக்ரைன்
Ulan Bator	உலான் பாடர்
Ultrasound	மீயொலி
Ultraviolet	புற ஊதா கதிர்
Ulysses S. Grant	யுலிசீஸ் கிராண்ட்
Umbrella	குடை
Uncertainty principle	ஐயப்பாட்டுக் கொள்கை
Unicorn	யுனிக்கோர்ன்
United Arab Emirates	ஐக்கிய அரபு அமீரகம்
United Arab Emirates	பகுப்பு:ஐக்கிய அரபு அமீரகம்
United Kingdom	ஐக்கிய இராச்சியம்
United Kingdom	பகுப்பு:ஐக்கிய இராச்சியம்
United Nations	ஐக்கிய நாடுகள் அவை
United Nations Children's Fund	ஐக்கிய நாடுகளின் சிறுவர் நிதியம்
United States	ஐக்கிய அமெரிக்க நாடுகள்
United States	பகுப்பு:ஐக்கிய அமெரிக்கா
United States Congress	சட்டமன்றம் (ஐக்கிய அமெரிக்கா)
United States Virgin Islands	அமெரிக்க கன்னித் தீவுகள்
United States dollar	அமெரிக்க டாலர்
Universe	அண்டம்
University of Chicago	சிக்காகோ பல்கலைக்கழகம்
Unix	யுனிக்ஸ்
Upanishad	உபநிடதம்
Uranium	யுரேனியம்
Uranus	யுரேனஸ்
Urdu	உருது
Urine	சிறுநீர்
Ursa Major	அர்சா மேஜர்
Uruguay	உருகுவே
Uruguay	பகுப்பு:உருகுவே
Utah	யூட்டா
Uterus	கருப்பை
Utilitarianism	பயனெறிமுறைக் கோட்பாடு
Uttar Pradesh	உத்தரப் பிரதேசம்
Uzbekistan	உஸ்பெகிஸ்தான்
Vagina	யோனி
Valentina Tereshkova	வலன்டீனா டெரெஷ்கோவா
Valentine's Day	வேலன்டைன் நாள்
Vanadium	வனேடியம்
Vancouver	வான்கூவர்
Vanuatu	வனுவாட்டு
Vascular plant	திரக்கேயோபீற்றா
Vatican City	வத்திக்கான் நகர்
Vector (spatial)	நெறிமம்
Vegetable	காய்கறி
Vein	சிரை
Velociraptor	வெலாசிராப்டர்
Venezuela	வெனிசுவேலா
Venus	வெள்ளி (கோள்)
Vermont	வெர்மான்ட்
Vertebrate	முதுகெலும்பிகள்
Victoria	விக்டோரியா, பிரிட்டிஷ் கொலம்பியா
Victoria	விக்டோரியா
Victoria (Australia)	விக்டோரியா (ஆஸ்திரேலியா)
Victoria Falls	விக்டோரியா அருவி
Video game	நிகழ்பட ஆட்டம்
Vienna	வியன்னா
Vientiane	வியஞ்சான்
Vietnam	வியட்நாம்
Vietnam War	வியட்நாம் போர்
Violin	வயலின்
Virgin Islands	கன்னித் தீவுகள்
Virginia	வர்ஜீனியா
Virus	தீ நுண்மம்
Viscosity	பிசுக்குமை
Vishnu	விஷ்ணு
Vitamin	உயிர்ச்சத்து
Vladimir Lenin	விளாடிமிர் லெனின்
Vladimir Putin	விளாடிமிர் பூட்டின்
Volcano	எரிமலை
Volga River	வோல்கா ஆறு
Volleyball	கைப்பந்தாட்டம்
Volt	வோல்ட்டு
Voltage	மின்னழுத்தம்
Volume	கனவளவு
Walt Disney	வால்ட் டிஸ்னி
Warsaw	வார்சா
Washing machine	துணி துவைக்கும் இயந்திரம்
Washington	வாஷிங்டன், டி. சி
Washington	வாஷிங்டன்
Wassily Kandinsky	வசிலி கண்டின்ஸ்கி
Water	நீர்
Waterfall	அருவி
Wavelength	அலைநீளம்
Weapon	ஆயுதம்
Web browser	உலாவி
Web page	இணையப் பக்கம்
Website	வலைத்தளம்
Week	கிழமை
Wellington	வெலிங்டன்
West	மேற்கு
West Bengal	மேற்கு வங்காளம்
West Virginia	மேற்கு வேர்ஜினியா
Western Australia	மேற்கு ஆஸ்திரேலியா
Wheat	கோதுமை
Wheel	சில்லு
White House	வெள்ளை மாளிகை
White blood cell	இரத்த வெள்ளையணு
Whitehorse	வைட்ஹார்ஸ், யூக்கான்
Wide area network	பெரும்பரப்பு வலையமைப்புகள்
William Golding	வில்லியம் கோல்டிங்
William Henry Harrison	வில்லியம் ஹென்றி ஹாரிசன்
William Herschel	வில்லியம் ஹேர்ச்செல்
William Howard Taft	வில்லியம் டாஃப்ட்
William Shakespeare	வில்லியம் ஷேக்ஸ்பியர்
William Shockley	வில்லியம் ஷாக்லி
Windmill	காற்றாலை
Window	சாளரம்
Wine	வைன்
Winnipeg	வினிப்பெக்
Winston Churchill	வின்ஸ்ரன் சேர்ச்சில்
Wisconsin	விஸ்கொன்சின்
Wolfgang Amadeus Mozart	வொல்ஃப்கேங்க் அமதியுஸ் மோட்ஸார்ட்
World Bank	உலக வங்கி
World Health Organization	உலக சுகாதார அமைப்பு
World Trade Center	உலக வர்த்தக மையம்
World War I	முதல் உலகப் போர்
World War II	இரண்டாம் உலகப் போர்
Writing system	எழுத்து முறைமை
Wyoming	வயோமிங்
X-ray	ஊடுகதிர் அலைகள்
Xenon	செனான்
Yahweh	யாவே
Yakuza	யக்கூசா
Yale University	யேல் பல்கலைக்கழகம்
Yalta Conference	யால்ட்டா மாநாடு
Yangon	யங்கோன்
Yangtze River	யாங்சே
Yard	யார் (நீள அலகு)
Yasser Arafat	யாசர் அராஃபத்
Year	ஆண்டு
Yellow Sea	மஞ்சள் கடல்
Yellowstone National Park	யெல்லோஸ்டோன் தேசியப் பூங்கா
Yemen	யெமென்
Yoga	யோகக் கலை
Yttrium	யிற்றியம்
Yukon	யூக்கான்
Yuri Gagarin	யூரி ககாரின்
Zambia	சாம்பியா
Zanzibar	சான்சிபார்
Zebra	வரிக்குதிரை
Zeus	சூசு
Zimbabwe	சிம்பாப்வே
Zimbabwe	பகுப்பு:சிம்பாப்வே
Zinc	துத்தநாகம்
Zoo	விலங்குக் காட்சிச்சாலை
Zoology	விலங்கியல்
Zoroastrianism	சோறாஸ்ரியனிசம்
