Tamil	English
உருளைக் கிழங்கு	Potato
நிலை ஆற்றல்	Potential energy
வறுமை	Poverty
பிராக்	Prague
பிரசியோடைமியம்	Praseodymium
தொல் பழங்காலம்	Prehistory
அழுத்தம்	Pressure
பிரையம்	Priam
விலை	Price
முதனி	Primate
பகா எண்	Prime number
இளவரசர் எட்வர்ட் தீவு	Prince Edward Island
நாள்மீன் பட்டகம்	Prism (geometry)
பட்டகம்	Prism (optics)
நிகழ்தகவு	Probability
நிகழ்தகவுக் கோட்பாடு	Probability theory
நிரலாளர்	Programmer
ஆணைமூலம்	Programming language
செயற்றிட்டம்	Project
புரோமித்தியம்	Promethium
புரதம்	Protein
நேர்மின்னி	Proton
பிராவிடென்ஸ்	Providence
உளவியல்	Psychology
தொலெமி	Ptolemy
பூப்பு	Puberty
புவேர்ட்டோ ரிக்கோ	Puerto Rico
நிறுத்தக்குறிகள்	Punctuation
பஞ்சாப் (இந்தியா)	Punjab (India)
பியொங்யாங்	Pyongyang
பைத்தோன்	Python (programming language)
கட்டார்	Qatar
நாற்கரம்	Quadrilateral
குவாண்டம் பொறிமுறை	Quantum mechanics
குவார்க்	Quark
துடிப்பண்டம்	Quasar
கியூபெக்	Quebec
கியூபெக் நகரம்	Quebec City
குயின்ஸ்லாந்து	Queensland
ரைபோ கரு அமிலம்	RNA
இரவீந்திரநாத் தாகூர்	Rabindranath Tagore
கதிரியக்கம்	Radioactive decay
கதிரியக்கக்கரிமக் காலக்கணிப்பு	Radiocarbon dating
ரேடியம்	Radium
ஆரம்	Radius
மழை	Rain
வானவில்	Rainbow
ராலீ	Raleigh
இராமர்	Rama
ரமலான் நோன்பு	Ramadan
இராமாயணம்	Ramayana
ராமேசஸஸ் II	Ramesses II
நினைவகம்	Random access memory
வன்கலவி	Rape
ராவல்பிண்டி	Rawalpindi
செவ்வகம்	Rectangle
சீராக்கி	Rectifier
சிவப்பு	Red
சிவப்பு பாண்டா	Red Panda
செங்கடல்	Red Sea
இரத்தச் சிவப்பணு	Red blood cell
ஒளி முறிவு	Refraction
ரெகே	Reggae
ரெஜைனா	Regina
ரெம்பிரான்ட்	Rembrandt
மறுமலர்ச்சி	Renaissance
ஊர்வன	Reptile
சீனக் குடியரசு	Republic of China
அயர்லாந்து குடியரசு	Republic of Ireland
கொங்கோ குடியரசு	Republic of the Congo
குடியரசுக் கட்சி (ஐக்கிய அமெரிக்கா)	Republican Party (United States)
மின்தடையம்	Resistor
உணவகம்	Restaurant
றோட் தீவு	Rhode Island
ரோடியம்	Rhodium
விலா எலும்பு	Rib
நெல்	Rice
ரிச்மன்ட்	Richmond
வளையம் (கணிதம்)	Ring (mathematics)
ரியோ கிராண்டே	Rio Grande
ரியோ டி ஜனேரோ	Rio de Janeiro
ஆறு	River
ரியாத்	Riyadh
ரொபேர்ட் டி நீரோ	Robert De Niro
ராபர்ட் ஹூக்	Robert Hooke
ராபர்ட் கோக்	Robert Koch
இயந்திரவியல்	Robot
பாறை	Rock (geology)
கொறிணி	Rodent
கத்தோலிக்கம்	Roman Catholic Church
ரோமப் பேரரசு	Roman Empire
ருமேனியா	Romania
பகுப்பு:ருமேனியா	Romania
ரோம்	Rome
ரோனால்டு ரேகன்	Ronald Reagan
றோசா பாக்ஸ்	Rosa Parks
ரொசெட்டா கல்	Rosetta Stone
ருபீடியம்	Rubidium
ரூபி	Ruby (programming language)
ரூட்யார்ட் கிப்ளிங்	Rudyard Kipling
ரஷ்யா	Russia
பகுப்பு:ரஷ்யா	Russia
ருத்தேனியம்	Ruthenium
ருவாண்டா	Rwanda
சேக்ரமெண்டோ	Sacramento
சதாம் உசேன்	Saddam Hussein
சஹாரா	Sahara
புனிதர்	Saint
செயிண்ட் கிட்சும் நெவிசும்	Saint Kitts and Nevis
புனித நிக்கலஸ்	Saint Nicholas
செயின்ட் பால் (மினசோட்டா)	Saint Paul
புனித பேதுரு	Saint Peter
சென் பீட்டர்ஸ்பேர்க்	Saint Petersburg
செயிண்ட். வின்செண்ட் கிரெனேடின்ஸ்	Saint Vincent and the Grenadines
சேலம் (ஒரிகன்)	Salem
உமிழ்நீர்	Saliva
சால்ட் லேக் நகரம்	Salt Lake City
சமாரியம்	Samarium
சமோவா	Samoa
சாமுராய்	Samurai
சான் அன்டோனியோ	San Antonio
சான் டியேகோ	San Diego
சான் பிரான்சிஸ்கோ	San Francisco
சான் ஹொசே, கலிபோர்னியா	San Jose
சான் வான் (புவேர்ட்டோ ரிக்கோ)	San Juan
சான் மரீனோ	San Marino
மணற்கல்	Sandstone
சமஸ்கிருதம்	Sanskrit
சான்டா ஃபே	Santa Fe
சப்போரோ	Sapporo
சஸ்காச்சுவான்	Saskatchewan
சாத்தான்	Satan
சனி (கோள்)	Saturn
சனி	Saturn (disambiguation)
சவுதி அரேபியா	Saudi Arabia
பள்ளிக்கூடம்	School
அறிவியல்	Science
அறிவியல் அறிவு மார்க்கம்	Scientific method
தேள்	Scorpion
ஸ்காட்லாந்து	Scotland
கடல்	Sea
சராசரி கடல் மட்டம்	Sea level
தேடுபொறி	Search engine
சியேர்ஸ் கோபுரம்	Sears Tower
சியாட்டில்	Seattle
நொடி (கால அளவு)	Second
படிவுப் பாறை	Sedimentary rock
செலீனியம்	Selenium
சொற்பொருளியல்	Semantics
குறைமின்கடத்தி	Semiconductor
குறியியல்	Semiotics
செனகல்	Senegal
சியோல்	Seoul
செப்டம்பர்	September
செப்டம்பர் 11	September 11
செப்டம்பர் 11, 2001 தாக்குதல்கள்	September 11
செப்டம்பர் 17	September 17
செப்டம்பர் 29	September 29
தொடர்வரிசை	Sequence
செர்பியா	Serbia
செர்ரீன்	Serine
கணம் (கணிதம்)	Set
பாலுறவு	Sexual intercourse
பால்வினை நோய்கள்	Sexually transmitted disease
சேஷெல்ஸ்	Seychelles
சாங்காய்	Shanghai
சுறா	Shark
சின்த்தோ	Shinto
கப்பல்	Ship
சிவன்	Shiva
சிசிலி	Sicily
சியேரா லியோனி	Sierra Leone
சீக்கியம்	Sikhism
சிக்கிம்	Sikkim
சிலிக்கான்	Silicon
சிலிக்கான் பள்ளத்தாக்கு	Silicon Valley
பட்டுப் பாதை	Silk Road
வெள்ளி (உலோகம்)	Silver
சிங்கப்பூர்	Singapore
பகுப்பு:சிங்கப்பூர்	Singapore
வானளாவி	Skyscraper
அடிமை முறை	Slavery
சிலோவேக்கியா	Slovakia
சுலோவீனியா	Slovenia
பாம்பு	Snake
பனித்தூவி	Snow
சவர்க்காரம்	Soap
சமவுடமை	Socialism
சமூகவியல்	Sociology
சாக்கிரட்டீஸ்	Socrates
சோடியம்	Sodium
மெதுபந்தாட்டம்	Softball
சூரியக் குடும்பம்	Solar System
சூரிய ஆற்றல்	Solar energy
சொலமன் தீவுகள்	Solomon Islands
சோமாலியா	Somalia
ஒலி	Sound
தெற்கு	South
தென் அமெரிக்கா	South America
பகுப்பு:தென் அமெரிக்கா	South America
தெற்கு ஆஸ்திரேலியா	South Australia
தென் கரோலினா	South Carolina
தென்சீனக்கடல்	South China Sea
தென் டகோட்டா	South Dakota
தென்கொரியா	South Korea
பகுப்பு:தென்கொரியா	South Korea
சோவியத் ஒன்றியம்	Soviet Union
விண்வெளி நிலையங்கள்	Space station
ஸ்பெயின்	Spain
பகுப்பு:ஸ்பெயின்	Spain
இனம் (உயிரியல்)	Species
நிறமாலையியல்	Spectroscopy
விளையாட்டு	Sport
ஸ்பிரிங்ஃபீல்ட் (இலினொய்)	Springfield
சதுரம்	Square (geometry)
ஸ்குவாஷ்	Squash (sport)
இலங்கை	Sri Lanka
பகுப்பு:இலங்கை	Sri Lanka
செயின்ட் லூயிஸ் (மிசூரி)	St. Louis
ஸ்டான்ஃபர்ட் பல்கலைக்கழகம்	Stanford University
விண்மீன்	Star
மாநிலம்	State
புள்ளியியல்	Statistics
சுதந்திரச் சிலை	Statue of Liberty
நீராவி	Steam
நீராவிப் பொறி	Steam engine
உருக்கு (உலோகம்)	Steel
ஸ்ரெஃபி கிராஃப்	Steffi Graf
குருத்துத் திசுள்	Stem cell
ஸ்டீபன் ஹோக்கிங்	Stephen Hawking
ஸ்டீவன் ஸ்பில்பேர்க்	Steven Spielberg
ஸ்டாக்ஹோம்	Stockholm
ஸ்டோன் ஹெஞ்ச்	Stonehenge
நீரிணை	Strait
ஜிப்ரால்ட்டர் நீரிணை	Strait of Gibraltar
ஹோர்முஸ் நீரிணை	Strait of Hormuz
மகெல்லன் நீரிணை	Strait of Magellan
மனவுளைச்சல்	Stress (medicine)
ஸ்ட்ரோன்ஷியம்	Strontium
ஸ்டுட்கார்ட்	Stuttgart
கழித்தல் (கணிதம்)	Subtraction
சூடான்	Sudan
பகுப்பு:சூடான்	Sudan
சுடோக்கு	Sudoku
சுயஸ் கால்வாய்	Suez Canal
சீனி	Sugar
சுகார்ட்டோ	Suharto
கந்தகம்	Sulfur
சுமாத்திரா	Sumatra
சுமேரியா	Sumer
சுமோ மற்போர்	Sumo
சூரியன்	Sun
சுன் இ சியன்	Sun Yat-sen
ஞாயிறு (கிழமை)	Sunday
சுணி இசுலாம்	Sunni Islam
சுரிநாம்	Suriname
அடிமன வெளிப்பாட்டியம்	Surrealism
சுஷி	Sushi
சுவாசிலாந்து	Swaziland
சுவீடன்	Sweden
சுவீடிய குரோனா	Swedish krona
சுவிட்சர்லாந்து	Switzerland
சிட்னி	Sydney
சொற்றொடரியல்	Syntax
சிபிலிசு	Syphilis
சிரியா	Syria
ஒழுங்கமைப்பு	System
மேசை	Table (furniture)
மேசைப்பந்தாட்டம்	Table tennis
டைக்குவாண்டோ	Taekwondo
டெஹீட்டி	Tahiti
தாய்வான்	Taiwan
தாஜ் மஹால்	Taj Mahal
தஜிகிஸ்தான்	Tajikistan
டால்க்	Talc
தலிபான்	Taliban
டலஹாசி	Tallahassee
தமிழ்நாடு	Tamil Nadu
டாம்ப்பா	Tampa
தான்சானியா	Tanzania
தாஸ்மானியா	Tasmania
தாளிசபத்திரி	Taxus baccata
தேநீர்	Tea
டெக்னீசியம்	Technetium
தெஹ்ரான்	Tehran
தொலைத்தொடர்பு	Telecommunication
தொலைபேசி	Telephone
தொலைநோக்கி	Telescope
தொலைக்காட்சி	Television
டெலூரியம்	Tellurium
வெப்பநிலை	Temperature
பத்துக் கட்டளைகள்	Ten Commandments
டென்னிசி	Tennessee
டென்னிஸ்	Tennis
டென்சிங் நோர்கே	Tenzing Norgay
டெர்பியம்	Terbium
நான்முக முக்கோணகம்	Tetrahedron
டெக்சாஸ்	Texas
துணி	Textile
தாய்லாந்து	Thailand
தாலஸ்	Thales
காம்பியா	The Gambia
டென் ஹாக்	The Hague
த ஸ்டார்-ஸ்பாங்கிள்ட் பானர்	The Star-Spangled Banner
தியோடலைட்டு	Theodolite
சார்புக் கோட்பாடு	Theory of relativity
வெப்ப இயக்கவியல்	Thermodynamics
மதியுரையகம்	Think tank
தொமஸ் அல்வா எடிசன்	Thomas Edison
தாமஸ் ஜெஃவ்வர்சன்	Thomas Jefferson
சிந்தனை	Thought
வியாழன் (கிழமை)	Thursday
கேடயச் சுரப்பி	Thyroid
டைபர்	Tiber
திபெத்	Tibet
புலி	Tiger
நேரம்	Time
நேர வலயம்	Time zone
திமோர்	Timor
வெள்ளீயம்	Tin
திசு	Tissue (biology)
டைட்டேனியம்	Titanium
உயிர்ச்சத்து E	Tocopherol
டோகோ	Togo
டோக்கியோ	Tokyo
தொலுயீன்	Toluene
டொம் ஹாங்க்ஸ்	Tom Hanks
தக்காளி	Tomato
டன்	Ton
தொங்கா	Tonga
நாக்கு	Tongue
டொனி மொறிசன்	Toni Morrison
டோனி பிளேர்	Tony Blair
பல்	Tooth
பற்தூரிகை	Toothbrush
டொபீகா	Topeka
இடவியல்	Topology
குழல் காற்று	Tornado
ரொறன்ரோ	Toronto
நீர்மூழ்கிக் குண்டு	Torpedo
முறுக்கு விசை	Torque
சுற்றுலா	Tourism
பொம்மை	Toy
தொடர்வண்டி	Train
மின்மாற்றி	Transformer
திரிதடையம்	Transistor
எழுத்துப்பெயர்ப்பு	Transliteration
பகுப்பு:போக்குவரத்து	Transportation
சரிவகம்	Trapezoid
மரம்	Tree
இட்ரென்டன்	Trenton
முக்கோணம்	Triangle
முக்கோணவியல்	Trigonometry
பகுப்பு:திரிகோண விதி	Trigonometry
டிரினிடாட்	Trinidad
திரினிடாட் டொபாகோ	Trinidad and Tobago
திரிப்பொலி	Tripoli
றோய்யன் போர்	Trojan War
வெப்பமண்டலம்	Tropics
சுமையுந்து	Truck
ட்றிகுவே லீ	Trygve Lie
ஆழிப்பேரலை	Tsunami
காச நோய்	Tuberculosis
செவ்வாய் (கிழமை)	Tuesday
டங்க்ஸ்டன்	Tungsten
துனீசியா	Tunisia
துருக்கி	Turkey
துருக்மெனிஸ்தான்	Turkmenistan
மஞ்சள் (மூலிகை)	Turmeric
ஆமை	Turtle
துவாலு	Tuvalu
தட்டச்சுக் கருவி	Typewriter
ஐக்கிய நாடுகள் கல்வி, அறிவியல், பண்பாட்டு நிறுவனம்	UNESCO
உகாண்டா	Uganda
பகுப்பு:உகாண்டா	Uganda
உக்ரைன்	Ukraine
உலான் பாடர்	Ulan Bator
மீயொலி	Ultrasound
புற ஊதா கதிர்	Ultraviolet
யுலிசீஸ் கிராண்ட்	Ulysses S. Grant
குடை	Umbrella
ஐயப்பாட்டுக் கொள்கை	Uncertainty principle
யுனிக்கோர்ன்	Unicorn
ஐக்கிய அரபு அமீரகம்	United Arab Emirates
பகுப்பு:ஐக்கிய அரபு அமீரகம்	United Arab Emirates
ஐக்கிய இராச்சியம்	United Kingdom
பகுப்பு:ஐக்கிய இராச்சியம்	United Kingdom
ஐக்கிய நாடுகள் அவை	United Nations
ஐக்கிய நாடுகளின் சிறுவர் நிதியம்	United Nations Children's Fund
ஐக்கிய அமெரிக்க நாடுகள்	United States
பகுப்பு:ஐக்கிய அமெரிக்கா	United States
சட்டமன்றம் (ஐக்கிய அமெரிக்கா)	United States Congress
அமெரிக்க கன்னித் தீவுகள்	United States Virgin Islands
அமெரிக்க டாலர்	United States dollar
அண்டம்	Universe
சிக்காகோ பல்கலைக்கழகம்	University of Chicago
யுனிக்ஸ்	Unix
உபநிடதம்	Upanishad
யுரேனியம்	Uranium
யுரேனஸ்	Uranus
உருது	Urdu
சிறுநீர்	Urine
அர்சா மேஜர்	Ursa Major
உருகுவே	Uruguay
பகுப்பு:உருகுவே	Uruguay
யூட்டா	Utah
கருப்பை	Uterus
பயனெறிமுறைக் கோட்பாடு	Utilitarianism
உத்தரப் பிரதேசம்	Uttar Pradesh
உஸ்பெகிஸ்தான்	Uzbekistan
யோனி	Vagina
வலன்டீனா டெரெஷ்கோவா	Valentina Tereshkova
வேலன்டைன் நாள்	Valentine's Day
வனேடியம்	Vanadium
வான்கூவர்	Vancouver
வனுவாட்டு	Vanuatu
திரக்கேயோபீற்றா	Vascular plant
வத்திக்கான் நகர்	Vatican City
நெறிமம்	Vector (spatial)
காய்கறி	Vegetable
சிரை	Vein
வெலாசிராப்டர்	Velociraptor
வெனிசுவேலா	Venezuela
வெள்ளி (கோள்)	Venus
வெர்மான்ட்	Vermont
முதுகெலும்பிகள்	Vertebrate
விக்டோரியா, பிரிட்டிஷ் கொலம்பியா	Victoria
விக்டோரியா	Victoria
விக்டோரியா (ஆஸ்திரேலியா)	Victoria (Australia)
விக்டோரியா அருவி	Victoria Falls
நிகழ்பட ஆட்டம்	Video game
வியன்னா	Vienna
வியஞ்சான்	Vientiane
வியட்நாம்	Vietnam
வியட்நாம் போர்	Vietnam War
வயலின்	Violin
கன்னித் தீவுகள்	Virgin Islands
வர்ஜீனியா	Virginia
தீ நுண்மம்	Virus
பிசுக்குமை	Viscosity
விஷ்ணு	Vishnu
உயிர்ச்சத்து	Vitamin
விளாடிமிர் லெனின்	Vladimir Lenin
விளாடிமிர் பூட்டின்	Vladimir Putin
எரிமலை	Volcano
வோல்கா ஆறு	Volga River
கைப்பந்தாட்டம்	Volleyball
வோல்ட்டு	Volt
மின்னழுத்தம்	Voltage
கனவளவு	Volume
வால்ட் டிஸ்னி	Walt Disney
வார்சா	Warsaw
துணி துவைக்கும் இயந்திரம்	Washing machine
வாஷிங்டன், டி. சி	Washington
வாஷிங்டன்	Washington
வசிலி கண்டின்ஸ்கி	Wassily Kandinsky
நீர்	Water
அருவி	Waterfall
அலைநீளம்	Wavelength
ஆயுதம்	Weapon
உலாவி	Web browser
இணையப் பக்கம்	Web page
வலைத்தளம்	Website
கிழமை	Week
வெலிங்டன்	Wellington
மேற்கு	West
மேற்கு வங்காளம்	West Bengal
மேற்கு வேர்ஜினியா	West Virginia
மேற்கு ஆஸ்திரேலியா	Western Australia
கோதுமை	Wheat
சில்லு	Wheel
வெள்ளை மாளிகை	White House
இரத்த வெள்ளையணு	White blood cell
வைட்ஹார்ஸ், யூக்கான்	Whitehorse
பெரும்பரப்பு வலையமைப்புகள்	Wide area network
வில்லியம் கோல்டிங்	William Golding
வில்லியம் ஹென்றி ஹாரிசன்	William Henry Harrison
வில்லியம் ஹேர்ச்செல்	William Herschel
வில்லியம் டாஃப்ட்	William Howard Taft
வில்லியம் ஷேக்ஸ்பியர்	William Shakespeare
வில்லியம் ஷாக்லி	William Shockley
காற்றாலை	Windmill
சாளரம்	Window
வைன்	Wine
வினிப்பெக்	Winnipeg
வின்ஸ்ரன் சேர்ச்சில்	Winston Churchill
விஸ்கொன்சின்	Wisconsin
வொல்ஃப்கேங்க் அமதியுஸ் மோட்ஸார்ட்	Wolfgang Amadeus Mozart
உலக வங்கி	World Bank
உலக சுகாதார அமைப்பு	World Health Organization
உலக வர்த்தக மையம்	World Trade Center
முதல் உலகப் போர்	World War I
இரண்டாம் உலகப் போர்	World War II
எழுத்து முறைமை	Writing system
வயோமிங்	Wyoming
ஊடுகதிர் அலைகள்	X-ray
செனான்	Xenon
யாவே	Yahweh
யக்கூசா	Yakuza
யேல் பல்கலைக்கழகம்	Yale University
யால்ட்டா மாநாடு	Yalta Conference
யங்கோன்	Yangon
யாங்சே	Yangtze River
யார் (நீள அலகு)	Yard
யாசர் அராஃபத்	Yasser Arafat
ஆண்டு	Year
மஞ்சள் கடல்	Yellow Sea
யெல்லோஸ்டோன் தேசியப் பூங்கா	Yellowstone National Park
யெமென்	Yemen
யோகக் கலை	Yoga
யிற்றியம்	Yttrium
யூக்கான்	Yukon
யூரி ககாரின்	Yuri Gagarin
சாம்பியா	Zambia
சான்சிபார்	Zanzibar
வரிக்குதிரை	Zebra
சூசு	Zeus
சிம்பாப்வே	Zimbabwe
பகுப்பு:சிம்பாப்வே	Zimbabwe
துத்தநாகம்	Zinc
விலங்குக் காட்சிச்சாலை	Zoo
விலங்கியல்	Zoology
சோறாஸ்ரியனிசம்	Zoroastrianism
