Bulgarian	English
Йордания	Jordan
Категория:Йордания	Jordan
Йордан (река)	Jordan River
Хорхе Луис Борхес	Jorge Luis Borges
Джоузеф Конрад	Joseph Conrad
Йозеф Гьобелс	Joseph Goebbels
Йозеф Хайдн	Joseph Haydn
Джоузеф Маккарти	Joseph McCarthy
Джоузеф Пристли	Joseph Priestley
Йозеф Шумпетер	Joseph Schumpeter
Джоузеф Смит	Joseph Smith
Йосиф Сталин	Joseph Stalin
Йосиф Флавий	Josephus
Джаул	Joule
Категория:Журналистика	Journalism
Журналистика	Journalism
Журналист	Journalist
Йовиан	Jovian
Джойстик	Joystick
Юдаизъм	Judaism
Категория:Юдаизъм	Judaism
Юда Искариотски	Judas Iscariot
Джудо	Judo
Джуди Гарланд	Judy Garland
Жюл Верн	Jules Verne
Юлиански календар	Julian calendar
Юлиан Апостат	Julian the Apostate
Юлий Цезар	Julius Caesar
Юли	July
1 юли	July 1
4 юли	July 4
Юни	June
14 юни	June 14
21 юни	June 21
23 юни	June 23
24 юни	June 24
29 юни	June 29
3 юни	June 3
Джуно	Juneau
Хвойна	Juniper
Юнона	Juno (mythology)
Юпитер (планета)	Jupiter
Категория:Юпитер	Jupiter
Юпитер (бог)	Jupiter (mythology)
Юра (период)	Jurassic
Юстиниан I	Justinian I
Ютланд	Jutland
К2	K2
КГБ	KGB
Кааба	Kaaba
Кабала	Kabbalah
Кабул	Kabul
Калахари	Kalahari Desert
Камчатка	Kamchatka Peninsula
Камикадзе	Kamikaze
Кампала	Kampala
Кандахар	Kandahar
Кенгурови	Kangaroo
Канзас	Kansas
Категория:Канзас	Kansas
Канзас Сити (Мисури)	Kansas City
Капа (буква)	Kappa
Карско море	Kara Sea
Карачи	Karachi
Каракорум	Karakoram
Карате	Karate
Карл Ясперс	Karl Jaspers
Карл Маркс	Karl Marx
Карл Попър	Karl Popper
Карма	Karma
Катрин Хепбърн	Katharine Hepburn
Катманду	Kathmandu
Катовице	Katowice
Каунас	Kaunas
Каяк	Kayak
Казахстан	Kazakhstan
Категория:Казахстан	Kazakhstan
Казан (Русия)	Kazan
Казимир Малевич	Kazimir Malevich
Келвин	Kelvin
Кент	Kent
Кентъки	Kentucky
Категория:Кентъки	Kentucky
Кения	Kenya
Категория:Кения	Kenya
Кетчуп	Ketchup
Кетон	Ketone
Компютърна клавиатура	Keyboard (computing)
Клавирен инструмент	Keyboard instrument
Хабаровск	Khabarovsk
Кан (титла)	Khan
Харков	Kharkiv
Хартум	Khartoum
Бъбрек	Kidney
Киев	Kiev
Кигали	Kigali
Килограм	Kilogram
Километър	Kilometre
Километър в час	Kilometres per hour
Детска градина	Kindergarten
Цар (шахмат)	King (chess)
Артур	King Arthur
Крал Лир	King Lear
Кингстън (Ямайка)	Kingston
Кингстаун	Kingstown
Киншаса	Kinshasa
Кирибати	Kiribati
Категория:Кирибати	Kiribati
Киркук	Kirkuk
Целувка	Kiss
Нож	Knife
Рицар	Knight
Кон (шахмат)	Knight (chess)
Кносос	Knossos
Възел (скорост)	Knot (speed)
Кнут Хамсун	Knut Hamsun
Коала	Koala
Кобе	Kobe
Калкута	Kolkata
Комодски варан	Komodo dragon
Konqueror	Konqueror
Конрад Аденауер	Konrad Adenauer
Корея	Korea
Категория:Корея	Korea
Корейска война	Korean War
Косово	Kosovo
Категория:Косово	Kosovo
Кракатау	Krakatoa
Кремъл	Kremlin
Кришна	Krishna
Криптон	Krypton
Ку клукс клан	Ku Klux Klan
Куала Лумпур	Kuala Lumpur
Кубилай хан	Kublai Khan
Пояс на Кайпер	Kuiper belt
Гоминдан	Kuomintang
Кура	Kura River
Кюрдистан	Kurdistan
Категория:Кюрдистан	Kurdistan
Кюрдска работническа партия	Kurdistan Workers Party
Курск	Kursk
Кърт Вонегът	Kurt Vonnegut
Курт Валдхайм	Kurt Waldheim
Кувейт	Kuwait
Категория:Кувейт	Kuwait
Кувейт (град)	Kuwait City
Квазулу-Натал	KwaZulu-Natal
Киото	Kyoto
Киргизстан	Kyrgyzstan
Категория:Киргизстан	Kyrgyzstan
Ла Пас	La Paz
Ла Плата (град)	La Plata
Специя	La Spezia
Лаборатория	Laboratory
Лейбъристка партия	Labour Party (UK)
Гущер (съзвездие)	Lacerta
Млечна киселина	Lactic acid
Лактоза	Lactose
Джейн Грей	Lady Jane Grey
Зайцеподобни	Lagomorpha
Лагос	Lagos
Лахор	Lahore
Езеро	Lake
Байкал	Lake Baikal
Балатон	Lake Balaton
Чад (езеро)	Lake Chad
Боденско езеро	Lake Constance
Ери	Lake Erie
Женевско езеро	Lake Geneva
Хюрън (езеро)	Lake Huron
Ладожко езеро	Lake Ladoga
Мичиган (езеро)	Lake Michigan
Танганика	Lake Tanganyika
Виктория (езеро)	Lake Victoria
Лакшми	Lakshmi
Ламбда	Lambda
Брадат лешояд	Lammergeier
Миноги	Lamprey
Език (лингвистика)	Language
Лангедок-Русийон	Languedoc-Roussillon
Лансинг	Lansing
Лаос	Laos
Категория:Лаос	Laos
Море Лаптеви	Laptev Sea
Преносим компютър	Laptop
Лиственица	Larch
Ларва	Larva
Ларинкс	Larynx
Лас Вегас	Las Vegas
Лазер	Laser
Струг	Lathe
Латински език	Latin
Латинска Америка	Latin America
Латиница	Latin alphabet
Географска ширина	Latitude
Латвия	Latvia
Категория:Латвия	Latvia
Смях	Laughter
Лавразия	Laurasia
Лозана	Lausanne
Лава	Lava
Право	Law
Категория:Право	Law
Адвокат	Lawyer
Лацио	Lazio
Льо Корбюзие	Le Corbusier
Хавър	Le Havre
Олово	Lead
Лист	Leaf
Общество на народите	League of Nations
Наклонена кула в Пиза	Leaning Tower of Pisa
Високосна година	Leap year
Ливан	Lebanon
Категория:Ливан	Lebanon
Леда (митология)	Leda (mythology)
Лий Харви Осуалд	Lee Harvey Oswald
Лийдс	Leeds
Левичар	Left-handed
Легенда	Legend
Законодателна власт	Legislature
Лестър	Leicester
Лайден	Leiden
Лайпциг	Leipzig
Лимон	Lemon
Маточина	Lemon balm
Лена	Lena River
Леща (оптика)	Lens (optics)
Леща	Lentil
Лъв (съзвездие)	Leo (constellation)
Лъв I (император)	Leo I (emperor)
Лев Троцки	Leon Trotsky
Леонардо да Винчи	Leonardo da Vinci
Леонард Ойлер	Leonhard Euler
Леонид Брежнев	Leonid Brezhnev
Леопард	Leopard
Пеперуди	Lepidoptera
Проказа	Leprosy
Лептон	Lepton
Заек (съзвездие)	Lepus (constellation)
Лесбийка	Lesbian
Лесото	Lesotho
Категория:Лесото	Lesotho
Малки Антили	Lesser Antilles
Лето (богиня)	Leto
Буква	Letter (alphabet)
Лост	Lever
Левиатан	Leviathan
Левит (Библия)	Leviticus
Луис Карол	Lewis Carroll
Лексикология	Lexicology
Лхаса	Lhasa
Либерализъм	Liberalism
Категория:Либерализъм	Liberalism
Тигри за освобождение на Тамил Еелам	Liberation Tigers of Tamil Eelam
Либерия	Liberia
Категория:Либерия	Liberia
Везни (съзвездие)	Libra (constellation)
Библиотека	Library
Либрето	Libretto
Либревил	Libreville
Либия	Libya
Категория:Либия	Libya
Лихтенщайн	Liechtenstein
Категория:Лихтенщайн	Liechtenstein
Лейтенант	Lieutenant
Живот	Life
Светлина	Light
Светодиод	Light-emitting diode
Светлинна година	Light-year
Морски фар	Lighthouse
Мълния	Lightning
Лигурия	Liguria
Лигурско море	Ligurian Sea
Кремови	Liliaceae
Лилиту	Lilith
Лил	Lille
Лилонгве	Lilongwe
Лима	Lima
Лимерик	Limerick
Варовик	Limestone
Граница (математика)	Limit (mathematics)
Лимнология	Limnology
Линкълн (Небраска)	Lincoln
Линкълншър	Lincolnshire
Права линия	Line (mathematics)
Лингва франка	Lingua franca
Езикознание	Linguistics
Категория:Лингвистика	Linguistics
Лайнъс Полинг	Linus Pauling
Линукс	Linux
Категория:ГНУ/Линукс	Linux
Линц	Linz
Лъв	Lion
Липид	Lipid
Течност	Liquid
LCD	Liquid crystal display
Женско биле	Liquorice
Лисабон	Lisbon
Лиза Майтнер	Lise Meitner
Lisp	Lisp (programming language)
Грамотност	Literacy
Литература	Literature
Категория:Литература	Literature
Портал:Литература	Literature
Литий	Lithium
Литография	Lithography
Литосфера	Lithosphere
Литва	Lithuania
Категория:Литва	Lithuania
Литър	Litre
Домашна кукумявка	Little Owl
Ливърпул	Liverpool
Тит Ливий	Livy
Любляна	Ljubljana
Чужди думи	Loanword
Локална мрежа	Local area network
Неси	Loch Ness Monster
Локомотив	Locomotive
Логаритъм	Logarithm
Логика	Logic
Категория:Логика	Logic
Логически елемент	Logic gate
Логистика	Logistics
Лого	Logo
Лоара	Loire River
Локи	Loki
Ломбардия	Lombardy
Лондон	London
Категория:Лондон	London
Лонг Бийч	Long Beach
Лонг Айлънд	Long Island
Горска ушата сова	Long-eared Owl
Отче наш	Lord's Prayer
Лотарингия (регион)	Lorraine (region)
Лос Анджелис	Los Angeles
Луи Арагон	Louis Aragon
Луис Армстронг	Louis Armstrong
Луи Брайл	Louis Braille
Луи Пастьор	Louis Pasteur
Людовик Благочестиви	Louis the Pious
Луи II (Франция)	Louis the Stammerer
Луизиана	Louisiana
Категория:Луизиана	Louisiana
Луисвил	Louisville
Лувър	Louvre
Любов	Love
Долна Саксония	Lower Saxony
Луанда	Luanda
Люблин	Lublin
Люцерн	Lucerne
Лучано Павароти	Luciano Pavarotti
Луцифер	Lucifer
Лукреция Борджия	Lucrezia Borgia
Лудвиг Болцман	Ludwig Boltzmann
Лудвиг Витгенщайн	Ludwig Wittgenstein
Лудвиг ван Бетховен	Ludwig van Beethoven
Луфтвафе	Luftwaffe
Луиджи Галвани	Luigi Galvani
Луиджи Пирандело	Luigi Pirandello
Лумен	Lumen (unit)
Лунно затъмнение	Lunar eclipse
Бял дроб	Lung
Рак на белия дроб	Lung cancer
Вълк (съзвездие)	Lupus (constellation)
Лусака	Lusaka
Лютня	Lute
Лутеранство	Lutheranism
Лукс	Lux
Люксембург	Luxembourg
Категория:Люксембург	Luxembourg
Люксембург (град)	Luxembourg (city)
Луксор	Luxor
Лусон	Luzon
Лион	Lyon
Лира (съзвездие)	Lyra
ЛСД	Lysergic acid diethylamide
M	M
М-теория	M-theory
МЕСИНДЖЪР	MESSENGER
MIME	MIME
MS-DOS	MS-DOS
Макао	Macau
Макбет	Macbeth
Древна Македония	Macedon
Македония	Macedonia
Егейска Македония	Macedonia (Greece)
Число на Мах	Mach number
Машина	Machine
Машинен език	Machine code
Картечница	Machine gun
Компютърен превод	Machine translation
Мачу Пикчу	Machu Picchu
Макроикономика	Macroeconomics
Категория:Макроикономика	Macroeconomics
Мадагаскар	Madagascar
Категория:Мадагаскар	Madagascar
Мадейра	Madeira
Медисън	Madison
Мадона (певица)	Madonna (entertainer)
Мадрид	Madrid
Мадрид (автономна област)	Madrid (autonomous community)
Мафия	Mafia
Списание	Magazine
Маджента (цвят)	Magenta
Магреб	Maghreb
Магия	Magic (paranormal)
Линия „Мажино“	Maginot Line
Магма (геология)	Magma
Велика харта на свободите	Magna Carta
Магнезий	Magnesium
Магнит	Magnet
Магнитно поле	Magnetic field
Магнетизъм	Magnetism
Махаращра	Maharashtra
Махатма Ганди	Mahatma Gandhi
Махаяна	Mahayana
Шаблон:Основна	Main
Мейн	Maine
Категория:Мейн	Maine
Царевица	Maize
Мажор	Major scale
Майорка	Majorca
Малабо	Malabo
Висши ракообразни	Malacostraca
Малария	Malaria
Категория:Малави	Malawi
Малака	Malay Peninsula
Малайски тапир	Malayan Tapir
Малайзия	Malaysia
Категория:Малайзия	Malaysia
Малдиви	Maldives
Категория:Малдиви	Maldives
Мали	Mali
Категория:Мали	Mali
Зеленоглава патица	Mallard
Малта	Malta
Категория:Малта	Malta
Малтийски език	Maltese language
Малтоза	Maltose
Слезови	Malvaceae
Бозайници	Mammal
Мамут	Mammoth
Манагуа	Managua
Манама	Manama
Морска крава	Manatee
Манчестър	Manchester
Манджурия	Manchuria
Мандарин	Mandarin (linguistics)
Мандарина	Mandarin orange
Манган	Manganese
Манго	Mango
Манхатън	Manhattan
Манхатън (проект)	Manhattan Project
Манихейство	Manichaeism
Манила	Manila
Манипур	Manipur
Манитоба	Manitoba
Маниеризъм	Mannerism
Манхайм	Mannheim
Земна мантия	Mantle (geology)
Мантра	Mantra
Мао Дзъдун	Mao Zedong
Маоизъм	Maoism
Карта	Map
Явор	Maple
Мапуто	Maputo
Маратон	Marathon
Мрамор	Marble
Марк Шагал	Marc Chagall
Марсел Дюшан	Marcel Duchamp
Марсел Марсо	Marcel Marceau
Марсел Пруст	Marcel Proust
Март	March
17 март	March 17
19 март	March 19
2 март	March 2
25 март	March 25
Марке	Marche
Марко Поло	Marco Polo
Марк Аврелий	Marcus Aurelius
Марк Юний Брут	Marcus Junius Brutus
Марк Випсаний Агрипа	Marcus Vipsanius Agrippa
Мардук	Marduk
Маргарет Мичел	Margaret Mitchell
Маргарет Тачър	Margaret Thatcher
Мария Калас	Maria Callas
Мариански острови	Mariana Islands
Мария-Антоанета	Marie Antoinette
Мария Кюри	Marie Curie
Мариехамн	Mariehamn
Мерилин Монро	Marilyn Monroe
Марио Варгас Льоса	Mario Vargas Llosa
Марк Антоний	Mark Antony
Марк Твен	Mark Twain
Маркетинг	Marketing
Категория:Маркетинг	Marketing
Маркиращ език	Markup language
Донасиен Алфонс Франсоа дьо Сад	Marquis de Sade
Маракеш	Marrakech
Брак	Marriage
Категория:Марс	Mars
Марс (пояснение)	Mars (disambiguation)
Марс (бог)	Mars (mythology)
Марсилия	Marseille
Маршалови острови	Marshall Islands
Категория:Маршалови острови	Marshall Islands
План Маршал	Marshall Plan
Двуутробни	Marsupial
Мартин Хайдегер	Martin Heidegger
Мартин Лутер	Martin Luther
Мартин Лутър Кинг	Martin Luther King
Мартин Скорсезе	Martin Scorsese
Мартин Ван Бурен	Martin Van Buren
Мартина Навратилова	Martina Navratilova
Мартиника	Martinique
Марксизъм	Marxism
Богородица	Mary (mother of Jesus)
Мери Шели	Mary Shelley
Мериленд	Maryland
Категория:Мериленд	Maryland
Масеру	Maseru
Мешхед	Mashhad
Маса (величина)	Mass
Меса (музика)	Mass (liturgy)
Масачузетс	Massachusetts
Категория:Масачузетс	Massachusetts
Масачузетски технологичен институт	Massachusetts Institute of Technology
Мастурбация	Masturbation
Мата Хари	Mata Hari
Кибрит	Match
Материализъм	Materialism
Математическа логика	Mathematical logic
Категория:Математическа логика	Mathematical logic
Математика	Mathematics
Категория:Математика	Mathematics
Портал:Математика	Mathematics
Матрица (математика)	Matrix (mathematics)
Материя (физика)	Matter
Матерхорн	Matterhorn
Мауна Лоа	Mauna Loa
Морис Равел	Maurice Ravel
Мавритания	Mauritania
Категория:Мавритания	Mauritania
Мавриций	Mauritius
Категория:Мавриций	Mauritius
Макс Борн	Max Born
Макс Брух	Max Bruch
Макс Планк	Max Planck
Макс Вебер	Max Weber
Максимиан	Maximian
Уравнения на Максуел	Maxwell's equations
Май	May
1 май	May 1
24 май	May 24
Майонеза	Mayonnaise
Кмет	Mayor
Мбабане	Mbabane
Маккартизъм	McCarthyism
Категория:Измерване	Measurement
Месо	Meat
Мека	Mecca
Машиностроене	Mechanical engineering
Категория:Машинно инженерство	Mechanical engineering
Механика	Mechanics
Медея	Medea
Медиана (статистика)	Median
Медичи	Medici
Медицина	Medicine
Категория:Медицина	Medicine
Медина	Medina
Категория:Средиземно море	Mediterranean
Средиземно море	Mediterranean Sea
Медуза (митология)	Medusa
Сурикат	Meerkat
Майстер Екхарт	Meister Eckhart
Меконг	Mekong
Мел Гибсън	Mel Gibson
Меланезия	Melanesia
Мелодия	Melody
Мелпомена	Melpomene
Топене	Melting
Температура на топене	Melting point
Памет	Memory
Мемфис (Тенеси)	Memphis
Мемфис	Memphis
Менахем Бегин	Menachem Begin
Менелай	Menelaus
Менструация	Menstruation
Мента	Mentha
Меркантилизъм	Mercantilism
Наемник	Mercenary
Меркурий	Mercury
Живак	Mercury (element)
Меркурий (митология)	Mercury (mythology)
Меркурий (планета)	Mercury (planet)
Меридиан (география)	Meridian (geography)
Меритокрация	Meritocracy
Русалка	Mermaid
Меровинги	Merovingian
Мерил Стрийп	Meryl Streep
Мескалин	Mescaline
Мезон	Meson
Месопотамия	Mesopotamia
Категория:Месопотамия	Mesopotamia
Мезозой	Mesozoic
Информационна РНК	Messenger RNA
Месия	Messiah
Месина (град Италия)	Messina
Метаболизъм	Metabolism
Метал	Metal
Метална връзка	Metallic bond
Металоид	Metalloid
Металургия	Metallurgy
Категория:Металургия	Metallurgy
Метафора	Metaphor
Метафизика	Metaphysics
Метастаза	Metastasis
Метеорен поток	Meteor shower
Метеорит	Meteorite
Метеорно тяло	Meteoroid
Категория:Метеорология	Meteorology
Метеорология	Meteorology
Метамфетамин	Methamphetamine
Метанол	Methanol
Методизъм	Methodism
Метис (спътник)	Metis (moon)
Метонимия	Metonymy
Метър	Metre
Метрично пространство	Metric space
Маас	Meuse River
Мексико	Mexico
Категория:Мексико	Mexico
Мексико (град)	Mexico City
Маями	Miami
Михаил (архангел)	Michael (archangel)
Майкъл Фарадей	Michael Faraday
Мишел Ней	Michel Ney
Микеланджело Буонароти	Michelangelo
Мичиган	Michigan
Категория:Мичиган	Michigan
Мик Джагър	Mick Jagger
Мики Маус	Mickey Mouse
Микробиология	Microbiology
Категория:Микробиология	Microbiology
Микроикономика	Microeconomics
Категория:Микроикономика	Microeconomics
Микронезия	Micronesia
Микрофон	Microphone
Микропроцесор	Microprocessor
Микроскоп	Microscope
Микроскоп (съзвездие)	Microscopium
Микровълни	Microwave
Микровълнова фурна	Microwave oven
Средновековие	Middle Ages
Категория:Средновековие	Middle Ages
Близък Изток	Middle East
Категория:Близък Изток	Middle East
Бяла нощ	Midnight sun
Мигел де Сервантес	Miguel de Cervantes
Майк Тайсън	Mike Tyson
Михаил Бакунин	Mikhail Bakunin
Михаил Горбачов	Mikhail Gorbachev
Милано	Milan
Миля	Mile
Майлс Дейвис	Miles Davis
Категория:Военно дело	Military
Мляко	Milk
Млечен път	Milky Way
Милърд Филмор	Millard Fillmore
Милиметър	Millimetre
Милтън Фридман	Milton Friedman
Милуоки	Milwaukee
Минаре	Minaret
Минданао	Mindanao
Минерал	Mineral
Минерална вода	Mineral water
Минералогия	Mineralogy
Минерва	Minerva
Мин	Ming Dynasty
Минно дело	Mining
Министър	Minister (government)
Минеаполис	Minneapolis
Минесота	Minnesota
Категория:Минесота	Minnesota
Минойска цивилизация	Minoan civilization
Минор	Minor scale
Минос	Minos
Минотавър	Minotaur
Минск	Minsk
Минута	Minute
Огледало	Mirror
Мишна	Mishnah
Категория:Мисисипи	Mississippi
Мисисипи	Mississippi River
Мисури (щат)	Missouri
Категория:Мисури	Missouri
Мисури	Missouri River
Митохондрия	Mitochondrion
Мнемозина	Mnemosyne
Мобилен телефон	Mobile phone
Модем	Modem
Модернизъм	Modernism
Модест Мусоргски	Modest Mussorgsky
Модулация (техника)	Modulation
Могадишу	Mogadishu
Мойри	Moirae
Плесен	Mold
Молдова	Moldova
Категория:Молдова	Moldova
Мол	Mole (unit)
Молекулярна биология	Molecular biology
Молекула	Molecule
Молизе	Molise
Мекотели	Mollusca
Коктейл Молотов	Molotov cocktail
Молибден	Molybdenum
Момбаса	Mombasa
Импулс (механика)	Momentum
Монако	Monaco
Категория:Монако	Monaco
Монарх	Monarch
Монархия	Monarchy
Категория:Монархия	Monarchy
Манастир	Monastery
Понеделник	Monday
Пари	Money
Монголия	Mongolia
Категория:Монголия	Mongolia
Моника Селеш	Monica Seles
Едносемеделни	Monocotyledon
Монопол	Monopoly
Мононатриев глутамат	Monosodium glutamate
Монотеизъм	Monotheism
Еднопроходни	Monotreme
Монс	Mons
Мусон	Monsoon
Мон Блан	Mont Blanc
Монтана (щат)	Montana
Категория:Монтана (щат)	Montana
Черна гора	Montenegro
Категория:Черна гора	Montenegro
Монтерей (Мексико)	Monterrey
Монтевидео	Montevideo
Монтгомъри (Алабама)	Montgomery
Месец	Month
Монпелие (Вермонт)	Montpelier
Монреал	Montreal
Монсерат	Montserrat
Луна	Moon
Моравия	Moravia
Мароко	Morocco
Категория:Мароко	Morocco
Морфема	Morpheme
Морфин	Morphine
Морфология	Morphology
Морфология (езикознание)	Morphology (linguistics)
Морзова азбука	Morse code
Москва	Moscow
Категория:Москва	Moscow
Мойсей	Moses
Моше Даян	Moshe Dayan
Джамия	Mosque
Bryopsida	Moss
Мосад	Mossad
Мосул	Mosul
Майка	Mother
Майка Тереза	Mother Teresa
Ден на майката	Mother's Day
Движение	Motion (physics)
Мотоциклет	Motorcycle
Арарат (връх)	Mount Ararat
Атон	Mount Athos
Етна (вулкан)	Mount Etna
Еверест	Mount Everest
Фуджи	Mount Fuji
Килиманджаро	Mount Kilimanjaro
Маккинли	Mount McKinley
Олимп	Mount Olympus
Пинатубо	Mount Pinatubo
Везувий	Mount Vesuvius
Планина	Mountain
Планински велосипед	Mountain bike
Проход	Mountain pass
Планинска верига	Mountain range
Мишка (хардуер)	Mouse (computing)
Мозамбик	Mozambique
Категория:Мозамбик	Mozambique
Мюезин	Muezzin
Мохамед	Muhammad
Черница	Mulberry
Катър	Mule
Множествена склероза	Multiple sclerosis
Мумбай	Mumbai
Мюнхен	Munich
Община (България)	Municipality
Мурманск	Murmansk
Закон на Мърфи	Murphy's law
Мъри Гел-Ман	Murray Gell-Mann
Банан	Musa (genus)
Муха (съзвездие)	Musca
Маскат	Muscat
Мускул	Muscle
Музи	Muse
Музей	Museum
Гъби	Mushroom
Музика	Music
Категория:Музика	Music
Музикален инструмент	Musical instrument
Музикант	Musician
Мускет	Musket
Мутация	Mutation
Ням лебед	Mute Swan
Категория:Мианмар	Myanmar
Микена	Mycenae
Микология	Mycology
Инфаркт на миокарда	Myocardial infarction
Многоножки	Myriapoda
Мистицизъм	Mysticism
Мит	Myth
Митология	Mythology
Категория:Митология	Mythology
Нджамена	N'Djamena
НАТО	NATO
Категория:НАТО	NATO
Надин Гордимър	Nadine Gordimer
Нагасаки	Nagasaki
Нагоя	Nagoya
Нахуатъл	Nahuatl
Пирон	Nail (fastener)
Найроби	Nairobi
Намиб	Namib Desert
Намибия	Namibia
Категория:Намибия	Namibia
Намюр	Namur (city)
Нанси	Nancy
Нанга Парбат	Nanga Parbat
Нанкин	Nanjing
Нанотехнология	Nanotechnology
Нант	Nantes
Напалм	Napalm
Неапол	Naples
Нарцис	Narcissus (mythology)
Нашвил	Nashville
Насау	Nassau
Натаниел Хоторн	Nathaniel Hawthorne
Нация	Nation
Национален химн	National anthem
Национален парк	National park
Национализъм	Nationalism
Категория:Национализъм	Nationalism
Природен газ	Natural gas
Обработка на естествен език	Natural language processing
Естествено число	Natural number
Естествен отбор	Natural selection
Природа	Nature
Категория:Природа	Nature
Натуризъм	Naturism
Науру	Nauru
Категория:Науру	Nauru
Морска миля	Nautical mile
Категория:Навигация	Navigation
Навигация	Navigation
Нацистка Германия	Nazi Germany
Категория:Нацистка Германия	Nazi Germany
Националсоциалистическа германска работническа партия	Nazi Party
Категория:Нацизъм	Nazism
Неандерталец	Neanderthal
Небраска	Nebraska
Категория:Небраска	Nebraska
Навуходоносор II	Nebuchadrezzar II
Мъглявина	Nebula
Вратовръзка	Necktie
Нефертити	Nefertiti
Негев	Negev
Нийл Армстронг	Neil Armstrong
Нелсън Мандела	Nelson Mandela
Кръгли червеи	Nematode
Немейски лъв	Nemean Lion
Немезида	Nemesis (mythology)
Неодим	Neodymium
Новокаменна епоха	Neolithic
Неологизъм	Neologism
Неон	Neon
Неоплатонизъм	Neoplatonism
Непал	Nepal
Категория:Непал	Nepal
Нефтида	Nephthys
Нептун (планета)	Neptune
Нереида (спътник)	Nereid (moon)
Нерон	Nero
Нерва	Nerva
Нервна система	Nervous system
Категория:Нервна система	Nervous system
Несторианство	Nestorianism
Холандия	Netherlands
Категория:Холандия	Netherlands
Холандски Антили	Netherlands Antilles
Мрежови топологии	Network topology
Неврология	Neurology
Категория:Неврология	Neurology
Неврон	Neuron
Невротрансмитер	Neurotransmitter
Неутрино	Neutrino
Неутрон	Neutron
Неутронна звезда	Neutron star
Нева	Neva River
Невада	Nevada
Категория:Невада	Nevada
Невил Чембърлейн	Neville Chamberlain
Ню Брунсуик	New Brunswick
Нова Каледония	New Caledonia
Нова Англия	New England
Нова Гвинея	New Guinea
Ню Хампшир	New Hampshire
Категория:Ню Хампшир	New Hampshire
Ню Джърси	New Jersey
Категория:Ню Джърси	New Jersey
Ню Мексико	New Mexico
Категория:Ню Мексико	New Mexico
Ню Орлийнс	New Orleans
Нов Южен Уелс	New South Wales
Нов завет	New Testament
Нова година	New Year
Ню Йорк (щат)	New York
Категория:Ню Йорк (щат)	New York
Ню Йорк (пояснение)	New York (disambiguation)
Ню Йорк	New York City
Категория:Ню Йорк	New York City
Нюйоркска фондова борса	New York Stock Exchange
Нова Зеландия	New Zealand
Категория:Нова Зеландия	New Zealand
Нюарк	Newark
Нюфаундленд и Лабрадор	Newfoundland and Labrador
Нюпорт	Newport
Нютон	Newton
Ниагара (водопад)	Niagara Falls
Ниамей	Niamey
Никарагуа	Nicaragua
Категория:Никарагуа	Nicaragua
Ница	Nice
Никел	Nickel
Никола Пусен	Nicolas Poussin
Николай Коперник	Nicolaus Copernicus
Никозия	Nicosia
Никотин	Nicotine
Нилс Бор	Niels Bohr
Нилс Абел	Niels Henrik Abel
Нигер	Niger
Категория:Нигер	Niger
Нигер (река)	Niger River
Нигерия	Nigeria
Категория:Нигерия	Nigeria
Нощ	Night
Южен славей	Nightingale
Нихилизъм	Nihilism
Неймеген	Nijmegen
Найк	Nike
Нике	Nike (mythology)
Никита Хрушчов	Nikita Khrushchev
Никола Тесла	Nikola Tesla
Нил	Nile
Нилски крокодил	Nile crocodile
Нинджа	Ninja
Нирвана	Nirvana
Азотна киселина	Nitric acid
Азот	Nitrogen
Нитроглицерин	Nitroglycerin
Никта (спътник)	Nix (moon)
Ньорд	Njord
Ноам Чомски	Noam Chomsky
Нобелова награда	Nobel Prize
Категория:Нобелова награда	Nobel Prize
Категория:Аристокрация	Nobility
Благороден газ	Noble gas
Номад	Nomad
Именителен падеж	Nominative case
Неметал	Nonmetal
Норфолк (остров)	Norfolk Island
Ъгломер (съзвездие)	Norma (constellation)
Норман Мейлър	Norman Mailer
Нормандия	Normandy
Скандинавска митология	Norse mythology
Категория:Скандинавска митология	Norse mythology
Север	North
Северна Африка	North Africa
Северна Америка	North America
Категория:Северна Америка	North America
Северна Каролина	North Carolina
Категория:Северна Каролина	North Carolina
Северна Дакота	North Dakota
Категория:Северна Дакота	North Dakota
Северна Корея	North Korea
Категория:Северна Корея	North Korea
Северен полюс	North Pole
Северно море	North Sea
Северна звезда	North Star
Северна Европа	Northern Europe
Северно полукълбо	Northern Hemisphere
Северна Ирландия	Northern Ireland
Категория:Северна Ирландия	Northern Ireland
Северни Мариански острови	Northern Mariana Islands
Щука	Northern pike
Северозападни територии	Northwest Territories
Норвегия	Norway
Категория:Норвегия	Norway
Норвежко море	Norwegian Sea
Норвежка крона	Norwegian krone
Нос (анатомия)	Nose
Нострадамус	Nostradamus
Нуакшот	Nouakchott
Съществително име	Noun
Нова Скотия	Nova Scotia
Роман	Novel
Ноември	November
1 ноември	November 1
11 ноември	November 11
2 ноември	November 2
5 ноември	November 5
Новосибирск	Novosibirsk
Ню	Nu (letter)
Термоядрен синтез	Nuclear fusion
Ядрена физика	Nuclear physics
Категория:Ядрена физика	Nuclear physics
Атомна енергия	Nuclear power
Ядрено оръжие	Nuclear weapon
Нуклеинова киселина	Nucleic acid
Нуклеотид	Nucleotide
Число	Number
Категория:Числа	Numbers
Нумидия	Numidia
Нумизматика	Numismatics
Категория:Нумизматика	Numismatics
Нунавут	Nunavut
Нюрнберг	Nuremberg
