English	Macedonian
Victoria	Викторија
Victoria (Australia)	Викторија (Австралија)
Vienna	Виена
Vientiane	Виентиан
Vietnam	Виетнам
Vietnam	Категорија:Виетнам
Vietnam War	Виетнамска војна
Viking	Викинзи
Village	Село
Vilnius	Вилнус
Vincent van Gogh	Винсент ван Гог
Violin	Виолина
Virginia	Вирџинија
Virtual reality	Виртуелна реалност
Virus	Вирус
Vistula	Висла
Vitamin	Витамин
Vladimir Lenin	Владимир Илич Ленин
Vladimir Putin	Владимир Путин
Vladivostok	Владивосток
Volcano	Вулкан
Volga River	Волга
Volgograd	Волгоград
Volleyball	Одбојка
Volt	Волт
Voltaire	Франсоа Волтер
Volume	Волумен
Vomiting	Повраќање
Vulcan (mythology)	Вулкан (бог)
W	W
Wales	Велс
Walt Disney	Волт Дизни
War	Војна
Warsaw	Варшава
Washington	Вашингтон
Washington	Вашингтон (сојузна држава)
Water	Вода
Water polo	Ватерполо
Watergate scandal	Вотергејтска афера
Watt	Ват
Web browser	Веб прелистувач
Web page	Веб страница
Website	Веб-сајт
Wednesday	Среда
Weight	Тежина
Weimar	Вајмар
Weimar Republic	Вајмарска Република
West Bank	Западен Брег
West Berlin	Западен Берлин
West Virginia	Западна Вирџинија
Western Sahara	Западна Сахара
Whale	Кит
White blood cell	Леукоцит
Wiesbaden	Визбаден
William Blake	Вилијам Блејк
William Faulkner	Вилијам Фокнер
William Shakespeare	Вилијам Шекспир
Willow	Врба
Windhoek	Виндхук
Wine	Вино
Wine	Категорија:Вино
Winston Churchill	Винстон Черчил
Wisconsin	Висконсин
Wolfgang Amadeus Mozart	Волфганг Амадеус Моцарт
Word	Збор
World Bank	Светска Банка
World Trade Organization	Светска Трговска Организација
World War I	Прва Светска војна
World War I	Категорија:Прва Светска војна
World War II	Втора светска војна
World War II	Категорија:Втора Светска војна
World Wide Web	Категорија:World Wide Web
Writing system	Систем на пишување
Wyoming	Вајоминг
Yangtze River	Јангцекјанг
Yard	Јарда
Yasser Arafat	Јасер Арафат
Yemen	Јемен
Yerevan	Ереван
Yugoslavia	Југославија
Yugoslavia	Категорија:Југославија
Yukon	Јукон
Yuri Gagarin	Јуриј Гагарин
Zagreb	Загреб
Zebra	Зебра
Zeus	Зевс
Zeus (disambiguation)	Зевс
Zimbabwe	Зимбабве
Zinc	Цинк
Zionism	Ционизам
Zodiac	Зодијак
Zoology	Зоологија
Zoology	Категорија:Зоологија
Zoroastrianism	Зороастризам
