English	Bulgarian
Journalism	Журналистика
Journalist	Журналист
Jovian	Йовиан
Joystick	Джойстик
Judaism	Юдаизъм
Judaism	Категория:Юдаизъм
Judas Iscariot	Юда Искариотски
Judo	Джудо
Judy Garland	Джуди Гарланд
Jules Verne	Жюл Верн
Julian calendar	Юлиански календар
Julian the Apostate	Юлиан Апостат
Julius Caesar	Юлий Цезар
July	Юли
July 1	1 юли
July 4	4 юли
June	Юни
June 14	14 юни
June 21	21 юни
June 23	23 юни
June 24	24 юни
June 29	29 юни
June 3	3 юни
Juneau	Джуно
Juniper	Хвойна
Juno (mythology)	Юнона
Jupiter	Юпитер (планета)
Jupiter	Категория:Юпитер
Jupiter (mythology)	Юпитер (бог)
Jurassic	Юра (период)
Justinian I	Юстиниан I
Jutland	Ютланд
K2	К2
KGB	КГБ
Kaaba	Кааба
Kabbalah	Кабала
Kabul	Кабул
Kalahari Desert	Калахари
Kamchatka Peninsula	Камчатка
Kamikaze	Камикадзе
Kampala	Кампала
Kandahar	Кандахар
Kangaroo	Кенгурови
Kansas	Канзас
Kansas	Категория:Канзас
Kansas City	Канзас Сити (Мисури)
Kappa	Капа (буква)
Kara Sea	Карско море
Karachi	Карачи
Karakoram	Каракорум
Karate	Карате
Karl Jaspers	Карл Ясперс
Karl Marx	Карл Маркс
Karl Popper	Карл Попър
Karma	Карма
Katharine Hepburn	Катрин Хепбърн
Kathmandu	Катманду
Katowice	Катовице
Kaunas	Каунас
Kayak	Каяк
Kazakhstan	Казахстан
Kazakhstan	Категория:Казахстан
Kazan	Казан (Русия)
Kazimir Malevich	Казимир Малевич
Kelvin	Келвин
Kent	Кент
Kentucky	Кентъки
Kentucky	Категория:Кентъки
Kenya	Кения
Kenya	Категория:Кения
Ketchup	Кетчуп
Ketone	Кетон
Keyboard (computing)	Компютърна клавиатура
Keyboard instrument	Клавирен инструмент
Khabarovsk	Хабаровск
Khan	Кан (титла)
Kharkiv	Харков
Khartoum	Хартум
Kidney	Бъбрек
Kiev	Киев
Kigali	Кигали
Kilogram	Килограм
Kilometre	Километър
Kilometres per hour	Километър в час
Kindergarten	Детска градина
King (chess)	Цар (шахмат)
King Arthur	Артур
King Lear	Крал Лир
Kingston	Кингстън (Ямайка)
Kingstown	Кингстаун
Kinshasa	Киншаса
Kiribati	Кирибати
Kiribati	Категория:Кирибати
Kirkuk	Киркук
Kiss	Целувка
Knife	Нож
Knight	Рицар
Knight (chess)	Кон (шахмат)
Knossos	Кносос
Knot (speed)	Възел (скорост)
Knut Hamsun	Кнут Хамсун
Koala	Коала
Kobe	Кобе
Kolkata	Калкута
Komodo dragon	Комодски варан
Konqueror	Konqueror
Konrad Adenauer	Конрад Аденауер
Korea	Корея
Korea	Категория:Корея
Korean War	Корейска война
Kosovo	Косово
Kosovo	Категория:Косово
Krakatoa	Кракатау
Kremlin	Кремъл
Krishna	Кришна
Krypton	Криптон
Ku Klux Klan	Ку клукс клан
Kuala Lumpur	Куала Лумпур
Kublai Khan	Кубилай хан
Kuiper belt	Пояс на Кайпер
Kuomintang	Гоминдан
Kura River	Кура
Kurdistan	Кюрдистан
Kurdistan	Категория:Кюрдистан
Kurdistan Workers Party	Кюрдска работническа партия
Kursk	Курск
Kurt Vonnegut	Кърт Вонегът
Kurt Waldheim	Курт Валдхайм
Kuwait	Кувейт
Kuwait	Категория:Кувейт
Kuwait City	Кувейт (град)
KwaZulu-Natal	Квазулу-Натал
Kyoto	Киото
Kyrgyzstan	Киргизстан
Kyrgyzstan	Категория:Киргизстан
La Paz	Ла Пас
La Plata	Ла Плата (град)
La Spezia	Специя
Laboratory	Лаборатория
Labour Party (UK)	Лейбъристка партия
Lacerta	Гущер (съзвездие)
Lactic acid	Млечна киселина
Lactose	Лактоза
Lady Jane Grey	Джейн Грей
Lagomorpha	Зайцеподобни
Lagos	Лагос
Lahore	Лахор
Lake	Езеро
Lake Baikal	Байкал
Lake Balaton	Балатон
Lake Chad	Чад (езеро)
Lake Constance	Боденско езеро
Lake Erie	Ери
Lake Geneva	Женевско езеро
Lake Huron	Хюрън (езеро)
Lake Ladoga	Ладожко езеро
Lake Michigan	Мичиган (езеро)
Lake Tanganyika	Танганика
Lake Victoria	Виктория (езеро)
Lakshmi	Лакшми
Lambda	Ламбда
Lammergeier	Брадат лешояд
Lamprey	Миноги
Language	Език (лингвистика)
Languedoc-Roussillon	Лангедок-Русийон
Lansing	Лансинг
Laos	Лаос
Laos	Категория:Лаос
Laptev Sea	Море Лаптеви
Laptop	Преносим компютър
Larch	Лиственица
Larva	Ларва
Larynx	Ларинкс
Las Vegas	Лас Вегас
Laser	Лазер
Lathe	Струг
Latin	Латински език
Latin America	Латинска Америка
Latin alphabet	Латиница
Latitude	Географска ширина
Latvia	Латвия
Latvia	Категория:Латвия
Laughter	Смях
Laurasia	Лавразия
Lausanne	Лозана
Lava	Лава
Law	Право
Law	Категория:Право
Lawyer	Адвокат
Lazio	Лацио
Le Corbusier	Льо Корбюзие
Le Havre	Хавър
Lead	Олово
Leaf	Лист
League of Nations	Общество на народите
Leaning Tower of Pisa	Наклонена кула в Пиза
Leap year	Високосна година
Lebanon	Ливан
Lebanon	Категория:Ливан
Leda (mythology)	Леда (митология)
Lee Harvey Oswald	Лий Харви Осуалд
Leeds	Лийдс
Left-handed	Левичар
Legend	Легенда
Legislature	Законодателна власт
Leicester	Лестър
Leiden	Лайден
Leipzig	Лайпциг
Lemon	Лимон
Lemon balm	Маточина
Lena River	Лена
Lens (optics)	Леща (оптика)
Lentil	Леща
Leo (constellation)	Лъв (съзвездие)
Leo I (emperor)	Лъв I (император)
Leon Trotsky	Лев Троцки
Leonardo da Vinci	Леонардо да Винчи
Leonhard Euler	Леонард Ойлер
Leonid Brezhnev	Леонид Брежнев
Leopard	Леопард
Lepidoptera	Пеперуди
Leprosy	Проказа
Lepton	Лептон
Lepus (constellation)	Заек (съзвездие)
Lesbian	Лесбийка
Lesotho	Лесото
Lesotho	Категория:Лесото
Lesser Antilles	Малки Антили
Leto	Лето (богиня)
Letter (alphabet)	Буква
Lever	Лост
Leviathan	Левиатан
Leviticus	Левит (Библия)
Lewis Carroll	Луис Карол
Lexicology	Лексикология
Lhasa	Лхаса
Liberalism	Либерализъм
Liberalism	Категория:Либерализъм
Liberation Tigers of Tamil Eelam	Тигри за освобождение на Тамил Еелам
Liberia	Либерия
Liberia	Категория:Либерия
Libra (constellation)	Везни (съзвездие)
Library	Библиотека
Libretto	Либрето
Libreville	Либревил
Libya	Либия
Libya	Категория:Либия
Liechtenstein	Лихтенщайн
Liechtenstein	Категория:Лихтенщайн
Lieutenant	Лейтенант
Life	Живот
Light	Светлина
Light-emitting diode	Светодиод
Light-year	Светлинна година
Lighthouse	Морски фар
Lightning	Мълния
Liguria	Лигурия
Ligurian Sea	Лигурско море
Liliaceae	Кремови
Lilith	Лилиту
Lille	Лил
Lilongwe	Лилонгве
Lima	Лима
Limerick	Лимерик
Limestone	Варовик
Limit (mathematics)	Граница (математика)
Limnology	Лимнология
Lincoln	Линкълн (Небраска)
Lincolnshire	Линкълншър
Line (mathematics)	Права линия
Lingua franca	Лингва франка
Linguistics	Езикознание
Linguistics	Категория:Лингвистика
Linus Pauling	Лайнъс Полинг
Linux	Линукс
Linux	Категория:ГНУ/Линукс
Linz	Линц
Lion	Лъв
Lipid	Липид
Liquid	Течност
Liquid crystal display	LCD
Liquorice	Женско биле
Lisbon	Лисабон
Lise Meitner	Лиза Майтнер
Lisp (programming language)	Lisp
Literacy	Грамотност
Literature	Литература
Literature	Категория:Литература
Literature	Портал:Литература
Lithium	Литий
Lithography	Литография
Lithosphere	Литосфера
Lithuania	Литва
Lithuania	Категория:Литва
Litre	Литър
Little Owl	Домашна кукумявка
Liverpool	Ливърпул
Livy	Тит Ливий
Ljubljana	Любляна
Loanword	Чужди думи
Local area network	Локална мрежа
Loch Ness Monster	Неси
Locomotive	Локомотив
Logarithm	Логаритъм
Logic	Логика
Logic	Категория:Логика
Logic gate	Логически елемент
Logistics	Логистика
Logo	Лого
Loire River	Лоара
Loki	Локи
Lombardy	Ломбардия
London	Лондон
London	Категория:Лондон
Long Beach	Лонг Бийч
Long Island	Лонг Айлънд
Long-eared Owl	Горска ушата сова
Lord's Prayer	Отче наш
Lorraine (region)	Лотарингия (регион)
Los Angeles	Лос Анджелис
Louis Aragon	Луи Арагон
Louis Armstrong	Луис Армстронг
Louis Braille	Луи Брайл
Louis Pasteur	Луи Пастьор
Louis the Pious	Людовик Благочестиви
Louis the Stammerer	Луи II (Франция)
Louisiana	Луизиана
Louisiana	Категория:Луизиана
Louisville	Луисвил
Louvre	Лувър
Love	Любов
Lower Saxony	Долна Саксония
Luanda	Луанда
Lublin	Люблин
Lucerne	Люцерн
Luciano Pavarotti	Лучано Павароти
Lucifer	Луцифер
Lucrezia Borgia	Лукреция Борджия
Ludwig Boltzmann	Лудвиг Болцман
Ludwig Wittgenstein	Лудвиг Витгенщайн
Ludwig van Beethoven	Лудвиг ван Бетховен
Luftwaffe	Луфтвафе
Luigi Galvani	Луиджи Галвани
Luigi Pirandello	Луиджи Пирандело
Lumen (unit)	Лумен
Lunar eclipse	Лунно затъмнение
Lung	Бял дроб
Lung cancer	Рак на белия дроб
Lupus (constellation)	Вълк (съзвездие)
Lusaka	Лусака
Lute	Лютня
Lutheranism	Лутеранство
Lux	Лукс
Luxembourg	Люксембург
Luxembourg	Категория:Люксембург
Luxembourg (city)	Люксембург (град)
Luxor	Луксор
Luzon	Лусон
Lyon	Лион
Lyra	Лира (съзвездие)
Lysergic acid diethylamide	ЛСД
M	M
M-theory	М-теория
MESSENGER	МЕСИНДЖЪР
MIME	MIME
MS-DOS	MS-DOS
Macau	Макао
Macbeth	Макбет
Macedon	Древна Македония
Macedonia	Македония
Macedonia (Greece)	Егейска Македония
Mach number	Число на Мах
Machine	Машина
Machine code	Машинен език
Machine gun	Картечница
Machine translation	Компютърен превод
Machu Picchu	Мачу Пикчу
Macroeconomics	Макроикономика
Macroeconomics	Категория:Макроикономика
Madagascar	Мадагаскар
Madagascar	Категория:Мадагаскар
Madeira	Мадейра
Madison	Медисън
Madonna (entertainer)	Мадона (певица)
Madrid	Мадрид
Madrid (autonomous community)	Мадрид (автономна област)
Mafia	Мафия
Magazine	Списание
Magenta	Маджента (цвят)
Maghreb	Магреб
Magic (paranormal)	Магия
Maginot Line	Линия „Мажино“
Magma	Магма (геология)
Magna Carta	Велика харта на свободите
Magnesium	Магнезий
Magnet	Магнит
Magnetic field	Магнитно поле
Magnetism	Магнетизъм
Maharashtra	Махаращра
Mahatma Gandhi	Махатма Ганди
Mahayana	Махаяна
Main	Шаблон:Основна
Maine	Мейн
Maine	Категория:Мейн
Maize	Царевица
Major scale	Мажор
Majorca	Майорка
Malabo	Малабо
Malacostraca	Висши ракообразни
Malaria	Малария
Malawi	Категория:Малави
Malay Peninsula	Малака
Malayan Tapir	Малайски тапир
Malaysia	Малайзия
Malaysia	Категория:Малайзия
Maldives	Малдиви
Maldives	Категория:Малдиви
Mali	Мали
Mali	Категория:Мали
Mallard	Зеленоглава патица
Malta	Малта
Malta	Категория:Малта
Maltese language	Малтийски език
Maltose	Малтоза
Malvaceae	Слезови
Mammal	Бозайници
Mammoth	Мамут
Managua	Манагуа
Manama	Манама
Manatee	Морска крава
Manchester	Манчестър
Manchuria	Манджурия
Mandarin (linguistics)	Мандарин
Mandarin orange	Мандарина
Manganese	Манган
Mango	Манго
Manhattan	Манхатън
Manhattan Project	Манхатън (проект)
Manichaeism	Манихейство
Manila	Манила
Manipur	Манипур
Manitoba	Манитоба
Mannerism	Маниеризъм
Mannheim	Манхайм
Mantle (geology)	Земна мантия
Mantra	Мантра
Mao Zedong	Мао Дзъдун
Maoism	Маоизъм
Map	Карта
Maple	Явор
Maputo	Мапуто
Marathon	Маратон
Marble	Мрамор
Marc Chagall	Марк Шагал
Marcel Duchamp	Марсел Дюшан
Marcel Marceau	Марсел Марсо
Marcel Proust	Марсел Пруст
March	Март
March 17	17 март
March 19	19 март
March 2	2 март
March 25	25 март
Marche	Марке
Marco Polo	Марко Поло
Marcus Aurelius	Марк Аврелий
Marcus Junius Brutus	Марк Юний Брут
Marcus Vipsanius Agrippa	Марк Випсаний Агрипа
Marduk	Мардук
Margaret Mitchell	Маргарет Мичел
Margaret Thatcher	Маргарет Тачър
Maria Callas	Мария Калас
Mariana Islands	Мариански острови
Marie Antoinette	Мария-Антоанета
Marie Curie	Мария Кюри
Mariehamn	Мариехамн
Marilyn Monroe	Мерилин Монро
Mario Vargas Llosa	Марио Варгас Льоса
Mark Antony	Марк Антоний
Mark Twain	Марк Твен
Marketing	Маркетинг
Marketing	Категория:Маркетинг
Markup language	Маркиращ език
Marquis de Sade	Донасиен Алфонс Франсоа дьо Сад
Marrakech	Маракеш
Marriage	Брак
Mars	Категория:Марс
Mars (disambiguation)	Марс (пояснение)
Mars (mythology)	Марс (бог)
Marseille	Марсилия
Marshall Islands	Маршалови острови
Marshall Islands	Категория:Маршалови острови
Marshall Plan	План Маршал
Marsupial	Двуутробни
Martin Heidegger	Мартин Хайдегер
Martin Luther	Мартин Лутер
Martin Luther King	Мартин Лутър Кинг
Martin Scorsese	Мартин Скорсезе
Martin Van Buren	Мартин Ван Бурен
Martina Navratilova	Мартина Навратилова
Martinique	Мартиника
Marxism	Марксизъм
Mary (mother of Jesus)	Богородица
Mary Shelley	Мери Шели
Maryland	Мериленд
Maryland	Категория:Мериленд
Maseru	Масеру
Mashhad	Мешхед
Mass	Маса (величина)
Mass (liturgy)	Меса (музика)
Massachusetts	Масачузетс
Massachusetts	Категория:Масачузетс
Massachusetts Institute of Technology	Масачузетски технологичен институт
Masturbation	Мастурбация
Mata Hari	Мата Хари
Match	Кибрит
Materialism	Материализъм
Mathematical logic	Математическа логика
Mathematical logic	Категория:Математическа логика
Mathematics	Математика
Mathematics	Категория:Математика
Mathematics	Портал:Математика
Matrix (mathematics)	Матрица (математика)
Matter	Материя (физика)
Matterhorn	Матерхорн
Mauna Loa	Мауна Лоа
Maurice Ravel	Морис Равел
Mauritania	Мавритания
Mauritania	Категория:Мавритания
Mauritius	Мавриций
Mauritius	Категория:Мавриций
Max Born	Макс Борн
Max Bruch	Макс Брух
Max Planck	Макс Планк
Max Weber	Макс Вебер
Maximian	Максимиан
Maxwell's equations	Уравнения на Максуел
May	Май
May 1	1 май
May 24	24 май
Mayonnaise	Майонеза
Mayor	Кмет
Mbabane	Мбабане
McCarthyism	Маккартизъм
Measurement	Категория:Измерване
Meat	Месо
Mecca	Мека
Mechanical engineering	Машиностроене
Mechanical engineering	Категория:Машинно инженерство
Mechanics	Механика
Medea	Медея
Median	Медиана (статистика)
Medici	Медичи
Medicine	Медицина
Medicine	Категория:Медицина
Medina	Медина
Mediterranean	Категория:Средиземно море
Mediterranean Sea	Средиземно море
Medusa	Медуза (митология)
Meerkat	Сурикат
Meister Eckhart	Майстер Екхарт
Mekong	Меконг
Mel Gibson	Мел Гибсън
Melanesia	Меланезия
Melody	Мелодия
Melpomene	Мелпомена
Melting	Топене
Melting point	Температура на топене
Memory	Памет
Memphis	Мемфис (Тенеси)
Memphis	Мемфис
Menachem Begin	Менахем Бегин
Menelaus	Менелай
Menstruation	Менструация
Mentha	Мента
Mercantilism	Меркантилизъм
Mercenary	Наемник
Mercury	Меркурий
Mercury (element)	Живак
Mercury (mythology)	Меркурий (митология)
Mercury (planet)	Меркурий (планета)
Meridian (geography)	Меридиан (география)
Meritocracy	Меритокрация
Mermaid	Русалка
Merovingian	Меровинги
Meryl Streep	Мерил Стрийп
Mescaline	Мескалин
Meson	Мезон
Mesopotamia	Месопотамия
Mesopotamia	Категория:Месопотамия
Mesozoic	Мезозой
Messenger RNA	Информационна РНК
Messiah	Месия
Messina	Месина (град Италия)
Metabolism	Метаболизъм
Metal	Метал
Metallic bond	Метална връзка
Metalloid	Металоид
Metallurgy	Металургия
Metallurgy	Категория:Металургия
Metaphor	Метафора
Metaphysics	Метафизика
Metastasis	Метастаза
Meteor shower	Метеорен поток
Meteorite	Метеорит
Meteoroid	Метеорно тяло
Meteorology	Категория:Метеорология
Meteorology	Метеорология
Methamphetamine	Метамфетамин
Methanol	Метанол
Methodism	Методизъм
Metis (moon)	Метис (спътник)
Metonymy	Метонимия
Metre	Метър
Metric space	Метрично пространство
Meuse River	Маас
Mexico	Мексико
Mexico	Категория:Мексико
Mexico City	Мексико (град)
Miami	Маями
Michael (archangel)	Михаил (архангел)
Michael Faraday	Майкъл Фарадей
Michel Ney	Мишел Ней
Michelangelo	Микеланджело Буонароти
Michigan	Мичиган
Michigan	Категория:Мичиган
Mick Jagger	Мик Джагър
Mickey Mouse	Мики Маус
Microbiology	Микробиология
Microbiology	Категория:Микробиология
Microeconomics	Микроикономика
Microeconomics	Категория:Микроикономика
Micronesia	Микронезия
Microphone	Микрофон
Microprocessor	Микропроцесор
Microscope	Микроскоп
Microscopium	Микроскоп (съзвездие)
Microwave	Микровълни
Microwave oven	Микровълнова фурна
Middle Ages	Средновековие
Middle Ages	Категория:Средновековие
Middle East	Близък Изток
Middle East	Категория:Близък Изток
Midnight sun	Бяла нощ
Miguel de Cervantes	Мигел де Сервантес
Mike Tyson	Майк Тайсън
Mikhail Bakunin	Михаил Бакунин
Mikhail Gorbachev	Михаил Горбачов
Milan	Милано
Mile	Миля
Miles Davis	Майлс Дейвис
Military	Категория:Военно дело
Milk	Мляко
Milky Way	Млечен път
Millard Fillmore	Милърд Филмор
Millimetre	Милиметър
Milton Friedman	Милтън Фридман
Milwaukee	Милуоки
Minaret	Минаре
Mindanao	Минданао
Mineral	Минерал
Mineral water	Минерална вода
Mineralogy	Минералогия
Minerva	Минерва
Ming Dynasty	Мин
Mining	Минно дело
Minister (government)	Министър
Minneapolis	Минеаполис
Minnesota	Минесота
Minnesota	Категория:Минесота
Minoan civilization	Минойска цивилизация
Minor scale	Минор
Minos	Минос
Minotaur	Минотавър
Minsk	Минск
Minute	Минута
Mirror	Огледало
Mishnah	Мишна
Mississippi	Категория:Мисисипи
Mississippi River	Мисисипи
Missouri	Мисури (щат)
Missouri	Категория:Мисури
Missouri River	Мисури
Mitochondrion	Митохондрия
Mnemosyne	Мнемозина
Mobile phone	Мобилен телефон
Modem	Модем
Modernism	Модернизъм
Modest Mussorgsky	Модест Мусоргски
Modulation	Модулация (техника)
Mogadishu	Могадишу
Moirae	Мойри
Mold	Плесен
Moldova	Молдова
Moldova	Категория:Молдова
Mole (unit)	Мол
Molecular biology	Молекулярна биология
Molecule	Молекула
Molise	Молизе
Mollusca	Мекотели
Molotov cocktail	Коктейл Молотов
Molybdenum	Молибден
Mombasa	Момбаса
Momentum	Импулс (механика)
Monaco	Монако
Monaco	Категория:Монако
Monarch	Монарх
Monarchy	Монархия
Monarchy	Категория:Монархия
Monastery	Манастир
Monday	Понеделник
Money	Пари
Mongolia	Монголия
Mongolia	Категория:Монголия
Monica Seles	Моника Селеш
Monocotyledon	Едносемеделни
Monopoly	Монопол
Monosodium glutamate	Мононатриев глутамат
Monotheism	Монотеизъм
Monotreme	Еднопроходни
Mons	Монс
Monsoon	Мусон
Mont Blanc	Мон Блан
Montana	Монтана (щат)
Montana	Категория:Монтана (щат)
Montenegro	Черна гора
Montenegro	Категория:Черна гора
Monterrey	Монтерей (Мексико)
Montevideo	Монтевидео
Montgomery	Монтгомъри (Алабама)
Month	Месец
Montpelier	Монпелие (Вермонт)
Montreal	Монреал
Montserrat	Монсерат
Moon	Луна
Moravia	Моравия
Morocco	Мароко
Morocco	Категория:Мароко
Morpheme	Морфема
Morphine	Морфин
Morphology	Морфология
Morphology (linguistics)	Морфология (езикознание)
Morse code	Морзова азбука
Moscow	Москва
Moscow	Категория:Москва
Moses	Мойсей
Moshe Dayan	Моше Даян
Mosque	Джамия
Moss	Bryopsida
Mossad	Мосад
Mosul	Мосул
Mother	Майка
Mother Teresa	Майка Тереза
Mother's Day	Ден на майката
Motion (physics)	Движение
Motorcycle	Мотоциклет
Mount Ararat	Арарат (връх)
Mount Athos	Атон
Mount Etna	Етна (вулкан)
Mount Everest	Еверест
Mount Fuji	Фуджи
Mount Kilimanjaro	Килиманджаро
Mount McKinley	Маккинли
Mount Olympus	Олимп
Mount Pinatubo	Пинатубо
Mount Vesuvius	Везувий
Mountain	Планина
Mountain bike	Планински велосипед
Mountain pass	Проход
Mountain range	Планинска верига
Mouse (computing)	Мишка (хардуер)
Mozambique	Мозамбик
Mozambique	Категория:Мозамбик
Muezzin	Мюезин
Muhammad	Мохамед
Mulberry	Черница
Mule	Катър
Multiple sclerosis	Множествена склероза
Mumbai	Мумбай
Munich	Мюнхен
Municipality	Община (България)
Murmansk	Мурманск
Murphy's law	Закон на Мърфи
Murray Gell-Mann	Мъри Гел-Ман
Musa (genus)	Банан
Musca	Муха (съзвездие)
Muscat	Маскат
Muscle	Мускул
Muse	Музи
Museum	Музей
Mushroom	Гъби
Music	Музика
Music	Категория:Музика
Musical instrument	Музикален инструмент
Musician	Музикант
Musket	Мускет
Mutation	Мутация
Mute Swan	Ням лебед
Myanmar	Категория:Мианмар
Mycenae	Микена
Mycology	Микология
Myocardial infarction	Инфаркт на миокарда
Myriapoda	Многоножки
Mysticism	Мистицизъм
Myth	Мит
Mythology	Митология
Mythology	Категория:Митология
N'Djamena	Нджамена
NATO	НАТО
NATO	Категория:НАТО
Nadine Gordimer	Надин Гордимър
Nagasaki	Нагасаки
Nagoya	Нагоя
Nahuatl	Нахуатъл
Nail (fastener)	Пирон
Nairobi	Найроби
Namib Desert	Намиб
Namibia	Намибия
Namibia	Категория:Намибия
Namur (city)	Намюр
Nancy	Нанси
Nanga Parbat	Нанга Парбат
Nanjing	Нанкин
Nanotechnology	Нанотехнология
Nantes	Нант
Napalm	Напалм
Naples	Неапол
Narcissus (mythology)	Нарцис
Nashville	Нашвил
Nassau	Насау
Nathaniel Hawthorne	Натаниел Хоторн
Nation	Нация
National anthem	Национален химн
National park	Национален парк
Nationalism	Национализъм
Nationalism	Категория:Национализъм
Natural gas	Природен газ
Natural language processing	Обработка на естествен език
Natural number	Естествено число
Natural selection	Естествен отбор
Nature	Природа
Nature	Категория:Природа
Naturism	Натуризъм
Nauru	Науру
Nauru	Категория:Науру
Nautical mile	Морска миля
Navigation	Категория:Навигация
Navigation	Навигация
Nazi Germany	Нацистка Германия
Nazi Germany	Категория:Нацистка Германия
Nazi Party	Националсоциалистическа германска работническа партия
Nazism	Категория:Нацизъм
Neanderthal	Неандерталец
Nebraska	Небраска
Nebraska	Категория:Небраска
Nebuchadrezzar II	Навуходоносор II
Nebula	Мъглявина
Necktie	Вратовръзка
Nefertiti	Нефертити
Negev	Негев
Neil Armstrong	Нийл Армстронг
Nelson Mandela	Нелсън Мандела
Nematode	Кръгли червеи
Nemean Lion	Немейски лъв
Nemesis (mythology)	Немезида
Neodymium	Неодим
Neolithic	Новокаменна епоха
Neologism	Неологизъм
Neon	Неон
Neoplatonism	Неоплатонизъм
Nepal	Непал
Nepal	Категория:Непал
Nephthys	Нефтида
Neptune	Нептун (планета)
Nereid (moon)	Нереида (спътник)
Nero	Нерон
Nerva	Нерва
Nervous system	Нервна система
Nervous system	Категория:Нервна система
Nestorianism	Несторианство
Netherlands	Холандия
Netherlands	Категория:Холандия
Netherlands Antilles	Холандски Антили
Network topology	Мрежови топологии
Neurology	Неврология
Neurology	Категория:Неврология
Neuron	Неврон
Neurotransmitter	Невротрансмитер
Neutrino	Неутрино
Neutron	Неутрон
Neutron star	Неутронна звезда
Neva River	Нева
Nevada	Невада
Nevada	Категория:Невада
Neville Chamberlain	Невил Чембърлейн
New Brunswick	Ню Брунсуик
New Caledonia	Нова Каледония
New England	Нова Англия
New Guinea	Нова Гвинея
New Hampshire	Ню Хампшир
New Hampshire	Категория:Ню Хампшир
New Jersey	Ню Джърси
New Jersey	Категория:Ню Джърси
New Mexico	Ню Мексико
New Mexico	Категория:Ню Мексико
New Orleans	Ню Орлийнс
New South Wales	Нов Южен Уелс
New Testament	Нов завет
New Year	Нова година
New York	Ню Йорк (щат)
New York	Категория:Ню Йорк (щат)
New York (disambiguation)	Ню Йорк (пояснение)
New York City	Ню Йорк
New York City	Категория:Ню Йорк
New York Stock Exchange	Нюйоркска фондова борса
New Zealand	Нова Зеландия
New Zealand	Категория:Нова Зеландия
Newark	Нюарк
Newfoundland and Labrador	Нюфаундленд и Лабрадор
Newport	Нюпорт
Newton	Нютон
Niagara Falls	Ниагара (водопад)
Niamey	Ниамей
Nicaragua	Никарагуа
Nicaragua	Категория:Никарагуа
Nice	Ница
Nickel	Никел
Nicolas Poussin	Никола Пусен
Nicolaus Copernicus	Николай Коперник
Nicosia	Никозия
Nicotine	Никотин
Niels Bohr	Нилс Бор
Niels Henrik Abel	Нилс Абел
Niger	Нигер
Niger	Категория:Нигер
Niger River	Нигер (река)
Nigeria	Нигерия
Nigeria	Категория:Нигерия
Night	Нощ
Nightingale	Южен славей
Nihilism	Нихилизъм
Nijmegen	Неймеген
Nike	Найк
Nike (mythology)	Нике
Nikita Khrushchev	Никита Хрушчов
Nikola Tesla	Никола Тесла
Nile	Нил
Nile crocodile	Нилски крокодил
Ninja	Нинджа
Nirvana	Нирвана
Nitric acid	Азотна киселина
Nitrogen	Азот
Nitroglycerin	Нитроглицерин
Nix (moon)	Никта (спътник)
Njord	Ньорд
Noam Chomsky	Ноам Чомски
Nobel Prize	Нобелова награда
Nobel Prize	Категория:Нобелова награда
Nobility	Категория:Аристокрация
Noble gas	Благороден газ
Nomad	Номад
Nominative case	Именителен падеж
Nonmetal	Неметал
Norfolk Island	Норфолк (остров)
Norma (constellation)	Ъгломер (съзвездие)
Norman Mailer	Норман Мейлър
Normandy	Нормандия
Norse mythology	Скандинавска митология
Norse mythology	Категория:Скандинавска митология
North	Север
North Africa	Северна Африка
North America	Северна Америка
North America	Категория:Северна Америка
North Carolina	Северна Каролина
North Carolina	Категория:Северна Каролина
North Dakota	Северна Дакота
North Dakota	Категория:Северна Дакота
North Korea	Северна Корея
North Korea	Категория:Северна Корея
North Pole	Северен полюс
North Sea	Северно море
North Star	Северна звезда
Northern Europe	Северна Европа
Northern Hemisphere	Северно полукълбо
Northern Ireland	Северна Ирландия
Northern Ireland	Категория:Северна Ирландия
Northern Mariana Islands	Северни Мариански острови
Northern pike	Щука
Northwest Territories	Северозападни територии
Norway	Норвегия
Norway	Категория:Норвегия
Norwegian Sea	Норвежко море
Norwegian krone	Норвежка крона
Nose	Нос (анатомия)
Nostradamus	Нострадамус
Nouakchott	Нуакшот
Noun	Съществително име
Nova Scotia	Нова Скотия
Novel	Роман
November	Ноември
November 1	1 ноември
November 11	11 ноември
November 2	2 ноември
November 5	5 ноември
Novosibirsk	Новосибирск
Nu (letter)	Ню
Nuclear fusion	Термоядрен синтез
Nuclear physics	Ядрена физика
Nuclear physics	Категория:Ядрена физика
Nuclear power	Атомна енергия
Nuclear weapon	Ядрено оръжие
Nucleic acid	Нуклеинова киселина
Nucleotide	Нуклеотид
Number	Число
Numbers	Категория:Числа
Numidia	Нумидия
Numismatics	Нумизматика
Numismatics	Категория:Нумизматика
Nunavut	Нунавут
Nuremberg	Нюрнберг
Nutmeg	Индийско орехче
Nutrition	Категория:Хранене
Nymph	Нимфа
Nymphaeaceae	Водни рози
Nyx (mythology)	Никта
OPEC	Организация на страните износителки на петрол
Oahu	Оаху
Oak	Дъб
Oakland	Оукланд (Калифорния)
Oasis	Оазис
Oaxaca	Оахака (щат)
Ob River	Об
Obelisk	Обелиск
Obesity	Затлъстяване
Object-oriented programming	Обектно-ориентирано програмиране
Observatory	Обсерватория
Occam's razor	Бръснач на Окам
Ocean	Световен океан
Ocean current	Океанско течение
Oceania	Океания
