Persian	English
شاخ	Horn (anatomy)
کر (ساز)	Horn (instrument)
شاخ آفریقا	Horn of Africa
زایچه	Horoscope
اسب	Horse
حسنی مبارک	Hosni Mubarak
بیمارستان	Hospital
هتل	Hotel
ساعت (زمان)	Hour
دکتر هاوس	House (TV series)
هیوستون	Houston
هواناو	Hovercraft
هاوارد کارتر	Howard Carter (archaeologist)
رودخانه هادسون	Hudson River
هوگو کاپه	Hugh Capet
انسان	Human
اومانیسم	Humanism
رده:علوم انسانی	Humanities
رطوبت	Humidity
مرغ مگس‌خوار	Hummingbird
هامفری بوگارت	Humphrey Bogart
مجارستان	Hungary
رده:مجارستان	Hungary
شکار	Hunting
حیدرآباد (هند)	Hyderabad
مار باریک (صورت فلکی)	Hydra (constellation)
هیدروکربن	Hydrocarbon
هیدروالکتریسیته	Hydroelectricity
هیدروژن	Hydrogen
پیوند هیدروژنی	Hydrogen bond
آب‌شناسی	Hydrology
رده:آب‌شناسی	Hydrology
آبمار (صورت فلکی)	Hydrus
کفتار	Hyena
پرده بکارت	Hymen
سرود ملی	Hymn
هذلولی	Hyperbola
پروتکل انتقال ابرمتن	Hypertext Transfer Protocol
هیپنوتیزم	Hypnosis
هیپوتالاموس	Hypothalamus
فرضیه	Hypothesis
I	I
آی ام پی	I. M. Pei
آی‌پاد	IPod
یان فلمینگ	Ian Fleming
شبه‌جزیره ایبری	Iberian Peninsula
عصر یخبندان (دورهٔ زمین‌شناسی)	Ice age
بستنی	Ice cream
هاکی روی یخ	Ice hockey
یخکوه	Iceberg
ایسلند	Iceland
رده:ایسلند	Iceland
آبزی‌شناسی	Ichthyology
آیداهو	Idaho
گاز ایده‌آل	Ideal gas
آرمان‌گرایی	Idealism
ایدئولوژی	Ideology
ایدو	Ido
ایگور استراوینسکی	Igor Stravinsky
ایلیاد	Iliad
ایلینوی	Illinois
ایلیریا	Illyria
اسکنر	Image scanner
امام	Imam
امانوئل کانت	Immanuel Kant
ایمونولوژی	Immunology
امپریالیسم	Imperialism
دریافتگری	Impressionism
اینچ	Inch
هند	India
رده:هند	India
اقیانوس هند	Indian Ocean
ایندیانا	Indiana
ایندیاناپولیس	Indianapolis
ایندیرا گاندی	Indira Gandhi
ایندیوم	Indium
هندوچین	Indochina
اندونزی	Indonesia
رده:اندونزی	Indonesia
هندی (صورت فلکی)	Indus (constellation)
صنعت	Industry
نامساوی	Inequality
تورم	Inflation
آنفلوآنزا	Influenza
اطلاعات	Information
فناوری اطلاعات	Information technology
نظریه اطلاعات	Information theory
فروسرخ	Infrared
زیرساخت	Infrastructure
اینگمار برگمن	Ingmar Bergman
اینگرید برگمن	Ingrid Bergman
اینسبروک	Innsbruck
شیمی معدنی	Inorganic chemistry
حشرات	Insect
نهاد	Institution
انسولین	Insulin
بیمه	Insurance
اعداد صحیح	Integer
انتگرال	Integral
تراشه	Integrated circuit
مالکیت فکری	Intellectual property
ضریب هوشی	Intelligence quotient
موشک بالیستیک قاره‌پیما	Intercontinental ballistic missile
بهره (پول)	Interest
اینترلینگوا	Interlingua
آژانس بین‌المللی انرژی اتمی	International Atomic Energy Agency
ایکائو	International Civil Aviation Organization
دیوان بین‌المللی دادگستری	International Court of Justice
سازمان بین‌المللی کار	International Labour Organization
سیستم استاندارد بین‌المللی واحدها	International System of Units
سازمان بین‌المللی	International organization
اینترنت	Internet
اینترنت اکسپلورر	Internet Explorer
اشتراک (مجموعه)	Intersection (set theory)
روده	Intestine
اینترانت	Intranet
اختراع	Invention
بی‌مهرگان	Invertebrate
یو	Io (mythology)
ید	Iodine
یون	Ion
ایونیا	Ionia
پیوند یونی	Ionic bond
آیووا	Iowa
رده:آیووا	Iowa
ایران	Iran
رده:ایران	Iran
جنگ ایران و عراق	Iran-Iraq War
عراق	Iraq
رده:عراق	Iraq
جزیره ایرلند	Ireland
ایریدیوم	Iridium
ایریس	Iris (mythology)
رده:اهالی ایرلند	Irish people
آهن	Iron
عصر آهن	Iron Age
آیرون میدن	Iron Maiden
عدد گنگ	Irrational number
اسحاق	Isaac
آیزاک آسیموف	Isaac Asimov
ایزاک بشویس سینگر	Isaac Bashevis Singer
آیزاک نیوتن	Isaac Newton
اسماعیل	Ishmael
ایسیس	Isis
اسلام	Islam
رده:اسلام	Islam
اسلام‌آباد	Islamabad
تقویم هجری قمری	Islamic calendar
جزیره (جغرافیا)	Island
جزیره من	Isle of Man
ایزوتوپ	Isotope
اسرائیل	Israel
رده:اسرائیل	Israel
استانبول	Istanbul
ایتالو کالوینو	Italo Calvino
ایتالیا	Italy
رده:ایتالیا	Italy
ایوان پتروویچ پاولف	Ivan Pavlov
عاج	Ivory
آیوی لیگ	Ivy League
ایو جیما	Iwo Jima
J	J
جروم دیوید سالینجر	J. D. Salinger
جک لمون	Jack Lemmon
جک لندن	Jack London
جکسون	Jackson
جکسون پولاک	Jackson Pollock
جکسون‌ویل	Jacksonville
یعقوب	Jacob
ژاک دریدا	Jacques Derrida
یشم	Jade
جگوار	Jaguar
آئین جین	Jainism
جاکارتا	Jakarta
جلال‌آباد	Jalalabad
جامائیکا	Jamaica
رده:جامائیکا	Jamaica
جیمز آبرام گارفیلد	James A. Garfield
جیمز باند	James Bond
جیمز بیوکنن	James Buchanan
جیمز کلرک ماکسول	James Clerk Maxwell
جیمز کوک	James Cook
جیمز فرانک	James Franck
جیمز جویس	James Joyce
جیمز ناکس پولک	James K. Polk
جیمز مدیسون	James Madison
جیمز مونرو	James Monroe
جیمز ژول	James Prescott Joule
جیمز وات	James Watt
جامو و کشمیر	Jammu and Kashmir
جین آستن	Jane Austen
جین سیمور	Jane Seymour
ینی‌چری	Janissary
ژانویه	January
۱ ژانویه	January 1
۱۹ ژانویه	January 19
۲۰ ژانویه	January 20
۶ ژانویه	January 6
ژاپن	Japan
رده:ژاپن	Japan
یاسون	Jason
جاوه	Java
جاوا (زبان برنامه‌نویسی)	Java (programming language)
جاز	Jazz
ژان اگوست دومینیک انگر	Jean Auguste Dominique Ingres
ژان کوکتو	Jean Cocteau
ژان پیاژه	Jean Piaget
ژان سیبلیوس	Jean Sibelius
ژان ژاک روسو	Jean-Jacques Rousseau
ژان پل سارتر	Jean-Paul Sartre
جده	Jeddah
جفرسون‌سیتی	Jefferson City
جفرسون دیویس	Jefferson Davis
یهوه	Jehovah
جرمی بنتهام	Jeremy Bentham
اریحا	Jericho
اورشلیم	Jerusalem
رده:اورشلیم	Jerusalem
عیسی	Jesus
موتور جت	Jet engine
زنبورک	Jew's harp
جهاد	Jihad
جیمی هندریکس	Jimi Hendrix
جیمی کارتر	Jimmy Carter
ژان دارک	Joan of Arc
یوهان سباستین باخ	Johann Sebastian Bach
یوهان ولفگانگ گوته	Johann Wolfgang von Goethe
یوهانس برامس	Johannes Brahms
یوهانس گوتنبرگ	Johannes Gutenberg
یوهان کپلر	Johannes Kepler
ژوهانسبورگ	Johannesburg
جان آدامز	John Adams
جان باردین	John Bardeen
ژان کالون	John Calvin
جان دالتون	John Dalton
جان لنون	John Lennon
جان لاک	John Locke
جان مینارد کینز	John Maynard Keynes
جان کوئینسی آدامز	John Quincy Adams
جان اشتاین‌بک	John Steinbeck
استوارت‌میل	John Stuart Mill
جان تایلر	John Tyler
جان وین	John Wayne
یحیی	John the Baptist
جان فون نویمان	John von Neumann
اردن	Jordan
رده:اردن	Jordan
خورخه لوئیس بورخس	Jorge Luis Borges
جوزف کنراد	Joseph Conrad
یوزف گوبلز	Joseph Goebbels
ژوزف هایدن	Joseph Haydn
ژوزف لویی گیلوساک	Joseph Louis Gay-Lussac
جوزف پریستلی	Joseph Priestley
ژوزف استالین	Joseph Stalin
ژول	Joule
ژورنالیسم	Journalism
خبرنگار	Journalist
اهرمک	Joystick
یهودیت	Judaism
یهودا اسخریوطی	Judas Iscariot
یهودیه	Judea
جودو	Judo
جوجیتسو	Jujutsu
ژول ورن	Jules Verne
یولیانوس	Julian the Apostate
ژولیوس سزار	Julius Caesar
ژوئیه	July
۱ ژوئیه	July 1
۴ ژوئیه	July 4
ژوئن	June
۱۴ ژوئن	June 14
۲۱ ژوئن	June 21
۲۳ ژوئن	June 23
۲۴ ژوئن	June 24
۲۹ ژوئن	June 29
۳ ژوئن	June 3
جونو، آلاسکا	Juneau
مشتری (سیاره)	Jupiter
یوستی‌نیانوس یکم	Justinian I
K	K
کی ۲	K2
کاگ‌ب	KGB
کعبه	Kaaba
کابالا	Kabbalah
کابل	Kabul
شبه‌جزیره کامچاتکا	Kamchatka Peninsula
کامپالا	Kampala
قندهار	Kandahar
کانگورو	Kangaroo
کانزاس	Kansas
کانزاس‌سیتی	Kansas City
دریای کارا	Kara Sea
کراچی	Karachi
کاراته	Karate
کارل یاسپرس	Karl Jaspers
کارل مارکس	Karl Marx
کارل پوپر	Karl Popper
کارما	Karma
کارناتاکا	Karnataka
کاترین هپبورن	Katharine Hepburn
کاتماندو	Kathmandu
کاتوویتس	Katowice
قزاقستان	Kazakhstan
رده:قزاقستان	Kazakhstan
قازان	Kazan
کلوین	Kelvin
کنتاکی	Kentucky
کنیا	Kenya
رده:کنیا	Kenya
هسته سیستم عامل	Kernel (computer science)
کتون	Ketone
صفحه‌کلید	Keyboard (computing)
ساز کلیدی	Keyboard instrument
خان	Khan
خارطوم	Khartoum
خوفو	Khufu
کلیه	Kidney
کیف (شهر)	Kiev
کیگالی	Kigali
کیلوگرم	Kilogram
انرژی جنبشی	Kinetic energy
شاه لیر	King Lear
کینگستون	Kingston
کینشاسا	Kinshasa
کیریباتی	Kiribati
کرکوک	Kirkuk
بوسه	Kiss
بادبادک	Kite
کیوی (پرنده)	Kiwi
کنیست	Knesset
کارد	Knife
شوالیه	Knight
دانش	Knowledge
کوآلا	Koala
کلکته	Kolkata
کنراد آدناور	Konrad Adenauer
جنگ کره	Korean War
کوزوو	Kosovo
کراکاتوآ	Krakatoa
کوکلوس‌کلان	Ku Klux Klan
کوالالامپور	Kuala Lumpur
قوبلای‌خان	Kublai Khan
کمربند کایپر	Kuiper belt
کورا	Kura River
سرزمین کردستان	Kurdistan
حزب کارگران کردستان	Kurdistan Workers Party
کورت ونه‌گات	Kurt Vonnegut
کویت	Kuwait
کویت (شهر)	Kuwait City
کیوتو	Kyoto
قرقیزستان	Kyrgyzstan
رده:قرقیزستان	Kyrgyzstan
L	L
لاتک	LaTeX
حزب کارگر (انگلیس)	Labour Party (UK)
چلپاسه	Lacerta
جین گری	Lady Jane Grey
لاگوس	Lagos
لاهور	Lahore
دریاچه	Lake
دریاچه بایکال	Lake Baikal
دریاچه چاد	Lake Chad
دریاچه ایری	Lake Erie
دریاچه ایر	Lake Eyre
دریاچه ژنو	Lake Geneva
دریاچه هیوران	Lake Huron
دریاچه میشیگان	Lake Michigan
دریاچه انتاریو	Lake Ontario
دریاچه سوپریور	Lake Superior
دریاچه تانگانیکا	Lake Tanganyika
نعناعیان	Lamiaceae
محل دفن مواد زاید جامد	Landfill
زبان	Language
لنسینگ	Lansing
لانتانید	Lanthanide
لائوس	Laos
رده:لائوس	Laos
سیاه‌کاج	Larch
لارو	Larva
حنجره	Larynx
لاس‌وگاس	Las Vegas
لیزر	Laser
دستگاه تراش	Lathe
زبان لاتین	Latin
آمریکای لاتین	Latin America
الفبای لاتین	Latin alphabet
عرض جغرافیایی	Latitude
لاتویا	Latvia
رده:لاتویا	Latvia
لوزان	Lausanne
گدازه	Lava
حقوق (قانونی)	Law
رده:حقوق	Law
لارنسیم	Lawrencium
سرب	Lead
برگ	Leaf
جامعه ملل	League of Nations
برج کج پیزا	Leaning Tower of Pisa
سال کبیسه	Leap year
یادگیری	Learning
لبنان	Lebanon
رده:لبنان	Lebanon
لیدز (شهر)	Leeds
چپ دستی	Left-handed
لیدن	Leiden
لایپزیگ	Leipzig
لیمو ترش	Lemon
بادرنجبویه	Lemon balm
عدسی	Lens (optics)
عدس	Lentil
شیر (صورت فلکی)	Leo (constellation)
لئون تروتسکی	Leon Trotsky
لئوناردو داوینچی	Leonardo da Vinci
لئونارد اویلر	Leonhard Euler
لئونید برژنف	Leonid Brezhnev
پلنگ	Leopard
پولک‌بالان	Lepidoptera
جذام	Leprosy
لپتون	Lepton
لسوتو	Lesotho
رده:لسوتو	Lesotho
اهرم	Lever
لویاتان	Leviathan
لوئیس کارول	Lewis Carroll
لهاسا	Lhasa
لیبرالیسم	Liberalism
ببرهای تامیل	Liberation Tigers of Tamil Eelam
لیبریا	Liberia
رده:لیبریا	Liberia
کتابخانه	Library
علم کتابداری و اطلاعات	Library science
اپرانامه	Libretto
لیبرویل	Libreville
لیبی	Libya
رده:لیبی	Libya
گلسنگ	Lichen
لیختنشتاین	Liechtenstein
رده:لیختنشتاین	Liechtenstein
ستوان	Lieutenant
زندگی	Life
نور	Light
سال نوری	Light-year
فندک	Lighter
فانوس	Lighthouse
آذرخش	Lightning
لیگوریا	Liguria
سوسنیان	Liliaceae
لیلیث	Lilith
لیل (شهر)	Lille
لیلونگوه	Lilongwe
لیما	Lima
حد	Limit (mathematics)
لینکلن (نبراسکا)	Lincoln
خط (هندسه)	Line (mathematics)
جبر خطی	Linear algebra
رده:جبر خطی	Linear algebra
زبان‌شناسی	Linguistics
لینوکس	Linux
لینتز	Linz
شیر (گربه‌سان)	Lion
لیپید	Lipid
مایع	Liquid
لیسبون	Lisbon
لیسپ	Lisp (programming language)
باسوادی	Literacy
ادبیات	Literature
رده:ادبیات	Literature
درگاه:ادبیات	Literature
لیتیم	Lithium
لیتوگرافی	Lithography
لیتوانی	Lithuania
رده:لیتوانیا	Lithuania
لیتر	Litre
لیورپول	Liverpool
لیوبلیانا	Ljubljana
لاما	Llama
وام‌واژه	Loanword
شبکه محلی	Local area network
لوکوموتیو	Locomotive
لگاریتم	Logarithm
منطق	Logic
رده:منطق	Logic
دروازه منطقی	Logic gate
نامواره	Logo
لولیتا	Lolita
لمباردی	Lombardy
لندن	London
رده:لندن	London
لانگ آیلند	Long Island
لوپه دوگا	Lope de Vega
لس‌آنجلس	Los Angeles
بلندگو	Loudspeaker
لویی آراگون	Louis Aragon
لویی آرمسترانگ	Louis Armstrong
لوئيس بريل	Louis Braille
لویی پاستور	Louis Pasteur
لویی پارسا	Louis the Pious
لویی کندزبان	Louis the Stammerer
لوئیزیانا	Louisiana
لویی ویل	Louisville
موزه لوور	Louvre
عشق	Love
نیدرزاکسن	Lower Saxony
لوآندا	Luanda
لوچیانو پاواروتی	Luciano Pavarotti
لودویگ بولتزمان	Ludwig Boltzmann
لودویگ میس ون در روهه	Ludwig Mies van der Rohe
لودویگ ویتگنشتاین	Ludwig Wittgenstein
لودویگ وان بتهوون	Ludwig van Beethoven
لویجی گالوانی	Luigi Galvani
لویجی پیراندلو	Luigi Pirandello
لومینسانس	Luminescence
گرگ (صورت فلکی)	Lupus (constellation)
لوساکا	Lusaka
لوت (ساز)	Lute
لوکزامبورگ	Luxembourg
رده:لوکزامبورگ	Luxembourg
لوکزامبورگ (شهر)	Luxembourg (city)
اقصر	Luxor
لیدیه	Lydia
لینکس	Lynx (web browser)
لیون	Lyon
ال‌اس‌دی	Lysergic acid diethylamide
لیزوزوم	Lysosome
M	M
نظریه-م	M-theory
ام‌اس-داس	MS-DOS
ماکائو	Macau
مکبث	Macbeth
عدد ماخ	Mach number
زبان ماشین	Machine code
مسلسل	Machine gun
ترجمه ماشینی	Machine translation
ماچو پیچو	Machu Picchu
مکینتاش	Macintosh
اقتصاد کلان	Macroeconomics
ماداگاسکار	Madagascar
رده:ماداگاسکار	Madagascar
مدیسون، ویسکانسین	Madison
مدونا (خواننده)	Madonna (entertainer)
مادرید	Madrid
مادرید (بخش خودمختار)	Madrid (autonomous community)
مافیا	Mafia
مجله	Magazine
جادو	Magic (paranormal)
مربع جادویی	Magic square
خط دفاعی ماژینو	Maginot Line
تفتال (زمین‌شناسی)	Magma
منیزیم	Magnesium
آهنربا	Magnet
ام‌آر‌آی	Magnetic resonance imaging
ذره‌بین	Magnifying glass
رده:دولپه‌ای‌ها	Magnoliopsida
مهاراشترا	Maharashtra
ماهاتما گاندی	Mahatma Gandhi
مهراه	Mahayana
ایالت مین	Maine
میتریا	Maitreya
ذرت	Maize
مالابو	Malabo
مالاریا	Malaria
رده:مالاوی	Malawi
شبه جزیره مالایا	Malay Peninsula
مالزی	Malaysia
رده:مالزی	Malaysia
ملکم ایکس	Malcolm X
مالدیو	Maldives
رده:مالدیو	Maldives
مالی	Mali
رده:مالی	Mali
مالت (کشور)	Malta
رده:مالت	Malta
زبان مالتی	Maltese language
پنیرکیان	Malvaceae
پستانداران	Mammal
مدیریت	Management
ماناگوآ	Managua
منامه	Manama
گاو دریایی	Manatee
منچستر	Manchester
منچوری	Manchuria
ماندالا	Mandala
ماندارین	Mandarin (linguistics)
نارنگی	Mandarin orange
مجموعه مندلبرو	Mandelbrot set
منگنز	Manganese
منهتن	Manhattan
پروژه منهتن	Manhattan Project
آیین مانی	Manichaeism
مانیل	Manila
مانیتوبا	Manitoba
مانهایم	Mannheim
دستنویس	Manuscript
مائو تسه‌تونگ	Mao Zedong
مائوئیسم	Maoism
نقشه (زمین)	Map
ماپوتو	Maputo
سنگ مرمر	Marble
مارک شاگال	Marc Chagall
مارسل مارسو	Marcel Marceau
مارسل پروست	Marcel Proust
مارس	March
۱۷ مارس	March 17
۱۹ مارس	March 19
۲ مارس	March 2
۲۵ مارس	March 25
مارکو پولو	Marco Polo
مارکوس اورلیوس	Marcus Aurelius
مردوک	Marduk
مارگارت میچل	Margaret Mitchell
مارگارت تاچر	Margaret Thatcher
ماریا کالاس	Maria Callas
ماری آنتوانت	Marie Antoinette
ماری كوری	Marie Curie
مرلین مونرو	Marilyn Monroe
ماریو بارگاس یوسا	Mario Vargas Llosa
مارک آنتوان	Mark Antony
مارک تواین	Mark Twain
بازار	Market
بازاریابی	Marketing
زبان نشانه‌گذاری	Markup language
مارلنه دیتریش	Marlene Dietrich
مارکی دوساد	Marquis de Sade
مراکش (شهر)	Marrakech
ازدواج	Marriage
مارسی	Marseille
جزایر مارشال	Marshall Islands
طرح مارشال	Marshall Plan
کیسه‌داران	Marsupial
مارتین بوبر	Martin Buber
مارتین هایدگر	Martin Heidegger
مارتین لوتر	Martin Luther
مارتین لوتر کینگ جونیور	Martin Luther King
مارتین اسکورسیزی	Martin Scorsese
مارتین ون بورن	Martin Van Buren
برادران مارکس	Marx Brothers
مارکسیسم	Marxism
مريم	Mary (mother of Jesus)
مریم مجدلیه	Mary Magdalene
مری شلی	Mary Shelley
مری ولستون‌کرافت	Mary Wollstonecraft
مریلند	Maryland
ماسرو	Maseru
مشهد	Mashhad
عدد جرمی	Mass number
ماساچوست	Massachusetts
انستیتوی تکنولوژی ماساچوست	Massachusetts Institute of Technology
استمناء	Masturbation
ماتا هاری	Mata Hari
کبریت	Match
ماده‌گرایی	Materialism
منطق ریاضی	Mathematical logic
رده:منطق ریاضی	Mathematical logic
برهان (ریاضی)	Mathematical proof
ریاضیات	Mathematics
رده:ریاضیات	Mathematics
ماتریس (ریاضی)	Matrix (mathematics)
ماده (فیزیک)	Matter
موریس راول	Maurice Ravel
موریتانی	Mauritania
رده:موریتانی	Mauritania
موریس (جزیره)	Mauritius
رده:موریس	Mauritius
ماکس بورن	Max Born
ماکس بروخ	Max Bruch
ماکس پلانک	Max Planck
ماکس وبر	Max Weber
معادلات ماکسول	Maxwell's equations
مه (ماه)	May
۱ مه	May 1
۲۴ مه	May 24
مبابانه	Mbabane
مک‌کارتیسم	McCarthyism
سرخک	Measles
نظریه اندازه	Measure (mathematics)
مکه	Mecca
مهندسی مکانیک	Mechanical engineering
رده:مکانیک	Mechanics
مدیا	Medea
میانه (آمار)	Median
دارو	Medication
خاندان مدیچی	Medici
پزشکی	Medicine
مدینه	Medina
مراقبه	Meditation
مدیترانه	Mediterranean Sea
مدوزا	Medusa
مگابایت	Megabyte
میتنریوم	Meitnerium
مل گیبسون	Mel Gibson
ملانزی	Melanesia
لحن (موسیقی)	Melody
ذوب	Melting
دمای ذوب	Melting point
ممفیس	Memphis
ممفیس (مصر باستان)	Memphis
مناخیم بگین	Menachem Begin
مندلیفیوم	Mendelevium
مننژیت	Meningitis
کوهمیز	Mensa (constellation)
عادت ماهانه	Menstrual cycle
جیوه	Mercury (element)
تیر (سیاره)	Mercury (planet)
نصف‌النهار	Meridian (geography)
شایسته‌سالاری	Meritocracy
پری دریایی	Mermaid
مروونژی‌ها	Merovingian
مریل استریپ	Meryl Streep
مزون	Meson
میان‌رودان	Mesopotamia
ماشیح	Messiah
دگرگشت	Metabolism
داده‌نما	Metadata
فلز	Metal
پیوند فلزی	Metallic bond
متالورژی	Metallurgy
متافیزیک	Metaphysics
متاستاز	Metastasis
شهاب‌سنگ	Meteorite
شهاب‌وار	Meteoroid
هواشناسی	Meteorology
مت‌آمفتامین	Methamphetamine
متانول	Methanol
متدیست	Methodism
متر	Metre
فضای متری	Metric space
مکزیک	Mexico
رده:مکزیک	Mexico
مکزیکو سیتی	Mexico City
میامی	Miami
میکائیل	Michael (archangel)
مایکل فارادی	Michael Faraday
میکل‌آنژ	Michelangelo
میشیگان	Michigan
میکی‌ماوس	Mickey Mouse
اقتصاد خرد	Microeconomics
میکرونزی	Micronesia
ریزاندامگان	Microorganism
ریزپردازنده	Microprocessor
میکروسکوپ	Microscope
میکروسکوپ (صورت فلکی)	Microscopium
ریزموج	Microwave
تندپز	Microwave oven
قرون وسطی	Middle Ages
خاورمیانه	Middle East
رده:خاورمیانه	Middle East
میگرن	Migraine
میگوئل سروانتس	Miguel de Cervantes
میخائیل باکونین	Mikhail Bakunin
میخائیل گورباچف	Mikhail Gorbachev
میلان	Milan
مایلز دیویس	Miles Davis
رده:نظامی	Military
شیر (لبنیات)	Milk
کهکشان راه شیری	Milky Way
میلارد فیلمور	Millard Fillmore
هزاره	Millennium
میلیون	Million
میلتون فریدمن	Milton Friedman
میلواکی	Milwaukee
کانی (معدن)	Mineral
کانی‌شناسی	Mineralogy
مینیمالیسم	Minimalism
مینیاپولیس	Minneapolis
مینسوتا	Minnesota
مینوسی‌ها	Minoan civilization
گام مینور	Minor scale
مینوتور	Minotaur
مینسک	Minsk
معجزه	Miracle
آینه	Mirror
میشنا	Mishnah
رودخانه میسیسیپی	Mississippi River
میسوری	Missouri
میتوکندری	Mitochondrion
نیمازینی	Mnemosyne
تلفن همراه	Mobile phone
مودم	Modem
نوگرایی	Modernism
مدولاسیون	Modulation
موگادیشو	Mogadishu
کپک	Mold
مولداوی	Moldova
رده:مولداوی	Moldova
مول (کمیت)	Mole (unit)
مولکول	Molecule
نرم‌تنان	Mollusca
مولیبدن	Molybdenum
تکانه	Momentum
موناکو	Monaco
رده:موناکو	Monaco
شاه	Monarch
شاه	Monarchy
صومعه	Monastery
دوشنبه	Monday
پول	Money
مغولستان	Mongolia
رده:مغولستان	Mongolia
خدنگ	Mongoose
یگانه‌انگاری	Monism
تک‌لپه‌ای‌ها	Monocotyledon
تکپار	Monomer
تک‌قندی	Monosaccharide
یکتاپرستی	Monotheism
تک‌سوراخیان	Monotreme
دکترین مونرو	Monroe Doctrine
مونروویا	Monrovia
مون بلان	Mont Blanc
مونتانا (ایالت)	Montana
مونت‌کارلو	Monte Carlo
مونته‌نگرو	Montenegro
رده:مونته‌نگرو	Montenegro
مونته‌ویدئو	Montevideo
مانتگمری	Montgomery
ماه (زمان)	Month
مونپلیه (ورمانت)	Montpelier
مونترآل	Montreal
ماه	Moon
مراکش	Morocco
رده:مراکش	Morocco
تکواژ	Morpheme
صرف	Morphology (linguistics)
کد مورس	Morse code
خمپاره انداز	Mortar (weapon)
معرق‌کاری	Mosaic
مسکو	Moscow
موسی	Moses
موشه دایان	Moshe Dayan
مسجد	Mosque
پشه	Mosquito
موساد	Mossad
موصل	Mosul
مادر ترزا	Mother Teresa
روز مادر	Mother's Day
شعار	Motto
کوه آرارات	Mount Ararat
کوه آثوس	Mount Athos
اتنا	Mount Etna
کوه اورست	Mount Everest
فوجی یاما	Mount Fuji
کلیمانجارو	Mount Kilimanjaro
مک کینلی	Mount McKinley
یادبود ملی کوه راشمور	Mount Rushmore
کوه	Mountain
رشته‌کوه	Mountain range
موش	Mouse
موشی	Mouse (computing)
موزامبیک	Mozambique
رده:موزامبیک	Mozambique
مؤذن	Muezzin
محمد	Muhammad
محمدعلی کلی	Muhammad Ali
توت	Mulberry
استر (حیوان)	Mule
اسکلروز چندگانه	Multiple sclerosis
ضرب (ریاضی)	Multiplication
بمبئی	Mumbai
مومیایی	Mummy
مونیخ	Munich
میون	Muon
مورمانسک	Murmansk
قوانین مورفی	Murphy's law
مگس جنوبی	Musca
مسقط	Muscat
دستگاه ماهیچه‌ای	Muscle
موزه	Museum
موسیقی	Music
رابط دیجیتالی سازهای موسیقی	Musical Instrument Digital Interface
ساز	Musical instrument
گام	Musical scale
جهش	Mutation
سکته قلبی	Myocardial infarction
اسطوره‌شناسی	Mythology
N	N
انجامنا	N'Djamena
نزدک	NASDAQ
ناتو	NATO
ناگازاکی	Nagasaki
ناگویا	Nagoya
ناخن	Nail (anatomy)
میخ	Nail (fastener)
نایروبی	Nairobi
نامیبیا	Namibia
رده:نامیبیا	Namibia
نانسی	Nancy
نانجینگ	Nanjing
فناوری نانو	Nanotechnology
بمب‌ ناپالم	Napalm
ناپل	Naples
نارسیس	Narcissus (mythology)
نشویل	Nashville
آژانس امنیت ملی ایالات متحده آمریکا	National Security Agency
فهرست سرودهای ملی کشورها	National anthem
پارک ملی	National park
ملی‌گرایی	Nationalism
گاز طبیعی	Natural gas
پردازش زبان‌های طبیعی	Natural language processing
اعداد طبیعی	Natural number
علوم طبیعی	Natural science
طبیعت	Nature
برهنه‌گرایی	Naturism
ناوبری	Navigation
آلمان نازی	Nazi Germany
حزب ملی کارگران سوسیالیست آلمان	Nazi Party
نئاندرتال	Neanderthal
نبراسکا	Nebraska
بخت‌النصر	Nebuchadrezzar II
سحابی	Nebula
صحرای نگب	Negev
نیل آرمسترانگ	Neil Armstrong
نلسون ماندلا	Nelson Mandela
نئودیمیم	Neodymium
نئون	Neon
نپال	Nepal
رده:نپال	Nepal
نپتون	Neptune
نپتونیوم	Neptunium
نرون	Nero
دستگاه عصبی	Nervous system
رده:دستگاه عصبی	Nervous system
نسطوری	Nestorianism
هلند	Netherlands
رده:هلند	Netherlands
آنتیل هلند	Netherlands Antilles
همبندی (رایانه)	Network topology
عصب‌شناسی	Neurology
رده:عصب‌شناسی	Neurology
نورون	Neuron
نوترینو	Neutrino
نوترون	Neutron
نوادا	Nevada
کالدونیای جدید	New Caledonia
دهلی نو	New Delhi
ایالت‌های نیو انگلند آمریکا	New England
نیو همشایر	New Hampshire
نیوجرسی	New Jersey
نیومکزیکو	New Mexico
نیواورلئان	New Orleans
نیو ساوت ولز	New South Wales
عهد جدید	New Testament
نیویورک (ایالت)	New York
رده:نیویورک	New York
نیویورک	New York City
بازار بورس نیویورک	New York Stock Exchange
نیوزیلند	New Zealand
نیوآرک	Newark
آبشار نیاگارا	Niagara Falls
نیامی	Niamey
نیکاراگوآ	Nicaragua
رده:نیکاراگوآ	Nicaragua
نیس	Nice
نیکل	Nickel
نیکلاس کوپرنیک	Nicolaus Copernicus
نیکوزیا	Nicosia
نیکوتین	Nicotine
نیلز بور	Niels Bohr
نیلس هنریک آبل	Niels Henrik Abel
نیجر	Niger
رده:نیجر	Niger
رودخانه نیجر	Niger River
نیجریه	Nigeria
رده:نیجریه	Nigeria
پوچ‌گرایی	Nihilism
نیکیتا سرگیویچ خروشچف	Nikita Khrushchev
نیکولا تسلا	Nikola Tesla
نیل	Nile
نینوا	Nineveh
نیوبیوم	Niobium
نیروانا	Nirvana
نیتروژن	Nitrogen
نوح	Noah
نوآم چامسکی	Noam Chomsky
