Hungarian	English
Fauvizmus	Fauvism
Toll	Feather
Február	February
Február 12	February 12
Február 14	February 14
Február 2	February 2
Február 22	February 22
Február 29	February 29
Ürülék	Feces
Federal Bureau of Investigation	Federal Bureau of Investigation
Federal Reserve System	Federal Reserve System
Mikronéziai Szövetségi Államok	Federated States of Micronesia
Kategória:Mikronéziai Szövetségi Államok	Federated States of Micronesia
Föderáció	Federation
Federico Fellini	Federico Fellini
Fedora Core	Fedora (Linux distribution)
Földpátok	Feldspar
Macskafélék	Felidae
Felix Mendelssohn-Bartholdy	Felix Mendelssohn
Feminizmus	Feminism
Vívás	Fencing
Fengsuj	Feng shui
Édeskömény	Fennel
Görögszéna	Fenugreek
II. Ferdinánd	Ferdinand II
Ferdinand Magellan	Ferdinand Magellan
Erjedés	Fermentation (biochemistry)
Fermion	Fermion
Fermium	Fermium
Harasztok	Fern
Ferrara	Ferrara
Komp	Ferry
Feudalizmus	Feudalism
Láz	Fever
Fiat	Fiat
Fibonacci-számok	Fibonacci number
Kitalált szereplő	Fictional character
Fidel Castro	Fidel Castro
Test (algebra)	Field (mathematics)
Gyeplabda	Field hockey
Műkorcsolya és jégtánc	Figure skating
Fidzsi-szigetek	Fiji
File Transfer Protocol	File Transfer Protocol
Fájlrendszer	File system
Kategória:Filmművészet	Film
Film	Film
Portál:Filmművészet	Film
Filmrendező	Film director
Közönséges barázdásbálna	Fin Whale
Kategória:Pénzügy	Finance
Pénzügy	Finance
Ujj	Finger
Finnország	Finland
Kategória:Finnország	Finland
Tűz	Fire
Tűzfegyver	Firearm
Tűzfal (számítástechnika)	Firewall (networking)
Firmware	Firmware
I. konstantinápolyi zsinat	First Council of Constantinople
Első nikaiai zsinat	First Council of Nicaea
Pál első levele a korinthusiakhoz	First Epistle to the Corinthians
Anyanyelv	First language
Hal	Fish
Kategória:Halak	Fish
Fjord	Fjord
Zászló	Flag
Flamenco	Flamenco
Flamingófélék	Flamingo
Flandria	Flanders
Flash memória	Flash memory
Bolhák	Flea
Flip-flop (elektronika)	Flip-flop (electronics)
Árvíz	Flood
Hajlékonylemez	Floppy disk
Firenze	Florence
Florence Nightingale	Florence Nightingale
Florida	Florida
Kategória:Florida	Florida
Liszt	Flour
Virág	Flower
Zárvatermők	Flowering plant
Közeg	Fluid
Fluorit	Fluorite
Köd	Fog
Népzene	Folk music
Láb (mértékegység)	Foot (unit of length)
Labdarúgás	Football (soccer)
Kategória:Labdarúgás	Football (soccer)
Kategória:Labdarúgócsapatok	Football (soccer) clubs
Kategória:Labdarúgóedzők	Football (soccer) managers
Kategória:Labdarúgók	Football (soccer) players
Kategória:Labdarúgó-stadionok	Football (soccer) venues
Erő	Force
Erdő	Forest
Államforma	Form of government
Formaldehid	Formaldehyde
Hangyasav	Formic acid
Kemence csillagkép	Fornax
Erődrendszer	Fortification
FORTRAN programozási nyelv	Fortran
Fosszilis tüzelőanyag	Fossil fuel
Foucault-inga	Foucault pendulum
Fourier-sor	Fourier series
Rókák	Fox
Fraktál	Fractal
Franciaország	France
Kategória:Franciaország	France
Francis Bacon	Francis Bacon
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
I. Ferenc	Francis II
Francis Poulenc	Francis Poulenc
Assisi Szent Ferenc	Francis of Assisi
Ferences rend	Franciscan
Francisco Franco	Francisco Franco
Francisco José de Goya y Lucientes	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francium	Francium
Porosz–francia háború	Franco-Prussian War
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfurt am Main	Frankfurt
Kategória:Frankfurt am Main	Frankfurt
Frankfurt (Oder)	Frankfurt (Oder)
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Liszt Ferenc	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
I. Frigyes német-római császár	Frederick I
II. Frigyes német-római császár	Frederick II
Frederick Soddy	Frederick Soddy
Szabad akarat	Free will
Szólásszabadság	Freedom of speech
Szabadkőművesség	Freemasonry
Freeware	Freeware
Francia Polinézia	French Polynesia
Francia forradalom	French Revolution
Francia frank	French franc
Kategória:Franciák	French people
Frekvencia	Frequency
Freskó	Fresco
Fresno	Fresno
Súrlódás	Friction
Péntek	Friday
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Frízföld	Friesland
Fregatt	Frigate
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Békák	Frog
Fruktóz	Fructose
Gyümölcs	Fruit
Fucking	Fucking
Fúga	Fugue
Funafuti	Funafuti
Függvény (matematika)	Function (mathematics)
Kategória:Kategóriák	Fundamental
Alapvető kölcsönhatások	Fundamental interaction
Fundamentalizmus	Fundamentalism
Kategória:Gombák	Fungi
Gombák	Fungus
Siklóvasút	Funicular
Kategória:Bútorok	Furniture
Jövő	Future
Futurizmus	Futurism (art)
Elmosódott halmazok logikája	Fuzzy logic
Fjodor Mihajlovics Dosztojevszkij	Fyodor Dostoevsky
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Kategória:Gabon	Gabon
Gaborone	Gaborone
Gábor arkangyal	Gabriel
Gadolínium	Gadolinium
Gaetano Donizetti	Gaetano Donizetti
Gaia	Gaia (mythology)
Galatia	Galatia
Galaxis	Galaxy
Galénosz	Galen
Galenit	Galena
Galícia	Galicia (Central Europe)
Galicia	Galicia (Spain)
Galileo	Galileo (spacecraft)
Galileo Galilei	Galileo Galilei
Epehólyag	Gallbladder
Gálya	Galley
Tyúkalakúak	Galliformes
Kategória:Tyúkalakúak	Galliformes
Gallium	Gallium
Gallon	Gallon
Gamal Abdel Nasszer	Gamal Abdel Nasser
Játék (pszichológia)	Game
Játékelmélet	Game theory
Gamma	Gamma
Gamma-sugárzás	Gamma ray
Gangesz	Ganges
Gansu	Gansu
Ganümédész	Ganymede
Ganümédész (hold)	Ganymede (moon)
Édenkert	Garden of Eden
Garfield	Garfield
Fokhagyma	Garlic
Garonne	Garonne
Gáz	Gas
Egyetemes gázállandó	Gas constant
Óriásbolygó	Gas giant
Benzin	Gasoline
Csigák	Gastropoda
Gallia	Gaul
Gázai övezet	Gaza Strip
Fogaskerék	Gear
Geb	Geb
Ikrek csillagkép	Gemini (constellation)
Drágakő	Gemstone
Gén	Gene
Genealógia (történelem)	Genealogy
Kategória:Genealógia	Genealogy
Általános relativitáselmélet	General relativity
Mózes első könyve	Genesis
Genetika	Genetics
Kategória:Genetika	Genetics
Genf	Geneva
Dzsinn	Genie
Birtokos eset	Genitive case
Genova	Genoa
Népirtás	Genocide
Kategória:Népirtások	Genocide
Genom	Genome
Genotípus	Genotype
Nemzetség (rendszertan)	Genus
Geokémia	Geochemistry
Geodézia	Geodesy
Geoffrey Chaucer	Geoffrey Chaucer
Földrajztudomány	Geography
Kategória:Földrajz	Geography
Portál:Földrajz	Geography
Kategória:Geológia	Geology
Geológia	Geology
Mértani sorozat	Geometric progression
Geometria	Geometry
Kategória:Geometria	Geometry
Geomorfológia	Geomorphology
Geofizika	Geophysics
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
Georg Friedrich Händel	George Frideric Handel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Orwell	George Orwell
George Sand	George Sand
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georges Simenon	Georges Simenon
Georgia	Georgia (U.S. state)
Grúzia	Georgia (country)
Kategória:Grúzia	Georgia (country)
Gerald Ford	Gerald Ford
Német juhászkutya	German Shepherd Dog
Német nyelv	German language
Kategória:Német nyelv	German language
Német márka	German mark
Germánium	Germanium
Németország	Germany
Kategória:Németország	Germany
Geronimo	Geronimo
Gestapo	Gestapo
Gejzír	Geyser
Ghána	Ghana
Kategória:Ghána	Ghana
Gent	Ghent
Gettó	Ghetto
Kísértet	Ghost
Giacomo Puccini	Giacomo Puccini
Óriáspanda	Giant Panda
Gibbonfélék	Gibbon
Gibraltár	Gibraltar
Kategória:Gibraltár	Gibraltar
Gigabyte	Gigabyte
Gilgames	Gilgamesh
Gyömbér	Ginger
Ginkgo biloba	Ginkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Zsiráf	Giraffe
Zsiráffélék	Giraffidae
Girolamo Savonarola	Girolamo Savonarola
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Gleccser	Glacier
Glasgow	Glasgow
Glasznoszty	Glasnost
Üveg	Glass
Szemüveg	Glasses
Vitorlázó repülőgép	Glider
GPS	Global Positioning System
Globális felmelegedés	Global warming
Globalizáció	Globalization
Articsóka	Globe artichoke
Gloucestershire	Gloucestershire
Glükóz	Glucose
Gluon	Gluon
Glutaminsav	Glutamic acid
Glicerin	Glycerol
Glicin	Glycine
Glikogén	Glycogen
Glikolízis	Glycolysis
Állkapcsosok	Gnathostomata
Gneisz	Gneiss
Gnoszticizmus	Gnosticism
Go	Go (board game)
Goa	Goa
Labdarúgókapus	Goalkeeper
Házikecske	Goat
Góbi-sivatag	Gobi Desert
Isten	God
Golán-fennsík	Golan Heights
Arany	Gold
Golda Meir	Golda Meir
Szirti sas	Golden Eagle
Golden Gate híd	Golden Gate Bridge
Arany Horda	Golden Horde
Golden retriever	Golden Retriever
Golf	Golf
Kategória:Golf	Golf
Homel	Gomel
Nagypéntek	Good Friday
Google, Inc.	Google
Kategória:Google	Google
Googol	Googol
Gorgók	Gorgon
Gorilla	Gorilla
Héja	Goshawk
Evangélium	Gospel
Lukács evangéliuma	Gospel of Luke
Göteborg	Gothenburg
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Kormány (állami szerv)	Government
Grace Kelly	Grace Kelly
Graffiti	Graffiti
Graham Greene	Graham Greene
Gramm	Gram
Nyelvtan	Grammar
Nem (nyelvészet)	Grammatical gender
Granada	Granada
Grand Canyon	Grand Canyon
Grand Slam (tenisz)	Grand Slam (tennis)
Gránit	Granite
Grépfrút	Grapefruit
Grafikus felhasználói felület	Graphical user interface
Grafit	Graphite
Gravitáció	Gravitation
Gravitációs állandó	Gravitational constant
Graviton	Graviton
Farkas	Gray Wolf
Graz	Graz
Nagy-korallzátony	Great Barrier Reef
Brit-sziget	Great Britain
Búbos vöcsök	Great Crested Grebe
Nagy gazdasági világválság	Great Depression
Nagy-tavak	Great Lakes
Nagy Hasadékvölgy	Great Rift Valley
Kínai nagy fal	Great Wall of China
Nagy fehér cápa	Great white shark
Nagy-Antillák	Greater Antilles
Nagy-London	Greater London
Vöcsökfélék	Grebe
Görögország	Greece
Kategória:Görögország	Greece
Görög ábécé	Greek alphabet
Görögtűz	Greek fire
Görög mitológia	Greek mythology
Kategória:Görög mitológia	Greek mythology
Zöld	Green
Üvegházhatás	Greenhouse effect
Üvegházhatású gázok	Greenhouse gas
Grönland	Greenland
Kategória:Grönland	Greenland
Grönlandi-tenger	Greenland Sea
Greenpeace	Greenpeace
Greenwichi középidő	Greenwich Mean Time
Gregor Mendel	Gregor Mendel
Gergely-naptár	Gregorian calendar
Grenoble	Grenoble
Nyári lúd	Greylag Goose
Griff	Griffin
Fakókeselyű	Griffon Vulture
Bruttó hazai termék	Gross domestic product
Csoport (egyértelműsítő lap)	Group
Csoport	Group (mathematics)
Csoportelmélet	Group theory
Grover Cleveland	Grover Cleveland
Darualakúak	Gruiformes
Daru csillagkép	Grus (constellation)
Guadalajara	Guadalajara
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Guanin	Guanine
Kategória:Guatemala	Guatemala
Guatemalaváros	Guatemala City
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Céh	Guild
Guillaume Apollinaire	Guillaume Apollinaire
Nyaktiló	Guillotine
Guinea	Guinea
Kategória:Guinea	Guinea
Tengerimalac	Guinea pig
Bissau-Guinea	Guinea-Bissau
Kategória:Bissau-Guinea	Guinea-Bissau
Gitár	Guitar
Gudzsarát	Gujarat
Gulag	Gulag
Golf-áramlat	Gulf Stream
Öbölháború	Gulf War
Akabai-öböl	Gulf of Aqaba
Botteni-öböl	Gulf of Bothnia
Finn-öböl	Gulf of Finland
Mexikói-öböl	Gulf of Mexico
Sirályfélék	Gull
Lőpor	Gunpowder
Gustav Klimt	Gustav Klimt
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy de Maupassant	Guy de Maupassant
Kategória:Guyana	Guyana
Nyitvatermők	Gymnosperm
Nőgyógyászat	Gynaecology
Gipsz	Gypsum
Giroszkóp	Gyroscope
H	H
H. G. Wells	H. G. Wells
HIV	HIV
HTML	HTML
Hacker	Hacker
Hadaikum	Hadean
Hadész	Hades
Hadísz	Hadith
Hadrianus	Hadrian
Hadrianus fala	Hadrian's Wall
Hadron	Hadron
Hemofília	Haemophilia
Hafnium	Hafnium
Hagia Szophia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Üdvözlégy	Hail Mary
Haiti	Haiti
Kategória:Haiti	Haiti
Felezési idő	Half-life
Halle an der Saale	Halle
Halloween	Halloween
Hallucináció	Hallucination
Halogének	Halogen
Hamburg	Hamburg
Hamburger	Hamburger
Hamlet, dán királyfi	Hamlet
Sarló és kalapács	Hammer and sickle
Hammurapi	Hammurabi
Han-dinasztia	Han Dynasty
Akasztás	Hanging
Szemirámisz függőkertje	Hanging Gardens of Babylon
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Hanoi	Hanoi
Hannover	Hanover
Hans Albrecht Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanza-szövetség	Hanseatic League
Hanuka	Hanukkah
Harare	Harare
Hárem	Harem
Szájharmonika	Harmonica
Harmónia (zene)	Harmony
Harold Pinter	Harold Pinter
Hárfa	Harp
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harry Houdini	Harry Houdini
Hartford (Connecticut)	Hartford
Hasszium	Hassium
Gyűlölet	Hatred
Felső-Normandia	Haute-Normandie
Havanna	Havana
Hawaii	Hawaii
Kategória:Hawaii	Hawaii
Államfő	Head of state
Egészség	Health
Szív	Heart
Hőerőgép	Heat engine
Kategória:Heavy metal	Heavy metal
Heavy metal	Heavy metal music
Nehézvíz	Heavy water
Hébé (mitológia)	Hebe (mythology)
Hebei	Hebei
Héber írás	Hebrew alphabet
Zsidó naptár	Hebrew calendar
Hebridák	Hebrides
Hekaté	Hecate
Hektár	Hectare
Hektor (mitológiai alak)	Hector
Hector Berlioz	Hector Berlioz
Hedonizmus	Hedonism
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Helené	Helen
Helen Keller	Helen Keller
Helikopter	Helicopter
Héliosz	Helios
Hélium	Helium
Pokol	Hell
Helsinki	Helsinki
Hematit	Hematite
Hemoglobin	Hemoglobin
Aranyér	Hemorrhoid
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Henry Moore	Henry Moore
Henry Purcell	Henry Purcell
Hepatitis	Hepatitis
Héphaisztosz	Hephaestus
Héra	Hera
Héraklész	Heracles
Epheszoszi Hérakleitosz	Heraclitus
Heraldika	Heraldry
Kategória:Heraldika	Heraldry
Herbert Hoover	Herbert Hoover
Héraklész	Hercules
Herkules csillagkép	Hercules (constellation)
Eretnek	Heresy
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Filozófiai hermeneutika	Hermeneutics
Hermész	Hermes
Hős	Hero
Hérón	Hero of Alexandria
Heródes	Herod the Great
Hérodotosz	Herodotus
Heroin	Heroin
Gémfélék	Heron
Ezüstsirály	Herring Gull
Hertz	Hertz
Hésziodosz	Hesiod
Heszperiszek	Hesperides
Hessen	Hesse
Kategória:Hessen	Hesse
Hesztia	Hestia
Heteroszexualitás	Heterosexuality
Tizenhatos számrendszer	Hexadecimal
Hatszög	Hexagon
Jukava Hideki	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Hilbert-tér	Hilbert space
Himalája	Himalayas
Hinduizmus	Hinduism
Kategória:Hinduizmus	Hinduism
Hipparkhosz (csillagász)	Hipparchus
Hippi	Hippie
Hippokratész	Hippocrates
Nílusi víziló	Hippopotamus
Hirohito	Hirohito
Hirosima	Hiroshima
Hisztidin	Histidine
Hiszton	Histone
Történettudomány	Historiography
Történelem	History
Kategória:Történelem	History
Portál:Történelem	History
Ho Si Minh	Ho Chi Minh
Ho Si Minh-város	Ho Chi Minh City
Hobart	Hobart
Hobbitok	Hobbit
Hobbi	Hobby
Hokuszai	Hokusai
Hollywood	Hollywood
Holmium	Holmium
Holocén	Holocene
Holográfia	Holography
Szent Grál	Holy Grail
Német-római Birodalom	Holy Roman Empire
Szentlélek	Holy Spirit
Homeopátia	Homeopathy
Homeosztázis	Homeostasis
Homérosz	Homer
Hominidák	Hominidae
Ember	Homo (genus)
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonímia	Homonym
Homofóbia	Homophobia
Homoszexualitás	Homosexuality
Honduras	Honduras
Kategória:Honduras	Honduras
Méz	Honey
Darázsölyv	Honey Buzzard
Hongkong	Hong Kong
Kategória:Hongkong	Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Hooke-törvény	Hooke's law
Búbos banka	Hoopoe
Quintus Horatius Flaccus	Horace
Horatio Nelson	Horatio Nelson
Horizont	Horizon
Hormon	Hormone
Szarv	Horn (anatomy)
Kürt (hangszer)	Horn (instrument)
Horoszkóp	Horoscope
Ló	Horse
Lóverseny	Horse racing
Lóerő	Horsepower
Hórusz	Horus
Hoszni Mubarak	Hosni Mubarak
Szálloda	Hotel
Óra (időegység)	Hour
Homokóra	Hourglass
Ház	House
Doktor House	House (TV series)
Házi egér	House Mouse
Házi veréb	House Sparrow
Houston	Houston
Howard Carter	Howard Carter (archaeologist)
Hubble-törvény	Hubble's law
Hugo Grotius	Hugo Grotius
Hugenották	Huguenot
Ember	Human
Humanizmus	Humanism
Felkarcsont	Humerus
Kolibrifélék	Hummingbird
Kategória:Humor	Humor
Humor	Humour
Hosszúszárnyú bálna	Humpback Whale
Humphrey Bogart	Humphrey Bogart
Hunan	Hunan
Százéves háború	Hundred Years' War
Magyarország	Hungary
Kategória:Magyarország	Hungary
Hydra csillagkép	Hydra (constellation)
Hidrogén	Hydrogen
Hidrogén-cianid	Hydrogen cyanide
Hidrológia	Hydrology
Kategória:Hidrológia	Hydrology
Déli Vízikígyó csillagkép	Hydrus
Hiénafélék	Hyena
Kategória:Hártyásszárnyúak	Hymenoptera
Hártyásszárnyúak	Hymenoptera
Himnusz	Hymn
Hiperbola	Hyperbola
Hyperion (hold)	Hyperion (moon)
Hüperión	Hyperion (mythology)
Magas vérnyomás	Hypertension
Hiperszöveg	Hypertext
HTTP	Hypertext Transfer Protocol
Hüpnosz	Hypnos
Hipnózis	Hypnosis
Hipotalamusz	Hypothalamus
I	I
IPod	IPod
Ian Fleming	Ian Fleming
Iapetus (hold)	Iapetus (moon)
Ibériai-félsziget	Iberian Peninsula
Ibuprofén	Ibuprofen
Fagylalt	Ice cream
Jégkorong	Ice hockey
Kategória:Jégkorong	Ice hockey
Izland	Iceland
Kategória:Izland	Iceland
Ichthiológia	Ichthyology
Képrombolás	Iconoclasm
Idaho	Idaho
Kategória:Idaho	Idaho
Idealizmus	Idealism
Neutrális elem	Identity element
Egységmátrix	Identity matrix
Ideológia	Ideology
Ido nyelv	Ido
Loyolai Szent Ignác	Ignatius of Loyola
Magmás kőzetek	Igneous rock
Igor Stravinsky	Igor Stravinsky
Iliász	Iliad
Illinois	Illinois
Kategória:Illinois	Illinois
Illyria	Illyria
Szkenner	Image scanner
Imám	Imam
Immanuel Kant	Immanuel Kant
Immunológia	Immunology
Kategória:Immunológia	Immunology
Imperializmus	Imperialism
Impresszionizmus	Impressionism
Vérfertőzés	Incest
Hüvelyk (mértékegység)	Inch
Lejtő	Inclined plane
Függetlenség	Independence
India	India
Kategória:India	India
Indiai-óceán	Indian Ocean
Indiana	Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Indium
Indokína	Indochina
Indonézia	Indonesia
Indra (keresztnév)	Indra
Tekercs (elektronika)	Inductor
Hindu csillagkép	Indus (constellation)
Indus	Indus River
Ipari forradalom	Industrial Revolution
Ipar	Industry
Egyenlőtlenség	Inequality
Gyalogság	Infantry
Végtelen	Infinity
Gyulladás	Inflammation
Infláció	Inflation
Influenza	Influenza
Információ	Information
Informatika	Information technology
Információelmélet	Information theory
Infravörös sugárzás	Infrared
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Belső-Mongólia	Inner Mongolia
Innováció	Innovation
Innsbruck	Innsbruck
Szervetlen kémia	Inorganic chemistry
Kategória:Szervetlen kémia	Inorganic chemistry
Inkvizíció	Inquisition
Rovarok	Insect
Rovarevők	Insectivora
Inzulin	Insulin
Biztosítás	Insurance
Egész számok	Integer
Riemann-integrálás	Integral
Integrált áramkör	Integrated circuit
Szellemi alkotás	Intellectual property
IQ	Intelligence quotient
Kamat	Interest
Interferencia	Interference
Indulatszó	Interjection
Interlingva nyelv	Interlingua
Nemzetközi Atomenergiai Ügynökség	International Atomic Energy Agency
ICAO	International Civil Aviation Organization
Nemzetközi Munkaügyi Szervezet	International Labour Organization
Nemzetközi Valutaalap	International Monetary Fund
SI mértékegységrendszer	International System of Units
Kategória:Nemzetközi jog	International law
Internet	Internet
Kategória:Internet	Internet
Microsoft Internet Explorer	Internet Explorer
Értelmező	Interpreter (computing)
Metszet (halmazelmélet)	Intersection (set theory)
Hangköz	Interval (music)
Intranet	Intranet
Találmány	Invention
Io	Io (moon)
Ió	Io (mythology)
Jód	Iodine
Ion	Ion
Jón-tenger	Ionian Sea
Ióta	Iota
Iowa	Iowa
Irán	Iran
Kategória:Irán	Iran
Irak	Iraq
Kategória:Irak	Iraq
Ír-sziget	Ireland
Szent Ireneus	Irenaeus
Irídium	Iridium
Írisz (mitológia)	Iris (mythology)
Ír-tenger	Irish Sea
Kategória:Írek	Irish people
Vas	Iron
Vaskor	Iron Age
Vasfüggöny	Iron Curtain
Iron Maiden	Iron Maiden
Irónia	Irony
Irracionális szám	Irrational number
Irtis	Irtysh River
Isaac Asimov	Isaac Asimov
Isaac Newton	Isaac Newton
Iszlám	Islam
Kategória:Iszlám	Islam
Iszlámábád	Islamabad
Muszlim naptár	Islamic calendar
Sziget	Island
Man	Isle of Man
Izomer	Isomer
Jamamoto Iszoroku	Isoroku Yamamoto
Izotóp	Isotope
Izrael	Israel
Kategória:Izrael	Israel
Isztambul	Istanbul
Kategória:Isztambul	Istanbul
Appennin-félsziget	Italian Peninsula
Olaszország	Italy
Kategória:Olaszország	Italy
Ivan Lendl	Ivan Lendl
Ivan Petrovics Pavlov	Ivan Pavlov
Elefántcsont	Ivory
J	J
Jerome David Salinger	J. D. Salinger
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack London	Jack London
Hasfelmetsző Jack	Jack the Ripper
Csóka (madár)	Jackdaw
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville
Jákób	Jacob
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jáde	Jade
Jaguár	Jaguar
Dzsainizmus	Jainism
Jakarta	Jakarta
Jamaika	Jamaica
Kategória:Jamaica	Jamaica
Idősebb Szent Jakab	James
James A. Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Joyce	James Joyce
James Knox Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Dzsammu és Kasmír	Jammu and Kashmir
Husz János	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Janis Joplin	Janis Joplin
Janicsár	Janissary
Január	January
Január 1	January 1
Január 19	January 19
Január 20	January 20
Január 6	January 6
Janus	Janus (mythology)
Japán	Japan
Kategória:Japán	Japan
Iaszón	Jason
Jáva (sziget)	Java
Java	Java (disambiguation)
Java (programozási nyelv)	Java (programming language)
Dzsaváharlál Néhrú	Jawaharlal Nehru
Dzsessz	Jazz
Kategória:Dzsessz	Jazz
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Dzsidda	Jeddah
Jefferson Davis	Jefferson Davis
Jahve	Jehovah
Jehova Tanúi	Jehovah's Witnesses
Jéna	Jena
Jeremy Bentham	Jeremy Bentham
Szent Jeromos	Jerome
Jersey	Jersey
Jeruzsálem	Jerusalem
Jézus	Jesus
Zsidók	Jew
Doromb	Jew's harp
Dzsihád	Jihad
Jimi Hendrix	Jimi Hendrix
James Earl Carter	Jimmy Carter
Jeanne d’Arc	Joan of Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
Jean Calvin	John Calvin
Aranyszájú Szent János	John Chrysostom
John Dalton	John Dalton
John Dewey	John Dewey
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Wayne	John Wayne
John Wycliffe	John Wycliffe
Keresztelő Szent János	John the Baptist
Neumann János	John von Neumann
Johnny Cash	Johnny Cash
Jonathan Swift	Jonathan Swift
Jordánia	Jordan
Kategória:Jordánia	Jordan
Jordán folyó	Jordan River
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Raymond McCarthy	Joseph McCarthy
Pulitzer József	Joseph Pulitzer
Joseph Smith	Joseph Smith
Joszif Visszarionovics Sztálin	Joseph Stalin
Josephus Flavius	Josephus
Joule	Joule
Kategória:Újságírás	Journalism
Judaizmus	Judaism
Kategória:Judaizmus	Judaism
Júdás	Judas Iscariot
Dzsúdó	Judo
Jules Verne	Jules Verne
Julián naptár	Julian calendar
Julianus Apostata	Julian the Apostate
Caius Iulius Caesar	Julius Caesar
Július	July
Július 1	July 1
Július 4	July 4
Június	June
Június 14	June 14
Június 21	June 21
Június 23	June 23
Június 24	June 24
Június 29	June 29
Június 3	June 3
Juneau	Juneau
Juno	Juno (mythology)
Jupiter	Jupiter
Kategória:Jupiter	Jupiter
Jura (időszak)	Jurassic
I. Justinianus bizánci császár	Justinian I
Jylland	Jutland
K	K
K2	K2
KGB	KGB
