Polish	English
Jackson (Missisipi)	Jackson
Jackson Pollock	Jackson Pollock
Jacksonville (Floryda)	Jacksonville
Jakub (postać biblijna)	Jacob
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Żad	Jade
Jaguar	Jaguar
Dżinizm	Jainism
Dżakarta	Jakarta
Dżalalabad (miasto w Afganistanie)	Jalalabad
Jamajka	Jamaica
Kategoria:Jamajka	Jamaica
Jakub Większy Apostoł	James
James Garfield	James A. Garfield
James Bond	James Bond
James Buchanan (prezydent USA)	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Joule	James Prescott Joule
James Watt	James Watt
Dżammu i Kaszmir	Jammu and Kashmir
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Jane Seymour (królowa)	Jane Seymour
Janis Joplin	Janis Joplin
Janczarzy	Janissary
Styczeń	January
1 stycznia	January 1
19 stycznia	January 19
20 stycznia	January 20
6 stycznia	January 6
Janus (księżyc)	Janus (moon)
Janus (mitologia)	Janus (mythology)
Japonia	Japan
Kategoria:Japonia	Japan
Jazon (mitologia)	Jason
Żółtaczka (medycyna)	Jaundice
Jawa	Java
Java (ujednoznacznienie)	Java (disambiguation)
Java	Java (programming language)
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Kategoria:Jazz	Jazz
Jean Ingres	Jean Auguste Dominique Ingres
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Baptiste Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jan Jakub Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Dżudda	Jeddah
Jefferson City (Missouri)	Jefferson City
Jefferson Davis	Jefferson Davis
JHWH	Jehovah
Świadkowie Jehowy	Jehovah's Witnesses
Krążkopławy	Jellyfish
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jerycho	Jericho
Hieronim ze Strydonu	Jerome
Jersey	Jersey
Jerozolima	Jerusalem
Kategoria:Jerozolima	Jerusalem
Jezus Chrystus	Jesus
Silnik odrzutowy	Jet engine
Żydzi	Jew
Drumla	Jew's harp
Dżihad	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joanna d'Arc	Joan of Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Jan Kepler	Johannes Kepler
Johannes Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
Jan Kalwin	John Calvin
Jan Chryzostom	John Chrysostom
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliffe	John Wycliffe
Jan Chrzciciel	John the Baptist
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Staw (anatomia)	Joint
Jonathan Swift	Jonathan Swift
Jordania	Jordan
Kategoria:Jordania	Jordan
Jordan (rzeka)	Jordan River
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Joseph Louis Gay-Lussac
Joseph Raymond McCarthy	Joseph McCarthy
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Joseph Schumpeter	Joseph Schumpeter
Joseph Smith	Joseph Smith
Józef Stalin	Joseph Stalin
Józef Flawiusz	Josephus
Dżul	Joule
Kategoria:Dziennikarstwo	Journalism
Dziennikarstwo	Journalism
Dziennikarz	Journalist
Jowian	Jovian
Dżojstik	Joystick
Judaizm	Judaism
Kategoria:Judaizm	Judaism
Judasz Iskariota	Judas Iscariot
Judea	Judea
Judo	Judo
Judy Garland	Judy Garland
Jujutsu	Jujutsu
Juliusz Verne	Jules Verne
Kalendarz juliański	Julian calendar
Julian Apostata	Julian the Apostate
Gajusz Juliusz Cezar	Julius Caesar
Lipiec	July
1 lipca	July 1
4 lipca	July 4
Czerwiec	June
14 czerwca	June 14
21 czerwca	June 21
23 czerwca	June 23
24 czerwca	June 24
29 czerwca	June 29
3 czerwca	June 3
Juneau (Alaska)	Juneau
Jałowiec	Juniper
Junona	Juno (mythology)
Jowisz	Jupiter
Kategoria:Jowisz	Jupiter
Jowisz (ujednoznacznienie)	Jupiter (disambiguation)
Jowisz (mitologia)	Jupiter (mythology)
Jura	Jurassic
Justynian I Wielki	Justinian I
Półwysep Jutlandzki	Jutland
K	K
K2	K2
KGB	KGB
Kaaba	Kaaba
Kabała	Kabbalah
Kabul	Kabul
Kalahari	Kalahari Desert
Kamczatka	Kamchatka Peninsula
Kamikaze	Kamikaze
Kampala	Kampala
Kandahar	Kandahar
Kangurowate	Kangaroo
Kansas	Kansas
Kategoria:Kansas	Kansas
Kansas City	Kansas City
Kappa (litera)	Kappa
Morze Karskie	Kara Sea
Karaczi	Karachi
Karakorum	Karakoram
Karaoke	Karaoke
Karate	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karol Marks	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Katmandu	Kathmandu
Katowice	Katowice
Kowno	Kaunas
Kajak	Kayak
Kazachstan	Kazakhstan
Kategoria:Kazachstan	Kazakhstan
Kazań	Kazan
Kazimierz Malewicz	Kazimir Malevich
Kelwin	Kelvin
Kent	Kent
Kentucky	Kentucky
Kategoria:Kentucky	Kentucky
Kenia	Kenya
Kategoria:Kenia	Kenya
Jądro systemu operacyjnego	Kernel (computer science)
Nafta	Kerosene
Keczup	Ketchup
Ketony	Ketone
Klawiatura	Keyboard (computing)
Instrument klawiszowy	Keyboard instrument
Chabarowsk	Khabarovsk
Chan (władca)	Khan
Charków	Kharkiv
Chartum	Khartoum
Czerwoni Khmerzy	Khmer Rouge
Cheops	Khufu
Kibuc	Kibbutz
Nerka	Kidney
Kijów	Kiev
Kigali	Kigali
Kilobajt	Kilobyte
Kilogram	Kilogram
Kilometr	Kilometre
Kilometr na godzinę	Kilometres per hour
Kimono	Kimono
Przedszkole	Kindergarten
Kinematyka	Kinematics
Energia kinetyczna	Kinetic energy
Król (szachy)	King (chess)
Król Artur	King Arthur
Król Lear	King Lear
Królestwo (biologia)	Kingdom (biology)
Kingston (miasto na Jamajce)	Kingston
Kingstown	Kingstown
Kinszasa	Kinshasa
Kiribati	Kiribati
Kategoria:Kiribati	Kiribati
Kirkuk	Kirkuk
Pocałunek	Kiss
Latawiec	Kite
Kiwi	Kiwi
Staw kolanowy	Knee
Kneset	Knesset
Nóż	Knife
Kawaler (tytuł szlachecki)	Knight
Skoczek	Knight (chess)
Knossos	Knossos
Węzeł (jednostka prędkości)	Knot (speed)
Wiedza	Knowledge
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobe	Kobe
Półwysep Kolski	Kola Peninsula
Kalkuta	Kolkata
Waran z Komodo	Komodo dragon
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Korea
Kategoria:Korea	Korea
Wojna koreańska	Korean War
Kosowo	Kosovo
Kategoria:Kosowo	Kosovo
Krakatau	Krakatoa
Kreml	Kremlin
Kryszna	Krishna
Krypton (pierwiastek)	Krypton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kubilaj-chan	Kublai Khan
Pas Kuipera	Kuiper belt
Kumkwat	Kumquat
Kung-fu	Kung fu (term)
Kunlun	Kunlun Mountains
Guomindang	Kuomintang
Kura (rzeka)	Kura River
Kurdystan	Kurdistan
Kategoria:Kurdystan	Kurdistan
Partia Pracujących Kurdystanu	Kurdistan Workers Party
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwejt	Kuwait
Kategoria:Kuwejt	Kuwait
Kuwejt (miasto)	Kuwait City
KwaZulu-Natal	KwaZulu-Natal
Kioto	Kyoto
Kirgistan	Kyrgyzstan
Kategoria:Kirgistan	Kyrgyzstan
L	L
L'Aquila	L'Aquila
LAMP	LAMP (software bundle)
La Paz (miasto w Boliwii)	La Paz
La Plata (miasto)	La Plata
La Spezia	La Spezia
LaTeX	LaTeX
Laboratorium	Laboratory
Partia Pracy (brytyjska)	Labour Party (UK)
Labrador Retriever	Labrador Retriever
Jaszczurka (gwiazdozbiór)	Lacerta
Kwas mlekowy	Lactic acid
Laktoza	Lactose
Lady Jane Grey	Lady Jane Grey
Zajęczaki	Lagomorpha
Lagos (Nigeria)	Lagos
Lahaur	Lahore
Leseferyzm	Laissez-faire
Jezioro	Lake
Bajkał	Lake Baikal
Balaton	Lake Balaton
Czad (jezioro)	Lake Chad
Jezioro Bodeńskie	Lake Constance
Erie (jezioro)	Lake Erie
Eyre (jezioro)	Lake Eyre
Jezioro Genewskie	Lake Geneva
Huron (jezioro)	Lake Huron
Ilmień	Lake Ilmen
Ładoga	Lake Ladoga
Niasa (jezioro)	Lake Malawi
Michigan (jezioro)	Lake Michigan
Onega (jezioro)	Lake Onega
Ontario (jezioro)	Lake Ontario
Jezioro Górne (Wielkie Jeziora Amerykańskie)	Lake Superior
Tanganika (jezioro)	Lake Tanganyika
Jezioro Wiktorii	Lake Victoria
Lakszmi	Lakshmi
Lambda	Lambda
Jasnotowate	Lamiaceae
Orłosęp brodaty	Lammergeier
Minogi	Lamprey
Lancashire	Lancashire
Bezczaszkowce	Lancelet
Składowisko odpadów	Landfill
Język (mowa)	Language
Langwedocja-Roussillon	Languedoc-Roussillon
Lansing (Michigan)	Lansing
Lantanowce	Lanthanide
Lantan	Lanthanum
Laos	Laos
Kategoria:Laos	Laos
Morze Łaptiewów	Laptev Sea
Laptop	Laptop
Modrzew	Larch
Larwa	Larva
Krtań	Larynx
Las Vegas	Las Vegas
Lascaux (Akwitania)	Lascaux
Laser	Laser
Tokarka	Lathe
Łacina	Latin
Ameryka Łacińska	Latin America
Alfabet łaciński	Latin alphabet
Szerokość geograficzna	Latitude
Łotwa	Latvia
Kategoria:Łotwa	Latvia
Śmiech	Laughter
Laurazja	Laurasia
Lozanna	Lausanne
Lawa	Lava
Prawo	Law
Kategoria:Prawo	Law
Kategoria:Policja	Law enforcement
Lorens	Lawrencium
Adwokat	Lawyer
Lacjum	Lazio
Le Corbusier	Le Corbusier
Hawr	Le Havre
Ołów	Lead
Liść	Leaf
Liga Narodów	League of Nations
Krzywa wieża w Pizie	Leaning Tower of Pisa
Rok przestępny	Leap year
Uczenie się	Learning
Liban	Lebanon
Kategoria:Liban	Lebanon
Leda	Leda (mythology)
Lee Harvey Oswald	Lee Harvey Oswald
Leeds	Leeds
Leworęczność	Left-handed
Legenda	Legend
Władza ustawodawcza	Legislature
LEGO	Lego
Leicester	Leicester
Lejda	Leiden
Lipsk	Leipzig
Cytryna zwyczajna	Lemon
Melisa lekarska	Lemon balm
Lena (rzeka)	Lena River
Soczewka	Lens (optics)
Wielki Post	Lent
Soczewica jadalna	Lentil
Lew (gwiazdozbiór)	Leo (constellation)
Leon I (cesarz bizantyjski)	Leo I (emperor)
Lew Trocki	Leon Trotsky
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Breżniew	Leonid Brezhnev
Lampart	Leopard
Motyle	Lepidoptera
Trąd	Leprosy
Lepton (mechanika kwantowa)	Lepton
Zając (gwiazdozbiór)	Lepus (constellation)
Lesbijka	Lesbian
Lesotho	Lesotho
Kategoria:Lesotho	Lesotho
Małe Antyle	Lesser Antilles
Leto	Leto
Litera	Letter (alphabet)
Białaczka	Leukemia
Lewant	Levant
Dźwignia	Lever
Lewiatan (potwór)	Leviathan
Księga Kapłańska	Leviticus
Lewis Carroll	Lewis Carroll
Leksykologia	Lexicology
Lhasa	Lhasa
Lhotse	Lhotse
Liberalizm	Liberalism
Kategoria:Liberalizm	Liberalism
Tamilskie Tygrysy	Liberation Tigers of Tamil Eelam
Liberia	Liberia
Kategoria:Liberia	Liberia
Waga (gwiazdozbiór)	Libra (constellation)
Biblioteka	Library
Bibliotekoznawstwo	Library science
Libretto	Libretto
Libreville	Libreville
Libia	Libya
Kategoria:Libia	Libya
Porosty	Lichen
Kłamstwo	Lie
Liechtenstein	Liechtenstein
Kategoria:Liechtenstein	Liechtenstein
Podporucznik	Lieutenant
Życie	Life
Światło	Light
Dioda elektroluminescencyjna	Light-emitting diode
Rok świetlny	Light-year
Zapalniczka	Lighter
Latarnia morska	Lighthouse
Piorun	Lightning
Liguria	Liguria
Morze Liguryjskie	Ligurian Sea
Liliowate	Liliaceae
Lilith	Lilith
Lille	Lille
Lilongwe	Lilongwe
Lima	Lima
Limerick	Limerick
Wapień	Limestone
Granica (matematyka)	Limit (mathematics)
Limnologia	Limnology
Limousin	Limousin (region)
Lincoln (Nebraska)	Lincoln
Lincoln	Lincoln
Lincolnshire	Lincolnshire
Prosta	Line (mathematics)
Algebra liniowa	Linear algebra
Kategoria:Algebra liniowa	Linear algebra
Równanie liniowe	Linear equation
Lingua franca	Lingua franca
Językoznawstwo	Linguistics
Kategoria:Językoznawstwo	Linguistics
Linus Pauling	Linus Pauling
Linux	Linux
Kategoria:Linux	Linux
Linz	Linz
Lew	Lion
Lipidy	Lipid
Likier	Liqueur
Ciecz	Liquid
Wyświetlacz ciekłokrystaliczny	Liquid crystal display
Lukrecja (roślina)	Liquorice
Lizbona	Lisbon
Lise Meitner	Lise Meitner
LISP	Lisp (programming language)
Literatura	Literature
Kategoria:Literatura	Literature
Portal:Literatura	Literature
Lit (pierwiastek)	Lithium
Litografia	Lithography
Litosfera	Lithosphere
Litwa	Lithuania
Kategoria:Litwa	Lithuania
Litr	Litre
Pójdźka	Little Owl
Liverpool	Liverpool
Liwonia	Livonia
Tytus Liwiusz	Livy
Jaszczurki	Lizard
Lublana	Ljubljana
Lama	Llama
Zapożyczenia językowe	Loanword
Sieć lokalna	Local area network
Loch Ness	Loch Ness
Potwór z Loch Ness	Loch Ness Monster
Lokomotywa	Locomotive
Logarytm	Logarithm
Logika	Logic
Kategoria:Logika	Logic
Bramka logiczna	Logic gate
Logistyka	Logistics
Logo (znak graficzny)	Logo
Loire	Loire
Loara	Loire River
Loki	Loki
Lolita	Lolita
Lombardia	Lombardy
Londyn	London
Kategoria:Londyn	London
Long Beach (Kalifornia)	Long Beach
Long Island	Long Island
Skok w dal	Long jump
Sowa uszata	Long-eared Owl
Lope de Vega	Lope de Vega
Ojcze nasz	Lord's Prayer
Lotaryngia	Lorraine (region)
Los Angeles	Los Angeles
Lot (departament)	Lot (department)
Głośnik	Loudspeaker
Louis Aragon	Louis Aragon
Louis Armstrong	Louis Armstrong
Louis Braille	Louis Braille
Ludwik Pasteur	Louis Pasteur
Ludwik I Pobożny	Louis the Pious
Ludwik II Jąkała	Louis the Stammerer
Luizjana	Louisiana
Kategoria:Luizjana	Louisiana
Louisville (Kentucky)	Louisville
Luwr	Louvre
Miłość	Love
Język dolnoniemiecki	Low German
Dolna Saksonia	Lower Saxony
Luanda	Luanda
Lublin	Lublin
Lucerna	Lucerne
Luciano Pavarotti	Luciano Pavarotti
Lucyfer	Lucifer
Lukrecjusz	Lucretius
Lukrecja Borgia	Lucrezia Borgia
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luftwaffe	Luftwaffe
Luigi Galvani	Luigi Galvani
Luigi Pirandello	Luigi Pirandello
Lumen	Lumen (unit)
Luminescencja	Luminescence
Zaćmienie Księżyca	Lunar eclipse
Lund (miasto)	Lund
Płuco	Lung
Rak płuca	Lung cancer
Dwudyszne	Lungfish
Wilk (gwiazdozbiór)	Lupus (constellation)
Lusaka	Lusaka
Luzytania	Lusitania
Lutnia	Lute
Lutet	Lutetium
Luteranizm	Lutheranism
Luks	Lux
Luksemburg	Luxembourg
Kategoria:Luksemburg	Luxembourg
Luksemburg (miasto)	Luxembourg (city)
Luksor	Luxor
Luzon	Luzon
Liczi chińskie	Lychee
Lidia (kraina)	Lydia
Układ limfatyczny	Lymphatic system
Ryś (gwiazdozbiór)	Lynx (constellation)
Lynx	Lynx (web browser)
Lyon	Lyon
Lutnia (gwiazdozbiór)	Lyra
Dietyloamid kwasu lizergowego	Lysergic acid diethylamide
Lizyna	Lysine
Lizosom	Lysosome
M	M
M-teoria	M-theory
MESSENGER	MESSENGER
Multipurpose Internet Mail Extensions	MIME
MS-DOS	MS-DOS
Makau	Macau
Makbet	Macbeth
Starożytna Macedonia	Macedon
Macedon (ujednoznacznienie)	Macedonia
Macedonia (Grecja)	Macedonia (Greece)
Liczba Macha	Mach number
Maszyna	Machine
Język maszynowy	Machine code
Karabin maszynowy	Machine gun
Tłumaczenie automatyczne	Machine translation
Machu Picchu	Machu Picchu
Macintosh	Macintosh
Makroekonomia	Macroeconomics
Kategoria:Makroekonomia	Macroeconomics
Madagaskar	Madagascar
Kategoria:Madagaskar	Madagascar
Madera	Madeira
Madison (Wisconsin)	Madison
Madonna (piosenkarka)	Madonna (entertainer)
Madryt	Madrid
Madryt (wspólnota autonomiczna)	Madrid (autonomous community)
Mafia	Mafia
Czasopismo	Magazine
Magenta (barwa)	Magenta
Maghreb	Maghreb
Magia	Magic (paranormal)
Kwadrat magiczny (matematyka)	Magic square
Linia Maginota	Maginot Line
Magma	Magma
Magna Charta Libertatum	Magna Carta
Magnez	Magnesium
Magnes	Magnet
Pole magnetyczne	Magnetic field
Obrazowanie rezonansu magnetycznego	Magnetic resonance imaging
Magnetyzm	Magnetism
Kategoria:Magnetyzm	Magnetism
Magnetyt	Magnetite
Lupa	Magnifying glass
Kategoria:Magnoliopsida	Magnoliopsida
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Mahajana	Mahayana
Poczta	Mail
Mojżesz Majmonides	Maimonides
Men	Main
Szablon:Main	Main
Maine (stan w USA)	Maine
Kategoria:Maine	Maine
Mainframe	Mainframe computer
Budda Maitreja	Maitreya
Kukurydza zwyczajna	Maize
Major	Major
Skala durowa	Major scale
Majorka	Majorca
Makalu	Makalu
Malabo	Malabo
Malachit	Malachite
Pancerzowce	Malacostraca
Malaria	Malaria
Kategoria:Malawi	Malawi
Półwysep Malajski	Malay Peninsula
Tapir malajski	Malayan Tapir
Malezja	Malaysia
Kategoria:Malezja	Malaysia
Malcolm X	Malcolm X
Malediwy	Maldives
Kategoria:Malediwy	Maldives
Mali	Mali
Kategoria:Mali	Mali
Kaczka krzyżówka	Mallard
Malta	Malta
Kategoria:Malta	Malta
Język maltański	Maltese language
Maltoza	Maltose
Ślazowate	Malvaceae
Ssaki	Mammal
Mamut	Mammoth
Zarządzanie	Management
Managua (miasto)	Managua
Manama	Manama
Manatowate	Manatee
Manchester	Manchester
Mandżuria	Manchuria
Mandala	Mandala
Języki mandaryńskie	Mandarin (linguistics)
Mandarynka (roślina)	Mandarin orange
Zbiór Mandelbrota	Mandelbrot set
Mangan	Manganese
Mango	Mango
Namorzyny	Mangrove
Manhattan	Manhattan
Projekt Manhattan	Manhattan Project
Manicheizm	Manichaeism
Manila	Manila
Manipur	Manipur
Manitoba	Manitoba
Manieryzm (sztuka)	Mannerism
Mannheim	Mannheim
Płaszcz ziemski	Mantle (geology)
Mantra	Mantra
Mantua	Mantua
Manuel de Falla	Manuel de Falla
Rękopis	Manuscript
Mao Zedong	Mao Zedong
Maoizm	Maoism
Mapa	Map
Klon (roślina)	Maple
Maputo (miasto)	Maputo
Bieg maratoński	Marathon
Marmur	Marble
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
Marzec	March
17 marca	March 17
19 marca	March 19
2 marca	March 2
25 marca	March 25
Marche	Marche
Marco Polo	Marco Polo
Marek Aureliusz	Marcus Aurelius
Marek Juniusz Brutus	Marcus Junius Brutus
Marek Agrypa	Marcus Vipsanius Agrippa
Marduk	Marduk
Margaret Mead	Margaret Mead
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Mariany	Mariana Islands
Maria Antonina Austriaczka	Marie Antoinette
Maria Skłodowska-Curie	Marie Curie
Maarianhamina	Mariehamn
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Marek Antoniusz	Mark Antony
Mark Twain	Mark Twain
Rynek (ekonomia)	Market
Marketing	Marketing
Kategoria:Marketing	Marketing
Język znaczników	Markup language
Marlene Dietrich	Marlene Dietrich
Donatien Alphonse François de Sade	Marquis de Sade
Marrakesz	Marrakech
Małżeństwo	Marriage
Kategoria:Mars	Mars
Mars (ujednoznacznienie)	Mars (disambiguation)
Mars (mitologia)	Mars (mythology)
Marsylia	Marseille
Wyspy Marshalla	Marshall Islands
Kategoria:Wyspy Marshalla	Marshall Islands
Plan Marshalla	Marshall Plan
Torbacze	Marsupial
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Marcin Luter	Martin Luther
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navrátilová	Martina Navratilova
Martynika	Martinique
Martyrologia	Martyr
Bracia Marx	Marx Brothers
Marksizm	Marxism
Kategoria:Marksizm	Marxism
Maria z Nazaretu	Mary (mother of Jesus)
Maria Magdalena	Mary Magdalene
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Kategoria:Maryland	Maryland
Maseru	Maseru
Meszhed	Mashhad
Masa (fizyka)	Mass
Msza	Mass (liturgy)
Liczba masowa	Mass number
Massachusetts	Massachusetts
Kategoria:Massachusetts	Massachusetts
Massachusetts Institute of Technology	Massachusetts Institute of Technology
Masturbacja	Masturbation
Mata Hari	Mata Hari
Zapałka	Match
Materializm	Materialism
Logika matematyczna	Mathematical logic
Kategoria:Logika matematyczna	Mathematical logic
Dowód (matematyka)	Mathematical proof
Matematyka	Mathematics
Kategoria:Matematyka	Mathematics
Portal:Matematyka	Mathematics
Macierz	Matrix (mathematics)
Materia (fizyka)	Matter
Matterhorn	Matterhorn
Mauna Kea	Mauna Kea
Mauna Loa	Mauna Loa
Wielki Czwartek	Maundy Thursday
Maurice Ravel	Maurice Ravel
Mauretania	Mauritania
Kategoria:Mauretania	Mauritania
Mauritius	Mauritius
Kategoria:Mauritius	Mauritius
Max Born	Max Born
Max Bruch	Max Bruch
Max Ernst	Max Ernst
Max Planck	Max Planck
Max Weber	Max Weber
Maksymian	Maximian
Równania Maxwella	Maxwell's equations
Maj	May
1 maja	May 1
24 maja	May 24
Mayenne (departament)	Mayenne
Jętki (owady)	Mayfly
Sos majonezowy	Mayonnaise
Burmistrz	Mayor
Mbabane	Mbabane
Maccartyzm	McCarthyism
Miód pitny	Mead
Odra (choroba)	Measles
Miara (matematyka)	Measure (mathematics)
Kategoria:Metrologia	Measurement
Pomiar	Measurement
Mięso	Meat
Mekka	Mecca
Inżynieria mechaniczna	Mechanical engineering
Kategoria:Mechanika	Mechanics
Mechanika	Mechanics
Medea	Medea
Mediana	Median
Farmakoterapia	Medication
Medyceusze	Medici
Medycyna	Medicine
Kategoria:Medycyna	Medicine
Medyna	Medina
Medytacja	Meditation
Kategoria:Morze Śródziemne	Mediterranean
Morze Śródziemne	Mediterranean Sea
Meduza (mitologia)	Medusa
Surykatka	Meerkat
Megabajt	Megabyte
Mejoza	Meiosis
Johannes Eckhart	Meister Eckhart
Meitner	Meitnerium
Mekong	Mekong
Mel Gibson	Mel Gibson
Melanezja	Melanesia
Melodia	Melody
Melpomene	Melpomene
Topnienie	Melting
Temperatura topnienia	Melting point
Mem	Meme
Pamięć człowieka	Memory
Memphis	Memphis
Memfis	Memphis
Menachem Begin	Menachem Begin
Mendelew	Mendelevium
Menelaos	Menelaus
Zapalenie opon mózgowo-rdzeniowych	Meningitis
Góra Stołowa (gwiazdozbiór)	Mensa (constellation)
Cykl miesiączkowy	Menstrual cycle
Menstruacja	Menstruation
Zaburzenie psychiczne	Mental disorder
Mięta	Mentha
Merkantylizm	Mercantilism
Wojsko najemne	Mercenary
Merkury (ujednoznacznienie)	Mercury
Rtęć	Mercury (element)
Merkury (bóg)	Mercury (mythology)
Merkury	Mercury (planet)
Południk	Meridian (geography)
Merytokracja	Meritocracy
Syrena (mitologia)	Mermaid
Merowingowie	Merovingian
Meryl Streep	Meryl Streep
Meskalina	Mescaline
Mezolit	Mesolithic
Mezony	Meson
Mezopotamia	Mesopotamia
Kategoria:Mezopotamia	Mesopotamia
Mezosfera (warstwa atmosfery)	Mesosphere
Era mezozoiczna	Mesozoic
MRNA	Messenger RNA
Pomazaniec	Messiah
Mesyna	Messina
Metabolizm	Metabolism
Metadane	Metadata
Metale	Metal
Wiązanie metaliczne	Metallic bond
Półmetale	Metalloid
Metalurgia	Metallurgy
Kategoria:Metalurgia	Metallurgy
Skały metamorficzne	Metamorphic rock
Metafora	Metaphor
Metafizyka klasyczna	Metaphysics
Przerzuty nowotworowe	Metastasis
Rój meteorów	Meteor shower
Meteoryt	Meteorite
Meteoroid	Meteoroid
Kategoria:Meteorologia i fizyka atmosfery	Meteorology
Meteorologia	Meteorology
Metadon	Methadone
Metamfetamina	Methamphetamine
Alkohol metylowy	Methanol
Metionina	Methionine
Metodyzm	Methodism
3,4-metylenodioksymetamfetamina	Methylenedioxymethamphetamine
Metis (księżyc)	Metis (moon)
Metonimia	Metonymy
Metr	Metre
Przestrzeń metryczna	Metric space
Meuse	Meuse
Moza	Meuse River
Meksyk	Mexico
Kategoria:Meksyk	Mexico
Meksyk (miasto)	Mexico City
Miami	Miami
Miki	Mica
Michał Archanioł	Michael (archangel)
Michael Faraday	Michael Faraday
Michel Ney	Michel Ney
Michał Anioł	Michelangelo
Michigan	Michigan
Kategoria:Michigan	Michigan
Mick Jagger	Mick Jagger
Myszka Miki	Mickey Mouse
Mikrobiologia	Microbiology
Kategoria:Mikrobiologia	Microbiology
Mikroekonomia	Microeconomics
Kategoria:Mikroekonomia	Microeconomics
Mikronezja (wyspy)	Micronesia
Mikroorganizm	Microorganism
Mikrofon	Microphone
Mikroprocesor	Microprocessor
Mikroskop	Microscope
Mikroskop (gwiazdozbiór)	Microscopium
Mikrofale	Microwave
Kuchenka mikrofalowa	Microwave oven
Średniowiecze	Middle Ages
Kategoria:Średniowiecze	Middle Ages
Bliski Wschód	Middle East
Dzień polarny	Midnight sun
Migrena	Migraine
Miguel de Cervantes	Miguel de Cervantes
Mike Tyson	Mike Tyson
Michał Bakunin	Mikhail Bakunin
Michał Glinka	Mikhail Glinka
Michaił Gorbaczow	Mikhail Gorbachev
Mediolan	Milan
Mila	Mile
Miles Davis	Miles Davis
