Ukrainian	English
Інсектициди	Insecticide
Інсулін	Insulin
Страхування	Insurance
Цілі числа	Integer
Інтегрування	Integral
Мікросхема	Integrated circuit
Інтелектуальна власність	Intellectual property
Інтелект	Intelligence
Коефіцієнт інтелекту	Intelligence quotient
Інтерференція	Interference
Вигук	Interjection
Інтерлінгва	Interlingua
МАГАТЕ	International Atomic Energy Agency
Міжнародний Суд	International Court of Justice
Міжнародна організація праці	International Labour Organization
Міжнародний валютний фонд	International Monetary Fund
Міжнародна система СІ	International System of Units
Категорія:Міжнародне право	International law
Міжнародні організації	International organization
Інтернет	Internet
Категорія:Інтернет	Internet
Internet Explorer	Internet Explorer
Концтабір	Internment
Інтерпретатор	Interpreter (computing)
Перетин множин	Intersection (set theory)
Музичний інтервал	Interval (music)
Кишківник	Intestine
Інтранет	Intranet
Винахід	Invention
Безхребетні	Invertebrate
Іо (супутник)	Io (moon)
Іо (міфологія)	Io (mythology)
Йод	Iodine
Йон	Ion
Іонічне море	Ionian Sea
Іонний зв'язок	Ionic bond
Іоносфера	Ionosphere
Йота (літера)	Iota
Айова	Iowa
Іран	Iran
Категорія:Іран	Iran
Ірано-іракська війна	Iran-Iraq War
Ірак	Iraq
Категорія:Ірак	Iraq
Ірландія (острів)	Ireland
Іреней Ліонський	Irenaeus
Іридій	Iridium
Райдужна оболонка	Iris (anatomy)
Ірида	Iris (mythology)
Ірландська республіканська армія	Irish Republican Army
Ірландське море	Irish Sea
Категорія:Персоналії:Ірландія	Irish people
Залізо	Iron
Залізний вік	Iron Age
Залізна завіса	Iron Curtain
Iron Maiden	Iron Maiden
Іронія	Irony
Ірраціональні числа	Irrational number
Іредентизм	Irredentism
Іртиш	Irtysh River
Ісаак син Авраама	Isaac
Азімов Айзек	Isaac Asimov
Зінґер Ісаак Башевіс	Isaac Bashevis Singer
Ньютон Ісаак	Isaac Newton
Дункан Ісадора	Isadora Duncan
Ізмаїл (міфологія)	Ishmael
Ісіда	Isis
Іслам	Islam
Категорія:Іслам	Islam
Ісламабад	Islamabad
Мусульманський календар	Islamic calendar
Острів	Island
Мен (острів)	Isle of Man
Категорія:Мен (острів)	Isle of Man
Ізомери	Isomer
Ізотоп	Isotope
Ізраїль	Israel
Категорія:Ізраїль	Israel
Стамбул	Istanbul
Категорія:Стамбул	Istanbul
Перешийок	Isthmus
Панамський перешийок	Isthmus of Panama
Апеннінський півострів	Italian Peninsula
Італія	Italy
Категорія:Італія	Italy
Ітака	Ithaca
Павлов Іван Петрович	Ivan Pavlov
Тургенєв Іван Сергійович	Ivan Turgenev
Слонова кістка	Ivory
Ліга плюща	Ivy League
Іото	Iwo Jima
J (латиниця)	J
Селінджер Джером Дейвід	J. D. Salinger
Джек Лондон	Jack London
Джек-Різник	Jack the Ripper
Галка (птах)	Jackdaw
Яків син Ісаака	Jacob
Картьє Жак	Jacques Cartier
Оффенбах Жак	Jacques Offenbach
Жад	Jade
Ягуар	Jaguar
Джайнізм	Jainism
Джакарта	Jakarta
Ямайка	Jamaica
Категорія:Ямайка	Jamaica
Яків син Зеведеїв	James
Гарфілд Джеймс	James A. Garfield
Джеймс Бонд	James Bond
Максвелл Джеймс Клерк	James Clerk Maxwell
Кук Джеймс	James Cook
Джойс Джеймс	James Joyce
Джеймс Нокс Полк	James K. Polk
Медісон Джеймс	James Madison
Монро Джеймс	James Monroe
Джоуль Джеймс Прескотт	James Prescott Joule
Ватт Джеймс	James Watt
Джамму й Кашмір	Jammu and Kashmir
Ян Гус	Jan Hus
Остін Джейн	Jane Austen
Яничари	Janissary
Січень	January
1 січня	January 1
19 січня	January 19
20 січня	January 20
6 січня	January 6
Янус (супутник)	Janus (moon)
Янус (міфологія)	Janus (mythology)
Японія	Japan
Категорія:Японія	Japan
Ясон	Jason
Ява (острів)	Java
Java	Java (programming language)
Джавахарлал Неру	Jawaharlal Nehru
Джаз	Jazz
Категорія:Джаз	Jazz
Кокто Жан	Jean Cocteau
Сібеліус Ян	Jean Sibelius
Лафонтен Жан	Jean de La Fontaine
Руссо Жан-Жак	Jean-Jacques Rousseau
Сартр Жан-Поль	Jean-Paul Sartre
Рамо Жан-Філліп	Jean-Philippe Rameau
Джидда	Jeddah
Джефферсон Девіс	Jefferson Davis
Свідки Єгови	Jehovah's Witnesses
Клас Сцифоїдні	Jellyfish
Бентам Ієремія	Jeremy Bentham
Херес-де-ла-Фронтера	Jerez de la Frontera
Єрихон	Jericho
Ієронім	Jerome
Джерсі (острів)	Jersey
Єрусалим	Jerusalem
Ісус Христос	Jesus
Реактивний двигун	Jet engine
Юдеї	Jew
Дримба	Jew's harp
Джихад	Jihad
Джимі Хендрікс	Jimi Hendrix
Картер Джиммі	Jimmy Carter
Жанна д'Арк	Joan of Arc
Бах Йоганн Себастьян	Johann Sebastian Bach
Ґете Йоганн Вольфґанґ фон	Johann Wolfgang von Goethe
Брамс Йоганнес	Johannes Brahms
Ґутенберґ Йоганн	Johannes Gutenberg
Кеплер Йоганнес Фрідріх	Johannes Kepler
Йоганнесбург	Johannesburg
Адамс Джон	John Adams
Бардін Джон	John Bardeen
Кейдж Джон	John Cage
Жан Кальвін	John Calvin
Іоан Золотоустий	John Chrysostom
Дальтон Джон	John Dalton
Голсуорсі Джон	John Galsworthy
Леннон Джон	John Lennon
Локк Джон	John Locke
Мейджор Джон	John Major
Кейнс Джон Мейнард	John Maynard Keynes
Непер Джон	John Napier
Адамс Джон Квінсі	John Quincy Adams
Раскін Джон	John Ruskin
Стейнбек Джон	John Steinbeck
Мілль Джон Стюарт	John Stuart Mill
Вейн Джон	John Wayne
Іван Хреститель	John the Baptist
Джон фон Нейман	John von Neumann
Джонні Кеш	Johnny Cash
Суглоб	Joint
Свіфт Джонатан	Jonathan Swift
Йорданія	Jordan
Категорія:Йорданія	Jordan
Борхес Хорхе Луїс	Jorge Luis Borges
Джозеф Конрад	Joseph Conrad
Гайдн Франц Йозеф	Joseph Haydn
Гей-Люссак Жозеф-Луї	Joseph Louis Gay-Lussac
Сміт Джозеф	Joseph Smith
Сталін Йосип Віссаріонович	Joseph Stalin
Йосип Флавій	Josephus
Джоуль	Joule
Категорія:Журналістика	Journalism
Журналістика	Journalism
Журналіст	Journalist
Джойстик	Joystick
Юдаїзм	Judaism
Категорія:Юдаїзм	Judaism
Юда Іскаріот	Judas Iscariot
Юдея	Judea
Дзюдо	Judo
Жуль Верн	Jules Verne
Юліанський календар	Julian calendar
Гай Юлій Цезар	Julius Caesar
Липень	July
1 липня	July 1
4 липня	July 4
Червень	June
14 червня	June 14
21 червня	June 21
23 червня	June 23
24 червня	June 24
29 червня	June 29
3 червня	June 3
Джуно	Juneau
Яловець	Juniper
Юнона (міфологія)	Juno (mythology)
Юпітер (планета)	Jupiter
Категорія:Юпітер	Jupiter
Юпітер	Jupiter (disambiguation)
Юпітер (міфологія)	Jupiter (mythology)
Юрський період	Jurassic
Юстиніан I	Justinian I
Ютландія	Jutland
K (латиниця)	K
Комітет Державної Безпеки	KGB
Кааба	Kaaba
Кабул	Kabul
Калахарі	Kalahari Desert
Камчатський півострів	Kamchatka Peninsula
Камікадзе (пілот)	Kamikaze
Кампала	Kampala
Кенгурові	Kangaroo
Канзас	Kansas
Каппа (літера)	Kappa
Карське море	Kara Sea
Карачі	Karachi
Карате	Karate
Ясперс Карл	Karl Jaspers
Маркс Карл	Karl Marx
Поппер Карл	Karl Popper
Карма	Karma
Катманду	Kathmandu
Катовіце	Katowice
Каунас	Kaunas
Казахстан	Kazakhstan
Категорія:Казахстан	Kazakhstan
Казань	Kazan
Малевич Казимир Северинович	Kazimir Malevich
Кельвін (одиниця)	Kelvin
Кент	Kent
Кентуккі	Kentucky
Кенія	Kenya
Категорія:Кенія	Kenya
Ядро (комп'ютерні науки)	Kernel (computer science)
Клавіатура	Keyboard (computing)
Клавішні музичні інструменти	Keyboard instrument
Хабаровськ	Khabarovsk
Хан (титул)	Khan
Харків	Kharkiv
Хартум	Khartoum
Червоні кхмери	Khmer Rouge
Кібуц	Kibbutz
Нирки	Kidney
Київ	Kiev
Кігалі	Kigali
Кілограм	Kilogram
Кілометр	Kilometre
Кімоно	Kimono
Кінематика	Kinematics
Кінетична енергія	Kinetic energy
Король (шахова фігура)	King (chess)
Король Артур	King Arthur
Кінгстон (Ямайка)	Kingston
Кінгстаун	Kingstown
Кіншаса	Kinshasa
Кірібаті	Kiribati
Поцілунок	Kiss
Кнесет	Knesset
Ніж	Knife
Рицар	Knight
Кносс	Knossos
Вузол (одиниця швидкості)	Knot (speed)
Знання	Knowledge
Гамсун Кнут	Knut Hamsun
Коала	Koala
Кольський півострів	Kola Peninsula
Колката	Kolkata
Konqueror	Konqueror
Аденауер Конрад	Konrad Adenauer
Корея	Korea
Категорія:Корея	Korea
Корейська війна	Korean War
Косово	Kosovo
Категорія:Косово	Kosovo
Кракатау	Krakatoa
Крішна	Krishna
Криптон	Krypton
Ку-Клукс-Клан	Ku Klux Klan
Куала-Лумпур	Kuala Lumpur
Хубілай	Kublai Khan
Пояс Койпера	Kuiper belt
Гунфу	Kung fu (term)
Куньлунь	Kunlun Mountains
Кура	Kura River
Курдистан	Kurdistan
Робітнича партія Курдистану	Kurdistan Workers Party
Курськ	Kursk
Воннеґут Курт	Kurt Vonnegut
Кувейт	Kuwait
Категорія:Кувейт	Kuwait
Наталь	KwaZulu-Natal
Кіото	Kyoto
Киргизстан	Kyrgyzstan
Категорія:Киргизстан	Kyrgyzstan
L (латиниця)	L
Ла-Пас	La Paz
Спеція	La Spezia
LaTeX	LaTeX
Ящірка (сузір'я)	Lacerta
Лактоза	Lactose
Леді Джейн Грей	Lady Jane Grey
Лагос	Lagos
Laissez-faire	Laissez-faire
Озеро	Lake
Байкал	Lake Baikal
Балатон	Lake Balaton
Чад (озеро)	Lake Chad
Боденське озеро	Lake Constance
Ері	Lake Erie
Ейр	Lake Eyre
Женевське озеро	Lake Geneva
Озеро Гурон (Великі озера)	Lake Huron
Ільмень	Lake Ilmen
Ладозьке озеро	Lake Ladoga
Ньяса	Lake Malawi
Мічиган (озеро)	Lake Michigan
Онезьке озеро	Lake Onega
Онтаріо (озеро)	Lake Ontario
Озеро Верхнє (Великі озера)	Lake Superior
Танганьїка	Lake Tanganyika
Вікторія (озеро)	Lake Victoria
Лямбда (літера)	Lambda
Ланкашир	Lancashire
Головохордові	Lancelet
Звалище	Landfill
Мова	Language
Лангедок — Руссільон	Languedoc-Roussillon
Лантаноїди	Lanthanide
Лантан	Lanthanum
Лаос	Laos
Категорія:Лаос	Laos
Море Лаптєвих	Laptev Sea
Ноутбук	Laptop
Модрина	Larch
Личинка	Larva
Гортань	Larynx
Лас-Вегас	Las Vegas
Лазер	Laser
Токарна група верстатів	Lathe
Латинська мова	Latin
Латинська Америка	Latin America
Латинська абетка	Latin alphabet
Широта	Latitude
Латвія	Latvia
Категорія:Латвія	Latvia
Лавразія	Laurasia
Лозанна	Lausanne
Лава	Lava
Право	Law
Категорія:Право	Law
Лоуренсій	Lawrencium
Лаціо	Lazio
Ле Корбюз'є	Le Corbusier
Гавр	Le Havre
Свинець	Lead
Листок	Leaf
Ліга Націй	League of Nations
Пізанська башта	Leaning Tower of Pisa
Високосний рік	Leap year
Навчання	Learning
Ліван	Lebanon
Категорія:Ліван	Lebanon
Шульга	Left-handed
Легенда	Legend
Лейден	Leiden
Лейпциг	Leipzig
Лимон	Lemon
Лена (річка)	Lena River
Довжина	Length
Лінза	Lens (optics)
Сочевиця	Lentil
Лев (сузір'я)	Leo (constellation)
Троцький Лев Давидович	Leon Trotsky
Бернстайн Леонард	Leonard Bernstein
Леонардо да Вінчі	Leonardo da Vinci
Ейлер Леонард	Leonhard Euler
Брежнєв Леонід Ілліч	Leonid Brezhnev
Леопард	Leopard
Лускокрилі	Lepidoptera
Проказа	Leprosy
Лептон	Lepton
Заєць (сузір'я)	Lepus (constellation)
Лесбіянство	Lesbian
Лесото	Lesotho
Лето	Leto
Літера	Letter (alphabet)
Лейкоз	Leukemia
Левант	Levant
Важіль	Lever
Левіафан	Leviathan
Левит (книга)	Leviticus
Льюїс Керрол	Lewis Carroll
Лексикологія	Lexicology
Лхаса	Lhasa
Лібералізм	Liberalism
Ліберія	Liberia
Терези (сузір'я)	Libra (constellation)
Бібліотека	Library
Лібретто	Libretto
Лібревіль	Libreville
Лівія	Libya
Лишайники	Lichen
Ліхтенштейн	Liechtenstein
Категорія:Ліхтенштейн	Liechtenstein
Лейтенант	Lieutenant
Життя	Life
Категорія:Життя	Life
Світло (фізика)	Light
Світлодіод	Light-emitting diode
Світловий рік	Light-year
Маяк	Lighthouse
Блискавка	Lightning
Лігурія	Liguria
Лігурійське море	Ligurian Sea
Ліліт	Lilith
Лілль	Lille
Лілонгве	Lilongwe
Ліма	Lima
Вапняк	Limestone
Границя	Limit (mathematics)
Лімнологія	Limnology
Лімузен	Limousin (region)
Лінійна алгебра	Linear algebra
Категорія:Лінійна алгебра	Linear algebra
Лінійне рівняння	Linear equation
Лінгва франка	Lingua franca
Мовознавство	Linguistics
Категорія:Мовознавство	Linguistics
Лайнус Полінг	Linus Pauling
Лінукс	Linux
Категорія:Лінукс	Linux
Лінц	Linz
Лев	Lion
Ліпіди	Lipid
Лікер	Liqueur
Рідина	Liquid
Рідкокристалічний дисплей	Liquid crystal display
Лісабон	Lisbon
LISP	Lisp (programming language)
Література	Literature
Категорія:Література	Literature
Літій	Lithium
Літосфера	Lithosphere
Литва	Lithuania
Категорія:Литва	Lithuania
Літр	Litre
Сич хатній	Little Owl
Ліверпуль	Liverpool
Лівонія	Livonia
Ящірки	Lizard
Любляна	Ljubljana
Лама (тварина)	Llama
Запозичення	Loanword
Локальна мережа	Local area network
Лох-Несс	Loch Ness
Локомотив	Locomotive
Логарифм	Logarithm
Логіка	Logic
Категорія:Логіка	Logic
Логістика	Logistics
Луара (департамент)	Loire
Локі	Loki
Ломбардія	Lombardy
Лондон	London
Категорія:Лондон	London
Лонг-Біч	Long Beach
Лонг-Айленд	Long Island
Сова вухата	Long-eared Owl
Лопе де Вега	Lope de Vega
Отче наш	Lord's Prayer
Лос-Анджелес	Los Angeles
Ло (департамент)	Lot (department)
Гучномовець	Loudspeaker
Луї Араґон	Louis Aragon
Армстронґ Луї	Louis Armstrong
Брайль Луї	Louis Braille
Луї Пастер	Louis Pasteur
Луїзіана	Louisiana
Лувр	Louvre
Любов	Love
Нижня Саксонія	Lower Saxony
Луанда	Luanda
Люблін	Lublin
Паваротті Лучано	Luciano Pavarotti
Лукрецій	Lucretius
Борджиа Лукреція	Lucrezia Borgia
Больцман Людвіг	Ludwig Boltzmann
Вітгенштейн Людвиг	Ludwig Wittgenstein
Бетховен Людвіг	Ludwig van Beethoven
Люфтваффе	Luftwaffe
Луїджі Гальвані	Luigi Galvani
Люмен	Lumen (unit)
Люмінесценція	Luminescence
Місячні затемнення	Lunar eclipse
Легені	Lung
Дводишні	Lungfish
Вовк (сузір'я)	Lupus (constellation)
Лусака	Lusaka
Лютня	Lute
Лютецій	Lutetium
Лютеранство	Lutheranism
Люкс	Lux
Люксембург	Luxembourg
Категорія:Люксембург	Luxembourg
Люксембург (місто)	Luxembourg (city)
Луксор	Luxor
Лідія	Lydia
Рись (сузір'я)	Lynx (constellation)
Lynx (браузер)	Lynx (web browser)
Ліон	Lyon
Ліра (сузір'я)	Lyra
ЛСД	Lysergic acid diethylamide
Лізин	Lysine
Лізосома	Lysosome
M (латиниця)	M
MIME	MIME
Аоминь	Macau
Македонія (значення)	Macedonia
Македонія (Греція)	Macedonia (Greece)
Число Маха	Mach number
Машина	Machine
Машинний код	Machine code
Кулемет	Machine gun
Машинний переклад	Machine translation
Мачу-Пікчу	Machu Picchu
Macintosh	Macintosh
Макроекономіка	Macroeconomics
Категорія:Макроекономіка	Macroeconomics
Мадагаскар	Madagascar
Категорія:Мадагаскар	Madagascar
Мадейра	Madeira
Мадонна	Madonna (entertainer)
Мадрид	Madrid
Мафія	Mafia
Журнал	Magazine
Магія	Magic (paranormal)
Магма	Magma
Велика хартія вольностей	Magna Carta
Магній	Magnesium
Магніт	Magnet
Магнітне поле	Magnetic field
Магнетизм	Magnetism
Категорія:Магнетизм	Magnetism
Магнетит	Magnetite
Махараштра	Maharashtra
Махатма Ганді	Mahatma Gandhi
Махаяна	Mahayana
Пошта	Mail
Мен (штат)	Maine
Мейнфрейм	Mainframe computer
Кукурудза	Maize
Майор	Major
Мажор	Major scale
Малабо	Malabo
Малахіт	Malachite
Вищі раки	Malacostraca
Малярія	Malaria
Категорія:Малаві	Malawi
Малакка	Malay Peninsula
Чепрачний тапір	Malayan Tapir
Малайзія	Malaysia
Категорія:Малайзія	Malaysia
Мальдіви	Maldives
Малі	Mali
Категорія:Малі	Mali
Крижень	Mallard
Мальта	Malta
Категорія:Мальта	Malta
Мальтійська мова	Maltese language
Мальвові	Malvaceae
Ссавці	Mammal
Мамут	Mammoth
Менеджмент	Management
Манагуа	Managua
Манама	Manama
Манчестер	Manchester
Маньчжурія	Manchuria
Множина Мандельброта	Mandelbrot set
Манган (елемент)	Manganese
Манго	Mango
Мангровий ліс	Mangrove
Мангеттен	Manhattan
Манхеттенський проект	Manhattan Project
Маніла	Manila
Манітоба (провінція)	Manitoba
Мантія Землі	Mantle (geology)
Мантра	Mantra
Мао Цзедун	Mao Zedong
Карта (зображення)	Map
Клен	Maple
Мапуту	Maputo
Марафонський біг	Marathon
Мармур	Marble
Шагал Марк	Marc Chagall
Пруст Марсель	Marcel Proust
Березень	March
17 березня	March 17
19 березня	March 19
2 березня	March 2
25 березня	March 25
Марке	Marche
Марко Поло	Marco Polo
Марк Аврелій	Marcus Aurelius
Брут Марк Юній	Marcus Junius Brutus
Агріппа Марк Віпсаній	Marcus Vipsanius Agrippa
Мардук	Marduk
Тетчер Маргарет	Margaret Thatcher
Каллас Марія	Maria Callas
Маріанські острови	Mariana Islands
Марія Антуанетта	Marie Antoinette
Кюрі Марія	Marie Curie
Монро Мерилін	Marilyn Monroe
Варґас Льоса Маріо	Mario Vargas Llosa
Антоній Марк	Mark Antony
Марк Твен	Mark Twain
Маркетинг	Marketing
Категорія:Маркетинг	Marketing
Мова розмітки даних	Markup language
Марлен Дітріх	Marlene Dietrich
Маркіз де Сад	Marquis de Sade
Шлюб	Marriage
Категорія:Марс	Mars
Марс	Mars (disambiguation)
Марс (міфологія)	Mars (mythology)
Марсель	Marseille
Маршаллові Острови	Marshall Islands
План Маршалла	Marshall Plan
Гайдеггер Мартін	Martin Heidegger
Лютер Мартін	Martin Luther
Мартін Лютер Кінг	Martin Luther King
Навратілова Мартіна	Martina Navratilova
Мартиніка	Martinique
Мученик	Martyr
Брати Маркс	Marx Brothers
Марксизм	Marxism
Категорія:Марксизм	Marxism
Марія Магдалина	Mary Magdalene
Волстонкрафт Мері	Mary Wollstonecraft
Меріленд	Maryland
Маса	Mass
Служба	Mass (liturgy)
Масове число	Mass number
Массачусетс	Massachusetts
Массачусетський технологічний інститут	Massachusetts Institute of Technology
Мастурбація	Masturbation
Мата Харі	Mata Hari
Сірники	Match
Матеріалізм	Materialism
Математична логіка	Mathematical logic
Категорія:Математична логіка	Mathematical logic
Доведення	Mathematical proof
Математика	Mathematics
Категорія:Математика	Mathematics
Портал:Математика	Mathematics
Матриця (математика)	Matrix (mathematics)
Матергорн	Matterhorn
Мауна-Кеа	Mauna Kea
Мауна-Лоа	Mauna Loa
Равель Моріс Жозеф	Maurice Ravel
Мавританія	Mauritania
Категорія:Мавританія	Mauritania
Маврикій	Mauritius
Борн Макс	Max Born
Макс Ернст	Max Ernst
Планк Макс Карл Ернст	Max Planck
Вебер Макс	Max Weber
Основні рівняння електродинаміки	Maxwell's equations
Травень	May
1 травня	May 1
24 травня	May 24
Маєнн (департамент)	Mayenne
Одноденки	Mayfly
Майонез	Mayonnaise
Міський голова	Mayor
Маккартизм	McCarthyism
Мед (напій)	Mead
Кір	Measles
Теорія міри	Measure (mathematics)
Категорія:Метрологія	Measurement
Вимірювання	Measurement
М'ясо	Meat
Мекка	Mecca
Машинобудування	Mechanical engineering
Категорія:Механіка	Mechanics
Механіка	Mechanics
Медея	Medea
Медицина	Medicine
Категорія:Медицина	Medicine
Середземне море	Mediterranean Sea
Медуза (міфологія)	Medusa
Мегабайт	Megabyte
Мейоз	Meiosis
Майстер Екгарт	Meister Eckhart
Мейтнерій	Meitnerium
Меконг	Mekong
Мел Гібсон	Mel Gibson
Меланезія	Melanesia
Мелодія	Melody
Диня	Melon
Мельпомена	Melpomene
Плавлення	Melting
Температура плавлення	Melting point
Мем	Meme
Пам'ять	Memory
Мемфіс (Теннессі)	Memphis
Менделєвій	Mendelevium
Менелай	Menelaus
Столова Гора (сузір'я)	Mensa (constellation)
Менструальний цикл	Menstrual cycle
Психічні захворювання	Mental disorder
М'ята	Mentha
Меркантилізм	Mercantilism
Меркурій	Mercury
Ртуть	Mercury (element)
Меркурій (міфологія)	Mercury (mythology)
Меркурій (планета)	Mercury (planet)
Меридіан	Meridian (geography)
Меритократія	Meritocracy
Русалки	Mermaid
Меровінги	Merovingian
Мезоліт	Mesolithic
Мезони	Meson
Межиріччя	Mesopotamia
Категорія:Месопотамія	Mesopotamia
Мезосфера	Mesosphere
Мезозойська ера	Mesozoic
Матрична рибонуклеїнова кислота	Messenger RNA
Обмін речовин	Metabolism
Метадані	Metadata
Метали	Metal
Металічний зв'язок	Metallic bond
Напівметали	Metalloid
Металургія	Metallurgy
Категорія:Металургія	Metallurgy
Метаморфічні гірські породи	Metamorphic rock
Метафора	Metaphor
Метафізика	Metaphysics
Категорія:Метафізика	Metaphysics
Метеорний дощ	Meteor shower
Метеорит	Meteorite
Категорія:Метеорологія	Meteorology
Метеорологія	Meteorology
Метадон	Methadone
Метанол	Methanol
Метіонін	Methionine
Метонімія	Metonymy
Метр	Metre
Метричний простір	Metric space
Мез	Meuse
Мексика	Mexico
Категорія:Мексика	Mexico
Мехіко	Mexico City
Маямі	Miami
Слюда	Mica
Архангел Михаїл	Michael (archangel)
Фарадей Майкл	Michael Faraday
Мікеланджело Буонарроті	Michelangelo
Мічиган (штат)	Michigan
Мікробіологія	Microbiology
Категорія:Мікробіологія	Microbiology
Мікроекономіка	Microeconomics
Категорія:Мікроекономіка	Microeconomics
Мікронезія	Micronesia
Мікроорганізми	Microorganism
Мікрофон	Microphone
Мікропроцесор	Microprocessor
Мікроскопічний	Microscope
Мікроскоп (сузір'я)	Microscopium
Середньовіччя	Middle Ages
Категорія:Середні віки	Middle Ages
Середній Схід	Middle East
Полярний день	Midnight sun
Мігель де Сервантес	Miguel de Cervantes
Тайсон Майк	Mike Tyson
Бакунін Михайло Олександрович	Mikhail Bakunin
Глінка Михайло Іванович	Mikhail Glinka
Горбачов Михайло Сергійович	Mikhail Gorbachev
Мілан	Milan
Миля	Mile
Майлз Девіс	Miles Davis
Категорія:Військова справа	Military
Військові звання	Military rank
Молоко	Milk
Чумацький Шлях	Milky Way
Міллард Філлмор	Millard Fillmore
Тисячоліття	Millennium
Міліметр	Millimetre
Мільйон	Million
Фрідман Мілтон	Milton Friedman
Мілуокі	Milwaukee
Мінарет	Minaret
Мінданао (острів)	Mindanao
Мінерали	Mineral
Мінеральні води	Mineral water
Мінералогія	Mineralogy
Категорія:Мінералогія	Mineralogy
Династія Мін	Ming Dynasty
Мінімалізм	Minimalism
Гірнича справа	Mining
Міністр	Minister (government)
Міннесота	Minnesota
Мінойська культура	Minoan civilization
Мінор (музика)	Minor scale
Мінос	Minos
Мінотавр	Minotaur
Мінськ	Minsk
Хвилина	Minute
Міоцен	Miocene
Дзеркало	Mirror
Міссісіпі (річка)	Mississippi River
Міссурі (штат)	Missouri
Міссурі (річка)	Missouri River
Мітохондрія	Mitochondrion
Мобільний телефон	Mobile phone
Модем	Modem
Модернізм	Modernism
Мусоргський Модест Петрович	Modest Mussorgsky
Модуляція (фізика)	Modulation
Могадішо	Mogadishu
Мойри	Moirae
Пліснява	Mold
Молдова	Moldova
Категорія:Молдова	Moldova
Моль (одиниця)	Mole (unit)
Молекулярна біологія	Molecular biology
Категорія:Молекулярна біологія	Molecular biology
Молекула	Molecule
Молізе	Molise
Молюски	Mollusca
Коктейль Молотова	Molotov cocktail
Молібден	Molybdenum
Імпульс	Momentum
Монако	Monaco
Категорія:Монако	Monaco
Самодержець	Monarch
Самодержець	Monarchy
Монастир	Monastery
Понеділок	Monday
Гроші	Money
Монголія	Mongolia
Категорія:Монголія	Mongolia
Селеш Моніка	Monica Seles
Монізм	Monism
Однодольні	Monocotyledon
Мономер	Monomer
Монополія	Monopoly
Монополія (гра)	Monopoly (game)
Глютамат натрію	Monosodium glutamate
Монотеїзм	Monotheism
Однопрохідні	Monotreme
Доктрина Монро	Monroe Doctrine
Монровія	Monrovia
Мусон	Monsoon
Монблан	Mont Blanc
Монтана (штат)	Montana
Монте-Карло	Monte Carlo
Чорногорія	Montenegro
Категорія:Чорногорія	Montenegro
Монтеррей	Monterrey
Монтевідео	Montevideo
Місяць (календарний)	Month
Монтпілієр (Вермонт)	Montpelier
Монреаль	Montreal
Монтсеррат	Montserrat
Місяць (супутник)	Moon
Лось	Moose
Мораль	Morality
Моравія	Moravia
Марокко	Morocco
Категорія:Марокко	Morocco
Морфема	Morpheme
Морфологія	Morphology
Морфологія (лінгвістика)	Morphology (linguistics)
Азбука Морзе	Morse code
Міномет	Mortar (weapon)
Мозаїка	Mosaic
Москва	Moscow
Категорія:Москва	Moscow
Мозель (департамент)	Moselle
Мойсей	Moses
Мечеть	Mosque
Комарі	Mosquito
Мохи	Moss
Мати	Mother
Мати Тереза	Mother Teresa
День матері	Mother's Day
Рух	Motion (physics)
Мотоцикл	Motorcycle
Девіз	Motto
Арарат	Mount Ararat
Афон	Mount Athos
Етна	Mount Etna
Джомолунгма	Mount Everest
Фудзі (гора)	Mount Fuji
Кіліманджаро	Mount Kilimanjaro
Мак-Кінлі (гора)	Mount McKinley
Олімп	Mount Olympus
Везувій	Mount Vesuvius
Гора	Mountain
Миша	Mouse
Миша комп'ютерна	Mouse (computing)
Мозамбік	Mozambique
Категорія:Мозамбік	Mozambique
Мю (літера)	Mu (letter)
Мухаммед	Muhammad
Мухамед Алі	Muhammad Ali
Шовковиця	Mulberry
Мул (тварина)	Mule
Мультимедіа	Multimedia
Розсіяний склероз	Multiple sclerosis
Мумбаї	Mumbai
Мюнхен	Munich
Муніципалітет	Municipality
Мюон	Muon
Мурманськ	Murmansk
Закон Мерфі	Murphy's law
Банан	Musa (genus)
Муха (сузір'я)	Musca
Маскат	Muscat
М'язова тканина	Muscle
Музи	Muse
Музей	Museum
Гриб	Mushroom
Музика	Music
Категорія:Музика	Music
MIDI	Musical Instrument Digital Interface
Музичний інструмент	Musical instrument
Звукоряд	Musical scale
Музикант	Musician
Мушкет	Musket
Куницеві	Mustelidae
Мутація	Mutation
Лебідь-шипун	Mute Swan
Категорія:М'янма	Myanmar
Мікени	Mycenae
Мікологія	Mycology
Категорія:Мікологія	Mycology
Гострий інфаркт міокарда	Myocardial infarction
Короткозорість	Myopia
Багатоніжки	Myriapoda
Містицизм	Mysticism
Міф	Myth
Міфологія	Mythology
Категорія:Міфологія	Mythology
N (латиниця)	N
Нджамена	N'Djamena
НАТО	NATO
Категорія:НАТО	NATO
Надир	Nadir
Наґасакі	Nagasaki
Наґоя	Nagoya
Науатль	Nahuatl
Нігті	Nail (anatomy)
Цвях	Nail (fastener)
Найробі	Nairobi
Наміб	Namib Desert
Намібія	Namibia
Категорія:Намібія	Namibia
Нансі	Nancy
Нанотехнології	Nanotechnology
Нант	Nantes
Неаполь	Naples
Наполеонівські війни	Napoleonic Wars
Нашвілл	Nashville
Нація	Nation
Державний гімн	National anthem
Національний парк	National park
