English	Hebrew
Islamic calendar	הלוח המוסלמי
Island	אי
Isle of Man	האי מאן
Isle of Man	קטגוריה:האי מאן
Isomer	איזומר
Isoroku Yamamoto	איסורוקו יאממוטו
Isotope	איזוטופ
Israel	ישראל
Israel	קטגוריה:ישראל
Istanbul	איסטנבול
Istanbul	קטגוריה:איסטנבול
Isthmus	מצר יבשה
Italian Peninsula	חצי האי האפניני
Italo Calvino	איטלו קאלווינו
Italy	איטליה
Italy	קטגוריה:איטליה
Ithaca	איתקה
Ivan Lendl	איוון לנדל
Ivan Pavlov	איוואן פבלוב
Ivan Turgenev	איוון טורגנייב
Ivory	שנהב
Ivy League	ליגת הקיסוס
Iwo Jima	איוו ג'ימה
J	J
J. D. Salinger	ג'רום דייוויד סלינג'ר
J. M. Barrie	ג'יימס מתיו ברי
Jack Kerouac	ג'ק קרואק
Jack Lemmon	ג'ק למון
Jack London	ג'ק לונדון
Jack the Ripper	ג'ק המרטש
Jackdaw	קאק
Jackson	ג'קסון (מיסיסיפי)
Jackson Pollock	ג'קסון פולוק
Jacksonville	ג'קסונוויל
Jacob	יעקב
Jacques Cartier	ז'ק קרטייה
Jacques Derrida	ז'אק דרידה
Jacques Offenbach	ז'ק אופנבך
Jade	ירקן
Jaguar	יגואר
Jainism	ג'ייניזם
Jakarta	ג'קרטה
Jamaica	ג'מייקה
Jamaica	קטגוריה:ג'מייקה
James	יעקב בן זבדי
James A. Garfield	ג'יימס גרפילד
James Bond	ג'יימס בונד
James Buchanan	ג'יימס ביוקנן
James Clerk Maxwell	ג'יימס קלרק מקסוול
James Cook	ג'יימס קוק
James Franck	ג'יימס פרנק
James Joyce	ג'יימס ג'ויס
James K. Polk	ג'יימס פולק
James Madison	ג'יימס מדיסון
James Monroe	ג'יימס מונרו
James Naismith	ג'יימס נייסמית'
James Prescott Joule	ג'יימס ג'ול
James Watt	ג'יימס ואט
Jammu and Kashmir	ג'אמו וקשמיר
Jan Hus	יאן הוס
Jan van Eyck	יאן ואן אייק
Jane Austen	ג'יין אוסטן
Jane Fonda	ג'יין פונדה
Jane Seymour	ג'יין סימור
Janis Joplin	ג'ניס ג'ופלין
Janissary	יניצ'רים
January	ינואר
January 1	1 בינואר
January 19	19 בינואר
January 20	20 בינואר
January 6	6 בינואר
Janus (mythology)	יאנוס
Japan	יפן
Japan	קטגוריה:יפן
Jason	יאסון (מיתולוגיה)
Jaundice	צהבת
Java	ג'אווה
Java (programming language)	Java
Jawaharlal Nehru	ג'ווהרלל נהרו
Jazz	ג'אז
Jazz	קטגוריה:ג'אז
Jean Auguste Dominique Ingres	ז'אן אוגוסט דומיניק אנגר
Jean Cocteau	ז'אן קוקטו
Jean Piaget	ז'אן פיאז'ה
Jean Racine	ז'אן רסין
Jean Sibelius	יאן סיבליוס
Jean de La Fontaine	ז'אן דה לה פונטן
Jean-Jacques Rousseau	ז'אן-ז'אק רוסו
Jean-Paul Sartre	ז'אן-פול סארטר
Jean-Philippe Rameau	ז'אן-פיליפ ראמו
Jeddah	ג'דה
Jefferson City	ג'פרסון סיטי
Jefferson Davis	ג'פרסון דייוויס
Jehovah	השם המפורש
Jehovah's Witnesses	עדי יהוה
Jellyfish	מדוזה
Jeremy Bentham	ג'רמי בנת'ם
Jerez de la Frontera	חרס דה לה פרונטרה
Jericho	יריחו
Jerome	הירונימוס
Jersey	ג'רזי
Jerusalem	ירושלים
Jerusalem	קטגוריה:ירושלים
Jesus	ישו
Jet engine	מנוע סילון
Jew	יהודים
Jew's harp	נבל פה
Jihad	ג'יהאד
Jimi Hendrix	ג'ימי הנדריקס
Jimmy Carter	ג'ימי קרטר
Joan of Arc	ז'אן ד'ארק
Johann Bernoulli	יוהן ברנולי
Johann Sebastian Bach	יוהן סבסטיאן באך
Johann Wolfgang von Goethe	יוהן וולפגנג פון גתה
Johannes Brahms	יוהנס ברהמס
Johannes Diderik van der Waals	יוהאנס דידריק ואן דר ואלס
Johannes Gutenberg	יוהן גוטנברג
Johannes Kepler	יוהנס קפלר
Johannes Vilhelm Jensen	יוהנס וילהלם ינסן
Johannesburg	יוהנסבורג
John Adams	ג'ון אדמס
John Bardeen	ג'ון ברדין
John Cage	ג'ון קייג'
John Calvin	ז'אן קלווין
John Chrysostom	יוחנן כריסוסטומוס
John Dalton	ג'ון דלטון
John Dewey	ג'ון דיואי
John Galsworthy	ג'ון גולסוורתי
John Herschel	ג'ון הרשל
John Keats	ג'ון קיטס
John Lennon	ג'ון לנון
John Locke	ג'ון לוק
John Major	ג'ון מייג'ור
John Maynard Keynes	ג'ון מיינרד קיינס
John Milton	ג'ון מילטון
John Napier	ג'ון נפייר
John Quincy Adams	ג'ון קווינסי אדמס
John Ruskin	ג'ון ראסקין
John Steinbeck	ג'ון סטיינבק
John Stuart Mill	ג'ון סטיוארט מיל
John Tyler	ג'ון טיילר
John Wayne	ג'ון ויין
John the Baptist	יוחנן המטביל
John von Neumann	ג'ון פון נוימן
Johnny Cash	ג'וני קאש
Joint	מפרק
Jonathan Swift	ג'ונתן סוויפט
Jordan	ירדן
Jordan	קטגוריה:ירדן
Jordan River	נהר הירדן
Jorge Luis Borges	חורחה לואיס בורחס
Joseph Conrad	ג'וזף קונרד
Joseph Goebbels	יוזף גבלס
Joseph Haydn	יוזף היידן
Joseph Louis Gay-Lussac	לואי ז'וזף גה-ליסאק
Joseph McCarthy	ג'וזף מקארתי
Joseph Priestley	ג'וזף פריסטלי
Joseph Pulitzer	ג'וזף פוליצר
Joseph Schumpeter	יוזף שומפטר
Joseph Smith	ג'וזף סמית' הבן
Joseph Stalin	יוסיף סטלין
Josephus	יוסף בן מתתיהו
Joule	ג'ול
Journalism	עיתונאות
Journalist	עיתונאי
Jovian	יוביאנוס
Joystick	ג'ויסטיק
Judaism	יהדות
Judaism	קטגוריה:יהדות
Judas Iscariot	יהודה איש קריות
Judea	יהודה (חבל ארץ)
Judo	ג'ודו
Judy Garland	ג'ודי גרלנד
Jujutsu	ג'ו ג'וטסו
Jules Verne	ז'ול ורן
Julian calendar	הלוח היוליאני
Julian the Apostate	יוליאנוס הכופר
Julius Caesar	יוליוס קיסר
July	יולי
July 1	1 ביולי
July 4	4 ביולי
June	יוני
June 14	14 ביוני
June 21	21 ביוני
June 23	23 ביוני
June 24	24 ביוני
June 29	29 ביוני
June 3	3 ביוני
Juneau	ג'ונו
Juniper	ערער
Juno (mythology)	יונו
Jupiter	צדק (כוכב לכת)
Jupiter	קטגוריה:צדק
Jupiter (disambiguation)	יופיטר
Jupiter (mythology)	יופיטר (מיתולוגיה)
Jurassic	יורה (גאולוגיה)
Justinian I	יוסטיניאנוס הראשון
Jutland	יוטלנד
K	K
K2	K2
KGB	ק.ג.ב.
Kaaba	כעבה
Kabbalah	קבלה
Kabul	קאבול
Kalahari Desert	קלהארי
Kamchatka Peninsula	חצי האי קמצ'טקה
Kamikaze	קמיקזה
Kampala	קמפלה
Kandahar	קנדהאר
Kangaroo	קנגורו
Kansas	קנזס
Kansas	קטגוריה:קנזס
Kappa	קפא
Karachi	קראצ'י
Karakoram	קארקוראם
Karaoke	קריוקי
Karate	קראטה
Karen Blixen	איזק דינסן
Karl Jaspers	קרל יאספרס
Karl Marx	קרל מרקס
Karl Popper	קרל פופר
Karma	קארמה
Karnataka	קארנאטקה
Katharine Hepburn	קתרין הפבורן
Kathmandu	קטמנדו
Katowice	קטוביץ
Kaunas	קובנה
Kayak	קיאק
Kazakhstan	קזחסטן
Kazakhstan	קטגוריה:קזחסטן
Kazan	קאזאן
Kazimir Malevich	קזימיר מלביץ'
Kelvin	יחידות מידה לטמפרטורה
Kent	קנט
Kentucky	קנטקי
Kentucky	קטגוריה:קנטקי
Kenya	קניה
Kenya	קטגוריה:קניה
Kernel (computer science)	ליבה (מדעי המחשב)
Kerosene	קרוסן
Ketchup	קטשופ
Ketone	קטון
Keyboard (computing)	מקלדת מחשב
Keyboard instrument	כלי מקלדת
Khabarovsk	חברובסק
Khan	חאן (תואר)
Kharkiv	חרקוב
Khartoum	חרטום
Khmer Rouge	קמר רוז'
Khufu	ח'ופו
Kibbutz	קיבוץ
Kidney	כליה
Kiev	קייב
Kigali	קיגאלי
Kilogram	קילוגרם
Kilometres per hour	קילומטר לשעה
Kimono	קימונו
Kindergarten	גן ילדים
Kinematics	קינמטיקה
Kinetic energy	אנרגיה קינטית
King (chess)	מלך (שחמט)
King Arthur	המלך ארתור
King Lear	המלך ליר
Kingdom (biology)	ממלכה (טקסונומיה)
Kingston	קינגסטון
Kingstown	קינגסטאון
Kinshasa	קינשאסה
Kiribati	קיריבטי
Kiribati	קטגוריה:קיריבטי
Kirkuk	כירכוכ
Kiss	נשיקה
Kite	עפיפון
Kiwi	קיווי (עוף)
Knee	ברך
Knesset	הכנסת
Knife	סכין
Knight	אביר
Knight (chess)	פרש (שחמט)
Knot (speed)	קשר (יחידת מידה)
Knowledge	ידע
Knut Hamsun	קנוט האמסון
Koala	קואלה
Kobe	קובה (יפן)
Kola Peninsula	חצי האי קולה
Kolkata	קולקטה
Komodo dragon	דרקון קומודו
Konqueror	Konqueror
Konrad Adenauer	קונרד אדנאואר
Korea	קוריאה
Korea	קטגוריה:קוריאה
Korean War	מלחמת קוריאה
Kosovo	קוסובו
Kosovo	קטגוריה:קוסובו
Krakatoa	קרקטואה
Kremlin	קרמלין
Krishna	קרישנה
Krypton	קריפטון
Ku Klux Klan	קו קלוקס קלאן
Kuala Lumpur	קואלה לומפור
Kublai Khan	קובלאי חאן
Kuiper belt	חגורת קויפר
Kung fu (term)	קונג פו
Kunlun Mountains	הרי קונלון
Kuomintang	קוומינטנג
Kura River	קורה (נהר)
Kurdistan	כורדיסטן
Kurdistan	קטגוריה:כורדיסטן
Kurdistan Workers Party	מפלגת הפועלים של כורדיסטן
Kurt Vonnegut	קורט וונגוט
Kurt Waldheim	קורט ולדהיים
Kuwait	כווית
Kuwait	קטגוריה:כווית
Kuwait City	כווית סיטי
Kyoto	קיוטו
Kyrgyzstan	קירגיזסטן
Kyrgyzstan	קטגוריה:קירגיזסטן
L	L
LAMP (software bundle)	LAMP (תשתיות תוכנה)
La Paz	לה פאס
LaTeX	LaTeX
Laboratory	מעבדה
Labour Party (UK)	מפלגת הלייבור הבריטית
Labrador Retriever	לברדור רטריבר
Lactic acid	חומצה לקטית
Lactose	לקטוז
Lady Jane Grey	ג'יין גריי
Lagomorpha	ארנבאים
Lagos	לאגוס
Lahore	לאהור
Laissez-faire	לסה פר
Lake	אגם
Lake Baikal	ימת באיקל
Lake Balaton	אגם בלטון
Lake Chad	ימת צ'אד
Lake Constance	קונסטנץ (ימה)
Lake Erie	ימת אירי
Lake Geneva	אגם ז'נבה
Lake Huron	ימת יורון
Lake Ladoga	ימת לדוגה
Lake Malawi	אגם מלאווי
Lake Michigan	ימת מישיגן
Lake Onega	ימת אונגה
Lake Ontario	ימת אונטריו
Lake Superior	ימת סופיריור
Lake Tanganyika	אגם טנגנייקה
Lake Victoria	אגם ויקטוריה
Lambda	למבדא
Lamiaceae	שפתניים
Lammergeier	פרס (עוף)
Lancashire	לנקשייר
Lancelet	מיתרני ראש
Landfill	מטמנה
Language	שפה
Languedoc-Roussillon	לנגדוק-רוסיון
Lansing	לאנסינג
Lanthanide	לנתניד
Lanthanum	לנתן
Laos	לאוס
Laos	קטגוריה:לאוס
Laptop	מחשב נייד
Larva	פגית
Larynx	בית הקול
Las Vegas	לאס וגאס
Laser	לייזר
Lathe	מחרטה
Latin	לטינית
Latin America	אמריקה הלטינית
Latin alphabet	אלפבית לטיני
Latitude	קו רוחב
Latvia	לטביה
Latvia	קטגוריה:לטביה
Laughter	צחוק
Laurasia	לאוראסיה
Lausanne	לוזאן
Lava	לבה
Law	משפטים
Law	קטגוריה:חוק ומשפט
Law enforcement	קטגוריה:משטרות
Lawrencium	לורנציום
Lawyer	עורך דין
Lazio	לאציו
Le Corbusier	לה קורבוזיה
Lead	עופרת
Leaf	עלה
League of Nations	חבר הלאומים
Leaning Tower of Pisa	מגדל פיזה
Leap year	שנה מעוברת
Learning	למידה
Lebanon	לבנון
Lebanon	קטגוריה:לבנון
Leda (mythology)	לדה (מיתולוגיה)
Lee Harvey Oswald	לי הארווי אוסוואלד
Leeds	לידס
Left-handed	שמאליות
Legend	סיפור עם
Legislature	פרלמנט
Lego	לגו
Leicester	לסטר
Leiden	ליידן
Leipzig	לייפציג
Lemon	לימון
Lena River	לנה
Length	אורך
Lens (optics)	עדשה
Lent	התענית
Lentil	עדשה תרבותית
Leo (constellation)	אריה (קבוצת כוכבים)
Leon Trotsky	לאון טרוצקי
Leonard Bernstein	ליאונרד ברנשטיין
Leonardo da Vinci	לאונרדו דה וינצ'י
Leonhard Euler	לאונרד אוילר
Leonid Brezhnev	ליאוניד ברז'נייב
Leopard	נמר
Lepidoptera	פרפראים
Leprosy	צרעת
Lepton	לפטון
Lepus (constellation)	ארנבת (קבוצת כוכבים)
Lesbian	לסביות
Lesotho	לסוטו
Lesotho	קטגוריה:לסוטו
Lesser Antilles	האנטילים הקטנים
Leto	לטו
Letter (alphabet)	אות
Leukemia	לוקמיה
Levant	לבנט
Lever	מנוף (מכניקה)
Leviathan	לווייתן (מיתולוגיה)
Leviticus	ויקרא
Lewis Carroll	לואיס קרול
Lhasa	להסה
Lhotse	להוטסה
Liberalism	ליברליזם
Liberalism	קטגוריה:ליברליזם
Liberation Tigers of Tamil Eelam	הנמרים הטמילים
Liberia	ליבריה
Liberia	קטגוריה:ליבריה
Libra (constellation)	מאזניים (קבוצת כוכבים)
Library	ספרייה
Library science	מדעי המידע
Libretto	לברית
Libreville	ליברוויל
Libya	לוב
Libya	קטגוריה:לוב
Lichen	חזזית
Lie	שקר לבן
Liechtenstein	ליכטנשטיין
Liechtenstein	קטגוריה:ליכטנשטיין
Lieutenant	לוטננט
Life	חיים
Light	אור
Light-emitting diode	דיודה פולטת אור
Light-year	שנת אור
Lighter	מצית
Lighthouse	מגדלור
Lightning	ברק
Liguria	ליגוריה
Liliaceae	שושניים
Lilith	לילית (מיתולוגיה)
Lille	ליל
Lilongwe	לילונגווה
Lima	לימה
Limerick	לימריק
Limestone	אבן גיר
Limit (mathematics)	גבול (מתמטיקה)
Limnology	לימנולוגיה
Lincoln	לינקולן (נברסקה)
Lincoln	לינקולן
Line (mathematics)	ישר
Linear algebra	אלגברה לינארית
Linear algebra	קטגוריה:אלגברה לינארית
Linear equation	משוואה לינארית
Lingua franca	לינגואה פרנקה
Linguistics	בלשנות
Linguistics	קטגוריה:בלשנות
Linus Pauling	לינוס פאולינג
Linux	לינוקס
Linz	לינץ
Lion	אריה
Lipid	ליפיד
Liqueur	ליקר
Liquid	נוזל
Liquid crystal display	LCD
Lisbon	ליסבון
Lise Meitner	ליזה מייטנר
Lisp (programming language)	LISP
Literacy	אוריינות
Literature	ספרות
Literature	קטגוריה:ספרות
Literature	פורטל:ספרות
Lithium	ליתיום
Lithography	הדפס אבן
Lithosphere	ליתוספירה
Lithuania	ליטא
Lithuania	קטגוריה:ליטא
Litre	ליטר
Little Owl	כוס החורבות
Liverpool	ליברפול
Livy	טיטוס ליוויוס
Lizard	לטאות
Ljubljana	ליובליאנה
Llama	למה מצויה
Loanword	שאילת מילים
Local area network	רשת מקומית
Loch Ness	לוך נס
Loch Ness Monster	המפלצת מלוך נס
Locomotive	קטר
Logarithm	לוגריתם
Logic	לוגיקה
Logic	קטגוריה:לוגיקה
Logic gate	שער לוגי
Logistics	לוגיסטיקה
Logo	לוגו
Loki	לוקי
Lolita	לוליטה
Lombardy	לומברדיה
London	לונדון
London	קטגוריה:לונדון
Long Beach	לונג ביץ'
Long Island	לונג איילנד
Long jump	קפיצה לרוחק
Long-eared Owl	ינשוף עצים
Lope de Vega	לופה דה וגה
Lord's Prayer	תפילת האדון
Lorraine (region)	לורן
Los Angeles	לוס אנג'לס
Loudspeaker	רמקול
Louis Aragon	לואי אראגון
Louis Armstrong	לואי ארמסטרונג
Louis Braille	לואי ברייל
Louis Pasteur	לואי פסטר
Louis the Pious	לואי החסיד
Louis the Stammerer	לואי השני, מלך צרפת
Louisiana	לואיזיאנה
Louisiana	קטגוריה:לואיזיאנה
Louisville	לואיוויל
Louvre	מוזיאון הלובר
Love	אהבה
Low German	סקסונית תחתית
Lower Saxony	סקסוניה התחתונה
Luanda	לואנדה
Lublin	לובלין
Lucerne	לוצרן
Luciano Pavarotti	לוצ'אנו פבארוטי
Lucifer	לוציפר
Lucretius	לוקרטיוס
Lucrezia Borgia	לוקרציה בורג'ה
Ludwig Boltzmann	לודוויג בולצמן
Ludwig Mies van der Rohe	לודוויג מיס ון דר רוהה
Ludwig Wittgenstein	לודוויג ויטגנשטיין
Ludwig van Beethoven	לודוויג ואן בטהובן
Luftwaffe	לופטוואפה
Luigi Galvani	לואיג'י גלווני
Luigi Pirandello	לואיג'י פיראנדלו
Lumen (unit)	לומן
Luminescence	לומינסנציה
Lunar eclipse	ליקוי ירח
Lung	ריאה
Lung cancer	סרטן הריאה
Lungfish	דגי ריאות
Lupus (constellation)	זאב (קבוצת כוכבים)
Lusaka	לוסקה
Lusitania	לוסיטניה (פרובינקיה רומית)
Lute	לאוטה
Lutetium	לוטציום
Lutheranism	לותרניזם
Lux	לוקס
Luxembourg	לוקסמבורג
Luxembourg	קטגוריה:לוקסמבורג
Luxembourg (city)	לוקסמבורג (עיר)
Luxor	לוקסור
Lychee	ליצ'י
Lydia	לידיה
Lymphatic system	מערכת הלימפה
Lynx (constellation)	לינקס (קבוצת כוכבים)
Lyon	ליון
Lyra	נבל (קבוצת כוכבים)
Lysergic acid diethylamide	LSD
Lysine	ליזין
Lysosome	ליזוזום
M	M
M-theory	תורת M
MESSENGER	MESSENGER
MIME	Multipurpose Internet Mail Extensions
Macau	מקאו
Macbeth	מקבת'
Macedon	מוקדון
Macedonia	מקדוניה (פירושונים)
Macedonia (Greece)	מקדוניה היוונית
Mach number	מספר מאך
Machine	מכונה
Machine code	שפת מכונה
Machine gun	מקלע
Machine translation	תרגום מכונה
Machu Picchu	מאצ'ו פיצ'ו
Macintosh	מקינטוש
Macroeconomics	מקרו-כלכלה
Madagascar	מדגסקר
Madagascar	קטגוריה:מדגסקר
Madeira	מדיירה
Madison	מדיסון
Madonna (entertainer)	מדונה
Madrid	מדריד
Madrid (autonomous community)	מדריד (קהילה אוטונומית)
Mafia	מאפיה (פשע מאורגן)
Magazine	כתב עת
Magenta	מג'נטה
Maghreb	מגרב
Magic (paranormal)	כישוף
Magic square	ריבוע קסם
Maginot Line	קו מאז'ינו
Magma	מאגמה
Magna Carta	מגנה כרטה
Magnesium	מגנזיום
Magnet	מגנט
Magnetic field	שדה מגנטי
Magnetic resonance imaging	דימות תהודה מגנטית
Magnetism	מגנטיות
Magnetite	מגנטיט
Magnifying glass	זכוכית מגדלת
Magnoliopsida	קטגוריה:דו-פסיגיים קדומים
Maharashtra	מהרשטרה
Mahatma Gandhi	מוהנדס קרמצ'נד גאנדי
Mahayana	מהיינה
Mail	דואר
Maimonides	רמב"ם
Main	מיין (נהר)
Main	תבנית:הפניה לערך מורחב
Maine	מיין
Maine	קטגוריה:מיין
Mainframe computer	מחשב מרכזי
Maize	תירס
Major scale	סולם מז'ורי
Majorca	מיורקה
Makalu	מקלו
Malabo	מלאבו
Malachite	מלכיט
Malacostraca	סרטנים עילאיים
Malaria	מלריה
Malawi	קטגוריה:מלאווי
Malay Peninsula	חצי האי המלאי
Malayan Tapir	טפיר אסייתי
Malaysia	מלזיה
Malaysia	קטגוריה:מלזיה
Malcolm X	מלקולם אקס
Maldives	האיים המלדיביים
Maldives	קטגוריה:המלדיביים
Mali	מאלי
Mali	קטגוריה:מאלי
Mallard	ברכיה (עוף)
Malta	מלטה
Malta	קטגוריה:מלטה
Maltese language	מלטית
Maltose	מלטוז
Mammal	יונקים
Mammoth	ממותה
Management	ניהול
Managua	מנגואה
Manama	מנאמה
Manatee	תחש נהרות
Manchester	מנצ'סטר
Manchuria	מנצ'וריה
Mandala	מנדלה
Mandarin (linguistics)	מנדרינית
Mandarin orange	מנדרינה
Mandelbrot set	קבוצת מנדלברוט
Manganese	מנגן
Mango	מנגו
Mangrove	מנגרובים
Manhattan	מנהטן
Manhattan Project	פרויקט מנהטן
Manichaeism	מניכאיזם
Manila	מנילה
Manipur	מאניפור
Manitoba	מניטובה
Mannerism	מנייריזם
Mannheim	מנהיים
Mantle (geology)	מעטפת כדור הארץ
Mantra	מנטרה
Mantua	מנטובה
Manuel de Falla	מנואל דה פאיה
Manuscript	כתב יד (מקור)
Mao Zedong	מאו דזה דונג
Map	מפה
Maple	אדר (עץ)
Maputo	מפוטו
Marathon	ריצת מרתון
Marble	שיש
Marc Chagall	מארק שאגאל
Marcel Duchamp	מרסל דושאן
Marcel Marceau	מרסל מרסו
Marcel Proust	מרסל פרוסט
March	מרץ
March 17	17 במרץ
March 19	19 במרץ
March 2	2 במרץ
March 25	25 במרץ
Marche	מארקה
Marco Polo	מרקו פולו
Marcus Aurelius	מרקוס אורליוס
Marcus Junius Brutus	מרקוס יוניוס ברוטוס
Marcus Vipsanius Agrippa	מרקוס ויפסניוס אגריפה
Marduk	מרדוך
Margaret Mead	מרגרט מיד
Margaret Mitchell	מרגרט מיצ'ל
Margaret Thatcher	מרגרט תאצ'ר
Maria Callas	מריה קאלאס
Mariana Islands	איי מריאנה
Marie Antoinette	מארי אנטואנט
Marie Curie	מארי קירי
Mariehamn	מריהמן
Marilyn Monroe	מרילין מונרו
Mario Vargas Llosa	מריו ורגאס יוסה
Mark Antony	מרקוס אנטוניוס
Mark Twain	מארק טוויין
Market	שוק (כלכלה)
Marketing	שיווק
Marketing	קטגוריה:שיווק
Marlene Dietrich	מרלן דיטריך
Marquis de Sade	המרקיז דה סאד
Marrakech	מרקש
Marriage	נישואים
Mars	קטגוריה:מאדים
Mars (disambiguation)	מרס
Mars (mythology)	מרס (מיתולוגיה)
Marseille	מרסיי
Marshall Islands	איי מרשל
Marshall Islands	קטגוריה:איי מרשל
Marshall Plan	תוכנית מרשל
Marsupial	חיות כיס
Martin Buber	מרטין בובר
Martin Heidegger	מרטין היידגר
Martin Luther	מרטין לותר
Martin Luther King	מרטין לותר קינג
Martin Scorsese	מרטין סקורסזה
Martin Van Buren	מרטין ון ביורן
Martina Navratilova	מרטינה נברטילובה
Martinique	מרטיניק
Martyr	מרטיר
Marx Brothers	האחים מרקס
Marxism	מרקסיזם
Marxism	קטגוריה:מרקסיזם
Mary (mother of Jesus)	מרים, אם ישו
Mary Magdalene	מרים המגדלית
Mary Shelley	מרי שלי
Mary Wollstonecraft	מרי וולסטונקראפט
Maryland	מרילנד
Maryland	קטגוריה:מרילנד
Maseru	מסרו
Mashhad	משהד
Mass	מסה
Mass (liturgy)	מיסה
Mass number	מספר מסה
Massachusetts	מסצ'וסטס
Massachusetts	קטגוריה:מסצ'וסטס
Massachusetts Institute of Technology	המכון הטכנולוגי של מסצ'וסטס
Masturbation	אוננות
Mata Hari	מאטה הארי
Match	גפרור
Materialism	מטריאליזם
Mathematical logic	לוגיקה מתמטית
Mathematical logic	קטגוריה:לוגיקה מתמטית
Mathematical proof	הוכחה
Mathematics	מתמטיקה
Mathematics	קטגוריה:מתמטיקה
Mathematics	פורטל:מתמטיקה
Matrix (mathematics)	מטריצה
Matter	חומר
Matterhorn	מטרהורן
Mauna Loa	מאונה לואה
Maurice Ravel	מוריס ראוול
Mauritania	מאוריטניה
Mauritania	קטגוריה:מאוריטניה
Mauritius	מאוריציוס
Mauritius	קטגוריה:מאוריציוס
Max Born	מקס בורן
Max Bruch	מקס ברוך
Max Ernst	מקס ארנסט
Max Planck	מקס פלאנק
Max Weber	מקס ובר
Maxwell's equations	משוואות מקסוול
May	מאי
May 1	1 במאי
May 24	24 במאי
Mayfly	בריומאים
Mayonnaise	מיונז
Mayor	ראש עירייה
Mbabane	מבבנה
McCarthyism	מקארתיזם
Mead	תמד
Measles	חצבת
Measure (mathematics)	מידה (מתמטיקה)
Measurement	מדידה
Meat	בשר (מזון)
Mecca	מכה
Mechanical engineering	הנדסת מכונות
Mechanical engineering	קטגוריה:הנדסת מכונות
Mechanics	קטגוריה:מכניקה
Medea	מדיאה
Median	חציון
Medication	תרופה
Medici	בית מדיצ'י
Medicine	רפואה
Medicine	קטגוריה:רפואה
Medina	אל-מדינה
Meditation	מדיטציה
Mediterranean	קטגוריה:הים התיכון
Mediterranean Sea	הים התיכון
Medusa	מדוזה (מיתולוגיה)
Meerkat	סוריקטה
Meiosis	מיוזה
Meister Eckhart	מייסטר אקהרט
Meitnerium	מייטנריום
Mekong	מקונג
Mel Gibson	מל גיבסון
Melanesia	מלנזיה
Melody	מלודיה
Melpomene	מלפומנה
Melting	התכה
Melting point	נקודת התכה
Meme	מם
Memory	זיכרון
Memphis	ממפיס
Menachem Begin	מנחם בגין
Mendelevium	מנדלביום
Menelaus	מנלאוס (מלך ספרטה)
Meningitis	דלקת קרום המוח
Mensa (constellation)	הר השולחן (קבוצת כוכבים)
Menstrual cycle	וסת
Menstruation	וסת
Mental disorder	מחלת נפש
Mentha	נענע
Mercantilism	מרקנטיליזם
Mercenary	שכיר חרב
Mercury	מרקורי
Mercury (element)	כספית
Mercury (mythology)	מרקורי (מיתולוגיה)
Mercury (planet)	כוכב חמה
Meridian (geography)	מרידיאן
Mermaid	בת ים (מיתולוגיה)
Merovingian	השושלת המרובינגית
Meryl Streep	מריל סטריפ
Mescaline	מסקלין
Mesolithic	תקופת האבן התיכונה
Meson	מזון (חלקיק)
Mesopotamia	ארם נהריים
Mesopotamia	קטגוריה:מסופוטמיה
Mesosphere	מזוספירה
Mesozoic	מזוזואיקון
Messenger RNA	MRNA
Messiah	משיח (דתות)
Messina	מסינה
Metabolism	מטבוליזם
Metal	מתכת
Metallic bond	קשר מתכתי
Metalloid	מתכות למחצה
Metallurgy	מטלורגיה
Metallurgy	קטגוריה:מטלורגיה
Metamorphic rock	סלע מותמר
Metaphor	מטאפורה
Metaphysics	מטאפיזיקה
Metaphysics	קטגוריה:מטאפיזיקה
Metastasis	גרורה
Meteor shower	מטר מטאורים
Meteorite	מטאוריט
Meteoroid	מטאורואיד
Meteorology	קטגוריה:מטאורולוגיה
Meteorology	מטאורולוגיה
Methadone	מתאדון
Methamphetamine	מתאמפטמין
Methanol	מתנול
Methionine	מתיונין
Methodism	מתודיזם
Metis (moon)	מטיס (ירח)
Metonymy	מטונימיה
Metre	מטר
Metric space	מרחב מטרי
Meuse River	מז
Mexico	מקסיקו
Mexico	קטגוריה:מקסיקו
Mexico City	מקסיקו סיטי
Miami	מיאמי
Mica	נציץ
Michael (archangel)	מיכאל
Michael Faraday	מייקל פאראדיי
Michel Ney	מישל ניי
Michelangelo	מיכלאנג'לו
Michigan	מישיגן
Michigan	קטגוריה:מישיגן
Mick Jagger	מיק ג'אגר
Mickey Mouse	מיקי מאוס
Microbiology	מיקרוביולוגיה
Microbiology	קטגוריה:מיקרוביולוגיה
Microeconomics	מיקרו-כלכלה
Microeconomics	קטגוריה:מיקרו-כלכלה
Micronesia	מיקרונזיה (אזור)
Microorganism	מיקרואורגניזם
Microphone	מיקרופון
Microscope	מיקרוסקופ
Microscopium	מיקרוסקופ (קבוצת כוכבים)
Microwave	מיקרוגל
Microwave oven	תנור מיקרוגל
Middle Ages	ימי הביניים
Middle Ages	קטגוריה:ימי הביניים
Middle East	המזרח התיכון
Middle East	קטגוריה:המזרח התיכון
Migraine	מיגרנה
Miguel de Cervantes	מיגל דה סרוואנטס
Mike Tyson	מייק טייסון
Mikhail Bakunin	מיכאיל באקונין
Mikhail Glinka	מיכאיל גלינקה
Mikhail Gorbachev	מיכאיל גורבצ'וב
Milan	מילאנו
Mile	מיל (יחידת מידה)
