English	Slovenian
duration of sunshine	trajanje sončnega obsevanja
dust	prah
dust removal	odstranjevanje prahu
dwelling	bivališče
dye	barva, barvilo
dyke	nasip
dyke reinforcement	utrjevanje nasipov
dysprosium	disprozij
ear	uho
early	zgodaj
early warning system	sistem zgodnjega opozarjanja
earth ; Earth ; the world ; Blue Planet	Zemlja
earth science	vede o Zemlji
earth's crust ; crust ; Earth's crust	zemeljska skorja
earthquake	potres
earthworm	deževnik, mnogoščetinci (Oligochaeta)
earwig	strigalica (Dermaptera) ; strigalica
easement	služnost, služnostna pravica
echinoderm	iglokožci (Echinodermata)
eco-paediatrics	ekopediatrija
ecocatastrophe	ekološka katastrofa
ecodevelopment	ekološki razvoj
ecolabel	ekonalepka
ecolabelling	ekološko označevanje
ecological abundance	ekološko obilje
ecological adaptation	ekološka prilagoditev
ecological assessment	ocena ekoloških razmer
ecological balance	ekološko ravnovesje
ecological bookkeeping	ekološko knjigovodstvo
ecological carrying capacity	ekološka nosilnost (sprejemljivost okolja)
ecological community	ekološka združba
ecological factor	ekološki dejavnik, ekološki faktor ; ekološki dejavnik ; ekološki faktor
ecological inequality	ekološka neenakost
ecological niche	ekološka niša
ecological parameter	ekološki parameter
ecological stocktaking	okoljski pregled (v podjetju)
ecologically sensitive area	ekološko občutljivo območje
ecologist movement	ekološko gibanje
ecology	ekologija
ecomarketing	ekološko trgovanje
ecomuseum	ekomuzej
economic activity	gospodarska dejavnost
economic analysis	ekonomska analiza
economic competition	gospodarska konkurenca
economic concentration	ekonomska koncentracija
economic data	ekonomski podatki
economic development	gospodarski razvoj
economic forecasting	ekonomsko predvidevanje
economic geography	ekonomska geografija
economic growth	gospodarska rast
economic incentive	gospodarska spodbuda
economic instrument	ekonomski inštrument
economic management instrument	inštrument ekonomskega upravljanja
economic plan	gospodarski načrt
economic planning	gospodarsko načrtovanje
economic policy	gospodarska politika
economic region	gospodarska/ekonomska regija
economic rights	ekonomske/gospodarske pravice
economic science ; economics	ekonomija
economic sector	gospodarski sektor
economic situation	gospodarske razmere
economic structure	gospodarska struktura in infrastruktura
economic support	ekonomska podpora
economic system	gospodarski/ekonomski sistem
economic theory	ekonomska teorija
economic trend	gospodarski trend, gospodarsko gibanje ; gospodarski trend ; gospodarsko gibanje
economic viability	sposobnost/zmožnost ekonomskega preživetja
economical-ecological efficiency	ekonomsko-ekološka učinkovitost
economy	ekonomija ; gospodarstvo, ekonomija ; gospodarstvo
ecophysiology	ekofiziologija
ecosystem	ekosistem
ecosystem analysis	analiza ekosistema
ecosystem degradation	poslabšanje/uničenje ekosistema
ecosystem research	raziskovanje ekosistemov
ecosystem type	vrsta ekosistema
ecotourism	ekoturizem
ecotoxicity	ekotoksičnost
ecotoxicological evaluation	ekotoksikološka ocena
ecotoxicology	ekotoksikologija
ecotype	ekotip
ecozone	ekološko območje, ekocona
edaphology	edafologija
edible	užiten
edible fat	jedilne maščobe
education	izobraževanje
education policy	izobraževalna politika
educational institution	izobraževalna ustanova
educational path	učna pot
educational planning	načrtovanje izobraževanja
educational system	izobraževalni sistem
effect	vpliv, posledica, učinek ; vpliv ; posledica
effect on health	vpliv na zdravje
effect on man	vpliv na človeka
effect on the environment ; environmental consequence	okoljska posledica ; vpliv na okolje
efficiency criterion	kriterij učinkovitosti
efficiency level	stopnja učinkovitosti
effluent	odplaka
egg	jajce
einsteinium	ajnštajnij
elasticity	elastičnost
elder ; elderberry	bèzeg
elderly person	starejša oseba
electric battery	električni akumulator
electric line ; power line	električni vodi, energetski vodi
electric power	električna moč
electric power plant	elektrarna
electric power supply	oskrba z električno energijo
electric vehicle	vozilo na električni pogon
electrical engineering	elektroinženiring
electrical goods industry	industrija električnih izdelkov
electrical industry	proizvodnja električne energije
electricity	elektrika
electricity company	podjetje za proizvodnjo in distribucijo električne energije
electricity consumption	poraba električne energije
electricity generation	proizvodnja električne energije
electricity generation cost	stroški proizvodnje električne energije
electricity supply industry	oskrba z električno energijo
electrokinetics	elektrokinetika
electrolysis	elektroliza
electromagnetism	elektrika in magnetizem
electronic information network	elektronsko informacijsko omrežje
electronic mail ; email ; e-mail	elektronska pošta
electronic material	elektronski material
electronic scrap	elektronski odpadki
electronic scrap regulation	predpis o elektronskih odpadkih
electronics	elektronika
electrosmog	elektrosmog
electrotechnical equipment	elektrotehnična oprema
electrotechnical industry	elektrotehnična industrija
element of group 0 ; noble gas	element skupine 0
element of group II (alkaline earth metals) ; alkaline earth metal ; element of group II	element 2. skupine (zemljoalkalijske kovine) ; element 2. skupine ; zemljoalkalijske kovine
element of group III	element 3. skupine
element of group IV	element 4. skupine
element of group V	element 5. skupine
element of group VI	element 6. skupine
element of group VII ; halogen	element 7. skupine
emancipation	emancipacija
embassy ; diplomatic mission	veleposlaništvo
embryo	zarodek
embryogenesis	embriogeneza, razvoj zarodka
emergency law	zakon o izrednih razmerah
emergency plan	načrt ravnanja v izrednih razmerah
emergency relief	pomoč v izrednih razmerah
emergency shelter	zatočišče/zavetišče za ljudi v izrednih razmerah
emission	emisija
emission control	omejevanje emisij
emission data	podatki o emisijah
emission factor	emisijski faktor
emission forecast	predvidevanje emisij
emission reduction	zmanjšanje emisij
emission reduction banking	beleženje zmanjšanja emisij (trgovanje z emisijami)
emission register	register emisij
emission situation	stanje na področju emisij
emission source	emisijski vir
emission standard	emisijski standard
emission to water	emisije v vodo
employment	zaposlitev, služba
employment ; employment ; job ; job ; occupation ; work ; work	poklic ; zaposlitev
employment and environment	zaposlenost in okolje
employment level effect	učinek stopnje zaposlenosti
employment structure	zaposlitvena struktura
empty	prazen
emulsification	emulgiranje
emulsion	emulzija
encapsulation	enkapsulacija
encyclopaedia	enciklopedija
end-of-pipe technology	tehnologija odpravljanja posledic
endangered animal species	ogrožena živalska vrsta
endangered plant species	ogrožena rastlinska vrsta
endemic species	endemična vrsta
endocrine system	endokrini sistem
endocrinology	endokrinologija
enemy	sovražnik
energy	energija
energy balance	energijska bilanca
energy consumption	poraba energije
energy conversion	pretvorba energije
energy demand	energetske potrebe
energy dissipation	izguba energije
energy distribution system	sistem za distribucijo energije
energy economics	energetika
energy efficiency	energijska učinkovitost
energy industry	energetika
energy legislation	energetska zakonodaja
energy management	gospodarjenje/upravljanje z energijo
energy market	energetski trg
energy policy	energetska politika
energy process	energetski proces
energy production	proizvodnja energije
energy resource	energetski vir, vir energije
energy saving	varčevanje z energijo
energy source	energetski vir, vir energije
energy source material	energetski vir
energy storage	energetske zaloge
energy supply	oskrba z energijo
energy technology	energetska tehnologija
energy type	vrsta energije
energy utilisation ; energy use	izkoriščanje energije
enforcement	izvršitev, uveljavitev ; izvršitev ; uveljavitev
engine	stroj, motor
engineering	inženirstvo
engineering work	inženirsko delo
enlargement policy	politika širitve
enlargement programme	program širitve
enriched uranium	obogateni uran
enrichment	obogatitev
enterovirus	enterovirus
environment	okolje
environment friendly	okolju prijazen
environment market	okoljski trg
environmental accident	okoljska nezgoda/nesreča
environmental accounting	okoljsko računovodstvo
environmental administration institution	upravna inštitucija/organ za okolje ; upravna inštitucija ; organ za okolje
environmental analysis	okoljska analiza
environmental anxiety	zaskrbljenost zaradi stanja okolja
environmental aspect of human settlements	okoljski vidik naselij
environmental assessment	okoljska presoja/ocena
environmental assessment criterion	kriterij okoljske presoje/ocene
environmental auditing	okoljski pregled
environmental awareness	okoljska ozaveščenost
environmental change	spremembe v okolju
environmental chemicals legislation	zakonodaja, ki ureja prisotnost kemikalij v okolju
environmental chemistry	okoljska kemija
environmental citizenship	okoljsko državljanstvo
environmental compatibility	okoljska neoporečnost
environmental consequence	okoljska posledica
environmental conservation	ohranjanje okolja
environmental contingency planning	načrt ravnanja v primeru ekoloških nesreč
environmental control	ukrepi za varstvo okolja
environmental cost	okoljski stroški
environmental crime	okoljski kriminal
environmental criminal law	okoljsko kazensko pravo
environmental criminality	okoljski kriminal
environmental criterion	okoljski kriterij
environmental culture	okoljska kultura
environmental damage	škoda, povzročena v okolju, okoljska škoda
environmental data	podatki o okolju
environmental development	razvoj na področju varstva okolja
environmental economic valuation	ekonomsko vrednotenje/ocena (na področju varstva okolja)
environmental economics	okoljska ekonomija/ekonomika
environmental economics of firms	okoljska ekonomika podjetij
environmental economy issue	okoljskogospodarska vprašanja
environmental education	okoljsko izobraževanje
environmental engineering	okoljsko inženirstvo
environmental enterprise	podjetje za okoljsko svetovanje
environmental ethics	okoljska etika
environmental friendly procurement	sonaravna preskrba
environmental fund	okoljski sklad
environmental hazard	okoljsko tveganje
environmental health	higiena okolja
environmental health hazard	okoljsko zdravstveno tveganje
environmental health impact assessment	ocena vplivov okolja na zdravje
environmental health protection	varovanje zdravja pred vplivi okolja
environmental history	okoljska zgodovina
environmental impact	vpliv na okolje
environmental impact of agriculture	vpliv kmetijstva na okolje
environmental impact of aquaculture	vpliv akvakulture na okolje
environmental impact of energy	vpliv energetike na okolje
environmental impact of fishing	vpliv ribištva na okolje
environmental impact of forestry	vpliv gozdarstva na okolje
environmental impact of households	vpliv gospodinjstev na okolje
environmental impact of industry	vpliv industrije na okolje
environmental impact of recreation	vpliv rekreacije na okolje
environmental impact of tourism	vpliv turizma na okolje
environmental impact of transport	vpliv prometa na okolje
environmental impact statement	poročilo o vplivih na okolje
environmental impact study	študija vplivov na okolje
environmental incentive	okoljska spodbuda
environmental index	seznam okoljske literature
environmental indicator	okoljski kazalec, okoljski indikator
environmental industry	dejavnosti za varstvo okolja
environmental informatics	okoljska informatika
environmental information	okoljske informacije
environmental information network	mreža okoljskih informacij
environmental information system	okoljski informacijski sistem
environmental investment	okoljska naložba
environmental law	zakon s področja varstva okolja
environmental law enforcement	uveljavljanje okoljske zakonodaje
environmental legislation	okoljska zakonodaja
environmental legislation on agriculture	okoljska zakonodaja na področju kmetijstva
environmental legislative process	okoljski zakonodajni proces
environmental liability	okoljska odgovornost
environmental licence	okoljska licenca (trgovanje z emisijami)
environmental management	ravnanje z okoljem
environmental medicine	okoljska medicina
environmental misconduct	okolju neustrezno ravnanje
environmental monitoring	okoljski monitoring, spremljanje stanja v okolju
environmental noise	hrup okolja
environmental occupation	poklic na področju varstva okolja
environmental perception	zaznavanje okolja
environmental plan	načrt varstva okolja
environmental planning	okoljsko načrtovanje
environmental policy	okoljska politika ; politika varstva okolja, okoljska politika
environmental policy instrument	inštrument okoljske politike
environmental pollution	onesnaženje okolja
environmental priority	okoljska prioriteta
environmental problem solving	reševanje okoljskih problemov
environmental programme	okoljski program
environmental protection	varovanje/zaščita okolja
environmental protection agency	agencija/urad za varstvo okolja ; agencija za varstvo okolja ; urad za varstvo okolja
environmental protection association	društvo za varstvo okolja
environmental protection cost	stroški varstva okolja
environmental protection in the enterprise	ukrepi za varstvo okolja v podjetju
environmental protection order	odredba/uredba o varstvu okolja
environmental protection organisation	organizacija za varstvo okolja
environmental protection regulation	predpisi s področja varstva okolja
environmental protection technology	okolju primerna tehnologija
environmental psychology	okoljska psihologija
environmental quality	kakovost okolja
environmental quality criterion	kriterij kakovosti okolja
environmental quality objective	cilj kakovosti okolja
environmental quality standard	standard/normativ zdravega življenjskega okolja
environmental report	okoljsko poročilo
environmental research	okoljska raziskava/študija
environmental risk	okoljsko tveganje
environmental risk assessment	ocena okoljskega tveganja
environmental science	okoljska znanost
environmental security	okoljska varnost
environmental specimen bank	okoljska banka vzorcev/primerkov
environmental statement (eco-audit) ; environmental statement ; eco-audit	okoljska ocena (okoljski pregled) ; okoljski pregled ; okoljska ocena
environmental statistics	statistični podatki o okolju
environmental stock exchange	okoljska borza
environmental study	presoja vplivov na okolje
environmental subsidy	okoljska subvencija
environmental sustainable architecture	okolju prijazna arhitektura
environmental tax	okoljski davek
environmental teaching	okoljsko izobraževanje
environmental technology	okoljska tehnologija
environmental terminology	okoljska terminologija
environmental training	okoljsko usposabljanje, usposabljanja na področju varstva okolja
environmental warfare	okoljska/ekološka vojna
environmentalism	teorija o okolju
environmentally dangerous substance	okolju nevarna snov
environmentally friendly management	sonaravno ravnanje z okoljem
environmentally friendly product	okolju primeren (sonaraven) izdelek
environmentally related disease	z okoljem povezana bolezen
environmentally responsible behaviour	odgovorno vedenje do okolja
environmentally unfriendly firm	okolju neprilagojeno podjetje
enzyme	encim
epicentre	epicenter
epidemic	epidemija
epidemiology	epidemiologija
equation	enačba
equator	ekvator
equatorial climate	ekvatorialno podnebje
equine	konji (Equidae)
equipment	oprema
equivalent dose	ekvivalentna doza
erbium	erbij
ergonomics	ergonomija
erosion	erozija
erosion control	preprečevanje erozije
estate rental	oddaja nepremičnine v najem
estimate	ocena
estuarine biology	biologija rečnih ustij
estuarine conservation area	zavarovano območje rečnega ustja
estuary	rečno ustje, estuar
estuary pollution	onesnaženje rečnih ustij
etching	jedkanje
etching substance	jedka snov, jedkovina
ethanol	etanol
ether	eter
ethics	etika, morala ; etika ; morala
ethnology	etnologija
ethology	etologija
europium	evropij
eutrophication	evtrofikacija
evaluation	vrednotenje
evaluation criterion	kriterij vrednotenja
evaluation method	metoda vrednotenja
evaluation of technology	vrednotenje tehnologije
evaporation	izhlapevanje, evaporacija
evapotranspiration	evapotranspiracija
evolution	razvoj, evolucija
exact science	eksaktna veda/znanost
excavated hole	(izkopana) jama ; jama
excavation (process) ; excavation ; earthworks ; digging	izkopavanje, izkop (proces) ; izkopavanje ; izkop
excavation heap	kup (izkopanega materiala)
excavation side	pobočje izkopa
excavation site	mesto izkopa
exceptional tax	izredni davek, izredna dajatev
excessive height of chimney stacks	previsoki dimniki
exchange policy	trgovinska politika
executive order	izvršna odredba/uredba
exhaust device	izpuh
exhaust gas	izpušni plin
exhibit	predstavitev, razstava
existing chemical	obstoječa kemikalija
exotic species	tujerodne vrste
expenditure	izdatek, odhodek, (s stroški povezana) poraba ; izdatek ; odhodek ; poraba
experiment	poskus, eksperiment
experimental study	eksperimentalna študija/raziskava
expert system	ekspertni sistem
exploitation of underground water	črpanje podtalnice
exploration	raziskovanje, preučevanje
explosion	eksplozija
explosive	razstrelivo, eksploziv
export	izvoz
export licence	izvozno dovoljenje
export of hazardous wastes	izvoz nevarnih odpadkov
exposure	izpostavljenost
expropriation	razlastitev
extensive cattle farming	ekstenzivna živinoreja
externality	zunanji stroški
extinct species	izumrle vrste
extinction (ecological) ; extinction	izumrtje
extraction	izlužitev, ekstrakcija ; izlužitev ; ekstrakcija
extractive industry	ekstraktivna industrija
eye	oko
eyebrow	obrv
fabric	tkanina, blago ; blago ; tkanina
factor market	tržni dejavnik
factory farming	farmska reja
faecal bacterium	fekalna bakterija
fallout	usedanje
fallow area	površine v prahi
family	družina
family law	družinsko pravo
family planning	načrtovanje družine
famine	lakota
farm	farma ; kmetija
farm animal	živina na kmetiji
farm building	kmečka hiša
farm price	cena kmetijskega proizvoda/storitve
farming technique	kmetijska tehnika
fast reactor	hitri reaktor
fast traffic	hitri promet
fault	prelom
fauna	živalstvo, favna ; živalstvo ; favna
fauna restoration	ponovna vzpostavitev naravnega stanja
federal authority	zvezna uprava, upravni organ
federal government	zvezna vlada
federal law	zvezni zakon
fee	plačilo (za storitev), honorar ; plačilo ; honorar
feeding of animals	hranjenje/krmljenje živali
feeling for nature	zavest o naravi
felid	mačke (Felidae) ; mačke
female ; woman	ženska
fen	nizko barje
fermentation	fermentacija
fern	praprot
ferry	trajekt
fertiliser	umetno gnojilo
fertiliser law	zakon o uporabi umetnih gnojil
fibre	vlakno
fibreglass	stekleno vlakno
field ; land ; land ; acre ; patch	polje
field damage	škoda na polju
field experiment	terenski poskus, poskus na terenu
field study	terenska študija
filling material	polnilo
filling station	bencinska črpalka
film	film
filter	filter
filter cake	filtrna pogača
filtration	filtriranje
final storage	dokončno uskladiščenje
finances	denarna sredstva, finance, denarno gospodarstvo/poslovanje
financial aid	finančna pomoč
financial assistance	finančna podpora, finančna pomoč
financial compensation	finančna izravnava ; finančna kompenzacija ; finančno nadomestilo
financial contribution	finančni prispevek
financial fund	finančni sklad
financial instrument	finančni inštrument
financial law	zakon o financah
financial management	finančno gospodarjenje
financial market	finančni trg
financing	financiranje
fine	globa, denarna kazen ; globa ; denarna kazen
fine dust	drobni prah
finger	prst ; prst
fire	ogenj, požar ; požar ; ogenj
fire precaution	protipožarni varnostni ukrepi
fire protection	varstvo pred požari
fire safety requirement	požarna varnost
fire service	požarna služba
fireproofing agent	ognjevzdržna/negorljiva snov
firing	žganje
firm ; corporation ; enterprise ; company ; venture	podjetje, firma ; podjetje ; firma
fish	riba
fish disease	ribja bolezen
fish farming	ribogojstvo
fish kill	pomor rib
fish stock	ribje zaloge
fish toxicity	strupenost rib
fisheries management	upravljanje na področju ribištva in predelave rib
fisheries structure	ribolovna struktura
fishery	ribištvo ; ribištvo in predelava rib
fishery economics	ribolovna ekonomija
fishery policy	ribolovna politika
fishery resource	ribji viri
fishing	ribolov
fishing ground	ribolovno območje
fishing industry	ribiška industrija
fishing law	zakon o ribištvu
fishing licence	ribolovno dovoljenje
fishing preserve	ribolovni rezervat
fishing vessel	ribiška ladja
fitting (plumbing) ; fitting ; plumbing equipment ; plumbing fixtures	vodovodna napeljava
flag of convenience	zastava ugodnosti
flammable product	gorljiv izdelek
flaring	sežig odpadnih plinov
flavouring	ekstrakt, začimba, dišava
flea	bolha
flexible approach to environmental protection	fleksibilen pristop k varstvu okolja
flint ; flintstone	kremen
flocculant	flokulant
flocculation	flokulacija
flood	poplava
flood control	preprečevanje poplav
flood forecast	napovedovanje poplav
flood protection	varstvo pred poplavami
flood runoff	poplavni odtok
flooding	poplavljanje
flora (biology) ; flora	rastlinstvo, flora
flora (document) ; flora	rastlinstrvo, flora (dokument)
flora restoration	vzpostavitev prvotne vegetacije
flotation	flotacija
flow	tok
flow field	tokovno polje
flower ; bloom ; blossom	cvet
flowering plant	cvetnica
flowing water	tekoča voda
flue gas	izpušni plin
fluidics	fluidika
fluidisation	vrtinčenje
fluidised bed	zvrtinčena plast
fluoridation	fluoriranje
fluorine	fluor
flushing	izpiranje
fluvial resource	rečni vir pitne vode
fly ash	elektrofiltrski pepel
foaming agent	penilo
fodder ; provender ; forage	živinska krma
fodder plant	krmna rastlina
fog	megla
foliage	listje
folk tradition	ljudski običaji
folklore	folklora
food	hrana
food additive	živilski aditiv
food chain	prehranjevalna veriga
food commerce	trgovina s hrano
food contamination	zastrupitev hrane
food hygiene	prehrambna higiena
food industry	prehrambna industrija
food irradiation	obsevanje hrane
food pollutant	onesnaževalo živil
food preservation	konzerviranje hrane
food processing industry	živilskopredelovalna industrija
food production (agriculture) ; food production	(kmetijsko) pridelovanje hrane, proizvodnja hrane ; proizvodnja hrane ; pridelovanje hrane
food quality	kakovost hrane
food requirement	potreba po hrani
food science	veda o živilih
food storage	državne rezerve hrane
food technology	prehrambna tehnologija
food transport	prevoz hrane
foodstuff	živilo
footpath	steza, pot
forage contamination	zastrupljanje/kontaminacija krme
forage crop	krmne rastline
forage law	zakon o krmi
ford	brod
forecast	napoved, predvidevanje
foreclosure	sodna razglasitev zapadlosti hipoteke
foreign economic relations	mednarodni ekonomski odnosi
foreign policy	zunanja politika
foreign trade	zunanja trgovina/menjava
forest	gozd
forest biological reserve	gozdni biološki rezervat
forest cover destruction	uničevanje gozdov
forest damage	škoda v gozdovih
forest deterioration	propadanje gozdov
forest ecology	ekologija gozda
forest ecosystem	gozdni ekosistem
forest exploitation	izkoriščanje gozda
forest fire	gozdni požar
forest industry	gozdarstvo
forest management	gospodarjenje z gozdovi
forest pest	gozdni škodljivec
forest policy	gozdarska politika
forest product	gozdni proizvod
forest production	pridobivanje gozdnih proizvodov
forest protection	varstvo gozdov
forest reserve	gozdni rezervat
forest resource	gozdni vir
forestry	gozdarstvo
forestry economics	gozdarska ekonomija
forestry law	zakon o gozdarstvu
forestry legislation	gozdarska zakonodaja
forestry practice	gozdarske aktivnosti
forestry unit	gozdarska enota
fork	vilice
form of government	oblika vladavine, politična ureditev
forwarding agent	odpravnik, špediter
fossil	fosil
fossil fuel	fosilno gorivo
fouling growth	obraščanje (ladijskih trupov)
fountain	vodnjak
four stroke engine	štiritaktni motor
framework legislation	okvirna zakonodaja
francium	francij
free movement of capital	prosti pretok kapitala
free trade	prosta trgovina
freedom	svoboda
freedom ; liberty	svoboda
freight transport	prevoz/transport blaga
freon	freon
freshwater	sladka voda
freshwater degradation	poslabšanje kakovosti sladke vode
freshwater ecosystem	sladkovodni ekosistem
freshwater organism	sladkovodni organizem
freshwater pollution	onesnaženje sladke vode
freshwater resource	sladkovodni vir
frog	žaba (Ranidae) ; žaba
frost	slana
fruit	sadež, sadje ; sadež ; sadje
fruit cultivation	sadjarstvo
fruit tree	sadno drevo
fuel	gorivo
fuel additive	dodatek gorivu
fuel alcohol	pogonski alkohol
fuel composition	kemična sestava goriva
fuel consumption	poraba goriva
fuel oil	kurilno olje
fuel tank installation	rezervoar za gorivo
fuel wood	les za kurjavo, drva
full	poln
fume	dim
fumigation	zaplinjevanje
functional substance	funkcionalna snov
fungicide	fungicid
fungus	goba
fur	kožuh, kožuhovina
fur animal	kožuhar
furan	furan
furnace	peč
furniture	oprema ; pohištvo, oprema ; pohištvo
furniture industry	pohištvena industrija, industrija pohištva
furriery	krznarstvo
gadolinium	gadolinij
gallbladder	žolčnik
gallinacean	kure (Galliformes)
gallium	galij
galvanisation	galvanizacija
game	igra
game	lovski plen
gamma radiation	sevanje gama
garage	garaža
garden	vrt
garden waste	vrtni odpadki
gas	plin
gas chromatography	plinska kromatografija
gas company	plinarna
gas engine	plinski motor
gas liquefaction	utekočinjenje plina
gas mixture	plinska mešanica
gas network	plinovodno omrežje
gas pipeline	plinovod
gas powered plant	plinska elektrarna
gas purification	čiščenje dimnih plinov
gas reservoir	plinski rezervoar
gas supply	oskrba s plinom
gaseous air pollutant	plinasto onesnaževalo zraka
gaseous state	plinasto stanje
gasification	uplinjanje
gasohol	mešanica bencina in alkohola
gasoline engine	bencinski motor
gastropod	polži (Gastropoda)
gaswork	plinarna
gene	gen
genealogy	rodoslovje
general	splošno
general administrative order	splošna upravna odredba
general chemistry	splošna kemija
general education	splošna izobrazba
genetic diversity	genska raznovrstnost
genetic effect	vpliv na gene
genetic engineering	gensko inženirstvo
genetic engineering legislation	zakonodaja o genskem inženirstvu
genetic information	genske informacije
genetic modification	gensko spreminjanje
genetic pool ; gene pool	genski fond
genetic resource	genski vir
genetic variation	genska sprememba
genetically modified organism	gensko spremenjeni organizem
genetics	genetika
genotoxicity	genotoksičnost
geo-referenced data	geolocirani podatki
geo-referenced information	geolocirane (georeferencirane) informacije
geodesy	geodezija
geogenic factor	geogeni dejavnik
geographic information system	geografski informacijski sistem
geographical distribution of population	geografska razporeditev prebivalstva
geographical projection	kartografska projekcija
geography	geografija
geological disaster	geološka katastrofa
geological process	geološki proces
geology	geologija
geometric correction	geometrični popravek
geomorphic process	geomorfološki proces
geomorphology	geomorfologija
geophysical environment	geofizikalno okolje
geophysics	geofizika
geotechnics	geotehnika
geotechnology	geotehnologija
geothermal energy	geotermalna energija
germ	mikrob
germ plasm	dednina
germanium	germanij
germination	kalitev, klitje ; kalitev ; klitje
giraffe	žirafa
glacier	ledenik
glaciology	glaciologija
gland	žleza
glass	steklo
glass industry	industrija steklenih izdelkov
glaze	poledica
global aspect	globalni vidik
global convention	svetovno srečanje, svetovni sporazum
global model	globalni/svetovni model
global warming	segrevanje ozračja
glossary	slovar, slovarček, glosar
glue	lepilo
goal of individual economic business	cilj podjetja
gold	zlato
golf	golf
gong	gong
gonorrhea	gonoreja
good management	dobro gospodarjenje/upravljanje
goods	blago, izdelki ; blago ; izdelki
goods and services	blago in storitve
goose	gos
government (cabinet)	vlada (kabinet)
government advisory body	svetovalni organ vlade
government building	vladna stavba/palača, sedež vlade
government liability	odgovornost vlade
government policy	vladna politika
grain	žito
graminaceous plant	žito
grammer ; grammar	slovnica
granulometry	granulometrija
grass	trava
grass fire	traviščni požar
grasshopper	kobilica
grassland	travišče
gravel	prod, gramoz ; prod ; gramoz
gravel extraction	pridobivanje gramoza
gravel pit	gramoznica
graviton	graviton
grazing	paša
green building	ekohiša
green corridor	zeleni koridor
green manure	podorina
green revolution	zelena revolucija
green space	zelene površine
green tide	zelena plima
green vegetable	zelenjava
greenhouse cultivation	gojenje rastlin v rastlinjakih
greenhouse effect	učinek tople grede
greenhouse gas	toplogredni plin
gridding	mreža
grinding	drobljenje ; mletje
gross national product	bruto nacionalni/narodni proizvod
groundwater	podtalnica
groundwater endangering	ogrožanje podtalnice
groundwater extraction	črpanje podtalnice
groundwater pollution	onesnaženje podtalnice
groundwater protection	varstvo podtalnice, varovanje podtalnice
groundwater quality	kakovost podtalnice
group behaviour	skupinsko vedenje
gulf	zaliv, rokav
gull	galeb
gymnosperm	golosemenke (Gymnospermae)
gypsum	sadra
habitat	habitat, življenjski prostor ; življenjski prostor ; habitat
habitat destruction	uničenje habitata
haematology	hematologija
hafnium	hafnij
haiku	haiku
hail	toča
half-life	razpolovna doba
haloform	haloform
halogenated biphenyl	halogeniran bifenil
halogenated compound	halogenirana spojina
halogenated hydrocarbon	halogeniran ogljikovodik
halogenated phenol	halogeniran fenol
halogenated pollutant	halogenirano onesnaževalo
handicraft	rokodelstvo, obrt
handicraft business	rokodelska/obrtna dejavnost
handkerchief	robec
harbour	pristanišče, luka ; pristanišče ; luka
hard-to-dispose-of waste	problematični odpadki
hardness	trdota
harmonisation of law	uskladitev zakonodaje
harvest	pridelek ; pridelek, žetev ; žetev
hazard	nevarnost
hazard area	območje tveganja
hazard of pollutants	nevarnost zaradi onesnaževal
hazardous chemical export	izvoz nevarnih kemikalij
hazardous substance	nevarna snov
hazardous substances legislation	zakonodaja o nevarnih snoveh
hazardous waste	nevarni odpadki
hazardous waste dump	odlagališče nevarnih odpadkov
hazardous working material	nevarna snov
haze	meglica
headland	rt
headland	ozara
health	zdravje
health care	zdravstveno varstvo
health care profession	zdravstveno varstvo
health effect of noise	vpliv hrupa na zdravje
health facility	zdravstvena služba ; zdravstveni dom
health hazard	nevarnost za zdravje
health legislation	zdravstvena zakonodaja
health regulation	zdravstveni predpisi
health service	zdravstvena storitev
health-environment relationship	razmerje med zdravjem in okoljem
health-related biotechnology	biotehnologija za zdravje
hearing	sluh
hearing acuity	ostrina sluha
hearing impairment	slušna okvare, slušne motnje
hearing procedure	zaslišanje, obravnava
hearing protection	varovanje sluha
hearing system	slušni sistem
heat	toplota
heat and power station	termoelektrarna-toplarna
heat pump	toplotna črpalka
heat storage	skladiščenje toplote
heat supply	oskrba s toploto
heater	grelec
heathland	resava
heating	ogrevanje
heating plant	toplarna
heavy goods vehicle traffic	promet/transport težkih tovornjakov
heavy metal	težka kovina
heavy metal load	obremenitev s težkimi kovinami
hedge	živica, živa meja
hedgehog	jež
helicopter	helikopter
helium	helij
herbicide	herbicid
herbivore ; plant eater	rastlinojed, herbivor ; rastlinojed ; herbivor
heron	čaplja
heterocyclic compound	heterociklična spojina
high mountain	visoka gora
high tide water	plima
high voltage line	visokonapetostni vod
high-rise building	visoka zgradba
high-speed railway	hitra železnica
high-speed train	hitri vlak
higher education	višje in visokošolsko izobraževanje
highway	avtocesta ; avtomobilska cesta, avtocesta ; avtomobilska cesta
hiking trail	pešpot
historic centre	staro mestno jedro
historical evolution	zgodovinski razvoj
historical monument	zgodovinski spomenik
historical research	zgodovinska raziskava
historical site	zgodovinski kraj
history	zgodovina
holiday ; opor-garai	dopust ; počitnice ; praznik ; prost dan
holiday camp	počitniški tabor, počitniško naselje
holmium	holmij
home ; home ; house	hiša
home garden	hišni vrt
homeostasis	homeostaza
homepage	domača stran
homologation	homologacija
honey	med
hope	upanje
horizon	obzorje
hormone	hormon
horse	konj
horticulture	vrtnarstvo, hortikultura
hospital ; clinic	bolnišnica ; klinika
hospital waste	bolnišnični odpadki
hostage	talec
